DISTRICT,YEAR,DA0CA07R,DA0CA08R,DA0CC07R,DA0CC08R,DA0CS07R,DA0CS08R,DA0CT07R,DA0CT08R,DACRB07R,DACRB08R,DACRM07R,DACRM08R,DACRR07R,DACRR08R,DB0CA07R,DB0CA08R,DB0CC07R,DB0CC08R,DB0CS07R,DB0CS08R,DB0CT07R,DB0CT08R,DBCRB07R,DBCRB08R,DBCRM07R,DBCRM08R,DBCRR07R,DBCRR08R,DECRB07R,DECRB08R,DECRM07R,DECRM08R,DECRR07R,DECRR08R,DF0CA07R,DF0CA08R,DF0CC07R,DF0CC08R,DF0CS07R,DF0CS08R,DF0CT07R,DF0CT08R,DFCRB07R,DFCRB08R,DFCRM07R,DFCRM08R,DFCRR07R,DFCRR08R,DH0CA07R,DH0CA08R,DH0CC07R,DH0CC08R,DH0CS07R,DH0CS08R,DH0CT07R,DH0CT08R,DHCRB07R,DHCRB08R,DHCRM07R,DHCRM08R,DHCRR07R,DHCRR08R,DI0CA07R,DI0CA08R,DI0CC07R,DI0CC08R,DI0CS07R,DI0CS08R,DI0CT07R,DI0CT08R,DICRB07R,DICRB08R,DICRM07R,DICRM08R,DICRR07R,DICRR08R,DLCRB07R,DLCRB08R,DLCRM07R,DLCRM08R,DLCRR07R,DLCRR08R,DM0CA07R,DM0CA08R,DM0CC07R,DM0CC08R,DM0CS07R,DM0CS08R,DM0CT07R,DM0CT08R,DMCRB07R,DMCRB08R,DMCRM07R,DMCRM08R,DMCRR07R,DMCRR08R,DP0CA07R,DP0CA08R,DP0CC07R,DP0CC08R,DP0CS07R,DP0CS08R,DP0CT07R,DP0CT08R,DPCRB07R,DPCRB08R,DPCRM07R,DPCRM08R,DPCRR07R,DPCRR08R,DRCRB07R,DRCRB08R,DRCRM07R,DRCRM08R,DRCRR07R,DRCRR08R,DSCRB07R,DSCRB08R,DSCRM07R,DSCRM08R,DSCRR07R,DSCRR08R,DW0CA07R,DW0CA08R,DW0CC07R,DW0CC08R,DW0CS07R,DW0CS08R,DW0CT07R,DW0CT08R,DWCRB07R,DWCRB08R,DWCRM07R,DWCRM08R,DWCRR07R,DWCRR08R
'001902,2009,19.8,-1,11.1,11.1,939,923,48.6,37.5,34,35,61,52,41,52,18.5,.,20,.,-1,.,71.4,-1,25,-1,38,-1,38,-1,-3,-1,30,-1,-3,-1,18.9,-1,0,12.5,-1,920,55.6,53.3,47,21,47,36,63,43,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.3,.,25,-1,917,-1,42.1,11.1,21,56,74,78,23,67,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,17,20,33,20,43,40,-1,-1,-1,-1,-1,-1,20,-1,8.3,11.1,956,923,42.9,42.9,36,40,68,55,42,60
'001903,2009,21.4,20.4,15.4,19.2,910,977,60.9,45.6,23,48,47,59,41,74,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,38,38,44,44,69,20,-1,10,25,917,970,60.6,30.8,19,38,38,50,44,71,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.8,-1,21.1,16.7,906,981,61.3,58.1,28,57,56,67,38,77,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,16,17,26,50,-1,-1,-1,-1,-1,-1,21.4,20.4,13.5,17.4,893,967,60.7,45.1,25,50,49,58,38,77
'001904,2009,19.5,23.8,21.1,25,969,978,55.9,53.3,38,41,66,68,45,55,.,.,.,-1,.,-1,-1,-1,-1,60,-1,80,-1,60,27,38,55,69,27,56,-1,-1,16.7,14.3,908,924,40,66.7,54,60,69,70,62,75,-1,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.1,40,999,1062,68.4,41.7,26,25,63,67,35,38,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20,-3,40,11,36,22,-1,-1,-1,-1,-1,-1,19.2,23.8,23.5,31.6,969,1007,56.7,48.7,39,41,64,68,48,54
'001906,2009,24,19.8,60,0,-1,-1,45.5,41.7,50,25,80,42,45,50,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.4,57.1,50,29,88,29,44,71,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,60,-1,20,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,60,-1,-1,-1,-1,-1,-1,24,19.8,60,0,-1,-1,45.5,45.5,50,27,80,45,45,45
'001907,2009,18.7,21.1,25,27.8,974,996,41.3,43.9,17,38,46,65,22,45,13.7,16.4,5.3,6.3,855,787,42.2,36.4,5,12,19,49,7,18,9,24,33,60,19,36,20.4,21.3,14.3,23.3,956,972,25.9,46.2,13,41,43,64,20,49,22.8,-1,25,25,1002,1024,20,21.1,17,28,46,56,29,36,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.5,20.6,30.2,34.5,997,1028,58.1,40.8,22,34,49,67,25,40,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,12,24,42,11,22,-3,-1,-3,-1,-3,-1,19,22.5,34.3,36.2,1016,1067,53,58.8,24,57,61,79,27,63
'001908,2009,17.9,17.3,11.5,12.7,920,904,55.9,75.3,25,45,45,55,38,64,-1,-1,0,0,-1,767,55.6,100,-3,20,-3,20,33,44,22,11,39,40,30,42,17.3,15.2,6.9,6.9,868,928,59.2,74.4,30,42,39,50,49,61,16.2,-1,0,0,-1,-1,60,71.4,20,33,40,71,20,33,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.4,18.7,17.4,19.2,968,879,52.3,76.5,20,49,52,61,26,67,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,9,18,18,28,18,45,-1,-3,-1,-3,-1,-3,19,19.3,12.8,18.4,944,954,52.7,70.4,29,54,52,63,41,73
'001909,2009,24.5,-1,62.5,28.6,1170,967,33.3,41.2,39,56,39,81,45,56,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,29,67,29,83,29,67,25.8,-1,66.7,-1,1168,-1,35.3,66.7,38,83,38,83,50,83,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6,27.3,-1,40,-1,80,-1,40,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,50,-3,83,-3,50,-1,-1,-1,-1,-1,-1,24.5,-1,62.5,33.3,1170,992,36.4,37.5,41,60,41,87,47,60
'002901,2009,19.9,19.1,21.4,18.3,958,961,40.5,42.3,21,24,43,44,30,35,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,5,31,41,14,9,20.1,20,18.2,17.1,942,954,35.5,53.2,21,31,31,47,31,44,17.9,16.8,8.7,7.7,891,895,25.6,31,9,10,31,35,19,16,-1,.,-1,.,.,.,-2,.,-1,-1,-1,-1,-1,-1,-3,-1,-3,-1,-3,-1,19.4,18.4,24.3,20,975,973,46.3,33,22,18,55,42,29,27,-1,.,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,7,10,11,19,13,20,-3,-1,-3,-1,6,-1,21.4,20.2,27.3,17.9,1000,966,55.7,50.6,35,36,54,51,43,52
'003801,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2009,20.2,19.2,21.5,23,973,970,58.6,58.4,27,45,64,60,32,62,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,23,56,42,19,43,20.6,19.5,13.5,17.8,939,920,67.3,57.7,33,38,62,51,44,58,-1,-1,0,0,846,811,47.8,70,12,25,61,45,11,43,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.8,18.8,32.1,28.6,1020,1025,50,59.2,20,52,66,70,20,65,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,10,20,40,30,15,43,-1,-1,-1,-1,-1,-1,21.2,19.7,28.6,27.9,1004,1005,59,55.3,32,48,65,62,38,66
'003903,2009,17.9,17.5,21.6,22.9,972,979,64.1,61.3,30,43,53,60,38,55,16,15.5,3.9,1.5,889,812,64.7,63.6,12,23,37,37,23,40,18,24,43,44,27,41,18.4,18.1,20.1,20.2,975,976,61.8,54.3,32,40,52,53,43,57,19.5,-1,6.1,8.7,896,907,40.7,25,20,25,44,52,28,36,-1,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-3,-1,50,-1,-3,-1,17.2,17,23.3,25.2,969,982,67.1,68.5,28,46,55,67,33,53,-1,.,50,50,1101,1064,85.7,-2,86,83,-4,83,86,83,5,10,27,23,17,22,-3,-3,17,18,-3,-3,19.7,20.2,36.5,32.7,1058,1046,69.2,73.9,44,59,66,76,51,70
'003904,2009,18.9,19.8,16.7,20,945,986,47.4,41.7,17,33,39,53,22,41,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,21,6,42,28,26,17,19.2,19,12.1,16.7,919,976,55,51.4,20,38,37,52,30,48,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.8,23.5,985,997,38.9,34.7,15,30,41,53,13,37,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,6,3,14,17,11,18,-1,-1,-1,-1,-3,-1,18.8,21,17.6,18.8,942,981,46.4,40,18,34,38,53,23,42
'003905,2009,18.4,17.8,8.9,15.7,926,980,74.5,55.4,34,33,47,51,52,44,16.9,14.6,0,11.1,-1,-1,88.2,64.3,18,27,35,45,33,33,23,26,40,42,38,35,18.6,17.8,5.6,12,912,970,73.5,52.1,31,34,39,45,53,52,19,19.6,7.1,17.6,908,997,70,44.7,30,33,40,47,50,47,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.3,17.9,11.6,19.2,943,989,75.4,59.1,38,31,54,57,51,35,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,8,8,11,19,32,16,-1,-1,-1,-1,-1,-1,18.9,18.3,13.9,16,958,986,75,62.5,45,33,57,56,62,44
'003906,2009,19.6,19,7.1,11.1,-1,-1,58.3,47.4,17,23,46,36,29,35,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,11,-3,22,40,22,20,18.8,-1,0,-1,.,-1,54.5,60,9,14,27,43,27,38,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.3,-1,12.5,0,-1,-1,61.5,42.9,23,27,62,33,31,33,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,-3,9,10,18,20,-1,-1,-1,-1,-1,-1,20.4,19,7.1,11.1,-1,-1,60.9,47.4,17,23,48,36,30,35
