DISTRICT,YEAR,DA0GH02N,DA0GH02P,DA0GM02N,DA0GM02P,DA0GR02N,DA0GR02P,DA0LV02R,DAPID03N,DAPID03R,DAUND02C,DB0GR02N,DB0GR02P,DH0GR02N,DH0GR02P,DI0GR02N,DI0GR02P,DP0GR02N,DP0GR02P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR02N,DS0GR02P,DW0GR02N,DW0GR02P
'124901,2003,84,89.4,10,10.6,94,100,0,5,0.4,0,0,0,88,93.6,0,0,1,1.1,6.9,0,1.3,0,0,0,1.3,1.3,4.6,0,7.1,0,0,0,0,5.3,8.3,11.1,1159,161,13.9,0,0,61,5.5,933,80.5,73,6.3,79,6.8,78,6.7,94,8.1,75,6.5,82,7.1,71,6.1,91,7.9,100,8.6,79,6.8,88,7.6,88,7.6,0,0,120,10.4,85,7.3,76,6.6,1113,96,8,0.7,162,14,0,0,182,15.7,287,24.8,38,3.3,11,11.7,5,5.3
'125901,2003,217,80.7,52,19.3,269,100,0.1,20,0.3,2,3,1.1,223,82.9,0,0,2,0.7,5.7,4.8,1.6,0,0,0,1,0.8,0.3,31,1.9,0,5.8,0,4.1,0,5.8,0,5668,216,3.8,27,0.5,76,1.4,3796,67,423,7.5,414,7.3,404,7.1,376,6.6,470,8.3,419,7.4,454,8,466,8.2,547,9.7,385,6.8,381,6.7,314,5.5,7,0.1,497,8.8,432,7.6,176,3.1,5053,89.1,3,0.1,248,4.4,40,0.7,633,11.2,1274,22.5,545,9.6,24,8.9,41,15.2
'125902,2003,25,73.5,9,26.5,34,100,0.4,1,0.1,1,0,0,33,97.1,0,0,0,0,12.8,12.5,0,5.3,5,0,2.4,6.3,0,0,0,0,0,9.1,0,0,0,16.7,619,79,12.8,1,0.2,0,0,451,72.9,47,7.6,43,6.9,39,6.3,53,8.6,46,7.4,49,7.9,56,9,50,8.1,43,6.9,52,8.4,43,6.9,32,5.2,0,0,86,13.9,34,5.5,32,5.2,574,92.7,0,0,89,14.4,0,0,75,12.1,126,20.4,44,7.1,2,5.9,1,2.9
'125903,2003,73,76,23,24,96,100,0,2,0.1,0,1,1,53,55.2,1,1,0,0,12.8,6,0,0,0,0,0,2.9,3.4,12.5,14.3,6.3,0,0,0,0,0,12.5,1572,47,3,10,0.6,24,1.6,981,62.4,129,8.2,123,7.8,99,6.3,121,7.7,113,7.2,129,8.2,133,8.5,132,8.4,114,7.3,118,7.5,131,8.3,88,5.6,7,0.4,164,10.4,96,6.1,39,2.5,898,57.1,1,0.1,48,3.1,2,0.1,192,12.2,372,23.7,661,42,14,14.6,41,42.7
'125905,2003,42,63.6,24,36.4,66,100,0.6,5,0.5,3,0,0,56,84.8,0,0,0,0,11.9,4.9,0,0,0,1.7,6.4,1.4,2.4,0,6.7,0,0,0,0,0,0,0,954,111,11.6,0,0,67,7.1,688,72.1,58,6.1,61,6.4,57,6,63,6.6,72,7.5,73,7.7,79,8.3,84,8.8,101,10.6,82,8.6,79,8.3,70,7.3,0,0,116,12.2,41,4.3,34,3.6,863,90.5,0,0,120,12.6,0,0,128,13.4,314,32.9,91,9.5,10,15.2,10,15.2
'125906,2003,0,.,0,.,0,.,.,0,0,0,0,.,0,.,0,.,0,.,11.1,0,0,0,0,0,.,.,11.1,0,0,.,0,100,0,.,.,0,92,7,7.6,0,0,0,0,48,52.2,9,9.8,13,14.1,10,10.9,13,14.1,13,14.1,8,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17.4,13,14.1,13,14.1,70,76.1,0,0,8,8.7,3,3.3,6,6.5,0,0,19,20.7,0,.,0,.
'126901,2003,136,69.4,60,30.6,196,100,0.6,87,2.1,10,10,5.1,15,7.7,1,0.5,0,0,5,3.8,1.4,0,0.9,0.9,0.5,1.3,1,11.8,0,0,0,0,2.7,0,0,9.1,3530,139,3.9,152,4.3,52,1.5,1689,47.8,257,7.3,248,7,231,6.5,271,7.7,284,8,280,7.9,280,7.9,280,7.9,349,9.9,284,8,226,6.4,183,5.2,5,0.1,180,5.1,252,7.1,100,2.8,660,18.7,11,0.3,162,4.6,9,0.3,457,12.9,383,10.8,2698,76.4,8,4.1,170,86.7
'126902,2003,285,69,128,31,413,100,2.1,108,1.4,69,1,0.2,21,5.1,1,0.2,3,0.7,1.4,0,1.2,1.4,0.2,0.4,1.3,1.1,2.7,8,0,0,3.3,1.8,1.7,2,5.1,16.7,6862,32,0.5,52,0.8,101,1.5,1308,19.1,505,7.4,484,7.1,477,7,511,7.4,568,8.3,493,7.2,577,8.4,593,8.6,562,8.2,549,8,488,7.1,411,6,45,0.7,354,5.2,513,7.5,86,1.3,461,6.7,36,0.5,46,0.7,33,0.5,574,8.4,1726,25.2,6280,91.5,26,6.3,387,93.7
'126903,2003,141,45.3,170,54.7,311,100,2.1,67,0.9,60,15,4.8,59,19,0,0,2,0.6,6.2,6.4,3.5,1.3,0.2,0.8,0.5,0.5,5.3,16.4,4.5,1.3,2.8,1.3,4.8,17.8,0,24.6,6362,609,9.6,324,5.1,179,2.9,2778,43.7,546,8.6,542,8.5,480,7.5,490,7.7,454,7.1,493,7.7,466,7.3,425,6.7,559,8.8,436,6.9,364,5.7,338,5.3,16,0.3,829,13,534,8.4,219,3.4,1752,27.5,12,0.2,627,9.9,55,0.9,775,12.2,816,12.8,4219,66.3,27,8.7,235,75.6
'126904,2003,31,44.9,38,55.1,69,100,0,12,0.9,0,3,4.3,5,7.2,1,1.4,0,0,4.7,0,0,0,0,7.7,5.5,4.6,3.8,6.3,0,12.5,0,7.1,0,9.1,7.1,11.8,1128,31,2.7,43,3.8,12,1.2,386,34.2,78,6.9,77,6.8,76,6.7,72,6.4,86,7.6,90,8,84,7.4,103,9.1,92,8.2,85,7.5,72,6.4,62,5.5,56,5,79,7,83,7.4,12,1.1,132,11.7,3,0.3,34,3,0,0,203,18,215,19.1,950,84.2,8,11.6,60,87
