DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'044902,2001,1,45,3.9,3,0.4,13,2,14,1,0,2.7,0,0,0,0,0,2.6,0,3.1,12.5,0,0,0,0,0,0,0,66.7,605,56,9.3,47,7.8,360,59.5,36,6,49,8.1,44,7.3,52,8.6,40,6.6,42,6.9,43,7.1,45,7.4,60,9.9,41,6.8,56,9.3,39,6.4,0,0,42,6.9,41,6.8,17,2.8,221,36.5,3,0.5,61,10.1,0,0,115,19,165,27.3,334,55.2,11,28
'044904,2001,0,8,8.9,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,.,0,.,.,.,106,0,0,3,2.8,56,52.8,7,6.6,8,7.5,5,4.7,6,5.7,9,8.5,9,8.5,18,17,7,6.6,4,3.8,10,9.4,11,10.4,6,5.7,0,0,4,3.8,1,0.9,5,4.7,26,24.5,4,3.8,0,0,0,0,5,4.7,31,29.2,73,68.9,1,6
'045902,2001,0,127,1.6,2,0.1,14,17,16,0,0,1.1,2,1.1,1,1.1,0,0,0,2.1,7.1,7.7,6.3,0,0,0,0,0,15.4,1588,94,5.9,217,13.7,569,35.8,108,6.8,111,7,110,6.9,110,6.9,113,7.1,106,6.7,134,8.4,128,8.1,155,9.8,152,9.6,121,7.6,112,7.1,0,0,93,5.9,96,6,32,2,290,18.3,1,0.1,99,6.2,3,0.2,215,13.5,528,33.2,1077,67.8,19,94
'045903,2001,0,63,30.1,77,4.5,313,21,13,0,0,1.3,3.2,1.7,0,2.5,3.5,3.2,7.8,8.3,7.1,0,0,0,0,0,6.1,2.4,12.5,1522,104,6.8,379,24.9,1007,66.2,103,6.8,111,7.3,110,7.2,70,4.6,90,5.9,99,6.5,115,7.6,137,9,214,14.1,104,6.8,120,7.9,102,6.7,0,0,114,7.5,101,6.6,46,3,644,42.3,3,0.2,118,7.8,2,0.1,278,18.3,479,31.5,494,32.5,7,29
'045905,2001,0,60,1.1,9,1.2,4,4,7,0,0,6.7,0,0,0,8,2.4,2.4,3,2.5,0,0,0,0,11.1,0,0,0,0,659,47,7.1,127,19.3,249,37.8,41,6.2,38,5.8,40,6.1,51,7.7,44,6.7,34,5.2,48,7.3,52,7.9,68,10.3,73,11.1,46,7,59,9,5,0.8,58,8.8,49,7.4,11,1.7,145,22,0,0,48,7.3,5,0.8,133,20.2,189,28.7,382,58,4,49
'046801,2001,.,.,86.4,14,14.7,171,.,.,.,.,.,.,.,0,0,25,0,33.3,.,.,.,.,.,.,0,0,0,.,35,0,0,0,0,17,48.6,0,0,0,0,0,0,0,0,0,0,1,2.9,3,8.6,4,11.4,9,25.7,10,28.6,6,17.1,2,5.7,0,0,0,0,0,0,0,0,16,45.7,1,2.9,0,0,0,0,10,28.6,0,0,18,51.4,.,.
'046901,2001,0,362,0.6,66,1,18,5,117,1,1,11.3,1.8,2.1,1.1,1.1,0.6,1.3,1,2.8,8.3,4.2,4.4,1.7,2.8,2.4,2.7,2.6,6.4,5955,405,6.8,96,1.6,2109,35.4,474,8,453,7.6,437,7.3,417,7,457,7.7,437,7.3,461,7.7,483,8.1,619,10.4,433,7.3,435,7.3,373,6.3,9,0.2,391,6.6,357,6,110,1.8,2600,43.7,8,0.1,439,7.4,35,0.6,744,12.5,1097,18.4,3216,54,37,238
'046902,2001,5,642,0,227,1.8,2,5,97,1,4,13.6,1.5,1,0.2,0.3,0.3,2.7,0.4,6.5,16.4,0.8,2.2,0.6,3.9,1.3,10.4,2.4,19.2,10695,261,2.4,108,1,2758,25.8,778,7.3,755,7.1,792,7.4,795,7.4,807,7.5,826,7.7,929,8.7,861,8.1,1123,10.5,797,7.5,679,6.3,633,5.9,53,0.5,894,8.4,710,6.6,157,1.5,2242,21,16,0.1,296,2.8,37,0.3,1616,15.1,2771,25.9,8292,77.5,69,535
'047901,2001,0,74,0,2,0.1,0,0,26,2,1,0,3.8,0,0,0,1,0,0,6.6,9.5,0,0,0,0,0,0,5,6.7,1393,125,9,5,0.4,761,54.6,105,7.5,118,8.5,100,7.2,111,8,108,7.8,137,9.8,108,7.8,113,8.1,130,9.3,96,6.9,76,5.5,73,5.2,9,0.6,170,12.2,109,7.8,0,0,477,34.2,2,0.1,135,9.7,3,0.2,218,15.6,233,16.7,906,65,9,45
'047902,2001,0,52,0,2,0.2,0,0,12,0,0,13.5,0,0,0,0,4.5,0,4.9,0,16.7,0,0,0,25,0,0,0,18.2,774,37,4.8,1,0.1,403,52.1,54,7,59,7.6,61,7.9,57,7.4,59,7.6,54,7,48,6.2,77,9.9,73,9.4,65,8.4,47,6.1,41,5.3,2,0.3,44,5.7,56,7.2,21,2.7,251,32.4,0,0,38,4.9,0,0,100,12.9,166,21.4,522,67.4,13,40
