DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'001902,2001,0,41,0.6,1,0.1,2,1,1,1,0,4.3,0,0,0,0,0,4.1,0,2.8,0,0,0,0,0,0,0,0,0,635,5,0.8,81,12.8,154,24.3,45,7.1,53,8.3,47,7.4,50,7.9,38,6,53,8.3,47,7.4,54,8.5,52,8.2,61,9.6,53,8.3,33,5.2,3,0.5,59,9.3,34,5.4,12,1.9,24,3.8,2,0.3,5,0.8,1,0.2,102,16.1,166,26.1,527,83,6,38
'001903,2001,0,63,0,10,0.8,0,2,1,0,0,3.4,1.8,1.5,1.9,0,1.5,2,0,3.3,10,0,0,5.6,0,0,0,0,30,1147,0,0,87,7.6,503,43.9,73,6.4,71,6.2,75,6.5,97,8.5,77,6.7,80,7,102,8.9,87,7.6,102,8.9,81,7.1,68,5.9,77,6.7,5,0.4,65,5.7,83,7.2,69,6,42,3.7,0,0,0,0,0,0,235,20.5,135,11.8,1018,88.8,9,60
'001904,2001,0,44,4.8,4,0.5,20,9,0,0,0,5.8,0,0,0,0,1.8,2,1.7,1.8,12.5,0,0,0,0,7.7,0,0,16.7,788,12,1.5,104,13.2,322,40.9,66,8.4,55,7,69,8.8,45,5.7,51,6.5,47,6,65,8.2,69,8.8,74,9.4,62,7.9,52,6.6,60,7.6,2,0.3,68,8.6,50,6.3,21,2.7,32,4.1,1,0.1,12,1.5,2,0.3,124,15.7,235,29.8,649,82.4,11,35
'001906,2001,0,20,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,318,0,0,41,12.9,109,34.3,16,5,22,6.9,14,4.4,29,9.1,26,8.2,26,8.2,39,12.3,15,4.7,29,9.1,29,9.1,20,6.3,17,5.3,0,0,21,6.6,19,6,17,5.3,9,2.8,0,0,0,0,1,0.3,63,19.8,0,0,267,84,3,20
'001907,2001,0,183,0.4,10,0.3,7,62,20,0,0,3.6,1.8,2.4,3.8,1.8,0.5,7.5,0.5,3,5.9,0,2.5,3.4,0,0,2.7,12.1,12,3374,253,7.5,1130,33.5,1988,58.9,244,7.2,249,7.4,254,7.5,244,7.2,266,7.9,241,7.1,245,7.3,255,7.6,288,8.5,237,7,256,7.6,188,5.6,8,0.2,168,5,274,8.1,125,3.7,766,22.7,2,0.1,290,8.6,28,0.8,363,10.8,1032,30.6,1448,42.9,23,101
'001908,2001,0,106,0,5,0.2,0,14,4,0,0,6.7,4,3.4,1.6,4.2,0,0,3.1,6.3,10,0,0,0,0,0,0,0,6.3,1846,5,0.3,312,16.9,728,39.4,146,7.9,132,7.2,128,6.9,139,7.5,151,8.2,152,8.2,143,7.7,138,7.5,175,9.5,141,7.6,105,5.7,103,5.6,3,0.2,102,5.5,151,8.2,39,2.1,170,9.2,5,0.3,7,0.4,8,0.4,263,14.2,489,26.5,1351,73.2,10,88
'001909,2001,0,27,0,16,3.6,0,0,0,0,0,0,4.2,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,383,0,0,17,4.4,205,53.5,31,8.1,19,5,39,10.2,25,6.5,24,6.3,34,8.9,29,7.6,27,7,31,8.1,26,6.8,23,6,21,5.5,0,0,34,8.9,31,8.1,23,6,15,3.9,0,0,0,0,0,0,82,21.4,78,20.4,351,91.6,5,27
'002901,2001,0,226,0.1,0,0,1,4,101,0,3,4.9,0,0,0,0,0.6,1.1,0,2.1,13.1,0,1.8,1.6,0,0,0,0,2.6,3166,186,5.9,48,1.5,1236,39,200,6.3,208,6.6,214,6.8,212,6.7,234,7.4,258,8.1,247,7.8,249,7.9,267,8.4,263,8.3,253,8,238,7.5,19,0.6,292,9.2,197,6.2,107,3.4,1654,52.2,6,0.2,316,10,22,0.7,680,21.5,1128,35.6,1436,45.4,35,118
'003801,2001,.,.,17.1,28,8.6,13,.,.,.,.,0,0,0,0,0,4,0,10,7.1,0,.,.,.,0,0,0,.,50,275,0,0,12,4.4,12,4.4,28,10.2,33,12,25,9.1,30,10.9,30,10.9,27,9.8,23,8.4,31,11.3,8,2.9,0,0,0,0,0,0,0,0,0,0,40,14.5,0,0,18,6.5,1,0.4,0,0,15,5.5,20,7.3,0,0,229,83.3,.,.
'003902,2001,0,136,0,18,0.7,0,3,11,0,0,6.8,1.4,0.7,0.7,0,2.2,1.9,1.4,5,11.8,0,5.9,11.1,5.6,0,0,0,10,2251,90,4,91,4,1078,47.9,154,6.8,197,8.8,172,7.6,163,7.2,171,7.6,168,7.5,169,7.5,195,8.7,171,7.6,167,7.4,148,6.6,139,6.2,2,0.1,112,5,157,7,78,3.5,409,18.2,6,0.3,114,5.1,6,0.3,261,11.6,593,26.3,1739,77.3,17,122
'003903,2001,0,428,0.7,124,1.3,26,130,51,0,15,9.3,4.7,1.7,0.8,0.2,0.4,1.1,0.5,3.3,2.2,1.7,0,0,0,0,0.9,1.2,5.6,8019,994,12.4,2584,32.2,4512,56.3,577,7.2,577,7.2,533,6.6,570,7.1,617,7.7,566,7.1,609,7.6,585,7.3,608,7.6,613,7.6,553,6.9,509,6.3,5,0.1,724,9,529,6.6,568,7.1,1928,24,11,0.1,1005,12.5,87,1.1,1051,13.1,1748,21.8,3409,42.5,62,232
'003904,2001,0,168,1.3,33,1.6,12,11,5,0,0,3.3,0,0,0,0,1,0,1.9,0,11.1,0,0,0,0,0,3.7,4,0,1616,16,1,68,4.2,731,45.2,122,7.5,113,7,132,8.2,128,7.9,123,7.6,118,7.3,127,7.9,117,7.2,159,9.8,150,9.3,93,5.8,103,6.4,4,0.2,120,7.4,88,5.4,39,2.4,38,2.4,3,0.2,16,1,2,0.1,300,18.6,491,30.4,1505,93.1,40,152
'003905,2001,0,122,1.5,64,3,13,25,35,0,1,3,0.9,2.3,0,0,1,0,0,5.3,8.3,7.1,0,0,0,5,11.1,0,0,1873,212,11.3,332,17.7,1165,62.2,151,8.1,148,7.9,131,7,149,8,137,7.3,146,7.8,134,7.2,135,7.2,145,7.7,138,7.4,118,6.3,96,5.1,6,0.3,84,4.5,143,7.6,96,5.1,747,39.9,0,0,283,15.1,1,0.1,254,13.6,285,15.2,793,42.3,18,61
'003906,2001,0,24,2.9,1,0.2,6,0,1,0,0,4.2,2.9,0,0,0,0,14.3,6.3,2.8,11.1,0,0,0,0,16.7,0,0,0,484,0,0,0,0,238,49.2,44,9.1,29,6,45,9.3,36,7.4,33,6.8,39,8.1,42,8.7,39,8.1,31,6.4,37,7.6,27,5.6,16,3.3,0,0,15,3.1,37,7.6,29,6,4,0.8,1,0.2,0,0,0,0,101,20.9,60,12.4,479,99,10,23
'003907,2001,33,97,0.4,2,0.1,3,2,1,0,0,2.4,0,0.8,0,0,1,1,3.7,2.5,0,0,0,0,4.2,0,0,0,10,1613,24,1.5,35,2.2,588,36.5,129,8,137,8.5,118,7.3,138,8.6,137,8.5,130,8.1,131,8.1,120,7.4,122,7.6,110,6.8,109,6.8,92,5.7,0,0,73,4.5,113,7,27,1.7,143,8.9,1,0.1,39,2.4,5,0.3,251,15.6,185,11.5,1429,88.6,10,94
'004901,2001,0,251,2.6,139,3.5,48,6,64,1,19,6.5,1.5,0,0,3,0,6.7,2.6,1.3,18.8,8.9,0,0,0,4.3,2,7,11.1,3360,150,4.5,79,2.4,1615,48.1,226,6.7,278,8.3,260,7.7,245,7.3,240,7.1,233,6.9,304,9,296,8.8,293,8.7,285,8.5,216,6.4,197,5.9,8,0.2,251,7.5,210,6.3,69,2.1,1010,30.1,5,0.1,161,4.8,173,5.1,467,13.9,405,12.1,2093,62.3,16,161
'005901,2001,5,39,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,2.7,0,10.8,14.3,0,0,0,0,0,0,0,12.5,564,10,1.8,0,0,143,25.4,38,6.7,44,7.8,41,7.3,46,8.2,34,6,44,7.8,47,8.3,44,7.8,38,6.7,56,9.9,43,7.6,45,8,4,0.7,45,8,40,7.1,0,0,19,3.4,0,0,10,1.8,1,0.2,72,12.8,137,24.3,544,96.5,5,39
'005902,2001,0,72,0,7,0.6,0,0,3,0,0,1.8,0,0,1.4,0,0,3.2,3.9,3.7,0,0,0,0,0,0,20,0,0,953,2,0.2,2,0.2,157,16.5,63,6.6,57,6,63,6.6,66,6.9,83,8.7,75,7.9,71,7.5,102,10.7,78,8.2,75,7.9,77,8.1,80,8.4,4,0.4,60,6.3,59,6.2,0,0,25,2.6,2,0.2,3,0.3,0,0,56,5.9,294,30.8,924,97,6,69
'005903,2001,0,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,.,.,.,.,0,.,0,.,.,60,0,0,1,1.7,44,73.3,3,5,5,8.3,3,5,5,8.3,5,8.3,4,6.7,5,8.3,6,10,2,3.3,4,6.7,6,10,9,15,0,0,1,1.7,2,3.3,1,1.7,3,5,1,1.7,0,0,0,0,8,13.3,15,25,55,91.7,1,3
'005904,2001,0,20,0,3,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,435,53,12.2,0,0,159,36.6,39,9,22,5.1,33,7.6,40,9.2,36,8.3,32,7.4,32,7.4,34,7.8,25,5.7,36,8.3,29,6.7,30,6.9,2,0.5,35,8,32,7.4,13,3,75,17.2,1,0.2,53,12.2,0,0,40,9.2,100,23,359,82.5,1,19
'006902,2001,0,30,0,1,0.2,0,0,1,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,20,0,0,14.3,394,0,0,2,0.5,122,31,34,8.6,26,6.6,31,7.9,29,7.4,35,8.9,30,7.6,29,7.4,25,6.3,37,9.4,31,7.9,30,7.6,28,7.1,7,1.8,29,7.4,22,5.6,0,0,21,5.3,0,0,1,0.3,1,0.3,60,15.2,96,24.4,370,93.9,3,29
'007901,2001,0,30,5.8,8,1.5,13,0,27,0,0,5.1,5.3,3.6,0,0,0,0,0,4.3,50,0,0,0,0,0,0,0,.,487,14,2.9,0,0,380,78,47,9.7,43,8.8,39,8,34,7,37,7.6,30,6.2,30,6.2,34,7,35,7.2,41,8.4,35,7.2,27,5.5,0,0,32,6.6,32,6.6,23,4.7,405,83.2,1,0.2,28,5.7,0,0,71,14.6,99,20.3,81,16.6,8,3
'007902,2001,.,.,23.7,13,0.9,157,.,.,.,.,3.4,5.3,3.6,1.1,2.1,6.3,1.4,4.2,4.7,0,0,0,0,0,4.8,0,6.7,40,1300,53,4.1,2,0.2,727,55.9,88,6.8,92,7.1,100,7.7,100,7.7,106,8.2,113,8.7,100,7.7,103,7.9,127,9.8,93,7.2,83,6.4,74,5.7,0,0,73,5.6,88,6.8,33,2.5,724,55.7,4,0.3,78,6,3,0.2,185,14.2,297,22.8,567,43.6,.,.
'007904,2001,0,82,0,16,0.9,0,0,48,0,0,4.3,0,8,1.1,1.2,6.5,0,0,2.3,0,0,0,0,0,0,0,0,14.3,1492,119,8,4,0.3,915,61.3,108,7.2,101,6.8,132,8.8,102,6.8,116,7.8,106,7.1,111,7.4,118,7.9,116,7.8,124,8.3,97,6.5,81,5.4,1,0.1,114,7.6,109,7.3,70,4.7,1001,67.1,4,0.3,135,9,3,0.2,209,14,572,38.3,480,32.2,10,34
'007905,2001,0,217,0,0,0,0,0,130,1,0,4.3,0.5,0.5,0.4,2.2,1.4,0.5,0,0.4,10.5,2.9,0,0,8.9,0,4.9,4.8,0,3477,80,2.3,25,0.7,1976,56.8,275,7.9,259,7.4,259,7.4,246,7.1,292,8.4,239,6.9,281,8.1,263,7.6,278,8,280,8.1,235,6.8,226,6.5,13,0.4,225,6.5,236,6.8,95,2.7,2148,61.8,0,0,81,2.3,11,0.3,588,16.9,572,16.5,1293,37.2,57,86
'007906,2001,0,77,0.3,18,1,2,0,61,0,0,9.3,6.2,0.9,1.9,0,1.9,0,0,0.9,0,0,0,0,0,0,0,0,20,1586,78,4.9,3,0.2,1115,70.3,133,8.4,124,7.8,119,7.5,128,8.1,121,7.6,122,7.7,134,8.4,129,8.1,145,9.1,107,6.7,95,6,82,5.2,4,0.3,66,4.2,110,6.9,33,2.1,1310,82.6,2,0.1,98,6.2,4,0.3,242,15.3,342,21.6,267,16.8,9,16
'008901,2001,0,157,0.1,6,0.2,1,21,9,0,0,4.5,5.5,3.1,0,0,2.9,3.2,0,3.3,0,0,0,0,10,12,4,0,13.3,2179,82,3.8,318,14.6,593,27.2,153,7,159,7.3,150,6.9,162,7.4,168,7.7,183,8.4,176,8.1,175,8,203,9.3,164,7.5,152,7,173,7.9,3,0.1,158,7.3,128,5.9,30,1.4,307,14.1,6,0.3,86,3.9,3,0.1,291,13.4,492,22.6,1545,70.9,22,127
'008902,2001,0,137,1,22,0.8,11,18,20,0,0,3.1,1.5,0.7,1.5,2.8,1.5,3,0,1.4,8.3,4.8,10,3.8,3.7,3.4,3.7,0,12.5,2331,141,6,350,15,955,41,163,7,187,8,162,6.9,187,8,163,7,186,8,185,7.9,177,7.6,203,8.7,202,8.7,141,6,144,6.2,2,0.1,111,4.8,168,7.2,61,2.6,684,29.3,4,0.2,146,6.3,16,0.7,319,13.7,614,26.3,1277,54.8,10,99
'008903,2001,0,55,0.2,6,0.6,1,5,5,1,0,3.8,1.8,0,1.8,0,0,2.4,0,16,10,0,0,0,0,5.9,0,0,12.5,888,32,3.6,138,15.5,369,41.6,61,6.9,62,7,68,7.7,74,8.3,70,7.9,68,7.7,58,6.5,52,5.9,80,9,79,8.9,72,8.1,65,7.3,3,0.3,21,2.4,51,5.7,25,2.8,263,29.6,1,0.1,32,3.6,0,0,156,17.6,208,23.4,486,54.7,7,44
'009901,2001,0,95,0.1,0,0,1,4,31,0,1,6.3,6.6,0,2.3,0,8,0,0,7,10,0,0,0,0,0,0,0,15,1423,136,9.6,23,1.6,908,63.8,93,6.5,113,7.9,101,7.1,98,6.9,107,7.5,111,7.8,100,7,118,8.3,116,8.2,90,6.3,111,7.8,87,6.1,9,0.6,95,6.7,128,9,41,2.9,943,66.3,0,0,149,10.5,2,0.1,213,15,341,24,455,32,10,59
'009903,2001,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,.,0,.,92,8,8.7,0,0,70,76.1,4,4.3,3,3.3,9,9.8,3,3.3,6,6.5,4,4.3,5,5.4,10,10.9,13,14.1,8,8.7,8,8.7,10,10.9,0,0,4,4.3,5,5.4,4,4.3,50,54.3,0,0,8,8.7,0,0,8,8.7,38,41.3,42,45.7,0,6
'010901,2001,0,25,0.9,0,0,2,0,2,0,0,5,0,0,5.6,0,0,4.3,0,7.7,0,0,0,0,0,0,0,0,0,334,5,1.5,4,1.2,149,44.6,21,6.3,21,6.3,23,6.9,23,6.9,18,5.4,24,7.2,36,10.8,42,12.6,36,10.8,29,8.7,26,7.8,21,6.3,0,0,13,3.9,14,4.2,0,0,44,13.2,0,0,5,1.5,0,0,79,23.7,102,30.5,286,85.6,3,23
'010902,2001,0,149,0.2,12,0.4,2,0,29,0,0,1.4,2,0,0,1.8,1.8,1.9,1.8,0,8,0,0,2.2,9.3,10,2.3,0,13.6,2591,57,2.2,14,0.5,956,36.9,172,6.6,185,7.1,192,7.4,188,7.3,217,8.4,235,9.1,213,8.2,208,8,286,11,183,7.1,158,6.1,155,6,6,0.2,253,9.8,157,6.1,36,1.4,463,17.9,16,0.6,72,2.8,7,0.3,421,16.2,517,20,2091,80.7,19,120
'011901,2001,0,307,0.9,257,3.4,29,26,52,1,2,4.6,2,0.5,0.5,0.3,0,5.1,3.5,2.2,12.9,7.1,4.4,2.3,0,0,11.7,6.2,10.3,6486,237,3.7,681,10.5,2590,39.9,469,7.2,478,7.4,509,7.8,507,7.8,534,8.2,502,7.7,568,8.8,523,8.1,564,8.7,501,7.7,375,5.8,317,4.9,31,0.5,363,5.6,502,7.7,106,1.6,1888,29.1,48,0.7,440,6.8,30,0.5,883,13.6,1326,20.4,3839,59.2,34,226
'011902,2001,12,152,4.2,168,4.9,65,20,51,1,0,0,0,0,0.6,0,0,0,0,0.6,8.7,0,0,2.9,3.1,0,0,3.1,0,2843,285,10,375,13.2,1430,50.3,209,7.4,195,6.9,213,7.5,197,6.9,207,7.3,207,7.3,225,7.9,223,7.8,336,11.8,204,7.2,166,5.8,153,5.4,4,0.1,134,4.7,212,7.5,92,3.2,1176,41.4,4,0.1,423,14.9,16,0.6,386,13.6,345,12.1,1272,44.7,17,80
'011904,2001,0,91,4.8,32,1.5,43,14,8,0,0,6.7,4.4,1,3.1,0,0,0,0,8.2,11.8,0,11.8,3.8,4.2,0,3,3.6,20,1871,48,2.6,207,11.1,811,43.3,124,6.6,139,7.4,143,7.6,145,7.7,132,7.1,126,6.7,161,8.6,152,8.1,182,9.7,121,6.5,98,5.2,91,4.9,2,0.1,16,0.9,175,9.4,80,4.3,328,17.5,6,0.3,51,2.7,7,0.4,315,16.8,448,23.9,1323,70.7,16,69
'011905,2001,.,.,8,13,5.5,2,.,.,.,.,0,0,0,0,0,0,0,.,0,0,100,0,0,0,0,0,.,0,234,56,23.9,7,3,124,53,28,12,28,12,25,10.7,26,11.1,20,8.5,23,9.8,14,6,20,8.5,0,0,0,0,0,0,0,0,0,0,17,7.3,26,11.1,24,10.3,88,37.6,0,0,56,23.9,2,0.9,19,8.1,0,0,137,58.5,.,.
'012901,2001,0,38,0,3,0.4,0,1,2,0,0,5,2.1,0,0,0,0,2,0,3.1,0,0,0,0,0,0,0,0,0,726,11,1.5,45,6.2,366,50.4,43,5.9,48,6.6,57,7.9,60,8.3,57,7.9,68,9.4,56,7.7,61,8.4,56,7.7,60,8.3,47,6.5,58,8,11,1.5,36,5,44,6.1,0,0,109,15,0,0,16,2.2,2,0.3,113,15.6,193,26.6,570,78.5,3,35
'013901,2001,0,254,0.2,21,0.5,4,8,159,0,3,7.2,8,3,1.9,0.8,1.7,2.2,2.5,1.3,23.2,2.4,6.8,2,0,0,1.9,7.9,3.8,3933,69,1.8,149,3.8,2501,63.6,306,7.8,321,8.2,302,7.7,304,7.7,267,6.8,298,7.6,295,7.5,338,8.6,392,10,268,6.8,289,7.3,251,6.4,4,0.1,232,5.9,246,6.3,52,1.3,2821,71.7,5,0.1,75,1.9,20,0.5,453,11.5,1138,28.9,938,23.8,20,84
'013902,2001,.,.,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,12.5,.,0,0,0,0,0,0,0,0,120,3,2.5,0,0,63,52.5,12,10,12,10,10,8.3,10,8.3,14,11.7,13,10.8,13,10.8,14,11.7,0,0,0,0,0,0,0,0,0,0,7,5.8,17,14.2,5,4.2,70,58.3,3,2.5,2,1.7,0,0,17,14.2,13,10.8,47,39.2,.,.
'013903,2001,0,41,0,7,1.4,0,0,18,0,0,4.2,0,5,3.4,0,0,3.6,0,6.7,40,0,16.7,0,20,0,0,0,20,410,2,0.5,2,0.5,250,61,21,5.1,22,5.4,21,5.1,24,5.9,36,8.8,23,5.6,44,10.7,37,9,36,8.8,39,9.5,43,10.5,37,9,0,0,48,11.7,27,6.6,0,0,165,40.2,0,0,2,0.5,0,0,71,17.3,158,38.5,243,59.3,7,23
'013905,2001,0,49,0,11,1.4,0,3,27,0,0,0,2.1,8.8,7.8,0,0,0,2.7,2.5,25,0,0,0,0,0,0,6.7,16.7,689,26,3.8,5,0.7,396,57.5,50,7.3,39,5.7,59,8.6,54,7.8,58,8.4,44,6.4,37,5.4,64,9.3,64,9.3,46,6.7,60,8.7,64,9.3,0,0,82,11.9,38,5.5,12,1.7,413,59.9,0,0,26,3.8,0,0,109,15.8,179,26,271,39.3,3,19
'014801,2001,0,27,17.2,91,23.6,54,11,6,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,35,35,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,38,38,23,23,28,28,0,0,0,0,0,0,0,0,21,21,1,1,0,0,5,5,1,1,0,0,38,38,0,10
'014802,2001,0,31,1,52,18.8,2,9,6,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,0,0,20,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12.3,23,31.5,20,27.4,21,28.8,0,0,0,0,0,0,0,0,18,24.7,0,0,0,0,2,2.7,1,1.4,16,21.9,33,45.2,2,14
'014803,2001,.,.,0,11,9.3,0,.,.,.,.,0,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,.,.,89,0,0,34,38.2,47,52.8,5,5.6,5,5.6,9,10.1,9,10.1,12,13.5,7,7.9,10,11.2,9,10.1,8,9,0,0,0,0,0,0,0,0,0,0,9,10.1,6,6.7,15,16.9,1,1.1,0,0,0,0,23,25.8,0,0,39,43.8,.,.
'014901,2001,0,76,1.8,10,0.9,10,0,6,0,0,8.3,0,0,0,0,0,1.5,1.8,2.4,20,7.7,0,0,5,0,0,0,10,924,5,0.5,8,0.9,212,22.9,62,6.7,65,7,52,5.6,65,7,62,6.7,75,8.1,87,9.4,86,9.3,86,9.3,82,8.9,85,9.2,58,6.3,0,0,105,11.4,59,6.4,0,0,113,12.2,2,0.2,5,0.5,2,0.2,180,19.5,235,25.4,799,86.5,12,70
'014902,2001,0,39,4.2,31,4.8,13,10,10,0,0,11.5,3.6,0,12.9,3.7,0,0,0,10.3,42.9,0,0,0,0,0,0,0,16.7,551,43,7.8,95,17.2,331,60.1,40,7.3,30,5.4,32,5.8,44,8,36,6.5,34,6.2,41,7.4,46,8.3,68,12.3,41,7.4,36,6.5,33,6,0,0,48,8.7,35,6.4,35,6.4,225,40.8,1,0.2,43,7.8,0,0,95,17.2,124,22.5,230,41.7,9,19
'014903,2001,0,460,0.2,10,0.1,5,12,70,4,5,4.3,3,0.7,0.5,0.7,1.6,0.5,0.9,3.4,11.5,2.4,2.2,2.7,4.7,0,1.1,1.5,8.6,6608,366,5.5,345,5.2,2775,42,447,6.8,489,7.4,517,7.8,498,7.5,533,8.1,513,7.8,525,7.9,509,7.7,582,8.8,507,7.7,464,7,391,5.9,28,0.4,575,8.7,423,6.4,182,2.8,1600,24.2,59,0.9,332,5,44,0.7,1011,15.3,1496,22.6,4560,69,30,369
'014905,2001,0,38,0,3,0.5,0,1,4,0,1,0,0,0,0,0,0,0,0,3.8,0,.,22.2,0,0,0,0,0,100,459,8,1.7,14,3.1,198,43.1,29,6.3,28,6.1,26,5.7,36,7.8,38,8.3,30,6.5,21,4.6,44,9.6,38,8.3,32,7,47,10.2,44,9.6,11,2.4,38,8.3,35,7.6,0,0,79,17.2,1,0.2,8,1.7,4,0.9,69,15,189,41.2,361,78.6,6,32
'014906,2001,0,1293,0.1,8,0,15,509,226,9,93,5,2.6,2,2.2,1.3,2.8,4.1,4.4,1.4,17.1,6.8,3.4,2.6,9.3,2.4,4.7,4.3,8.8,29687,757,2.5,11974,40.3,14580,49.1,2705,9.1,2633,8.9,2425,8.2,2426,8.2,2464,8.3,2295,7.7,2046,6.9,2108,7.1,1972,6.6,1769,6,1639,5.5,1423,4.8,98,0.3,2287,7.7,2520,8.5,1164,3.9,5106,17.2,190,0.6,1266,4.3,1257,4.2,3637,12.3,3875,13.1,11160,37.6,106,456
'014907,2001,0,53,3.1,4,0.4,14,1,11,0,0,10.5,2.8,0,0,0,0,0,0,2.9,12.5,0,7.7,0,0,0,0,0,16.7,834,18,2.2,17,2,314,37.6,58,7,59,7.1,44,5.3,68,8.2,55,6.6,63,7.6,64,7.7,83,10,78,9.4,80,9.6,53,6.4,60,7.2,0,0,86,10.3,57,6.8,12,1.4,134,16.1,0,0,15,1.8,0,0,141,16.9,228,27.3,683,81.9,9,41
'014908,2001,0,79,4.1,0,0,21,0,8,1,1,1.5,1.5,0,1.9,0,0,0,0,3.6,0,0,0,0,0,0,0,0,50,967,31,3.2,4,0.4,171,17.7,60,6.2,79,8.2,72,7.4,73,7.5,63,6.5,96,9.9,75,7.8,83,8.6,85,8.8,76,7.9,72,7.4,63,6.5,0,0,94,9.7,53,5.5,17,1.8,138,14.3,3,0.3,31,3.2,6,0.6,92,9.5,242,25,816,84.4,8,69
'014909,2001,0,415,0.4,21,0.2,14,87,85,0,8,4.9,1.9,0.4,0.7,0.2,0.2,1.4,0.8,5.3,10.6,4.3,3.6,0,2.4,0,0.7,2.8,12.7,8450,360,4.3,2405,28.5,4270,50.5,697,8.2,638,7.6,659,7.8,668,7.9,668,7.9,630,7.5,636,7.5,638,7.6,862,10.2,598,7.1,471,5.6,367,4.3,25,0.3,561,6.6,649,7.7,244,2.9,2040,24.1,15,0.2,502,5.9,123,1.5,1391,16.5,1621,19.2,3867,45.8,50,235
'014910,2001,0,72,0.2,17,1.2,1,0,11,0,0,26.2,0,0,1.3,0,1.5,3.9,2.3,1.4,13.3,0,0,0,0,4.2,0,0,0,1276,11,0.9,19,1.5,442,34.6,111,8.7,69,5.4,101,7.9,91,7.1,101,7.9,110,8.6,98,7.7,107,8.4,124,9.7,90,7.1,91,7.1,76,6,8,0.6,102,8,75,5.9,24,1.9,260,20.4,10,0.8,11,0.9,2,0.2,214,16.8,300,23.5,985,77.2,6,61
'015801,2001,0,25,1.8,26,5.3,7,0,23,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,183,0,0,3,1.6,152,83.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,26.8,57,31.1,40,21.9,37,20.2,0,0,0,0,0,0,0,0,172,94,0,0,0,0,1,0.5,10,5.5,117,63.9,7,3.8,0,2
'015802,2001,0,33,1.7,10,2.6,5,18,14,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,184,0,0,83,45.1,143,77.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,27.7,56,30.4,43,23.4,34,18.5,0,0,0,0,0,0,0,0,75,40.8,1,0.5,0,0,2,1.1,20,10.9,58,31.5,23,12.5,1,1
'015803,2001,.,.,0,16,7.8,0,.,.,.,.,11.8,0,0,0,0,7.7,0,.,6.3,.,33.3,0,0,33.3,0,0,.,0,194,0,0,32,16.5,175,90.2,12,6.2,19,9.8,11,5.7,11,5.7,13,6.7,19,9.8,16,8.2,17,8.8,0,0,0,0,0,0,0,0,0,0,0,0,24,12.4,52,26.8,154,79.4,0,0,0,0,1,0.5,19,9.8,0,0,7,3.6,.,.
