DISTRICT,DISTNAME,REGION,DFLCHART,D_RATING,DSUPRATE,DFLYRE,COUNTY,CNTYNAME
'178912,TULOSO-MIDWAY ISD,'02,N,R,NQ,C,'178,NUECES
'178915,WEST OSO ISD,'02,N,A,NQ,N,'178,NUECES
'196901,AUSTWELL-TIVOLI ISD,'03,N,R,AC,N,'196,REFUGIO
'158901,BAY CITY ISD,'03,N,A,NQ,N,'158,MATAGORDA
'235901,BLOOMINGTON ISD,'03,N,A,NQ,N,'235,VICTORIA
'241901,BOLING ISD,'03,N,R,NQ,N,'241,WHARTON
'029901,CALHOUN CO ISD,'03,N,A,NQ,N,'029,CALHOUN
'045902,COLUMBUS ISD,'03,N,A,NQ,N,'045,COLORADO
'062901,CUERO ISD,'03,N,A,NQ,N,'062,DEWITT
'241902,EAST BERNARD ISD,'03,N,R,NQ,N,'241,WHARTON
'120901,EDNA ISD,'03,N,A,NQ,N,'120,JACKSON
'241903,EL CAMPO ISD,'03,N,A,NQ,N,'241,WHARTON
'143906,EZZELL ISD,'03,N,E,NA,N,'143,LAVACA
'128904,FALLS CITY ISD,'03,N,R,NQ,N,'128,KARNES
'120902,GANADO ISD,'03,N,R,NQ,N,'120,JACKSON
'088902,GOLIAD ISD,'03,N,R,NQ,N,'088,GOLIAD
'143901,HALLETTSVILLE ISD,'03,N,A,NQ,N,'143,LAVACA
'120905,INDUSTRIAL ISD,'03,N,R,NQ,N,'120,JACKSON
'128901,KARNES CITY ISD,'03,N,A,NQ,N,'128,KARNES
'128902,KENEDY ISD,'03,N,L,NE,N,'128,KARNES
'241906,LOUISE ISD,'03,N,A,NQ,N,'241,WHARTON
'158904,MATAGORDA ISD,'03,N,A,NA,N,'158,MATAGORDA
'062906,MEYERSVILLE ISD,'03,N,E,NA,N,'062,DEWITT
'143902,MOULTON ISD,'03,N,R,AT,N,'143,LAVACA
'062902,NORDHEIM ISD,'03,N,A,NQ,N,'062,DEWITT
'235904,NURSERY ISD,'03,N,R,NA,N,'235,VICTORIA
'158905,PALACIOS ISD,'03,N,R,NQ,N,'158,MATAGORDA
'196903,REFUGIO ISD,'03,N,A,NQ,N,'196,REFUGIO
'045903,RICE CONS ISD,'03,N,A,NQ,N,'045,COLORADO
'128903,RUNGE ISD,'03,N,A,NQ,N,'128,KARNES
'143903,SHINER ISD,'03,N,A,NQ,N,'143,LAVACA
'143905,SWEET HOME ISD,'03,N,A,NA,N,'143,LAVACA
'158902,TIDEHAVEN ISD,'03,N,R,NQ,N,'158,MATAGORDA
'158906,VAN VLECK ISD,'03,N,A,NQ,N,'158,MATAGORDA
'235902,VICTORIA ISD,'03,N,A,NQ,N,'235,VICTORIA
'143904,VYSEHRAD ISD,'03,N,E,NA,N,'143,LAVACA
'045905,WEIMAR ISD,'03,N,A,NQ,N,'045,COLORADO
'062905,WESTHOFF ISD,'03,N,E,NA,N,'062,DEWITT
'241904,WHARTON ISD,'03,N,A,NQ,N,'241,WHARTON
'196902,WOODSBORO ISD,'03,N,A,NQ,N,'196,REFUGIO
'062903,YOAKUM ISD,'03,N,A,NQ,N,'062,DEWITT
'062904,YORKTOWN ISD,'03,N,A,NQ,N,'062,DEWITT
'101902,ALDINE ISD,'04,N,R,NQ,P,'101,HARRIS
'101903,ALIEF ISD,'04,N,A,NQ,N,'101,HARRIS
'020901,ALVIN ISD,'04,N,R,NQ,N,'020,BRAZORIA
'036901,ANAHUAC ISD,'04,N,L,NE,N,'036,CHAMBERS
'020902,ANGLETON ISD,'04,N,R,NQ,N,'020,BRAZORIA
'036902,BARBERS HILL ISD,'04,N,R,NQ,N,'036,CHAMBERS
'020905,BRAZOSPORT ISD,'04,N,E,NQ,P,'020,BRAZORIA
'101905,CHANNELVIEW ISD,'04,N,A,NQ,N,'101,HARRIS
'084910,CLEAR CREEK ISD,'04,N,R,NQ,P,'084,GALVESTON
'146901,CLEVELAND ISD,'04,N,A,NQ,N,'146,LIBERTY
'020907,COLUMBIA-BRAZORIA ISD,'04,N,A,NQ,N,'020,BRAZORIA
'101906,CROSBY ISD,'04,N,A,NQ,N,'101,HARRIS
'101907,CYPRESS-FAIRBANKS ISD,'04,N,A,NQ,N,'101,HARRIS
'020910,DAMON ISD,'04,N,R,NA,N,'020,BRAZORIA
'020904,DANBURY ISD,'04,N,R,NQ,N,'020,BRAZORIA
