DISTRICT,YEAR,DA0GH06N,DA0GH06P,DA0GM06N,DA0GM06P,DA0GR06N,DA0GR06P,DAPID07N,DAPID07R,DAUND06C,DAUND06R,DB0GR06N,DB0GR06P,DH0GR06N,DH0GR06P,DI0GR06N,DI0GR06P,DP0GR06N,DP0GR06P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR06N,DS0GR06P,DW0GR06N,DW0GR06P
'116909,2007,22,62.9,13,37.1,35,100,0,0,4,1.3,4,11.4,1,2.9,1,2.9,0,0,8.3,8.8,0,0,0,0,0,0,7.3,0,0,0,0,0,0,10,0,16.7,618,20,3.2,53,8.6,5,0.7,328,53.1,63,10.2,40,6.5,34,5.5,45,7.3,47,7.6,45,7.3,44,7.1,43,7,46,7.4,41,6.6,39,6.3,41,6.6,0,0,52,8.4,63,10.2,27,4.4,45,7.3,5,0.8,20,3.2,2,0.3,168,27.2,78,12.6,199,32.2,513,83,10,28.6,29,82.9
'116910,2007,15,62.5,9,37.5,24,100,0,0,15,7.2,0,0,1,4.2,0,0,0,0,0,0,4.3,0,4.3,0,0,0,3.3,0,0,.,0,0,0,0,0,.,376,9,2.4,9,2.4,8,1.9,158,42,32,8.5,22,5.9,24,6.4,24,6.4,25,6.6,26,6.9,29,7.7,31,8.2,25,6.6,32,8.5,23,6.1,31,8.2,0,0,32,8.5,20,5.3,32,8.5,30,8,3,0.8,10,2.7,2,0.5,100,26.6,45,12,103,27.4,332,88.3,7,29.2,23,95.8
'116915,2007,29,80.6,7,19.4,36,100,0,0,7,2.4,0,0,2,5.6,1,2.8,0,0,2.9,3.6,0,0,0,0,0,0,2.7,16.7,0,0,0,0,0,0,0,0,558,46,8.2,14,2.5,6,1,218,39.1,40,7.2,37,6.6,26,4.7,40,7.2,43,7.7,43,7.7,55,9.9,56,10,44,7.9,38,6.8,45,8.1,33,5.9,1,0.2,50,9,36,6.5,21,3.8,118,21.1,3,0.5,49,8.8,1,0.2,167,29.9,80,14.3,115,20.6,422,75.6,5,13.9,33,91.7
'116916,2007,28,66.7,14,33.3,42,100,0,0,1,0.3,0,0,3,7.1,2,4.8,0,0,6.9,0,0,0,3.7,0,3.3,0,3.4,25,0,0,14.3,0,0,0,0,0,500,0,0,17,3.4,12,2.1,222,44.4,33,6.6,33,6.6,32,6.4,32,6.4,39,7.8,36,7.2,42,8.4,44,8.8,47,9.4,40,8,41,8.2,41,8.2,0,0,58,11.6,24,4.8,16,3.2,31,6.2,14,2.8,0,0,4,0.8,178,35.6,71,14.2,161,32.2,434,86.8,8,19,37,88.1
'117901,2007,114,72.2,44,27.8,158,100,0,0,45,3.2,5,3.2,44,27.8,1,0.6,3,1.9,7.8,0.6,0.6,1.4,5.1,0.6,0.7,1.3,6.9,7.1,4.3,0,2.8,0,2.3,4.1,4.8,20,2871,183,6.4,152,5.3,85,2.7,1246,43.4,212,7.4,217,7.6,209,7.3,211,7.3,185,6.4,201,7,222,7.7,207,7.2,206,7.2,220,7.7,207,7.2,188,6.5,4,0.1,136,4.7,200,7,182,6.3,925,32.2,23,0.8,235,8.2,9,0.3,1251,43.6,380,13.2,626,21.8,1762,61.4,28,17.7,105,66.5
'117903,2007,41,66.1,21,33.9,62,100,0,0,6,1.3,0,0,3,4.8,2,3.2,0,0,7.1,0,0,2.4,0,0,2.1,5.6,11.8,10,0,0,0,0,0,0,0,33.3,902,0,0,13,1.4,4,0.4,311,34.5,55,6.1,49,5.4,74,8.2,71,7.9,56,6.2,59,6.5,69,7.6,68,7.5,72,8,81,9,57,6.3,65,7.2,8,0.9,45,5,80,8.9,38,4.2,60,6.7,11,1.2,0,0,2,0.2,357,39.6,119,13.2,164,18.2,816,90.5,12,19.4,57,91.9
'117904,2007,42,80.8,10,19.2,52,100,0,0,2,0.6,0,0,5,9.6,0,0,0,0,6.7,0,0,0,0,0,0,0,5.3,0,10,0,0,0,0,0,28.6,0,616,3,0.5,4,0.6,0,0,310,50.3,40,6.5,34,5.5,37,6,48,7.8,34,5.5,37,6,47,7.6,43,7,40,6.5,56,9.1,49,8,55,8.9,1,0.2,21,3.4,31,5,64,10.4,64,10.4,25,4.1,3,0.5,1,0.2,161,26.1,95,15.4,109,17.7,522,84.7,9,17.3,47,90.4
'117907,2007,0,.,0,.,0,.,0,0,0,.,0,.,0,.,0,.,0,.,0,0,0,0,11.1,0,.,.,0,0,0,0,0,.,.,.,.,.,95,8,8.4,2,2.1,0,0,58,61.1,16,16.8,17,17.9,17,17.9,17,17.9,11,11.6,8,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.5,9,9.5,0,0,23,24.2,1,1.1,7,7.4,0,0,41,43.2,9,9.5,0,0,69,72.6,0,.,0,.
'118902,2007,19,67.9,9,32.1,28,100,0,0,0,0,3,10.7,4,14.3,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,3,0.8,11,3.1,7,1.7,153,43.2,25,7.1,24,6.8,16,4.5,30,8.5,25,7.1,24,6.8,32,9,34,9.6,36,10.2,40,11.3,29,8.2,22,6.2,1,0.3,26,7.3,16,4.5,0,0,108,30.5,0,0,3,0.8,1,0.3,115,32.5,36,10.2,165,46.6,234,66.1,3,10.7,21,75
'119901,2007,17,89.5,2,10.5,19,100,0,0,0,0,0,0,1,5.3,0,0,0,0,0,0,0,0,7.1,0,0,0,20,0,0,0,0,50,0,0,0,14.3,255,0,0,5,2,2,0.6,134,52.5,15,5.9,21,8.2,24,9.4,17,6.7,19,7.5,14,5.5,15,5.9,15,5.9,21,8.2,21,8.2,18,7.1,16,6.3,0,0,23,9,23,9,16,6.3,25,9.8,1,0.4,0,0,0,0,75,29.4,30,11.8,74,29,224,87.8,2,10.5,18,94.7
