DISTRICT,YEAR,DA0GH06N,DA0GH06P,DA0GM06N,DA0GM06P,DA0GR06N,DA0GR06P,DAPID07N,DAPID07R,DAUND06C,DAUND06R,DB0GR06N,DB0GR06P,DH0GR06N,DH0GR06P,DI0GR06N,DI0GR06P,DP0GR06N,DP0GR06P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR06N,DS0GR06P,DW0GR06N,DW0GR06P
'001902,2007,16,59.3,11,40.7,27,100,1,0.2,0,0,5,18.5,2,7.4,0,0,0,0,8.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,569,5,0.9,66,11.6,2,0.3,211,37.1,43,7.6,48,8.4,35,6.2,48,8.4,45,7.9,44,7.7,44,7.7,45,7.9,53,9.3,37,6.5,28,4.9,47,8.3,4,0.7,68,12,48,8.4,0,0,29,5.1,0,0,5,0.9,4,0.7,154,27.1,92,16.2,155,27.2,470,82.6,1,3.7,20,74.1
'001903,2007,44,54.3,37,45.7,81,100,0,0,3,0.5,5,6.2,1,1.2,0,0,0,0,8.1,6.3,0,1.5,0,2.7,1.5,0,3.5,8.3,0,0,0,0,0,0,0,23.1,1319,9,0.7,112,8.5,17,1.1,658,49.9,100,7.6,104,7.9,73,5.5,77,5.8,92,7,108,8.2,91,6.9,88,6.7,108,8.2,95,7.2,81,6.1,77,5.8,0,0,58,4.4,93,7.1,132,10,76,5.8,3,0.2,9,0.7,5,0.4,476,36.1,189,14.3,307,23.3,1123,85.1,15,18.5,75,92.6
'001904,2007,44,72.1,17,27.9,61,100,1,0.1,9,2.1,5,8.2,3,4.9,0,0,1,1.6,4.8,0,2.4,0,4.3,2.1,1.9,3.1,0,0,0,0,0,0,0,0,0,12.5,789,35,4.4,111,14.1,10,1.1,423,53.6,60,7.6,50,6.3,54,6.8,51,6.5,56,7.1,54,6.8,69,8.7,65,8.2,81,10.3,58,7.4,60,7.6,49,6.2,2,0.3,62,7.9,60,7.6,20,2.5,61,7.7,0,0,35,4.4,6,0.8,325,41.2,113,14.3,273,34.6,611,77.4,11,18,52,85.2
'001906,2007,17,77.3,5,22.7,22,100,0,0,0,0,1,4.5,0,0,0,0,0,0,12,0,0,0,5.9,0,0,0,7.4,25,0,0,0,20,0,0,0,0,352,0,0,34,9.7,9,2.4,127,36.1,36,10.2,26,7.4,32,9.1,28,8,34,9.7,23,6.5,20,5.7,22,6.3,35,9.9,30,8.5,16,4.5,15,4.3,1,0.3,17,4.8,34,9.7,0,0,17,4.8,0,0,0,0,3,0.9,125,35.5,64,18.2,120,34.1,298,84.7,4,18.2,21,95.5
'001907,2007,150,80.2,37,19.8,187,100,14,0.4,33,1.8,43,23,43,23,2,1.1,1,0.5,10.8,3.5,2.8,0.9,0.4,3.7,9.2,2.9,0.4,13.6,0,0,0,6.3,3.8,0,0,23.5,3405,317,9.3,996,29.3,89,2.2,2217,65.1,308,9,261,7.7,243,7.1,260,7.6,231,6.8,262,7.7,221,6.5,237,7,297,8.7,191,5.6,238,7,199,5.8,6,0.2,145,4.3,276,8.1,175,5.1,1062,31.2,6,0.2,331,9.7,30,0.9,1836,53.9,327,9.6,941,27.6,1311,38.5,24,12.8,98,52.4
'001908,2007,55,50.5,54,49.5,109,100,1,0.1,0,0,17,15.6,6,5.5,0,0,1,0.9,10,4.3,4,1.1,10.7,1.7,0,0,10,6.3,9.1,6.3,0,5.3,0,4.2,0,7.1,1759,51,2.9,309,17.6,38,1.9,882,50.1,152,8.6,143,8.1,121,6.9,135,7.7,111,6.3,130,7.4,154,8.8,118,6.7,122,6.9,146,8.3,118,6.7,119,6.8,5,0.3,86,4.9,139,7.9,46,2.6,247,14,3,0.2,56,3.2,12,0.7,758,43.1,247,14,545,31,1188,67.5,27,24.8,85,78
'001909,2007,10,45.5,12,54.5,22,100,4,0.9,1,0.5,1,4.5,0,0,0,0,0,0,0,0,4.3,0,0,7.4,5.3,0,0,42.9,0,0,0,0,0,25,0,0,402,2,0.5,2,0.5,4,0.9,237,59,32,8,33,8.2,32,8,29,7.2,34,8.5,30,7.5,30,7.5,22,5.5,28,7,26,6.5,22,5.5,25,6.2,0,0,34,8.5,28,7,31,7.7,21,5.2,1,0.2,2,0.5,0,0,42,10.4,70,17.4,130,32.3,378,94,6,27.3,21,95.5
'002901,2007,123,68,58,32,181,100,0,0,0,0,3,1.7,80,44.2,0,0,1,0.6,6.5,1.7,1.2,0,2.5,0,1.8,0.6,6.5,21.1,3.4,0,0,0,0,0,0,21.2,2973,189,6.4,64,2.2,81,2.6,1365,45.9,206,6.9,202,6.8,218,7.3,222,7.5,207,7,195,6.6,215,7.2,211,7.1,241,8.1,215,7.2,240,8.1,229,7.7,26,0.9,176,5.9,235,7.9,111,3.7,1759,59.2,9,0.3,250,8.4,19,0.6,1277,43,453,15.2,516,17.4,1122,37.7,21,11.6,97,53.6
'003801,2007,0,.,0,.,0,.,0,0,1,3.2,0,.,0,.,0,.,0,.,4.5,8.3,6.9,0,18.2,5.9,15.4,0,10.7,16.7,50,0,0,0,0,50,0,50,263,1,0.4,62,23.6,0,0,145,55.1,43,16.3,33,12.5,40,15.2,35,13.3,21,8,18,6.8,18,6.8,13,4.9,0,0,0,0,0,0,0,0,0,0,0,0,42,16,0,0,25,9.5,0,0,1,0.4,4,1.5,66,25.1,34,12.9,0,0,172,65.4,0,.,0,.
'003902,2007,98,71,40,29,138,100,0,0,0,0,4,2.9,24,17.4,0,0,1,0.7,8,4.3,1.8,0.6,1.4,4,0.6,1.3,3.8,47.6,5.3,6.3,3.2,4.8,3.1,9.5,11.5,37.5,2412,127,5.3,117,4.9,44,1.6,1282,53.2,208,8.6,189,7.8,176,7.3,180,7.5,191,7.9,175,7.3,177,7.3,192,8,190,7.9,169,7,174,7.2,132,5.5,5,0.2,130,5.4,180,7.5,74,3.1,475,19.7,11,0.5,140,5.8,19,0.8,730,30.3,260,10.8,576,23.9,1790,74.2,14,10.1,109,79
'003903,2007,375,76.5,115,23.5,490,100,24,0.3,0,0,169,34.5,105,21.4,1,0.2,8,1.6,8.4,4,4.6,2.4,1.1,0.9,0,0.4,6.2,4.6,5.4,0,0,0,0,0.8,0.9,7.3,8601,1530,17.8,2625,30.5,316,3.3,5591,65,670,7.8,651,7.6,593,6.9,589,6.8,578,6.7,583,6.8,543,6.3,612,7.1,666,7.7,629,7.3,608,7.1,506,5.9,15,0.2,786,9.1,665,7.7,693,8.1,2713,31.5,9,0.1,1275,14.8,88,1,4421,51.4,1189,13.8,1691,19.7,3166,36.8,89,18.2,207,42.2
'003904,2007,63,48.8,66,51.2,129,100,0,0,0,0,5,3.9,2,1.6,0,0,0,0,3.4,5.3,0.9,0,0,0,0.9,0,4.3,0,0,0,0,0,0,0,0,36.4,1706,15,0.9,43,2.5,36,1.9,793,46.5,136,8,132,7.7,136,8,128,7.5,142,8.3,100,5.9,136,8,125,7.3,146,8.6,128,7.5,114,6.7,125,7.3,0,0,112,6.6,117,6.9,41,2.4,64,3.8,3,0.2,15,0.9,5,0.3,630,36.9,221,13,477,28,1591,93.3,28,21.7,122,94.6
'003905,2007,92,82.1,20,17.9,112,100,1,0,1,0.1,16,14.3,50,44.6,0,0,0,0,7.2,0.8,1.7,0.9,3.3,0,0,0.9,6.3,30,11.8,8.3,0,0,0,0,0,13.3,1866,309,16.6,277,14.8,28,1.4,1316,70.5,143,7.7,148,7.9,146,7.8,135,7.2,127,6.8,124,6.6,133,7.1,139,7.4,126,6.8,144,7.7,117,6.3,131,7,0,0,75,4,140,7.5,113,6.1,895,48,6,0.3,352,18.9,4,0.2,980,52.5,201,10.8,404,21.7,684,36.7,15,13.4,46,41.1
'003906,2007,24,88.9,3,11.1,27,100,0,0,0,0,0,0,0,0,0,0,0,0,11.5,2.6,0,3.7,0,3.6,0,0,0,16.7,0,0,16.7,0,0,9.1,0,16.7,479,0,0,1,0.2,7,1.2,260,54.3,40,8.4,29,6.1,42,8.8,46,9.6,27,5.6,38,7.9,38,7.9,27,5.6,36,7.5,32,6.7,33,6.9,30,6.3,0,0,24,5,35,7.3,26,5.4,6,1.3,0,0,0,0,0,0,199,41.5,84,17.5,148,30.9,472,98.5,5,18.5,27,100
'003907,2007,58,53.2,51,46.8,109,100,0,0,0,0,4,3.7,6,5.5,1,0.9,0,0,3.5,1,0,0,1.1,1,0,1,1.9,10,0,4.8,0,3.6,0,3,6.9,33.3,1632,48,2.9,76,4.7,18,1,700,42.9,117,7.2,121,7.4,118,7.2,109,6.7,124,7.6,125,7.7,145,8.9,136,8.3,137,8.4,138,8.5,118,7.2,106,6.5,1,0.1,78,4.8,101,6.2,36,2.2,183,11.2,6,0.4,60,3.7,12,0.7,587,36,300,18.4,460,28.2,1355,83,21,19.3,98,89.9
'004901,2007,136,62.1,83,37.9,219,100,0,0,6,0.3,1,0.5,71,32.4,0,0,12,5.5,9.2,4.9,1.1,1.1,1,1.5,0.4,1.3,5.2,4.2,3.8,0,0,2.5,0,2.2,6,14.3,3244,114,3.5,63,1.9,80,2.1,1922,59.2,241,7.4,223,6.9,217,6.7,243,7.5,223,6.9,252,7.8,264,8.1,273,8.4,309,9.5,280,8.6,210,6.5,186,5.7,4,0.1,154,4.7,235,7.2,84,2.6,1170,36.1,12,0.4,117,3.6,118,3.6,1756,54.1,419,12.9,922,28.4,1881,58,25,11.4,135,61.6
'005901,2007,24,47.1,27,52.9,51,100,0,0,3,1.1,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,.,483,2,0.4,1,0.2,5,0.9,167,34.6,29,6,33,6.8,41,8.5,42,8.7,35,7.2,32,6.6,45,9.3,35,7.2,44,9.1,44,9.1,36,7.5,41,8.5,1,0.2,32,6.6,25,5.2,0,0,18,3.7,3,0.6,2,0.4,0,0,170,35.2,65,13.5,138,28.6,461,95.4,6,11.8,51,100
'005902,2007,46,79.3,12,20.7,58,100,1,0.1,2,0.5,0,0,3,5.2,0,0,0,0,0,0,2.1,0,0,1.6,0,0,10.2,0,0,0,0,0,0,0,0,.,837,0,0,5,0.6,16,1.8,210,25.1,52,6.2,63,7.5,52,6.2,60,7.2,62,7.4,70,8.4,67,8,60,7.2,64,7.6,61,7.3,79,9.4,65,7.8,3,0.4,53,6.3,69,8.2,10,1.2,33,3.9,12,1.4,0,0,1,0.1,262,31.3,60,7.2,260,31.1,786,93.9,4,6.9,55,94.8
'005904,2007,27,84.4,5,15.6,32,100,0,0,0,0,0,0,5,15.6,0,0,0,0,2.6,0,3.3,0,0,2.8,0,2.6,3,33.3,0,0,0,0,0,0,0,25,518,72,13.9,0,0,3,0.6,209,40.3,39,7.5,38,7.3,46,8.9,35,6.8,44,8.5,35,6.8,43,8.3,30,5.8,38,7.3,44,8.5,37,7.1,34,6.6,0,0,37,7.1,40,7.7,15,2.9,118,22.8,1,0.2,72,13.9,0,0,221,42.7,49,9.5,131,25.3,399,77,3,9.4,27,84.4
'006902,2007,20,83.3,4,16.7,24,100,0,0,0,0,0,0,1,4.2,0,0,0,0,0,5,0,0,0,2.9,0,0,7.7,0,0,0,0,0,0,0,0,16.7,351,5,1.4,5,1.4,0,0,159,45.3,27,7.7,22,6.3,22,6.3,29,8.3,23,6.6,24,6.8,38,10.8,25,7.1,30,8.5,31,8.8,22,6.3,26,7.4,5,1.4,28,8,27,7.7,0,0,24,6.8,3,0.9,5,1.4,0,0,81,23.1,48,13.7,92,26.2,319,90.9,2,8.3,23,95.8
'007901,2007,19,63.3,11,36.7,30,100,0,0,0,0,0,0,24,80,0,0,0,0,5.3,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,26,4.9,1,0.2,6,1.1,387,73,35,6.6,39,7.4,44,8.3,50,9.4,38,7.2,35,6.6,43,8.1,38,7.2,47,8.9,36,6.8,28,5.3,31,5.8,0,0,29,5.5,51,9.6,15,2.8,442,83.4,0,0,27,5.1,0,0,314,59.2,51,9.6,193,36.4,87,16.4,6,20,6,20
'007902,2007,56,71.8,22,28.2,78,100,0,0,10,1.3,0,0,44,56.4,0,0,0,0,1.9,5.1,2.1,0,6.7,9.4,2.7,0,2.3,40,0,0,0,0,0,0,13.3,0,1247,29,2.3,8,0.6,45,3.1,728,58.4,100,8,105,8.4,93,7.5,105,8.4,83,6.7,74,5.9,90,7.2,88,7.1,118,9.5,87,7,91,7.3,99,7.9,0,0,98,7.9,86,6.9,28,2.2,728,58.4,4,0.3,38,3,4,0.3,553,44.3,126,10.1,340,27.3,503,40.3,10,12.8,34,43.6
'007904,2007,45,64.3,25,35.7,70,100,6,0.3,10,1.4,0,0,46,65.7,1,1.4,0,0,4.3,1.9,5.8,2.1,10.6,0,0,0,1,0,0,0,0,22.2,0,0,0,0,1601,118,7.4,11,0.7,40,2.3,1066,66.6,114,7.1,118,7.4,117,7.3,137,8.6,121,7.6,108,6.7,103,6.4,124,7.7,121,7.6,105,6.6,127,7.9,100,6.2,2,0.1,119,7.4,115,7.2,89,5.6,1202,75.1,1,0.1,127,7.9,2,0.1,871,54.4,123,7.7,513,32,385,24,12,17.1,23,32.9
'007905,2007,131,64.2,73,35.8,204,100,0,0,2,0.1,2,1,119,58.3,0,0,0,0,4.8,2,1.1,0,0,0,0,0.5,0,0,8.7,0,0,0,0,5.3,3.4,0,3468,92,2.7,10,0.3,128,3.3,2192,63.2,269,7.8,255,7.4,261,7.5,287,8.3,258,7.4,239,6.9,269,7.8,273,7.9,306,8.8,240,6.9,272,7.8,171,4.9,3,0.1,239,6.9,256,7.4,109,3.1,2301,66.3,2,0.1,94,2.7,14,0.4,1710,49.3,429,12.4,567,16.3,1141,32.9,37,18.1,83,40.7
'007906,2007,78,68.4,36,31.6,114,100,2,0.1,4,0.5,1,0.9,95,83.3,0,0,2,1.8,2.5,12.1,0,1.8,2.9,2.7,0.9,2.6,5.2,0,0,0,0,0,0,0,0,33.3,1694,83,4.9,7,0.4,51,2.7,1260,74.4,120,7.1,139,8.2,120,7.1,115,6.8,133,7.9,137,8.1,125,7.4,120,7.1,150,8.9,128,7.6,119,7,110,6.5,1,0.1,90,5.3,124,7.3,53,3.1,1424,84.1,4,0.2,88,5.2,2,0.1,1072,63.3,170,10,358,21.1,257,15.2,20,17.5,16,14
'008901,2007,118,76.1,37,23.9,155,100,0,0,1,0.1,19,12.3,11,7.1,0,0,0,0,3.6,8.3,2.5,0,0,2.2,1.5,0.7,10.4,0,0,0,0,0,3,0,0,23.1,2182,152,7,286,13.1,20,0.9,764,35,134,6.1,164,7.5,153,7,142,6.5,145,6.6,176,8.1,173,7.9,167,7.7,177,8.1,193,8.8,168,7.7,177,8.1,2,0.1,298,13.7,161,7.4,50,2.3,438,20.1,3,0.1,157,7.2,7,0.3,879,40.3,298,13.7,565,25.9,1448,66.4,24,15.5,125,80.6
'008902,2007,125,80.6,30,19.4,155,100,1,0,26,2.1,23,14.8,39,25.2,0,0,1,0.6,5.4,2.1,3.8,0,4,0.7,0,0,1,0,5.3,3.7,0,2.2,0,5,0,0,2586,274,10.6,359,13.9,35,1.2,1290,49.9,231,8.9,205,7.9,203,7.8,179,6.9,204,7.9,195,7.5,173,6.7,217,8.4,215,8.3,170,6.6,172,6.7,161,6.2,7,0.3,213,8.2,187,7.2,67,2.6,964,37.3,3,0.1,278,10.8,12,0.5,1294,50,361,14,708,27.4,1248,48.3,26,16.8,92,59.4
'008903,2007,31,67.4,15,32.6,46,100,0,0,0,0,5,10.9,15,32.6,0,0,0,0,3.3,1.7,12.5,6.7,0,2.1,4.7,0,3.7,25,0,25,0,0,0,4.5,0,60,828,60,7.2,126,15.2,22,2.3,372,44.9,54,6.5,67,8.1,68,8.2,51,6.2,51,6.2,67,8.1,61,7.4,56,6.8,64,7.7,77,9.3,75,9.1,65,7.9,0,0,44,5.3,50,6,22,2.7,319,38.5,0,0,65,7.9,3,0.4,350,42.3,113,13.6,181,21.9,380,45.9,9,19.6,26,56.5
'009901,2007,67,82.7,14,17.3,81,100,0,0,1,0.2,1,1.2,52,64.2,0,0,0,0,5.3,3.5,3.1,1.2,1,0,1.2,0,3.9,22.2,0,5,5.9,7.1,0,0,7.7,6.3,1490,230,15.4,9,0.6,45,2.7,1121,75.2,123,8.3,106,7.1,108,7.2,118,7.9,103,6.9,115,7.7,108,7.2,111,7.4,98,6.6,88,5.9,96,6.4,80,5.4,8,0.5,89,6,144,9.7,84,5.6,1073,72,2,0.1,247,16.6,2,0.1,782,52.5,202,13.6,203,13.6,404,27.1,10,12.3,28,34.6
'010901,2007,10,43.5,13,56.5,23,100,0,0,0,0,2,8.7,2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,12.5,0,0,50,347,12,3.5,13,3.7,9,2.4,173,49.9,20,5.8,19,5.5,33,9.5,23,6.6,28,8.1,22,6.3,34,9.8,28,8.1,36,10.4,22,6.3,30,8.6,23,6.6,1,0.3,11,3.2,28,8.1,0,0,56,16.1,3,0.9,12,3.5,0,0,139,40.1,85,24.5,89,25.6,275,79.3,11,47.8,19,82.6
'010902,2007,111,70.3,47,29.7,158,100,1,0,17,1.2,1,0.6,25,15.8,2,1.3,4,2.5,5.5,2.2,2.5,0,1.3,2.9,0.6,1.2,1.4,9.7,7.4,6.7,3.8,0,0,0,3.4,25,2534,89,3.5,7,0.3,53,1.9,1172,46.3,172,6.8,178,7,169,6.7,151,6,179,7.1,191,7.5,180,7.1,204,8.1,232,9.2,224,8.8,210,8.3,181,7.1,12,0.5,261,10.3,169,6.7,82,3.2,589,23.2,16,0.6,90,3.6,9,0.4,1135,44.8,339,13.4,750,29.6,1913,75.5,12,7.6,126,79.7
'011901,2007,358,77.8,102,22.2,460,100,0,0,5,0.1,60,13,131,28.5,0,0,4,0.9,5,2.3,2.5,1.3,1.2,0.2,2.4,3.2,4.6,9.9,3.1,3,0,0,0,1.2,3.4,20.3,8155,773,9.5,783,9.6,275,3.1,4394,53.9,632,7.7,642,7.9,652,8,598,7.3,600,7.4,631,7.7,586,7.2,606,7.4,684,8.4,621,7.6,534,6.5,466,5.7,14,0.2,971,11.9,613,7.5,276,3.4,3227,39.6,40,0.5,975,12,58,0.7,3995,49,1094,13.4,1698,20.8,4047,49.6,56,12.2,265,57.6
'011902,2007,132,70.6,55,29.4,187,100,34,0.9,31,1.9,22,11.8,71,38,2,1.1,1,0.5,2.1,1.9,2.6,1.5,1.6,3.6,0,0.5,0,16.7,9.7,2.9,5.9,3.2,0,0,9.3,15,3556,573,16.1,537,15.1,150,4,2158,60.7,301,8.5,264,7.4,263,7.4,284,8,240,6.7,256,7.2,241,6.8,255,7.2,351,9.9,245,6.9,225,6.3,194,5.5,12,0.3,162,4.6,282,7.9,143,4,1723,48.5,8,0.2,589,16.6,24,0.7,2050,57.6,403,11.3,755,21.2,1264,35.5,34,18.2,91,48.7
'011904,2007,90,72,35,28,125,100,2,0.1,10,1.1,14,11.2,17,13.6,0,0,0,0,4.9,0,1.9,0,2.1,0,1.8,0,3.2,0,7.7,0,6.3,0,0,0,0,25,1731,63,3.6,173,10,52,2.6,823,47.5,135,7.8,103,6,124,7.2,116,6.7,135,7.8,161,9.3,116,6.7,126,7.3,175,10.1,132,7.6,131,7.6,103,6,7,0.4,82,4.7,113,6.5,54,3.1,336,19.4,2,0.1,68,3.9,9,0.5,569,32.9,211,12.2,367,21.2,1211,70,25,20,94,75.2
'011905,2007,0,.,0,.,0,.,0,0,1,2,0,.,0,.,0,.,0,.,0,0,0,0,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,181,28,15.5,1,0.6,2,0.8,104,57.5,19,10.5,12,6.6,16,8.8,23,12.7,20,11,20,11,17,9.4,16,8.8,0,0,0,0,0,0,0,0,0,0,13,7.2,17,9.4,21,11.6,58,32,0,0,28,15.5,0,0,92,50.8,23,12.7,0,0,122,67.4,0,.,0,.
'012901,2007,31,72.1,12,27.9,43,100,1,0.1,0,0,4,9.3,5,11.6,0,0,0,0,4.8,0,0,0,3,2.8,5.6,0,14.3,0,0,0,0,0,0,0,0,20,628,6,1,25,4,14,2,316,50.3,42,6.7,48,7.6,35,5.6,48,7.6,40,6.4,46,7.3,46,7.3,39,6.2,64,10.2,47,7.5,48,7.6,57,9.1,2,0.3,30,4.8,42,6.7,24,3.8,99,15.8,3,0.5,4,0.6,3,0.5,179,28.5,56,8.9,213,33.9,498,79.3,5,11.6,34,79.1
'013801,2007,0,.,0,.,0,.,0,0,0,0,0,.,0,.,0,.,0,.,0,3.6,0,0,0,0,0,0,0,20,8.3,0,0,0,0,0,0,0,283,0,0,9,3.2,0,0,203,71.7,42,14.8,45,15.9,43,15.2,25,8.8,23,8.1,26,9.2,20,7.1,13,4.6,0,0,0,0,0,0,0,0,0,0,0,0,46,16.3,0,0,220,77.7,0,0,0,0,2,0.7,145,51.2,35,12.4,0,0,52,18.4,0,.,0,.
'013901,2007,172,79.3,45,20.7,217,100,1,0,32,1.7,7,3.2,146,67.3,0,0,2,0.9,7.4,3,4.1,0,1.3,0.9,3.4,1.3,2,15.6,4,0,8,3.3,8.3,5.4,5.6,6.3,3652,74,2,99,2.7,82,2,2541,69.6,290,7.9,281,7.7,256,7,236,6.5,240,6.6,267,7.3,272,7.4,317,8.7,346,9.5,274,7.5,225,6.2,258,7.1,5,0.1,287,7.9,268,7.3,117,3.2,2800,76.7,6,0.2,83,2.3,26,0.7,1830,50.1,347,9.5,825,22.6,721,19.7,12,5.5,62,28.6
'013902,2007,0,.,0,.,0,.,1,0.7,0,0,0,.,0,.,0,.,0,.,13.3,0,0,0,0,0,5.9,9.1,15.4,0,0,.,.,0,.,.,0,0,134,2,1.5,1,0.7,1,0.6,85,63.4,15,11.2,13,9.7,8,6,11,8.2,9,6.7,17,12.7,14,10.4,15,11.2,0,0,0,0,0,0,0,0,0,0,9,6.7,20,14.9,12,9,82,61.2,1,0.7,3,2.2,0,0,44,32.8,7,5.2,0,0,50,37.3,0,.,0,.
'013903,2007,30,93.8,2,6.3,32,100,0,0,0,0,1,3.1,10,31.3,0,0,0,0,12.5,5.6,8.3,5.9,13.6,0,4,0,5.6,25,0,0,0,0,0,0,20,33.3,394,4,1,3,0.8,8,1.9,260,66,28,7.1,23,5.8,25,6.3,23,5.8,26,6.6,25,6.3,39,9.9,28,7.1,37,9.4,32,8.1,33,8.4,24,6.1,0,0,18,4.6,35,8.9,16,4.1,226,57.4,1,0.3,6,1.5,0,0,215,54.6,58,14.7,113,28.7,164,41.6,5,15.6,21,65.6
'013905,2007,41,95.3,2,4.7,43,100,1,0.1,1,0.3,0,0,25,58.1,0,0,0,0,0,3.7,6.7,4.9,0,0,0,1.7,5.9,0,0,0,11.1,0,0,0,0,25,780,29,3.7,28,3.6,4,0.5,532,68.2,53,6.8,50,6.4,64,8.2,51,6.5,48,6.2,59,7.6,62,7.9,52,6.7,76,9.7,70,9,61,7.8,61,7.8,0,0,29,3.7,54,6.9,19,2.4,471,60.4,5,0.6,33,4.2,0,0,424,54.4,92,11.8,231,29.6,276,35.4,6,14,18,41.9
'014801,2007,0,0,43,100,43,100,0,0,2,0.5,17,39.5,9,20.9,0,0,1,2.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,158,0,0,74,46.8,0,0,82,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,20.9,39,24.7,61,38.6,25,15.8,0,0,0,0,0,0,0,0,33,20.9,3,1.9,0,0,3,1.9,135,85.4,17,10.8,50,31.6,45,28.5,3,7,16,37.2
'014802,2007,0,0,39,100,39,100,0,0,12,7.1,18,46.2,4,10.3,1,2.6,2,5.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,0,0,45,54.2,0,0,50,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18.1,30,36.1,25,30.1,13,15.7,0,0,0,0,0,0,0,0,16,19.3,2,2.4,0,0,1,1.2,83,100,13,15.7,19,22.9,19,22.9,3,7.7,14,35.9
'014803,2007,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,100,100,0,0,20,0,.,0,0,0,0,0,0,0,50,91,0,0,58,63.7,0,0,75,82.4,9,9.9,4,4.4,5,5.5,7,7.7,3,3.3,5,5.5,4,4.4,6,6.6,10,11,7,7.7,2,2.2,2,2.2,0,0,0,0,9,9.9,18,19.8,17,18.7,0,0,0,0,1,1.1,33,36.3,15,16.5,0,0,15,16.5,1,100,1,100
'014804,2007,0,0,2,100,2,100,1,0.4,1,0.2,1,50,1,50,0,0,0,0,.,.,.,.,.,.,.,50,.,.,0,.,33.3,0,100,0,0,.,62,0,0,19,30.6,0,0,62,100,0,0,2,3.2,3,4.8,1,1.6,3,4.8,10,16.1,0,0,11,17.7,18,29,8,12.9,5,8.1,1,1.6,0,0,0,0,0,0,0,0,8,12.9,0,0,0,0,0,0,62,100,51,82.3,0,0,35,56.5,1,50,0,0
'014901,2007,43,55.8,34,44.2,77,100,0,0,3,0.6,2,2.6,10,13,0,0,0,0,9.7,4.2,0,0,0,0,0,0,18.6,15.4,0,0,0,0,0,0,0,60,986,11,1.1,10,1,16,1.5,303,30.7,51,5.2,79,8,60,6.1,84,8.5,79,8,69,7,65,6.6,78,7.9,93,9.4,97,9.8,68,6.9,71,7.2,0,0,81,8.2,75,7.6,17,1.7,173,17.5,7,0.7,11,1.1,2,0.2,366,37.1,110,11.2,229,23.2,794,80.5,14,18.2,65,84.4
'014902,2007,13,52,12,48,25,100,4,0.9,13,5.7,4,16,12,48,1,4,0,0,0,0,3.7,0,6.3,0,0,3.7,0,0,0,0,0,0,0,0,0,0,399,33,8.3,53,13.3,24,4.9,288,72.2,26,6.5,29,7.3,29,7.3,24,6,23,5.8,29,7.3,25,6.3,19,4.8,33,8.3,39,9.8,29,7.3,32,8,0,0,19,4.8,26,6.5,36,9,200,50.1,3,0.8,32,8,1,0.3,176,44.1,42,10.5,134,33.6,142,35.6,11,44,8,32
'014903,2007,349,75.2,115,24.8,464,100,0,0,3,0.1,11,2.4,104,22.4,7,1.5,4,0.9,3.8,1.2,1.1,2.3,0.9,0.2,0.6,1,2.9,9.9,9.1,9.3,3.2,2.8,4,1.2,5.4,22.4,7968,527,6.6,572,7.2,137,1.6,3601,45.2,611,7.7,569,7.1,617,7.7,575,7.2,556,7,577,7.2,566,7.1,623,7.8,706,8.9,588,7.4,576,7.2,451,5.7,26,0.3,514,6.5,615,7.7,312,3.9,2220,27.9,94,1.2,574,7.2,84,1.1,3277,41.1,1008,12.7,1359,17.1,4998,62.7,70,15.1,338,72.8
