CAMPUS,YEAR,C200A001212R,C200A001213R,C200AC01212R,C200AC01213R,C200AM01212R,C200AM01213R,C200AR01212R,C200AR01213R,C200AS01212R,C200AS01213R,C200AW01212R,C200AW01213R,C300A001212R,C300A001213R,C300AC01212R,C300AC01213R,C300AM01212R,C300AM01213R,C300AR01212R,C300AR01213R,C300AS01212R,C300AS01213R,C300AW01212R,C300AW01213R,C400A001212R,C400A001213R,C400AC01212R,C400AC01213R,C400AM01212R,C400AM01213R,C400AR01212R,C400AR01213R,C400AS01212R,C400AS01213R,C400AW01212R,C400AW01213R,CA00A001212R,CA00A001213R,CA00AC01212R,CA00AC01213R,CA00AM01212R,CA00AM01213R,CA00AR01212R,CA00AR01213R,CA00AS01212R,CA00AS01213R,CA00AW01212R,CA00AW01213R,CB00A001212R,CB00A001213R,CB00AC01212R,CB00AC01213R,CB00AM01212R,CB00AM01213R,CB00AR01212R,CB00AR01213R,CB00AS01212R,CB00AS01213R,CB00AW01212R,CB00AW01213R,CE00A001212R,CE00A001213R,CE00AC01212R,CE00AC01213R,CE00AM01212R,CE00AM01213R,CE00AR01212R,CE00AR01213R,CE00AS01212R,CE00AS01213R,CE00AW01212R,CE00AW01213R,CF00A001212R,CF00A001213R,CF00AC01212R,CF00AC01213R,CF00AM01212R,CF00AM01213R,CF00AR01212R,CF00AR01213R,CF00AS01212R,CF00AS01213R,CF00AW01212R,CF00AW01213R,CH00A001212R,CH00A001213R,CH00AC01212R,CH00AC01213R,CH00AM01212R,CH00AM01213R,CH00AR01212R,CH00AR01213R,CH00AS01212R,CH00AS01213R,CH00AW01212R,CH00AW01213R,CI00A001212R,CI00A001213R,CI00AC01212R,CI00AC01213R,CI00AM01212R,CI00AM01213R,CI00AR01212R,CI00AR01213R,CI00AS01212R,CI00AS01213R,CI00AW01212R,CI00AW01213R,CL00A001212R,CL00A001213R,CL00AC01212R,CL00AC01213R,CL00AM01212R,CL00AM01213R,CL00AR01212R,CL00AR01213R,CL00AS01212R,CL00AS01213R,CL00AW01212R,CL00AW01213R,CM00A001212R,CM00A001213R,CM00AC01212R,CM00AC01213R,CM00AM01212R,CM00AM01213R,CM00AR01212R,CM00AR01213R,CM00AS01212R,CM00AS01213R,CM00AW01212R,CM00AW01213R,CR00A001212R,CR00A001213R,CR00AC01212R,CR00AC01213R,CR00AM01212R,CR00AM01213R,CR00AR01212R,CR00AR01213R,CR00AS01212R,CR00AS01213R,CR00AW01212R,CR00AW01213R,CS00A001212R,CS00A001213R,CS00AC01212R,CS00AC01213R,CS00AM01212R,CS00AM01213R,CS00AR01212R,CS00AR01213R,CS00AS01212R,CS00AS01213R,CS00AW01212R,CS00AW01213R,CW00A001212R,CW00A001213R,CW00AC01212R,CW00AC01213R,CW00AM01212R,CW00AM01213R,CW00AR01212R,CW00AR01213R,CW00AS01212R,CW00AS01213R,CW00AW01212R,CW00AW01213R
'001902001,13,37,43,-1,33,-1,50,20,50,-1,33,-1,-1,.,14,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,37,40,29,32,35,44,38,51,31,30,65,46,11,26,8,14,0,11,25,56,17,13,-1,33,41,39,35,35,39,37,41,42,29,29,68,51,46,47,38,35,44,53,54,62,31,29,69,54,71,42,60,14,60,43,80,43,60,43,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,34,22,28,29,35,27,40,30,30,60,37,6,18,0,9,7,13,10,29,4,7,-1,33,14,23,0,14,7,8,20,35,13,14,-1,42,39,41,29,34,38,46,39,52,32,29,67,46
'001902041,13,43,40,-1,-1,-1,29,-1,43,-1,-1,.,-1,67,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,38,38,41,36,40,34,42,56,15,2,37,36,41,42,-1,-1,43,25,57,88,-1,-1,-1,-1,29,30,35,20,33,22,31,48,-1,0,23,43,48,41,50,32,49,35,52,65,21,5,58,35,33,17,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,35,32,39,30,33,32,49,9,0,19,38,10,26,15,28,18,26,8,41,-1,-1,0,11,11,34,-1,40,29,35,4,50,-1,-1,-1,-1,37,39,44,38,39,36,41,57,17,2,35,37
'001902103,13,55,53,-1,-1,-1,57,-1,57,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,46,34,19,39,46,44,48,.,.,63,62,56,22,-1,-1,-1,-1,-1,-1,.,.,-1,-1,36,36,18,9,35,40,41,33,.,.,50,56,40,46,26,13,39,47,37,47,.,.,75,67,42,23,-1,-1,-1,30,40,20,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,20,.,.,-1,-1,-1,-1,.,.,.,-1,44,46,40,25,39,44,49,49,.,.,50,58,22,30,-1,-1,17,35,24,26,.,.,-1,60,28,28,-1,-1,7,27,43,36,.,.,60,-1,41,50,32,19,39,48,42,52,.,.,64,68
'001903001,13,33,16,-1,25,-1,13,-1,13,-1,13,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,21,29,6,23,27,32,28,42,14,16,42,35,4,30,-1,22,17,29,0,63,0,13,-1,-1,17,20,3,12,19,19,24,35,16,10,28,25,22,26,3,18,30,28,35,42,9,10,40,38,15,14,8,14,15,11,21,16,15,10,13,23,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,32,8,29,24,36,22,42,18,22,43,32,4,8,0,5,9,10,5,15,2,2,8,9,19,14,-1,9,8,13,29,25,21,8,-1,-1,22,31,5,25,28,35,30,45,14,17,46,37
'001903041,13,14,20,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,71,67,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,34,31,29,19,32,29,42,45,17,9,38,35,11,11,-1,-1,-1,9,8,27,-1,-1,-1,-1,25,23,24,8,20,21,32,36,13,8,27,22,34,32,22,17,26,29,44,50,16,6,46,34,34,31,-1,-1,22,24,41,48,-1,-1,45,57,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,30,34,22,37,29,40,40,18,12,31,36,11,11,4,3,7,10,15,19,4,0,19,13,39,34,29,22,31,31,44,42,36,-1,67,43,35,32,29,22,33,30,45,45,16,10,39,34
'001903101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,13,43,54,-1,-1,45,50,55,67,.,.,-1,43,0,60,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,67,.,-1,-1,-1,-1,-1,.,.,-1,-1,36,41,37,42,30,37,39,45,.,.,41,41,22,20,-1,25,24,17,18,22,.,.,38,-1,31,33,34,33,24,27,36,38,.,.,34,36,38,41,31,40,32,38,42,44,.,.,48,44,47,43,-1,50,44,45,53,45,.,.,57,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,34,41,41,45,28,36,37,45,.,.,33,38,11,16,21,23,8,13,7,17,.,.,18,13,35,42,22,55,34,38,31,41,.,.,54,40,36,41,42,42,29,37,39,45,.,.,42,43
'001904001,13,0,21,-1,-1,-1,-1,-1,17,-1,33,-1,-1,40,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,9,23,1,16,11,18,18,35,4,19,11,23,6,18,0,5,8,5,8,32,8,12,-1,35,9,17,0,8,7,13,19,30,6,18,12,16,12,23,3,18,12,18,27,39,3,14,11,28,5,20,0,12,0,19,11,28,0,18,-1,23,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,22,0,15,10,19,12,31,4,25,11,18,4,14,0,9,3,9,13,27,0,10,5,13,18,27,0,14,17,21,39,34,12,28,10,29,10,24,2,18,12,21,21,38,4,20,12,20
'001904041,13,35,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,36,35,34,34,32,38,46,26,12,28,44,18,14,22,-1,18,8,24,25,11,-1,-1,-1,21,27,25,27,20,25,23,33,18,10,18,31,31,36,27,28,31,28,39,49,23,6,18,50,38,34,-1,-1,41,27,41,33,-1,-1,-1,80,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,33,.,-1,-1,-1,-1,-1,.,-1,-1,-1,36,36,41,37,36,35,38,44,28,15,34,39,12,14,7,6,7,15,20,20,-1,6,18,12,46,33,80,-1,31,44,54,33,40,-1,-1,-1,36,37,42,33,35,34,40,48,31,12,29,45
'001904102,13,-1,0,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,43,42,38,32,40,57,52,.,.,35,35,17,35,-1,-1,8,23,25,46,.,.,-1,43,36,37,37,38,29,33,47,46,.,.,27,23,46,51,29,43,42,47,58,58,.,.,44,47,50,45,-1,38,50,50,57,44,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,40,38,54,34,25,34,56,47,.,.,30,27,18,24,0,29,11,20,37,26,.,.,8,-1,29,47,-1,67,15,28,46,56,.,.,-1,-1,45,46,44,41,32,42,61,56,.,.,37,32
'001906002,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,30,35,36,22,22,27,34,37,24,45,31,33,41,-1,-1,-1,33,-1,43,-1,-1,-1,-1,29,27,32,32,16,27,25,30,44,26,27,20,39,32,35,39,35,22,35,41,35,16,64,46,20,15,-1,13,-1,25,-1,-1,-1,13,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,28,27,34,34,14,22,21,28,38,34,32,18,21,13,31,16,0,3,23,18,23,12,-1,14,39,21,-1,11,-1,20,-1,27,-1,0,-1,-1,33,31,35,40,23,22,29,36,37,27,47,30
'001906102,13,30,17,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,83,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,46,49,40,48,45,48,58,60,6,25,42,33,38,38,-1,-1,62,40,38,30,-1,-1,-1,-1,40,42,38,41,43,46,49,46,0,-1,25,30,49,55,40,50,48,54,63,67,0,15,53,40,35,52,-1,58,42,48,32,62,-1,-1,45,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,43,44,40,46,42,41,54,53,15,36,27,28,24,31,20,23,21,36,29,35,-1,-1,15,19,33,45,-1,-1,41,58,37,37,-1,-1,25,33,49,51,45,47,43,50,63,62,8,20,43,35
'001907001,13,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,26,36,17,20,33,-1,17,50,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,13,19,17,21,13,20,11,25,11,13,18,15,9,11,14,11,8,11,7,16,4,4,13,12,11,17,15,17,12,18,9,24,9,12,14,11,14,21,16,23,11,20,15,31,9,10,20,19,14,19,16,21,14,25,12,24,12,16,19,10,.,13,.,-1,.,-1,.,-1,.,-1,.,-1,0,11,-1,17,0,8,-1,19,-1,0,-1,-1,13,18,17,20,15,20,8,20,12,16,15,12,7,12,10,10,7,14,5,16,6,8,8,8,12,14,12,15,0,9,12,20,17,13,31,13,16,26,19,30,16,23,14,34,13,18,20,22
'001907041,13,37,18,-1,-1,38,-1,38,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,23,30,23,28,25,37,30,36,13,17,17,19,12,20,14,13,13,25,18,27,7,5,2,15,19,26,19,20,19,34,24,32,9,12,14,17,23,29,18,23,23,36,31,35,12,15,21,23,24,28,19,21,22,37,33,34,10,15,24,17,-1,43,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,6,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,24,32,30,33,26,38,29,38,15,20,13,16,13,19,7,17,13,24,19,24,3,12,14,6,40,31,35,26,34,32,53,36,25,21,44,35,32,41,37,46,36,46,37,47,22,26,21,27
'001907101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907102,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,13,67,44,.,.,-1,44,-1,44,.,.,.,.,-1,38,.,.,-1,-1,-1,-1,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,28,27,.,.,22,26,34,28,.,.,.,.,16,18,.,.,10,15,22,21,.,.,.,.,23,26,.,.,16,26,29,25,.,.,.,.,30,29,.,.,21,28,38,30,.,.,.,.,31,22,.,.,26,19,35,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0,.,.,7,0,7,0,.,.,.,.,27,26,.,.,22,25,32,27,.,.,.,.,14,12,.,.,8,13,20,11,.,.,.,.,45,26,.,.,36,21,55,32,.,.,.,.,39,38,.,.,30,39,48,37,.,.,.,.
'001907110,13,39,48,71,17,33,69,40,38,.,.,-1,-1,58,79,-1,-1,71,86,43,71,.,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,29,27,24,25,31,33,33,25,.,.,19,12,19,17,12,17,18,18,24,19,.,.,15,8,24,23,21,22,27,31,26,21,.,.,15,9,29,27,21,25,28,32,33,27,.,.,28,14,27,25,22,17,31,38,28,19,.,.,15,8,-1,.,.,.,-1,.,-1,.,.,.,.,.,15,11,-1,-1,22,20,16,10,.,.,-1,3,30,26,28,25,34,35,32,24,.,.,10,11,10,11,9,8,11,14,11,10,.,.,4,5,33,32,18,42,34,34,34,32,.,.,47,21,41,38,36,46,42,41,47,40,.,.,28,19
'001908002,13,47,20,-1,15,-1,14,-1,43,-1,14,-1,10,18,25,0,-1,25,-1,29,-1,13,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,29,28,26,25,26,28,32,38,27,26,38,22,19,18,18,18,15,16,25,28,10,13,39,12,28,26,25,23,26,27,30,36,26,22,36,20,33,29,28,30,27,29,37,39,26,20,55,30,17,30,16,26,15,35,12,35,15,35,36,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,24,27,23,21,25,27,26,37,27,32,16,15,12,12,10,8,13,9,15,24,13,10,11,6,22,23,14,17,20,23,25,30,31,22,-1,17,34,32,31,29,32,31,37,41,35,29,36,26
'001908041,13,64,28,-1,-1,63,22,88,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,36,30,49,38,38,33,38,36,30,5,21,25,22,27,29,19,21,28,26,35,12,10,19,32,29,25,37,33,30,28,31,31,30,4,15,18,34,29,44,25,33,32,39,37,17,4,33,36,38,26,50,38,42,35,37,30,33,-1,20,14,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,-1,38,30,52,52,42,33,37,36,40,6,6,16,17,19,25,23,17,17,19,26,15,6,6,19,24,18,27,30,20,18,36,29,-1,-1,14,6,38,31,53,42,40,34,40,38,30,5,20,27
'001908101,13,25,16,-1,-1,22,17,28,11,.,.,33,-1,50,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,28,27,16,28,23,23,36,31,.,.,27,23,20,14,4,13,13,11,31,21,.,.,23,5,23,23,13,23,20,21,30,26,.,.,19,20,28,28,12,18,21,24,39,34,.,.,27,29,18,21,0,20,19,18,23,25,.,.,13,19,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,3,6,-1,-1,4,3,4,7,.,.,-1,-1,29,26,19,35,25,23,34,29,.,.,27,19,10,11,3,12,8,9,13,11,.,.,10,15,21,31,25,-1,20,29,22,28,.,.,-1,42,35,34,27,38,29,29,44,38,.,.,36,30
'001908102,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001909001,13,0,21,-1,-1,-1,40,-1,20,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,35,44,26,28,32,43,52,21,25,44,28,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,34,35,46,31,25,39,38,49,21,23,48,23,37,35,39,20,31,34,46,54,17,20,52,37,19,22,-1,13,11,18,11,36,-1,25,-1,14,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,34,34,49,33,26,30,39,51,24,30,37,20,24,23,44,13,21,19,21,38,7,17,33,21,35,28,53,0,38,24,29,43,7,14,67,43,38,36,46,28,31,33,46,55,23,25,42,30
'001909101,13,33,16,-1,-1,-1,-1,-1,14,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,27,23,33,23,19,36,38,.,.,32,13,-1,.,.,.,-1,.,-1,.,.,.,-1,.,24,29,20,28,19,19,27,42,.,.,30,17,28,29,20,25,21,18,33,45,.,.,35,17,33,36,-1,-1,-1,20,-1,40,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,26,27,41,24,20,38,33,.,.,29,11,12,11,-1,-1,14,7,10,21,.,.,13,-1,25,14,-1,-1,-1,15,25,23,.,.,-1,-1,29,28,26,30,24,19,35,41,.,.,28,15
'002901001,13,25,29,33,33,13,28,38,33,13,28,-1,22,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,17,20,15,18,14,19,26,30,11,14,24,20,6,10,0,8,0,0,17,23,0,0,-1,-1,11,13,8,11,11,15,18,21,7,8,14,11,17,21,12,18,14,18,28,35,8,12,29,25,10,15,10,13,9,15,15,23,6,8,13,14,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,4,5,-1,6,9,5,-1,-1,-1,5,-1,-1,18,19,19,18,14,20,24,25,14,15,19,17,4,8,2,4,3,6,10,16,1,4,6,8,4,5,3,2,0,3,7,9,5,4,-1,9,30,30,24,26,22,27,44,41,21,24,42,34
'002901002,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1
'002901041,13,28,32,27,-1,35,25,30,38,9,-1,-1,-1,60,33,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,28,34,31,35,29,35,33,15,15,23,17,16,17,-1,14,9,17,36,22,-1,-1,-1,-1,21,19,18,24,25,18,25,25,3,9,21,11,30,29,26,24,32,29,35,37,14,14,26,21,24,21,25,19,29,24,26,25,9,9,19,11,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,9,7,-1,-1,20,8,8,-1,-1,-1,-1,-1,33,27,41,37,37,29,35,28,16,15,20,14,9,9,7,10,14,10,10,10,0,4,5,5,25,28,8,36,32,29,26,29,-1,-1,50,-1,47,42,57,58,47,41,53,47,28,27,33,29
'002901101,13,30,38,.,.,-1,-1,40,-1,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,29,.,.,28,28,37,30,.,.,.,.,-1,0,.,.,-1,-1,-1,-1,.,.,.,.,26,23,.,.,23,21,30,25,.,.,.,.,37,31,.,.,29,26,44,35,.,.,.,.,28,26,.,.,26,24,30,27,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,-1,6,.,.,-1,13,-1,-1,.,.,.,.,29,27,.,.,28,29,30,26,.,.,.,.,24,13,.,.,20,11,28,16,.,.,.,.,38,18,.,.,35,20,40,15,.,.,.,.,40,38,.,.,33,37,47,39,.,.,.,.
'002901104,13,67,48,.,-1,-1,33,-1,67,.,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,28,25,21,22,29,23,31,29,.,.,26,23,28,13,-1,-1,20,-1,56,-1,.,.,-1,-1,22,18,14,20,24,18,25,21,.,.,20,11,31,24,22,19,32,21,34,28,.,.,29,26,21,19,13,13,24,20,22,22,.,.,24,16,.,-1,.,-1,.,-1,.,-1,.,.,.,.,7,12,0,-1,4,19,7,10,.,.,18,9,25,25,20,24,25,24,28,30,.,.,24,20,9,18,5,11,9,18,9,20,.,.,11,17,28,21,20,-1,30,27,31,22,.,.,27,14,40,37,38,38,38,29,46,43,.,.,30,37
'002901105,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003801001,13,33,25,.,-1,-1,-1,-1,-1,.,-1,-1,.,56,65,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,.,50,.,.,.,-1,.,-1,.,.,.,-1,25,27,16,25,22,21,35,38,18,22,30,32,19,15,13,9,16,0,37,29,13,13,10,25,24,24,14,22,23,19,35,35,16,19,26,27,24,27,9,23,23,19,37,41,9,14,37,43,16,16,0,29,17,13,21,19,0,4,31,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,28,22,28,22,23,34,35,27,32,20,20,8,9,4,-1,5,0,10,0,8,13,14,-1,6,6,-1,9,-1,0,11,8,-1,0,-1,-1,27,31,19,26,23,26,38,43,20,28,35,32
'003801103,13,-1,63,.,.,-1,-1,-1,-1,.,.,.,-1,82,64,-1,-1,83,78,83,56,.,.,-1,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,26,31,27,38,28,30,27,34,.,.,18,16,12,14,9,13,13,13,16,17,.,.,0,-1,20,21,21,30,23,21,20,23,.,.,9,6,29,30,27,33,28,28,31,34,.,.,32,23,13,11,11,-1,14,11,14,11,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,-1,.,-1,.,-1,.,.,.,-1,24,32,28,41,27,32,24,35,.,.,9,8,2,13,0,-1,2,6,2,24,.,.,-1,-1,15,16,27,-1,21,22,8,17,.,.,-1,-1,29,38,34,47,30,36,30,42,.,.,22,19
'003902001,13,32,46,-1,42,-1,50,-1,58,-1,42,-1,38,52,48,50,43,50,43,50,43,50,43,-1,-1,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,29,37,27,32,26,35,32,46,24,39,42,31,20,31,20,18,18,35,18,52,20,29,-1,-1,21,28,15,23,22,27,23,38,17,30,28,17,30,36,23,28,29,35,35,46,21,32,48,40,24,23,14,19,23,23,36,32,17,26,32,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,38,30,36,24,35,30,47,28,45,37,24,8,17,8,13,7,12,11,26,5,19,11,14,13,20,15,12,20,21,10,27,13,24,-1,13,30,42,29,36,27,39,32,50,25,44,46,38
'003902004,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.
