CAMPUS,YEAR,C200A001212R,C200A001213R,C200AC01212R,C200AC01213R,C200AM01212R,C200AM01213R,C200AR01212R,C200AR01213R,C200AS01212R,C200AS01213R,C200AW01212R,C200AW01213R,C300A001212R,C300A001213R,C300AC01212R,C300AC01213R,C300AM01212R,C300AM01213R,C300AR01212R,C300AR01213R,C300AS01212R,C300AS01213R,C300AW01212R,C300AW01213R,C400A001212R,C400A001213R,C400AC01212R,C400AC01213R,C400AM01212R,C400AM01213R,C400AR01212R,C400AR01213R,C400AS01212R,C400AS01213R,C400AW01212R,C400AW01213R,CA00A001212R,CA00A001213R,CA00AC01212R,CA00AC01213R,CA00AM01212R,CA00AM01213R,CA00AR01212R,CA00AR01213R,CA00AS01212R,CA00AS01213R,CA00AW01212R,CA00AW01213R,CB00A001212R,CB00A001213R,CB00AC01212R,CB00AC01213R,CB00AM01212R,CB00AM01213R,CB00AR01212R,CB00AR01213R,CB00AS01212R,CB00AS01213R,CB00AW01212R,CB00AW01213R,CE00A001212R,CE00A001213R,CE00AC01212R,CE00AC01213R,CE00AM01212R,CE00AM01213R,CE00AR01212R,CE00AR01213R,CE00AS01212R,CE00AS01213R,CE00AW01212R,CE00AW01213R,CF00A001212R,CF00A001213R,CF00AC01212R,CF00AC01213R,CF00AM01212R,CF00AM01213R,CF00AR01212R,CF00AR01213R,CF00AS01212R,CF00AS01213R,CF00AW01212R,CF00AW01213R,CH00A001212R,CH00A001213R,CH00AC01212R,CH00AC01213R,CH00AM01212R,CH00AM01213R,CH00AR01212R,CH00AR01213R,CH00AS01212R,CH00AS01213R,CH00AW01212R,CH00AW01213R,CI00A001212R,CI00A001213R,CI00AC01212R,CI00AC01213R,CI00AM01212R,CI00AM01213R,CI00AR01212R,CI00AR01213R,CI00AS01212R,CI00AS01213R,CI00AW01212R,CI00AW01213R,CL00A001212R,CL00A001213R,CL00AC01212R,CL00AC01213R,CL00AM01212R,CL00AM01213R,CL00AR01212R,CL00AR01213R,CL00AS01212R,CL00AS01213R,CL00AW01212R,CL00AW01213R,CM00A001212R,CM00A001213R,CM00AC01212R,CM00AC01213R,CM00AM01212R,CM00AM01213R,CM00AR01212R,CM00AR01213R,CM00AS01212R,CM00AS01213R,CM00AW01212R,CM00AW01213R,CR00A001212R,CR00A001213R,CR00AC01212R,CR00AC01213R,CR00AM01212R,CR00AM01213R,CR00AR01212R,CR00AR01213R,CR00AS01212R,CR00AS01213R,CR00AW01212R,CR00AW01213R,CS00A001212R,CS00A001213R,CS00AC01212R,CS00AC01213R,CS00AM01212R,CS00AM01213R,CS00AR01212R,CS00AR01213R,CS00AS01212R,CS00AS01213R,CS00AW01212R,CS00AW01213R,CW00A001212R,CW00A001213R,CW00AC01212R,CW00AC01213R,CW00AM01212R,CW00AM01213R,CW00AR01212R,CW00AR01213R,CW00AS01212R,CW00AS01213R,CW00AW01212R,CW00AW01213R
'057838001,13,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,100,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,51,53,58,78,50,52,49,49,.,.,52,36,50,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,50,50,57,74,49,51,47,46,.,.,53,33,48,53,50,75,52,49,43,51,.,.,50,41,50,52,59,76,49,54,46,48,.,.,51,36,.,.,.,.,.,.,.,.,.,.,.,.,36,40,38,58,42,43,28,35,.,.,38,24,54,53,72,80,48,54,55,49,.,.,54,33,41,47,48,66,43,47,39,45,.,.,38,35,70,72,63,90,70,65,65,76,.,.,89,-1,62,59,-1,100,55,47,73,65,.,.,67,-1
'057838002,13,.,.,.,.,.,.,.,.,.,.,.,.,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,43,41,45,38,45,35,46,49,32,28,41,47,29,19,20,-1,13,9,50,30,20,-1,-1,-1,44,40,45,37,47,35,46,48,31,26,41,47,41,38,39,26,42,30,50,52,23,18,45,55,44,41,45,39,46,36,46,49,32,30,40,45,.,.,.,.,.,.,.,.,.,.,.,.,30,30,22,36,31,23,30,36,28,24,29,31,45,43,52,47,48,40,44,46,42,36,38,42,38,34,33,31,41,27,42,46,28,21,36,38,48,43,60,31,45,29,49,55,40,46,53,64,71,-1,-1,.,-1,-1,-1,-1,-1,.,.,.
'057838006,13,.,.,.,.,.,.,.,.,.,.,.,.,100,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,33,43,38,56,25,35,36,52,23,30,45,43,51,35,78,44,-1,26,33,43,44,17,56,53,33,43,39,56,25,35,36,52,23,30,45,43,31,42,37,56,25,33,41,52,14,23,41,46,31,44,35,57,25,36,35,53,22,32,44,42,.,.,.,.,.,.,.,.,.,.,.,.,25,32,29,54,-1,20,29,40,14,29,-1,20,35,45,39,55,26,37,31,52,33,39,50,39,28,40,33,54,21,30,32,50,16,26,39,37,38,24,40,20,0,8,50,44,40,10,43,37,40,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'057838007,13,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,40,.,.,32,37,53,41,.,.,.,44,10,31,.,.,-1,21,-1,43,.,.,.,25,38,35,.,.,28,31,48,37,.,.,.,38,34,41,.,.,26,35,42,41,.,.,.,48,42,39,.,.,33,37,50,38,.,.,.,42,.,.,.,.,.,.,.,.,.,.,.,.,-1,21,.,.,-1,25,-1,23,.,.,.,15,53,40,.,.,40,39,67,41,.,.,.,39,25,20,.,.,17,21,33,16,.,.,.,27,.,-1,.,.,.,-1,.,-1,.,.,.,-1,75,82,.,.,-1,-1,-1,-1,.,.,.,-1
'057838009,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057839101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,22,38,16,29,22,34,25,.,.,34,15,43,22,.,-1,-1,-1,-1,29,.,.,-1,-1,34,22,37,16,30,22,36,25,.,.,36,17,33,24,41,20,27,23,36,27,.,.,38,18,33,22,37,17,29,22,34,25,.,.,36,15,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,29,17,21,9,26,17,34,17,.,.,28,19,32,20,34,12,31,21,33,23,.,.,27,13,24,17,16,14,23,18,27,18,.,.,28,14,41,34,58,-1,36,31,43,40,.,.,38,40,17,15,-1,-1,-1,30,-1,10,.,.,-1,-1
'057840001,13,0,0,0,-1,0,-1,0,-1,0,-1,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,-1,0,-1,0,-1,0,-1,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,-1,0,-1,0,0,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.
'057841001,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,22,.,.,-1,22,20,22,.,.,.,.,-1,38,.,.,-1,-1,-1,-1,.,.,.,.,29,25,.,.,-1,25,21,25,.,.,.,.,17,-1,.,.,-1,-1,-1,-1,.,.,.,.,33,10,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,-1,7,.,.,-1,-1,-1,0,.,.,.,.,27,8,.,.,-1,-1,20,-1,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057842001,13,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,39,35,46,35,31,19,41,48,37,32,39,40,-1,48,-1,50,-1,25,-1,57,-1,42,-1,67,40,35,47,36,32,20,42,48,38,32,40,39,39,35,44,35,33,15,40,51,34,29,48,44,39,34,46,35,31,19,41,48,37,32,40,39,.,.,.,.,.,.,.,.,.,.,.,.,39,33,51,33,26,18,43,48,40,31,33,33,38,35,48,35,29,22,44,44,41,35,26,36,32,33,41,32,21,17,32,50,32,31,30,32,3,10,0,15,0,0,-1,22,0,0,-1,13,.,0,.,-1,.,-1,.,-1,.,-1,.,.
'057842041,13,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,27,28,30,47,26,36,31,22,20,14,25,57,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,28,27,31,47,26,36,32,22,21,15,25,29,23,20,21,36,23,34,27,14,17,18,21,34,27,27,30,47,26,35,31,21,20,15,24,.,.,.,.,.,.,.,.,.,.,.,.,29,23,19,24,43,23,30,27,14,15,11,19,40,33,33,43,58,30,38,37,28,24,9,29,29,22,22,22,42,22,29,27,16,16,9,19,11,17,-1,-1,20,4,7,27,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.
'057842101,13,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,29,28,28,15,26,32,32,31,.,.,34,24,27,.,-1,.,-1,.,-1,.,.,.,.,.,29,27,29,14,26,31,31,28,.,.,33,24,27,26,20,5,27,30,30,28,.,.,26,33,29,27,25,15,26,32,31,30,.,.,34,23,.,.,.,.,.,.,.,.,.,.,.,.,25,12,23,3,25,18,26,11,.,.,27,9,31,29,32,23,25,34,33,32,.,.,40,19,22,13,23,4,19,17,22,14,.,.,27,14,12,17,-1,-1,7,23,13,15,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.
'057842102,13,.,50,.,-1,.,-1,.,-1,.,-1,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,27,22,26,19,33,21,28,29,10,13,18,15,31,19,33,21,39,7,30,34,22,14,9,13,26,21,23,19,33,21,26,28,9,11,17,15,29,23,28,20,36,20,30,34,0,16,21,12,26,22,24,18,32,24,27,27,7,12,19,14,.,.,.,.,.,.,.,.,.,.,.,.,2,15,-1,-1,0,22,8,14,-1,-1,-1,-1,25,20,24,19,31,22,25,24,19,10,14,17,10,11,5,9,15,10,10,16,5,6,6,5,3,2,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.
'057842103,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057843001,13,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,25,25,34,18,23,27,29,18,20,23,21,23,24,26,29,15,20,29,29,18,19,27,24,22,25,25,33,19,23,30,28,18,19,19,21,26,26,31,32,19,23,36,35,18,18,31,24,20,29,23,47,23,32,23,28,16,22,14,14,.,.,.,.,.,.,.,.,.,.,.,.,7,19,11,43,0,23,-1,18,10,6,-1,3,18,25,20,36,17,24,18,23,18,22,14,17,9,18,12,30,5,17,12,20,11,12,5,11,9,4,13,0,6,0,13,14,13,5,-1,0,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'057843041,13,29,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,27,29,43,23,17,17,40,37,3,45,23,31,26,24,43,16,15,10,39,37,3,37,21,26,25,28,44,23,15,16,38,34,3,50,18,23,30,30,48,17,18,16,44,41,4,45,29,32,28,39,38,34,21,31,39,39,5,62,29,42,.,.,.,.,.,.,.,.,.,.,.,.,16,22,31,29,9,19,26,12,-1,57,10,-1,23,28,37,32,16,17,34,32,2,45,15,29,17,26,27,20,7,21,32,26,0,40,16,38,5,20,-1,-1,0,8,-1,38,-1,-1,-1,-1,45,.,-1,.,-1,.,-1,.,-1,.,-1,.
'057843101,13,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,23,8,.,14,15,31,30,.,.,.,.,19,19,11,.,14,11,32,28,.,.,.,.,15,19,8,.,8,14,30,25,.,.,.,.,23,24,13,.,17,13,39,35,.,.,.,.,17,33,0,.,20,33,30,33,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,13,20,4,.,12,20,23,20,.,.,.,.,-1,17,-1,.,-1,6,-1,28,.,.,.,.,-1,13,-1,.,-1,-1,-1,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.
'057844101,13,-1,29,-1,.,-1,-1,-1,-1,.,.,.,-1,50,49,42,26,51,48,54,52,.,-1,41,57,.,-1,.,.,.,.,.,-1,.,.,.,.,35,36,24,15,31,34,43,43,.,42,32,32,28,26,-1,13,18,20,38,33,.,-1,32,25,26,28,17,12,19,23,37,38,.,50,22,21,33,40,13,14,29,36,42,49,.,-1,33,40,15,0,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,16,20,-1,-1,13,20,22,23,.,-1,17,17,37,30,35,15,32,31,45,36,.,-1,30,24,23,27,-1,12,20,29,27,30,.,-1,27,23,20,20,-1,-1,-1,23,-1,23,.,-1,55,-1,27,31,-1,6,21,32,36,43,.,-1,21,11
'057845001,13,.,34,.,17,.,22,.,67,.,-1,.,-1,.,72,.,-1,.,50,.,86,.,.,.,86,.,.,.,.,.,.,.,.,.,.,.,.,.,47,.,42,.,32,.,61,.,45,.,56,.,19,.,-1,.,12,.,35,.,-1,.,-1,.,36,.,-1,.,13,.,58,.,-1,.,50,.,41,.,25,.,24,.,56,.,31,.,60,.,29,.,20,.,10,.,48,.,-1,.,36,.,.,.,.,.,.,.,.,.,.,.,.,.,44,.,-1,.,43,.,57,.,.,.,-1,.,55,.,59,.,41,.,67,.,59,.,52,.,32,.,-1,.,27,.,45,.,-1,.,-1,.,32,.,-1,.,-1,.,38,.,.,.,-1,.,53,.,54,.,38,.,64,.,58,.,64
'057846001,13,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,5,.,6,.,18,.,.,.,14,.,10,.,0,.,1,.,15,.,.,.,26,.,12,.,6,.,7,.,18,.,.,.,15,.,14,.,4,.,9,.,20,.,.,.,16,.,12,.,9,.,8,.,18,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,0,.,0,.,.,.,-1,.,9,.,6,.,4,.,16,.,.,.,11,.,4,.,-1,.,0,.,6,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,32,.,-1,.,22,.,44,.,.,.,-1
