CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'178801001,ACADEMY OF TRANSITIONAL STUDIES,Y,N,NE,NUECES,'178,NA,L,ACADEMY OF TRANSITIONAL STUDIES,'06 - 12,B,,,'02
'180903001,ADRIAN SCHOOL,N,N,R,OLDHAM,'180,NQ,E,ADRIAN ISD,'KG - 12,B,,,'16
'178901101,AGUA DULCE EL,N,N,NQ,NUECES,'178,NA,A,AGUA DULCE ISD,'EE - 05,E,,,'02
'178901001,AGUA DULCE H S,N,N,NQ,NUECES,'178,NQ,A,AGUA DULCE ISD,'09 - 12,S,,,'02
'178901041,AGUA DULCE J H,N,N,NQ,NUECES,'178,NA,R,AGUA DULCE ISD,'06 - 08,M,,,'02
'015901001,ALAMO HEIGHTS H S,N,N,NQ,BEXAR,'015,NQ,A,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901041,ALAMO HEIGHTS J H,N,N,R,BEXAR,'015,NA,A,ALAMO HEIGHTS ISD,'06 - 08,M,,,'20
'015901002,BEXAR CO J J A E P,N,N,,BEXAR,'015,NR,N,ALAMO HEIGHTS ISD,'07 - 12,S,,,'20
'015901101,CAMBRIDGE EL,N,N,RM,BEXAR,'015,NA,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'015901102,HOWARD EL,N,N,,BEXAR,'015,NR,N,ALAMO HEIGHTS ISD,'EE - KG,E,,,'20
'015901104,WOODRIDGE EL,N,N,R,BEXAR,'015,NA,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'250906101,ALBA-GOLDEN EL,N,N,R,WOOD,'250,NA,R,ALBA-GOLDEN ISD,'PK - 06,E,,,'07
'250906001,ALBA-GOLDEN H S,N,N,NQ,WOOD,'250,NQ,R,ALBA-GOLDEN ISD,'07 - 12,S,,,'07
'250906002,ALTER SCHOOL,N,N,,WOOD,'250,PE,1,ALBA-GOLDEN ISD,'09 - 12,S,,,'07
'209901001,ALBANY JR-SR H S,N,N,NQ,SHACKELFORD,'209,NQ,R,ALBANY ISD,'07 - 12,S,,,'14
'209901101,NANCY SMITH EL,N,N,NQ,SHACKELFORD,'209,NA,E,ALBANY ISD,'EE - 06,E,,,'14
'101902001,ALDINE H S,N,N,NQ,HARRIS,'101,NQ,R,ALDINE ISD,'09 - 12,S,,,'04
'101902099,ALDINE J J A E P,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'05 - 10,B,,,'04
'101902041,ALDINE MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'07 - 08,M,,,'04
'101902081,ALDINE NINTH GRADE CENTER,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'09 - 09,S,'101902001,ALDINE H S,'04
'101902101,ANDERSON ACAD,N,N,NQ,HARRIS,'101,NA,E,ALDINE ISD,'01 - 03,E,,BETHUNE ACAD,'04
'101902102,BETHUNE ACAD,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'04 - 05,E,,,'04
'101902126,BLACK EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902128,CALVERT EL,N,N,R,HARRIS,'101,NA,R,ALDINE ISD,'KG - 04,E,,,'04
'101902066,CARAWAY INT,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'05 - 06,M,,,'04
'101902122,CARMICHAEL EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902103,CARROLL ACADEMY,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902107,CARTER ELEMENTARY,N,N,R,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902002,"CARVER H S FOR APPLIED TECH, ENGI",N,N,NQ,HARRIS,'101,NQ,A,ALDINE ISD,'09 - 12,S,,,'04
'101902005,CHESTER W NIMITZ H S,N,N,NQ,HARRIS,'101,NQ,A,ALDINE ISD,'09 - 12,S,,,'04
'101902123,CONLEY EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902155,DE SANTIAGO EC/PRE-K CENTER,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'EE - PK,E,,,'04
'101902042,DREW ACAD,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'06 - 08,M,,,'04
'101902124,DUNN EL,N,N,R,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902061,ECKERT INT,N,N,R,HARRIS,'101,NA,A,ALDINE ISD,'05 - 06,M,,,'04
'101902004,EISENHOWER H S,N,N,NQ,HARRIS,'101,NQ,A,ALDINE ISD,'09 - 12,S,,,'04
'101902084,EISENHOWER NINTH GRADE CENTER,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'09 - 09,S,'101902004,EISENHOWER H S,'04
'101902121,ERMEL EL,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902063,ESCAMILLA INT,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'05 - 06,M,,,'04
'101902117,EVELYN S THOMPSON EL,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902105,FRANCIS EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902125,GRAY EL,N,N,R,HARRIS,'101,NA,R,ALDINE ISD,'KG - 04,E,,,'04
'101902043,HAMBRICK MIDDLE,N,N,M,HARRIS,'101,NA,E,ALDINE ISD,'07 - 08,M,,,'04
'101902106,HIDDEN VALLEY EL,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902153,HINOJOSA EC/PRE-K CENTER,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'EE - PK,E,,,'04
'101902046,HOFFMAN MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'07 - 08,M,,,'04
'101902114,J RUTH SMITH ACADEMY,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902116,JOHNSON EL,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'KG - 04,E,,,'04
'101902151,KEEBLE EC/PRE-K CENTER,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'EE - PK,E,,,'04
'101902108,LANE SCH,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'EE - 12,B,,,'04
'101902003,MACARTHUR H S,N,N,NQ,HARRIS,'101,NQ,A,ALDINE ISD,'09 - 12,S,,,'04
'101902120,MAGRILL EL,N,N,NQ,HARRIS,'101,NA,E,ALDINE ISD,'EE - 04,E,,,'04
'101902109,MENDEL EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902111,OLESON EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'KG - 04,E,,,'04
'101902112,ORANGE GROVE EL,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902065,PARKER INT,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'05 - 06,M,,,'04
'101902009,PROJECT RECOVERY,N,N,,HARRIS,'101,PE,1,ALDINE ISD,'06 - 11,B,,,'04
'101902113,RAYMOND ACADEMY,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902104,REECE ACADEMY,N,N,,HARRIS,'101,NR,N,ALDINE ISD,'PK - KG,E,,,'04
'101902068,RUBY REED INT,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'05 - 06,M,,,'04
'101902118,SAMMONS EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902047,SHOTWELL MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'07 - 08,M,,,'04
'101902064,STEHLIK INT,N,N,R,HARRIS,'101,NA,R,ALDINE ISD,'05 - 06,M,,,'04
'101902119,STEPHENS EL,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902127,STOVALL ACADEMY,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'EE - 04,E,,,'04
'101902044,STOVALL MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'07 - 08,M,,,'04
'101902048,T S GRANTHAM MIDDLE,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'07 - 08,M,,,'04
'101902045,TEAGUE MIDDLE,N,N,M,HARRIS,'101,NA,R,ALDINE ISD,'07 - 08,M,,,'04
'101902006,W T HALL SCHOOL,N,N,,HARRIS,'101,PE,1,ALDINE ISD,'09 - 12,S,,,'04
