CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'001902103,CAYUGA EL,N,N,NQ,ANDERSON,'001,NA,R,CAYUGA ISD,'EE - 05,E,,,'07
'001902001,CAYUGA H S,N,N,NQ,ANDERSON,'001,NQ,E,CAYUGA ISD,'09 - 12,S,,,'07
'001902041,CAYUGA MIDDLE,N,N,NQ,ANDERSON,'001,NA,R,CAYUGA ISD,'06 - 08,M,,,'07
'057904106,BELT LINE INT,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'05 - 06,M,,,'10
'057904101,BRAY EL,N,N,NQ,DALLAS,'057,NA,E,CEDAR HILL ISD,'PK - 04,E,,,'10
'057904001,CEDAR HILL H S,N,N,R,DALLAS,'057,NQ,A,CEDAR HILL ISD,'09 - 12,S,,,'10
'057904104,HI POINTE EL,N,N,NQ,DALLAS,'057,NA,R,CEDAR HILL ISD,'EE - 04,E,,,'10
'057904105,HIGHLANDS EL,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'PK - 04,E,,,'10
'057904102,PLUMMER EL,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'EE - 04,E,,,'10
'057904041,W S PERMENTER MIDDLE,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'07 - 08,M,,,'10
'057904107,WATERFORD OAKS EL,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'PK - 04,E,,,'10
'057904103,WEST INT,N,N,NQ,DALLAS,'057,NA,A,CEDAR HILL ISD,'05 - 06,M,,,'10
'141801001,CEDAR RIDGE CHARTER SCHOOL,Y,N,,LAMPASAS,'141,NH,H,CEDAR RIDGE CHARTER SCHOOL,'07 - 11,S,,,'12
'116902101,CELESTE EL,N,N,NQ,HUNT,'116,NA,E,CELESTE ISD,'EE - 05,E,,,'10
'116902001,CELESTE H S,N,N,NQ,HUNT,'116,NQ,A,CELESTE ISD,'09 - 12,S,,,'10
'116902041,CELESTE J H,N,N,NQ,HUNT,'116,NA,E,CELESTE ISD,'06 - 08,M,,,'10
'043903101,CELINA EL,N,N,R,COLLIN,'043,NA,R,CELINA ISD,'EE - 04,E,,,'10
'043903001,CELINA H S,N,N,NQ,COLLIN,'043,NQ,R,CELINA ISD,'09 - 12,S,,,'10
'043903041,CELINA MIDDLE,N,N,NQ,COLLIN,'043,NA,A,CELINA ISD,'05 - 08,M,,,'10
'210901102,C H DANIELS INT,N,N,NQ,SHELBY,'210,NA,A,CENTER ISD,'05 - 06,M,,,'07
'210901101,CENTER EL,N,N,NQ,SHELBY,'210,NA,A,CENTER ISD,'03 - 04,E,,,'07
'210901001,CENTER H S,N,N,NQ,SHELBY,'210,NQ,A,CENTER ISD,'09 - 12,S,,,'07
'210901041,CENTER J H,N,N,NQ,SHELBY,'210,NA,A,CENTER ISD,'07 - 08,M,,,'07
'210901104,F L MOFFETT PRI,N,N,NQ,SHELBY,'210,NA,A,CENTER ISD,'EE - 02,E,'210901101,CENTER EL,'07
'133901002,CENTER POINT A E P,N,N,,KERR,'133,NR,N,CENTER POINT ISD,'09 - 11,S,,,'20
'133901101,CENTER POINT EL,N,N,NQ,KERR,'133,NA,R,CENTER POINT ISD,'PK - 05,E,,,'20
'133901001,CENTER POINT H S,N,N,NQ,KERR,'133,NQ,E,CENTER POINT ISD,'09 - 12,S,,,'20
'133901041,CENTER POINT MIDDLE,N,N,NQ,KERR,'133,NA,E,CENTER POINT ISD,'06 - 08,M,,,'20
'228904041,BOYS WILDERNESS HOSPITAL,N,N,,TRINITY,'228,NR,N,CENTERVILLE ISD,'08 - 11,S,,,'06
'145902101,CENTERVILLE EL,N,N,NQ,LEON,'145,NA,A,CENTERVILLE ISD,'KG - 06,E,,,'06
'228904101,CENTERVILLE EL,N,N,NQ,TRINITY,'228,NA,R,CENTERVILLE ISD,'KG - 06,E,,,'06
'228904001,CENTERVILLE H S,N,N,R,TRINITY,'228,NQ,E,CENTERVILLE ISD,'07 - 12,S,,,'06
'145902001,CENTERVILLE JR-SR H S,N,N,NQ,LEON,'145,NQ,R,CENTERVILLE ISD,'07 - 12,S,,,'06
'174908101,CENTRAL HEIGHTS EL,N,N,NQ,NACOGDOCHES,'174,NA,E,CENTRAL HEIGHTS ISD,'EE - 06,E,,,'07
'174908001,CENTRAL HEIGHTS H S,N,N,NQ,NACOGDOCHES,'174,NQ,E,CENTRAL HEIGHTS ISD,'07 - 12,S,,,'07
'003907102,CENTRAL EL,N,N,NQ,ANGELINA,'003,NA,R,CENTRAL ISD,'03 - 05,E,,,'07
'003907001,CENTRAL H S,N,N,NQ,ANGELINA,'003,NQ,A,CENTRAL ISD,'09 - 12,S,,,'07
'003907041,CENTRAL J H,N,N,NQ,ANGELINA,'003,NA,R,CENTRAL ISD,'06 - 08,M,,,'07
'003907101,CENTRAL PRI,N,N,NQ,ANGELINA,'003,NA,R,CENTRAL ISD,'EE - 02,E,'003907102,CENTRAL EL,'07
'003907004,STUBBLEFIELD LRN CTR,N,N,,ANGELINA,'003,PE,1,CENTRAL ISD,'09 - 12,S,,,'07
'101905041,ALICE JOHNSON J H,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'07 - 08,M,,,'04
'101905042,B H HAMBLEN MIDDLE,N,N,R,HARRIS,'101,NA,R,CHANNELVIEW ISD,'05 - 06,M,,,'04
'101905001,CHANNELVIEW H S,N,N,NQ,HARRIS,'101,NQ,A,CHANNELVIEW ISD,'09 - 12,S,,,'04
'101905105,CRENSHAW PRI,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'PK - 02,E,'101905102,DE ZAVALA EL,'04
'101905102,DE ZAVALA EL,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'03 - 04,E,,,'04
'101905005,ENDEAVOR SCHOOLS,N,N,,HARRIS,'101,PE,1,CHANNELVIEW ISD,'PK - 12,B,,,'04
'101905104,MCMULLAN PRI,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'EE - 02,E,'101905101,VIOLA COBB EL,'04
'101905103,SCHOCHLER PRI,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'PK - 02,E,'101905101,VIOLA COBB EL,'04
'101905101,VIOLA COBB EL,N,N,NQ,HARRIS,'101,NA,A,CHANNELVIEW ISD,'03 - 04,E,,,'04
'103901001,CHANNING SCHOOL,N,N,NQ,HARTLEY,'103,AT,R,CHANNING ISD,'KG - 12,B,,,'16
'225906101,CHAPEL HILL EL,N,N,NQ,TITUS,'225,NA,A,CHAPEL HILL ISD,'EE - 06,E,,,'08
'212909001,CHAPEL HILL H S,N,N,NQ,SMITH,'212,NQ,A,CHAPEL HILL ISD,'09 - 12,S,,,'07
'225906001,CHAPEL HILL H S,N,N,R,TITUS,'225,NQ,E,CHAPEL HILL ISD,'09 - 12,S,,,'08
'225906041,CHAPEL HILL J H,N,N,NQ,TITUS,'225,NA,E,CHAPEL HILL ISD,'07 - 08,M,,,'08
'212909042,CHAPEL HILL MIDDLE,N,N,NQ,SMITH,'212,NA,A,CHAPEL HILL ISD,'06 - 08,M,,,'07
'212909102,JACKSON EL,N,N,NQ,SMITH,'212,NA,A,CHAPEL HILL ISD,'PK - 02,E,'212909103,W L KISSAM INT,'07
'212909002,S T E P S,N,N,,SMITH,'212,PE,1,CHAPEL HILL ISD,'07 - 12,S,,,'07
'212909004,ST LOUIS UNIT,N,N,,SMITH,'212,NR,N,CHAPEL HILL ISD,'02 - 11,B,,,'07
'212909103,W L KISSAM INT,N,N,NQ,SMITH,'212,NA,A,CHAPEL HILL ISD,'03 - 05,E,,,'07
'212909101,WISE EL,N,N,NQ,SMITH,'212,NA,A,CHAPEL HILL ISD,'EE - 02,E,'212909103,W L KISSAM INT,'07
'007901101,CHARLOTTE EL,N,N,NQ,ATASCOSA,'007,NA,E,CHARLOTTE ISD,'PK - 05,E,,,'20
'007901001,CHARLOTTE H S,N,N,R,ATASCOSA,'007,NQ,R,CHARLOTTE ISD,'09 - 12,S,,,'20
'007901041,CHARLOTTE J H,N,N,NQ,ATASCOSA,'007,NA,R,CHARLOTTE ISD,'06 - 08,M,,,'20
'206903101,CHEROKEE EL,N,N,NE,SAN SABA,'206,NA,A,CHEROKEE ISD,'KG - 06,E,,,'15
'206903001,CHEROKEE H S,N,N,R,SAN SABA,'206,NQ,E,CHEROKEE ISD,'07 - 12,S,,,'15
'229906101,CHESTER EL,N,N,NQ,TYLER,'229,NA,A,CHESTER ISD,'KG - 06,E,,,'05
'229906001,CHESTER H S,N,N,NQ,TYLER,'229,NQ,R,CHESTER ISD,'07 - 12,S,,,'05
'249904101,CHICO EL,N,N,NQ,WISE,'249,NA,A,CHICO ISD,'PK - 05,E,,,'11
'249904001,CHICO H S,N,N,NQ,WISE,'249,NQ,R,CHICO ISD,'09 - 12,S,,,'11
'249904041,CHICO MIDDLE,N,N,NQ,WISE,'249,NA,R,CHICO ISD,'06 - 08,M,,,'11
'038901102,CHILDRESS EL,N,N,NQ,CHILDRESS,'038,NA,R,CHILDRESS ISD,'EE - 05,E,,,'16
'038901001,CHILDRESS H S,N,N,R,CHILDRESS,'038,NQ,R,CHILDRESS ISD,'09 - 12,S,,,'16
'038901041,CHILDRESS J H,N,N,NQ,CHILDRESS,'038,NA,A,CHILDRESS ISD,'06 - 08,M,,,'16
'099902101,CHILLICOTHE EL,N,N,R,HARDEMAN,'099,NA,E,CHILLICOTHE ISD,'KG - 06,E,,,'09
'099902001,CHILLICOTHE H S,N,N,M,HARDEMAN,'099,NQ,R,CHILLICOTHE ISD,'07 - 12,S,,,'09
'073901001,CHILTON SCHOOL,N,N,NQ,FALLS,'073,NQ,A,CHILTON ISD,'PK - 12,B,,,'12
'161920006,ALTER ED SCHOOL,N,N,,MCLENNAN,'161,NR,N,CHINA SPRING ISD,'07 - 11,S,,,'12
'161920102,CHINA SPRING EL,N,N,R,MCLENNAN,'161,NA,R,CHINA SPRING ISD,'01 - 05,E,,,'12
'161920001,CHINA SPRING H S,N,N,NQ,MCLENNAN,'161,NQ,R,CHINA SPRING ISD,'09 - 12,S,,,'12
'161920103,CHINA SPRING KIND,N,N,,MCLENNAN,'161,NR,N,CHINA SPRING ISD,'EE - KG,E,,,'12
'161920041,CHINA SPRING MIDDLE,N,N,NQ,MCLENNAN,'161,NA,R,CHINA SPRING ISD,'06 - 08,M,,,'12
'161920003,COMP BASE CAMPUS,N,N,,MCLENNAN,'161,PE,2,CHINA SPRING ISD,'10 - 12,S,,,'12
'161920002,OPPORTUNITY LEARNING CTR,N,N,,MCLENNAN,'161,NR,N,CHINA SPRING ISD,'10 - 12,S,,,'12
'174901101,CHIRENO EL,N,N,NQ,NACOGDOCHES,'174,NA,A,CHIRENO ISD,'KG - 08,E,,,'07
'174901001,CHIRENO H S,N,N,M,NACOGDOCHES,'174,NQ,E,CHIRENO ISD,'09 - 12,S,,,'07
'139905101,CHISUM EL,N,N,NQ,LAMAR,'139,NA,A,CHISUM ISD,'EE - 06,E,,,'08
'139905001,CHISUM H S,N,N,NQ,LAMAR,'139,NQ,R,CHISUM ISD,'09 - 12,S,,,'08
'139905041,CHISUM MIDDLE,N,N,NQ,LAMAR,'139,NA,R,CHISUM ISD,'07 - 08,M,,,'08
'226901195,C B P,N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'10 - 10,S,,,'15
'226901101,CHRISTOVAL EL,N,N,NQ,TOM GREEN,'226,NA,E,CHRISTOVAL ISD,'KG - 06,E,,,'15
'226901001,CHRISTOVAL H S,N,N,NQ,TOM GREEN,'226,NQ,R,CHRISTOVAL ISD,'07 - 12,S,,,'15
'226901002,FAIRVIEW ACCELERATED,N,N,,TOM GREEN,'226,PE,1,CHRISTOVAL ISD,'09 - 12,S,,,'15
'226901004,GRAPE CREEK BAC,N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'08 - 09,M,,,'15
'226901180,GRAPE CREEK SPECIAL PROG,N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'05 - 05,E,,,'15
'226901181,GRAPE CREEK SPECIAL PROG,N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'07 - 07,M,,,'15
'226901150,MILES VOC TRAINING (MVT),N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'12 - 12,S,,,'15
'226901199,SAN ANGELO SPECIAL PROGS,N,N,,TOM GREEN,'226,NR,N,CHRISTOVAL ISD,'01 - 01,E,,,'15
'067902101,CISCO EL,N,N,NQ,EASTLAND,'067,NA,R,CISCO ISD,'EE - 05,E,,,'14
'067902001,CISCO H S,N,N,R,EASTLAND,'067,NQ,R,CISCO ISD,'09 - 12,S,,,'14
'067902041,CISCO J H,N,N,NQ,EASTLAND,'067,NA,E,CISCO ISD,'06 - 08,M,,,'14
'067902002,CISCO LEARNING CENTER,N,N,,EASTLAND,'067,PE,1,CISCO ISD,'09 - 12,S,,,'14
'243906101,CITY VIEW EL,N,N,NQ,WICHITA,'243,NA,A,CITY VIEW ISD,'EE - 08,E,,,'09
'065901101,CLARENDON EL,N,N,NQ,DONLEY,'065,NA,R,CLARENDON ISD,'EE - 05,E,,,'16
'065901001,CLARENDON H S,N,N,NQ,DONLEY,'065,NQ,E,CLARENDON ISD,'09 - 12,S,,,'16
'065901041,CLARENDON J H,N,N,NQ,DONLEY,'065,NA,R,CLARENDON ISD,'06 - 08,M,,,'16
'194904042,CHEATHAM MIDDLE,N,N,NQ,RED RIVER,'194,NA,A,CLARKSVILLE ISD,'06 - 08,M,,,'08
'194904103,CLARKSVILLE EL,N,N,NQ,RED RIVER,'194,NA,A,CLARKSVILLE ISD,'EE - 05,E,,,'08
'194904002,CLARKSVILLE H S,N,N,NE,RED RIVER,'194,NE,L,CLARKSVILLE ISD,'09 - 12,S,,,'08
'006902101,CLAUDE EL,N,N,NQ,ARMSTRONG,'006,NA,E,CLAUDE ISD,'EE - 05,E,,,'16
'006902001,CLAUDE H S,N,N,NQ,ARMSTRONG,'006,NQ,R,CLAUDE ISD,'06 - 12,B,,,'16
'084910111,ARMAND BAYOU EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910105,BAY EL,N,N,NQ,GALVESTON,'084,NA,A,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910047,BROOKSIDE INT,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910118,BROOKWOOD EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910112,C D LANDOLT EL,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910003,CLEAR BROOK H S,N,N,NQ,GALVESTON,'084,NQ,A,CLEAR CREEK ISD,'09 - 12,S,,,'04
'084910001,CLEAR CREEK H S,N,N,R,GALVESTON,'084,NQ,A,CLEAR CREEK ISD,'09 - 12,S,,,'04
'084910101,CLEAR LAKE CITY EL,N,N,NQ,GALVESTON,'084,NA,A,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910002,CLEAR LAKE H S,N,N,NQ,GALVESTON,'084,AC,R,CLEAR CREEK ISD,'08 - 12,S,,,'04
'084910043,CLEAR LAKE INT,N,N,NQ,GALVESTON,'084,NA,A,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910004,CLEAR VIEW ALTER,N,N,,GALVESTON,'084,PE,1,CLEAR CREEK ISD,'06 - 12,B,,,'04
'084910046,CREEKSIDE INT,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910120,I W AND ELEANOR HYDE EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910116,JOHN F WARD EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'PK - 05,E,,,'04
'084910103,LEAGUE CITY EL,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910045,LEAGUE CITY INT,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910117,LLOYD R FERGUSON EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910107,MCWHIRTER EL,N,N,R,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910121,NORTH POINTE EL,N,N,R,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910110,P H GREENE EL,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'PK - 05,E,,,'04
'084910104,ROSS EL,N,N,NQ,GALVESTON,'084,NA,R,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910042,SEABROOK INT,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910044,SPACE CENTER INT,N,N,RM,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910106,STEWART EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910115,WALTER HALL EL,N,N,R,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910041,WEBSTER INT,N,N,NQ,GALVESTON,'084,NA,A,CLEAR CREEK ISD,'06 - 08,M,,,'04
'084910119,WEDGEWOOD EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910108,WHITCOMB EL,N,N,R,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'EE - 05,E,,,'04
'084910102,WHITE EL,N,N,NQ,GALVESTON,'084,NA,E,CLEAR CREEK ISD,'KG - 05,E,,,'04
'126903101,ADAMS EL,N,N,NQ,JOHNSON,'126,NA,R,CLEBURNE ISD,'01 - 05,E,,,'11
'126903001,CLEBURNE H S,N,N,M,JOHNSON,'126,NQ,R,CLEBURNE ISD,'09 - 12,S,,,'11
'126903041,CLEBURNE MIDDLE,N,N,R,JOHNSON,'126,NA,A,CLEBURNE ISD,'07 - 08,M,,,'11
'126903102,COLEMAN EL,N,N,NQ,JOHNSON,'126,NA,R,CLEBURNE ISD,'01 - 05,E,,,'11
'126903103,COOKE EL,N,N,NQ,JOHNSON,'126,NA,E,CLEBURNE ISD,'01 - 05,E,,,'11
'126903107,FULTON INT,N,N,R,JOHNSON,'126,NA,A,CLEBURNE ISD,'06 - 06,M,,,'11
'126903108,GERARD EL,N,N,NQ,JOHNSON,'126,NA,R,CLEBURNE ISD,'01 - 05,E,,,'11
'126903003,GUINN LEARNING CTR,N,N,,JOHNSON,'126,NR,N,CLEBURNE ISD,'07 - 12,S,,,'11
'126903104,IRVING EL,N,N,NQ,JOHNSON,'126,NA,A,CLEBURNE ISD,'01 - 05,E,,,'11
'126903105,LONG KINDERGARTEN,N,N,,JOHNSON,'126,NR,N,CLEBURNE ISD,'PK - KG,E,,,'11
'126903106,SANTA FE KIND,N,N,NQ,JOHNSON,'126,NA,R,CLEBURNE ISD,'EE - 01,E,'126903101,ADAMS EL,'11
'126903002,TEAM SCH,N,N,,JOHNSON,'126,PE,1,CLEBURNE ISD,'09 - 12,S,,,'11
'126903110,WASHINGTON ED CTR,N,N,,JOHNSON,'126,NR,N,CLEBURNE ISD,'EE - 11,B,,,'11
'146901001,CLEVELAND H S,N,N,NE,LIBERTY,'146,NE,L,CLEVELAND ISD,'09 - 12,S,,,'04
'146901041,CLEVELAND J H,N,N,NQ,LIBERTY,'146,NA,A,CLEVELAND ISD,'07 - 08,M,,,'04
'146901101,DOUGLASS SCH,N,N,,LIBERTY,'146,NR,N,CLEVELAND ISD,'EE - KG,E,,,'04
'146901104,EASTSIDE INT,N,N,NQ,LIBERTY,'146,NA,A,CLEVELAND ISD,'05 - 06,M,,,'04
'146901002,GULF COAST H S,N,N,,LIBERTY,'146,PE,1,CLEVELAND ISD,'09 - 12,S,,,'04
'146901003,HARDIN/CHAMBERS CTR,N,N,,LIBERTY,'146,PE,1,CLEVELAND ISD,'06 - 11,B,,,'04
'146901102,NORTHSIDE EL,N,N,NQ,LIBERTY,'146,NA,A,CLEVELAND ISD,'03 - 04,E,,,'04
'146901103,SOUTHSIDE PRIMARY,N,N,NQ,LIBERTY,'146,NA,A,CLEVELAND ISD,'KG - 02,E,'146901102,NORTHSIDE EL,'04
'018901101,CLIFTON EL,N,N,NQ,BOSQUE,'018,NA,R,CLIFTON ISD,'EE - 05,E,,,'12
'018901001,CLIFTON H S,N,N,NQ,BOSQUE,'018,NQ,R,CLIFTON ISD,'09 - 12,S,,,'12
'018901041,CLIFTON MIDDLE,N,N,R,BOSQUE,'018,NA,E,CLIFTON ISD,'06 - 08,M,,,'12
'071901043,CARROLL T WELCH MIDDLE,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'06 - 08,M,,,'19
'071901001,CLINT H S,N,N,NQ,EL PASO,'071,NQ,A,CLINT ISD,'09 - 12,S,,,'19
'071901041,CLINT J H,N,N,RM,EL PASO,'071,NA,R,CLINT ISD,'06 - 08,M,,,'19
'071901103,DESERT HILLS EL,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'EE - 05,E,,,'19
'071901042,EAST MONTANA MIDDLE,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'05 - 08,M,,,'19
'071901102,MONTANA VISTA EL,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'03 - 04,E,,,'19
'071901104,MONTANA VISTA PRI,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'PK - 02,E,'071901102,MONTANA VISTA EL,'19
'071901002,MOUNTAIN VIEW H S,N,N,NQ,EL PASO,'071,NQ,R,CLINT ISD,'09 - 12,S,,,'19
'071901003,PATHFINDER ACADEMY,N,N,,EL PASO,'071,PE,1,CLINT ISD,'05 - 12,B,,,'19
'071901101,WM DAVID SURRATT EL,N,N,NQ,EL PASO,'071,NA,A,CLINT ISD,'PK - 05,E,,,'19
'030902101,CLYDE EL,N,N,NQ,CALLAHAN,'030,NA,R,CLYDE CONS ISD,'EE - 03,E,,CLYDE INT,'14
'030902001,CLYDE H S,N,N,R,CALLAHAN,'030,NQ,E,CLYDE CONS ISD,'09 - 12,S,,,'14
'030902103,CLYDE INT,N,N,NQ,CALLAHAN,'030,NA,R,CLYDE CONS ISD,'04 - 06,E,,,'14
'030902041,CLYDE J H,N,N,NQ,CALLAHAN,'030,NA,A,CLYDE CONS ISD,'07 - 08,M,,,'14
'030902102,HAMBY EL,N,N,M,CALLAHAN,'030,NA,E,CLYDE CONS ISD,'KG - 05,E,,,'14
'114902101,COAHOMA EL,N,N,NQ,HOWARD,'114,NA,R,COAHOMA ISD,'PK - 06,E,,,'18
'114902001,COAHOMA H S,N,N,R,HOWARD,'114,NA,E,COAHOMA ISD,'09 - 12,S,,,'18
'114902041,COAHOMA J H,N,N,R,HOWARD,'114,NA,R,COAHOMA ISD,'07 - 08,M,,,'18
'178803001,COASTAL BEND YOUTH CITY,Y,N,,NUECES,'178,NH,H,COASTAL BEND YOUTH CITY,'05 - 12,B,,,'02
'204901103,COLDSPRING-OAKHURST INT,N,N,NQ,SAN JACINTO,'204,NA,A,COLDSPRING-OAKHURST CONS ISD,'03 - 05,E,,,'06
'204901001,JONES H S,N,N,NQ,SAN JACINTO,'204,NQ,R,COLDSPRING-OAKHURST CONS ISD,'09 - 12,S,,,'06
'204901041,LINCOLN J H,N,N,NE,SAN JACINTO,'204,NA,L,COLDSPRING-OAKHURST CONS ISD,'06 - 08,M,,,'06
'204901102,STREET EL,N,N,NQ,SAN JACINTO,'204,NA,A,COLDSPRING-OAKHURST CONS ISD,'EE - 02,E,'204901103,COLDSPRING-OAKHURST INT,'06
'042901002,CO-OP ALTER PROG,N,N,,COLEMAN,'042,PE,1,COLEMAN ISD,'EE - 12,B,,,'15
'042901102,COLEMAN EL,N,N,NQ,COLEMAN,'042,NA,R,COLEMAN ISD,'EE - 05,E,,,'15
'042901001,COLEMAN H S,N,N,RM,COLEMAN,'042,NQ,E,COLEMAN ISD,'09 - 12,S,,,'15
'042901041,COLEMAN J H,N,N,NQ,COLEMAN,'042,NA,R,COLEMAN ISD,'06 - 08,M,,,'15
'021901001,A & M CONS H S,N,N,NQ,BRAZOS,'021,AC,A,COLLEGE STATION ISD,'09 - 12,S,,,'06
'021901102,COLLEGE HILLS EL,N,N,NQ,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901041,COLLEGE STATION J H,N,N,NQ,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'07 - 08,M,,,'06
'021901103,OAKWOOD INT,N,N,NQ,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'05 - 05,E,,,'06
'021901107,PEBBLE CREEK EL,N,N,R,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901105,ROCK PRAIRIE EL,N,N,NQ,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901101,SOUTH KNOLL EL,N,N,R,BRAZOS,'021,NA,R,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901104,SOUTHWOOD VALLEY EL,N,N,RM,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901002,TIMBER ACADEMY,N,N,,BRAZOS,'021,PE,1,COLLEGE STATION ISD,'09 - 12,S,,,'06
'021901106,WILLOW BRANCH INT,N,N,RM,BRAZOS,'021,NA,A,COLLEGE STATION ISD,'06 - 06,M,,,'06
'091902101,COLLINSVILLE EL,N,N,NQ,GRAYSON,'091,NA,E,COLLINSVILLE ISD,'EE - 06,E,,,'10
'091902001,COLLINSVILLE H S,N,N,NQ,GRAYSON,'091,NQ,E,COLLINSVILLE ISD,'07 - 12,S,,,'10
'229901101,COLMESNEIL EL,N,N,NQ,TYLER,'229,NA,R,COLMESNEIL ISD,'KG - 04,E,,,'05
'229901001,COLMESNEIL H S,N,N,R,TYLER,'229,NQ,R,COLMESNEIL ISD,'09 - 12,S,,,'05
'229901041,COLMESNEIL MIDDLE,N,N,NQ,TYLER,'229,NA,A,COLMESNEIL ISD,'05 - 08,M,,,'05
'168901001,COLORADO H S,N,N,NQ,MITCHELL,'168,NQ,A,COLORADO ISD,'09 - 12,S,,,'14
'168901041,COLORADO MIDDLE,N,N,NQ,MITCHELL,'168,NA,A,COLORADO ISD,'06 - 08,M,,,'14
'168901002,HOBBS ALTER ED CO-OP,N,N,,MITCHELL,'168,PE,1,COLORADO ISD,'09 - 11,S,,,'14
'168901101,HUTCHINSON EL,N,N,NQ,MITCHELL,'168,NA,A,COLORADO ISD,'03 - 05,E,,,'14
'168901102,KELLEY EL,N,N,NQ,MITCHELL,'168,NA,A,COLORADO ISD,'EE - 02,E,'168901101,HUTCHINSON EL,'14
'020907005,BRAZORIA CO J J A E P,N,N,,BRAZORIA,'020,NR,N,COLUMBIA-BRAZORIA ISD,'06 - 09,M,,,'04
'020907101,BRAZORIA EL,N,N,R,BRAZORIA,'020,NA,R,COLUMBIA-BRAZORIA ISD,'KG - 04,E,,,'04
'020907103,BRAZORIA INT,N,N,RM,BRAZORIA,'020,NA,E,COLUMBIA-BRAZORIA ISD,'05 - 06,M,,,'04
'020907104,CHARLIE BROWN INT,N,N,RM,BRAZORIA,'020,NA,R,COLUMBIA-BRAZORIA ISD,'05 - 06,M,,,'04
