CAMPUS,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,DISTNAME,GRDSPAN,GRDTYPE,REGION
'109913001,BLUM H S,N,HILL,'109,BLUM ISD,'06 - 12,B,'12
'130901001,BOERNE H S,N,KENDALL,'130,BOERNE ISD,'09 - 12,S,'20
'130901041,BOERNE MIDDLE SCHOOL NORTH,N,KENDALL,'130,BOERNE ISD,'07 - 09,M,'20
'130901042,BOERNE MIDDLE SCHOOL SOUTH,N,KENDALL,'130,BOERNE ISD,'07 - 09,M,'20
'130901101,CURINGTON EL,N,KENDALL,'130,BOERNE ISD,'EE - 06,E,'20
'130901102,FABRA EL,N,KENDALL,'130,BOERNE ISD,'EE - 06,E,'20
'130901103,FAIR OAKS RANCH EL,N,KENDALL,'130,BOERNE ISD,'EE - 06,E,'20
'130901104,KENDALL ELEMENTARY SCHOOL,N,KENDALL,'130,BOERNE ISD,'KG - 06,E,'20
'116916101,BOLES ISD ELEMENTARY,N,HUNT,'116,BOLES ISD,'PK - 04,E,'10
'116916001,BOLES ISD HIGH SCHOOL,N,HUNT,'116,BOLES ISD,'09 - 12,S,'10
'116916041,BOLES MIDDLE SCHOOL,N,HUNT,'116,BOLES ISD,'05 - 08,M,'10
'241901001,BOLING H S,N,WHARTON,'241,BOLING ISD,'09 - 12,S,'03
'241901041,IAGO J H,N,WHARTON,'241,BOLING ISD,'06 - 08,M,'03
'241901101,NEWGULF EL,N,WHARTON,'241,BOLING ISD,'PK - 05,E,'03
'074903001,BONHAM H S,N,FANNIN,'074,BONHAM ISD,'09 - 12,S,'10
'074903102,EVANS EL,N,FANNIN,'074,BONHAM ISD,'04 - 06,E,'10
'074903104,FINLEY-OATES EL,N,FANNIN,'074,BONHAM ISD,'KG - 03,E,'10
'074903041,RATHER J H,N,FANNIN,'074,BONHAM ISD,'07 - 08,M,'10
'074903103,STEPHENSON SCHOOL,N,FANNIN,'074,BONHAM ISD,'EE - PK,E,'10
'148901101,BOOKER EL,N,LIPSCOMB,'148,BOOKER ISD,'PK - 04,E,'16
'148901001,BOOKER JH/H S,N,LIPSCOMB,'148,BOOKER ISD,'05 - 12,B,'16
'017901001,BORDEN COUNTY SCHOOL,N,BORDEN,'017,BORDEN COUNTY ISD,'KG - 12,B,'17
'117901001,BORGER H S,N,HUTCHINSON,'117,BORGER ISD,'09 - 12,S,'16
'117901041,BORGER MIDDLE,N,HUTCHINSON,'117,BORGER ISD,'05 - 08,M,'16
'117901002,C H A M P S,N,HUTCHINSON,'117,BORGER ISD,'09 - 12,S,'16
'117901104,CENTRAL EL,N,HUTCHINSON,'117,BORGER ISD,'PK - 04,E,'16
'117901105,CROCKETT EL,N,HUTCHINSON,'117,BORGER ISD,'PK - 04,E,'16
'117901106,GATEWAY EL,N,HUTCHINSON,'117,BORGER ISD,'EE - 04,E,'16
'161923101,BOSQUEVILLE EL,N,MCLENNAN,'161,BOSQUEVILLE ISD,'PK - 05,E,'12
'161923001,BOSQUEVILLE SCHOOL SECONDARY,N,MCLENNAN,'161,BOSQUEVILLE ISD,'06 - 12,B,'12
'185901101,BOVINA EL,N,PARMER,'185,BOVINA ISD,'PK - 05,E,'16
'185901001,BOVINA H S,N,PARMER,'185,BOVINA ISD,'09 - 12,S,'16
'185901041,BOVINA MIDDLE,N,PARMER,'185,BOVINA ISD,'06 - 08,M,'16
'169901105,BOWIE EL,N,MONTAGUE,'169,BOWIE ISD,'02 - 05,E,'09
'169901001,BOWIE H S,N,MONTAGUE,'169,BOWIE ISD,'09 - 12,S,'09
'169901041,BOWIE J H,N,MONTAGUE,'169,BOWIE ISD,'06 - 08,M,'09
'169901101,BOWIE PRI,N,MONTAGUE,'169,BOWIE ISD,'EE - 01,E,'09
'249902101,BOYD EL,N,WISE,'249,BOYD ISD,'PK - 03,E,'11
'249902001,BOYD H S,N,WISE,'249,BOYD ISD,'09 - 12,S,'11
'249902110,BOYD INT,N,WISE,'249,BOYD ISD,'04 - 06,E,'11
'249902041,BOYD MIDDLE,N,WISE,'249,BOYD ISD,'07 - 08,M,'11
'180901041,BLAKEMORE MIDDLE,N,OLDHAM,'180,BOYS RANCH ISD,'06 - 08,M,'16
'180901001,BOYS RANCH H S,N,OLDHAM,'180,BOYS RANCH ISD,'09 - 12,S,'16
'180901101,MIMI FARLEY ELEMENTARY,N,OLDHAM,'180,BOYS RANCH ISD,'KG - 05,E,'16
'136901002,BRACKETT ALTER,N,KINNEY,'136,BRACKETT ISD,'09 - 11,S,'20
'136901001,BRACKETT H S,N,KINNEY,'136,BRACKETT ISD,'09 - 12,S,'20
'136901041,BRACKETT MIDDLE,N,KINNEY,'136,BRACKETT ISD,'07 - 08,M,'20
'136901101,JONES EL,N,KINNEY,'136,BRACKETT ISD,'PK - 06,E,'20
'160901101,BRADY EL,N,MCCULLOCH,'160,BRADY ISD,'01 - 05,E,'15
'160901001,BRADY H S,N,MCCULLOCH,'160,BRADY ISD,'09 - 12,S,'15
'160901041,BRADY MIDDLE SCHOOL,N,MCCULLOCH,'160,BRADY ISD,'06 - 11,B,'15
'160901103,NORTH WARD PRI,N,MCCULLOCH,'160,BRADY ISD,'EE - KG,E,'15
'008903102,BRAZOS EL,N,AUSTIN,'008,BRAZOS ISD,'EE - 05,E,'06
'008903001,BRAZOS H S,N,AUSTIN,'008,BRAZOS ISD,'09 - 12,S,'06
'008903041,BRAZOS MIDDLE,N,AUSTIN,'008,BRAZOS ISD,'06 - 08,M,'06
'213801001,BRAZOS RIVER CHARTER SCHOOL,Y,SOMERVELL,'213,BRAZOS RIVER CHARTER SCHOOL,'08 - 12,S,'11
'021803001,BRAZOS SCHOOL FOR INQUIRY & CREAT,Y,BRAZOS,'021,BRAZOS SCHOOL FOR INQUIRY & CREATI,'PK - 12,B,'06
'020905102,A P BEUTEL EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905004,ALTER PLACEMENT CTR,N,BRAZORIA,'020,BRAZOSPORT ISD,'03 - 12,B,'04
'020905005,ALTERNATIVE PLACEMENT CENTER,N,BRAZORIA,'020,BRAZOSPORT ISD,'07 - 10,S,'04
'020905006,ALTERNATIVE PLACEMENT CENTER,N,BRAZORIA,'020,BRAZOSPORT ISD,'10 - 12,S,'04
'020905111,BESS BRANNEN EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905001,BRAZOSPORT H S,N,BRAZORIA,'020,BRAZOSPORT ISD,'09 - 12,S,'04
'020905002,BRAZOSWOOD H S,N,BRAZORIA,'020,BRAZOSPORT ISD,'09 - 12,S,'04
'020905041,CLUTE INT,N,BRAZORIA,'020,BRAZOSPORT ISD,'06 - 08,M,'04
'020905107,ELISABET NEY EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905042,FREEPORT INT,N,BRAZORIA,'020,BRAZOSPORT ISD,'07 - 08,M,'04
'020905113,GLADYS POLK EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 05,E,'04
'020905114,GRIFFITH EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'PK - 05,E,'04
'020905106,JANE LONG EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905043,LAKE JACKSON INT,N,BRAZORIA,'020,BRAZOSPORT ISD,'07 - 08,M,'04
'020905104,O A FLEMING EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905109,O M ROBERTS EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'020905116,O'HARA LANIER MIDDLE,N,BRAZORIA,'020,BRAZOSPORT ISD,'05 - 06,M,'04
'020905115,RASCO MIDDLE,N,BRAZORIA,'020,BRAZOSPORT ISD,'05 - 06,M,'04
'020905101,S F AUSTIN EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 06,E,'04
'020905108,T W OGG EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 05,E,'04
'020905110,VELASCO EL,N,BRAZORIA,'020,BRAZOSPORT ISD,'EE - 04,E,'04
'215901002,BRECKENRIDGE ALTER,N,STEPHENS,'215,BRECKENRIDGE ISD,'07 - 07,M,'14
'215901001,BRECKENRIDGE H S,N,STEPHENS,'215,BRECKENRIDGE ISD,'09 - 12,S,'14
'215901041,BRECKENRIDGE J H,N,STEPHENS,'215,BRECKENRIDGE ISD,'07 - 08,M,'14
'215901101,EAST EL,N,STEPHENS,'215,BRECKENRIDGE ISD,'EE - 01,E,'14
'215901102,NORTH EL,N,STEPHENS,'215,BRECKENRIDGE ISD,'02 - 03,E,'14
'215901103,SOUTH EL,N,STEPHENS,'215,BRECKENRIDGE ISD,'04 - 06,E,'14
'198901101,BREMOND EL,N,ROBERTSON,'198,BREMOND ISD,'EE - 05,E,'06
'198901001,BREMOND H S,N,ROBERTSON,'198,BREMOND ISD,'09 - 12,S,'06
'198901041,BREMOND MIDDLE,N,ROBERTSON,'198,BREMOND ISD,'06 - 08,M,'06
'239901101,ALTON EL,N,WASHINGTON,'239,BRENHAM ISD,'PK - 04,E,'06
'239901002,BRENHAM ALTERNATIVE,N,WASHINGTON,'239,BRENHAM ISD,'06 - 12,B,'06
'239901102,BRENHAM EL,N,WASHINGTON,'239,BRENHAM ISD,'EE - 04,E,'06
'239901001,BRENHAM HIGH SCHOOL,N,WASHINGTON,'239,BRENHAM ISD,'09 - 12,S,'06
'239901042,BRENHAM J H,N,WASHINGTON,'239,BRENHAM ISD,'07 - 08,M,'06
'239901041,BRENHAM MIDDLE,N,WASHINGTON,'239,BRENHAM ISD,'05 - 06,M,'06
'239901103,KRAUSE ELEMENTARY,N,WASHINGTON,'239,BRENHAM ISD,'PK - 04,E,'06
'181901001,BRIDGE CITY H S,N,ORANGE,'181,BRIDGE CITY ISD,'09 - 12,S,'05
'181901103,BRIDGE CITY INT,N,ORANGE,'181,BRIDGE CITY ISD,'04 - 06,E,'05
'181901041,BRIDGE CITY J H,N,ORANGE,'181,BRIDGE CITY ISD,'07 - 08,M,'05
'181901101,HATTON ELEMENTARY,N,ORANGE,'181,BRIDGE CITY ISD,'EE - 03,E,'05
'181901102,SIMS EL,N,ORANGE,'181,BRIDGE CITY ISD,'PK - 03,E,'05
'249903002,BRIDGEPORT ACE HIGH SCHOOL,N,WISE,'249,BRIDGEPORT ISD,'09 - 12,S,'11
'249903101,BRIDGEPORT EL,N,WISE,'249,BRIDGEPORT ISD,'EE - 02,E,'11
'249903001,BRIDGEPORT H S,N,WISE,'249,BRIDGEPORT ISD,'09 - 12,S,'11
'249903102,BRIDGEPORT INT,N,WISE,'249,BRIDGEPORT ISD,'03 - 05,E,'11
'249903041,BRIDGEPORT MIDDLE,N,WISE,'249,BRIDGEPORT ISD,'06 - 08,M,'11
'243801001,BRIGHT IDEAS CHARTER,Y,WICHITA,'243,BRIGHT IDEAS CHARTER,'KG - 12,B,'09
'203902101,BROADDUS EL,N,SAN AUGUSTINE,'203,BROADDUS ISD,'PK - 06,E,'07
'203902001,BROADDUS H S,N,SAN AUGUSTINE,'203,BROADDUS ISD,'07 - 12,S,'07
'184909101,BROCK EL,N,PARKER,'184,BROCK ISD,'EE - 06,E,'11
'184909001,BROCK H S,N,PARKER,'184,BROCK ISD,'07 - 12,S,'11
'041901101,BRONTE EL,N,COKE,'041,BRONTE ISD,'EE - 06,E,'15
'041901001,BRONTE H S,N,COKE,'041,BRONTE ISD,'07 - 12,S,'15
'041901003,FAIRVIEW ACCELERATED,N,COKE,'041,BRONTE ISD,'11 - 12,S,'15
'041901002,JUVENILE DETENT CTR,N,COKE,'041,BRONTE ISD,'09 - 12,S,'15
'121902101,BROOKELAND EL,N,JASPER,'121,BROOKELAND ISD,'PK - 06,E,'05
'121902001,BROOKELAND H S,N,JASPER,'121,BROOKELAND ISD,'07 - 12,S,'05
'025908101,BROOKESMITH EL,N,BROWN,'025,BROOKESMITH ISD,'PK - 08,E,'15
'025908001,BROOKESMITH H S,N,BROWN,'025,BROOKESMITH ISD,'09 - 12,S,'15
'024901101,FALFURRIAS ELEM,N,BROOKS,'024,BROOKS COUNTY ISD,'02 - 05,E,'02
'024901001,FALFURRIAS H S,N,BROOKS,'024,BROOKS COUNTY ISD,'09 - 12,S,'02
'024901041,FALFURRIAS J H,N,BROOKS,'024,BROOKS COUNTY ISD,'06 - 08,M,'02
'024901103,LASATER EL,N,BROOKS,'024,BROOKS COUNTY ISD,'PK - 01,E,'02
'223901001,BROWNFIELD H S,N,TERRY,'223,BROWNFIELD ISD,'09 - 12,S,'17
'223901041,BROWNFIELD MIDDLE,N,TERRY,'223,BROWNFIELD ISD,'06 - 08,M,'17
'223901101,COLONIAL HEIGHTS EL,N,TERRY,'223,BROWNFIELD ISD,'EE - 01,E,'17
'223901102,OAK GROVE EL,N,TERRY,'223,BROWNFIELD ISD,'02 - 05,E,'17
'107902002,A L P H A CAMPUS,N,HENDERSON,'107,BROWNSBORO ISD,'10 - 12,S,'07
'107902101,BROWNSBORO EL,N,HENDERSON,'107,BROWNSBORO ISD,'EE - 03,E,'07
'107902001,BROWNSBORO H S,N,HENDERSON,'107,BROWNSBORO ISD,'09 - 12,S,'07
'107902104,BROWNSBORO INT,N,HENDERSON,'107,BROWNSBORO ISD,'02 - 06,E,'07
'107902041,BROWNSBORO J H,N,HENDERSON,'107,BROWNSBORO ISD,'07 - 08,M,'07
'107902103,CHANDLER EL,N,HENDERSON,'107,BROWNSBORO ISD,'PK - 03,E,'07
'107902102,CHANDLER INTERMEDIATE,N,HENDERSON,'107,BROWNSBORO ISD,'04 - 06,E,'07
'031901136,A A CHAMPION,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901135,A X BENAVIDES ELEMENTARY,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901133,BRUCE AIKEN EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901128,BURNS EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901034,CAMERON CO J J A E P,N,CAMERON,'031,BROWNSVILLE ISD,'07 - 12,S,'01
'031901101,CANALES EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901041,CENTRAL MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901116,CLEARWATER EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901102,CROMACK EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901042,CUMMINGS MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901120,DEL CASTILLO EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901137,DR AMERICO PAREDES,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901053,DR JULIET V GARCIA MIDDLE SCHOOL,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901138,DR RUBEN GALLEGOS,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901123,EGLY EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901105,EL JARDIN EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901043,FAULK MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901047,FILEMON B VELA MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901106,GARDEN PARK EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901124,GARZA EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901130,GONZALEZ EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901001,HANNA H S,N,CAMERON,'031,BROWNSVILLE ISD,'09 - 12,S,'01
'031901134,HUBERT R HUDSON EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901115,JOSEPHINE CASTANEDA EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901127,LINCOLN PARK SCH,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 12,B,'01
'031901103,LONGORIA EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901007,LOPEZ H S,N,CAMERON,'031,BROWNSVILLE ISD,'09 - 12,S,'01
'031901132,MARY & FRANK YTURRIA EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901129,MORNINGSIDE EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901045,OLIVEIRA MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901003,PACE H S,N,CAMERON,'031,BROWNSVILLE ISD,'09 - 12,S,'01
'031901122,PALM GROVE EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901121,PEREZ EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901046,PERKINS MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901002,PORTER H S,N,CAMERON,'031,BROWNSVILLE ISD,'09 - 12,S,'01
'031901108,PUTEGNAT EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901104,R L MARTIN EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901048,RAUL BESTEIRO JR MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901109,RESACA EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901004,RIVERA H S,N,CAMERON,'031,BROWNSVILLE ISD,'09 - 12,S,'01
'031901110,RUSSELL EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901051,SEN EDDIE A LUCIO JR MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901111,SHARP EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901112,SKINNER EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901131,SOUTHMOST EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901044,STELL MIDDLE,N,CAMERON,'031,BROWNSVILLE ISD,'06 - 08,M,'01
'031901126,VERMILLION ROAD EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'031901113,VICTORIA HEIGHTS EL,N,CAMERON,'031,BROWNSVILLE ISD,'PK - 05,E,'01
'031901117,VILLA NUEVA EL,N,CAMERON,'031,BROWNSVILLE ISD,'EE - 05,E,'01
'025902042,BROWNWOOD DAEP,N,BROWN,'025,BROWNWOOD ISD,'11 - 11,S,'15
'025902001,BROWNWOOD H S,N,BROWN,'025,BROWNWOOD ISD,'09 - 12,S,'15
'025902108,BROWNWOOD INT,N,BROWN,'025,BROWNWOOD ISD,'05 - 06,M,'15
'025902041,BROWNWOOD MIDDLE,N,BROWN,'025,BROWNWOOD ISD,'07 - 08,M,'15
'025902002,CAREER PREP H S,N,BROWN,'025,BROWNWOOD ISD,'10 - 12,S,'15
'025902101,COGGIN EL,N,BROWN,'025,BROWNWOOD ISD,'04 - 04,E,'15
'025902109,EAST EL,N,BROWN,'025,BROWNWOOD ISD,'PK - 03,E,'15
'025902106,NORTHWEST EL,N,BROWN,'025,BROWNWOOD ISD,'PK - 03,E,'15
'025902107,WOODLAND HEIGHTS EL,N,BROWN,'025,BROWNWOOD ISD,'EE - 03,E,'15
'161919198,B-E ACHIEVEMENT CTR,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'07 - 12,S,'12
'161919101,BRUCEVILLE-EDDY EL,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'EE - 03,E,'12
'161919001,BRUCEVILLE-EDDY H S,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'10 - 12,S,'12
'161919041,BRUCEVILLE-EDDY MIDDLE,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'07 - 09,M,'12
'161919004,CHALLENGE ACADEMY,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'12 - 12,S,'12
'161919042,NEW INTERMEDIATE,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'04 - 06,E,'12
'161919002,OPPORTUNITY LEARNING CTR,N,MCLENNAN,'161,BRUCEVILLE-EDDY ISD,'09 - 12,S,'12
'021902011,ACE CAMPUS,N,BRAZOS,'021,BRYAN ISD,'09 - 12,S,'06
'021902117,ALTON BOWEN ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902115,ANSON JONES ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'03 - 05,E,'06
'021902109,BEN MILAM ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'EE - 02,E,'06
'021902103,BONHAM ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902014,BRAZOS CO JUVENILE DETENTION CENT,N,BRAZOS,'021,BRYAN ISD,'06 - 12,B,'06
'021902015,BRAZOS COUNTY JJAEP,N,BRAZOS,'021,BRYAN ISD,'09 - 09,S,'06
'021902001,BRYAN H S,N,BRAZOS,'021,BRYAN ISD,'09 - 12,S,'06
'021902116,CARVER PRE-K CENTER,N,BRAZOS,'021,BRYAN ISD,'EE - KG,E,'06
'021902105,CROCKETT ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902106,FANNIN ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902107,HENDERSON ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902045,JANE LONG,N,BRAZOS,'021,BRYAN ISD,'06 - 08,M,'06
'021902108,JOHNSON ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902101,KEMP ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902114,MARY BRANCH ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'EE - 05,E,'06
'021902119,MITCHELL ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902113,NAVARRO ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902118,NEAL ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902112,SAM HOUSTON ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'021902046,SAM RAYBURN,N,BRAZOS,'021,BRYAN ISD,'06 - 08,M,'06
'021902012,SPECIAL OPPORTUNITY SCHOOL,N,BRAZOS,'021,BRYAN ISD,'06 - 11,B,'06
'021902041,STEPHEN F AUSTIN,N,BRAZOS,'021,BRYAN ISD,'06 - 08,M,'06
'021902110,SUL ROSS ELEMENTARY,N,BRAZOS,'021,BRYAN ISD,'KG - 05,E,'06
'119901001,BRYSON SCHOOL,N,JACK,'119,BRYSON ISD,'PK - 12,B,'09
'166907001,BUCKHOLTS SCHOOL,N,MILAM,'166,BUCKHOLTS ISD,'PK - 12,B,'06
'186901001,BUENA VISTA SCHOOL,N,PECOS,'186,BUENA VISTA ISD,'PK - 12,B,'18
'145901102,BUFFALO EL,N,LEON,'145,BUFFALO ISD,'PK - 05,E,'06
'145901002,BUFFALO H S,N,LEON,'145,BUFFALO ISD,'09 - 12,S,'06
'145901041,BUFFALO MIDDLE,N,LEON,'145,BUFFALO ISD,'06 - 08,M,'06
'212902101,BULLARD ES,N,SMITH,'212,BULLARD ISD,'PK - 03,E,'07
'212902001,BULLARD H S,N,SMITH,'212,BULLARD ISD,'09 - 12,S,'07
'212902102,BULLARD INTERMEDIATE,N,SMITH,'212,BULLARD ISD,'04 - 05,E,'07
'212902041,BULLARD MS,N,SMITH,'212,BULLARD ISD,'06 - 08,M,'07
'212902002,BULLARD SPECIAL EDUCATION,N,SMITH,'212,BULLARD ISD,'08 - 12,S,'07
'121903101,BUNA EL,N,JASPER,'121,BUNA ISD,'EE - 04,E,'05
'121903001,BUNA H S,N,JASPER,'121,BUNA ISD,'09 - 12,S,'05
'121903041,BUNA J H,N,JASPER,'121,BUNA ISD,'05 - 08,M,'05
'243901002,ALTER ED CTR,N,WICHITA,'243,BURKBURNETT ISD,'10 - 12,S,'09
'243901001,BURKBURNETT H S,N,WICHITA,'243,BURKBURNETT ISD,'09 - 12,S,'09
'243901041,BURKBURNETT MIDDLE SCHOOL,N,WICHITA,'243,BURKBURNETT ISD,'06 - 08,M,'09
'243901104,I C EVANS EL,N,WICHITA,'243,BURKBURNETT ISD,'EE - 05,E,'09
'243901101,JOHN G HARDIN EL,N,WICHITA,'243,BURKBURNETT ISD,'EE - 05,E,'09
'243901103,JOHN G TOWER EL,N,WICHITA,'243,BURKBURNETT ISD,'EE - 05,E,'09
'176901101,BURKEVILLE EL,N,NEWTON,'176,BURKEVILLE ISD,'EE - 06,E,'05
'176901001,BURKEVILLE JR-SR H S,N,NEWTON,'176,BURKEVILLE ISD,'07 - 12,S,'05
'126902108,BRANSOM ELEMENTARY,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'126902001,BURLESON H S,N,JOHNSON,'126,BURLESON ISD,'09 - 12,S,'11
'126902003,CROSSROADS LEARNING CENTER,N,JOHNSON,'126,BURLESON ISD,'09 - 12,S,'11
'126902102,FRAZIER EL,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'126902041,HUGHES MIDDLE SCHOOL,N,JOHNSON,'126,BURLESON ISD,'06 - 08,M,'11
'126902105,JACK TAYLOR EL,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'126902103,MOUND EL,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'126902042,NICK KERR MIDDLE SCHOOL,N,JOHNSON,'126,BURLESON ISD,'06 - 08,M,'11
'126902104,NORWOOD EL,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'126902101,THE ACADEMY AT NOLA DUNN,N,JOHNSON,'126,BURLESON ISD,'KG - 05,E,'11
'126902107,WILLIAM STRIBLING EL,N,JOHNSON,'126,BURLESON ISD,'EE - 05,E,'11
'027903102,BERTRAM EL,N,BURNET,'027,BURNET CONS ISD,'KG - 05,E,'13
'027903101,BURNET EL,N,BURNET,'027,BURNET CONS ISD,'EE - 03,E,'13
'027903001,BURNET H S,N,BURNET,'027,BURNET CONS ISD,'09 - 12,S,'13
'027903041,BURNET MIDDLE,N,BURNET,'027,BURNET CONS ISD,'06 - 08,M,'13
'027903003,QUEST,N,BURNET,'027,BURNET CONS ISD,'09 - 12,S,'13
'027903104,SHADY GROVE EL,N,BURNET,'027,BURNET CONS ISD,'04 - 05,E,'13
'071801001,BURNHAM WOOD CHARTER SCHOOL,Y,EL PASO,'071,BURNHAM WOOD CHARTER SCHOOL,'KG - 05,E,'19
'071801002,BURNHAM WOOD H S,Y,EL PASO,'071,BURNHAM WOOD CHARTER SCHOOL,'09 - 12,S,'19
'239903101,BURTON EL,N,WASHINGTON,'239,BURTON ISD,'PK - 06,E,'06
'239903001,BURTON H S,N,WASHINGTON,'239,BURTON ISD,'07 - 12,S,'06
'188904101,BUSHLAND EL,N,POTTER,'188,BUSHLAND ISD,'EE - 04,E,'16
'188904041,BUSHLAND MIDDLE,N,POTTER,'188,BUSHLAND ISD,'05 - 08,M,'16
'039901001,BYERS SCHOOL,N,CLAY,'039,BYERS ISD,'KG - 12,B,'09
'109902001,BYNUM SCHOOL,N,HILL,'109,BYNUM ISD,'PK - 12,B,'12
'116901101,CADDO MILLS EL,N,HUNT,'116,CADDO MILLS ISD,'EE - 06,E,'10
