CAMPUS,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,DISTNAME,GRDSPAN,GRDTYPE,REGION
'015901104,WOODRIDGE EL,N,BEXAR,'015,ALAMO HEIGHTS ISD,'01 - 05,E,'20
'250906101,ALBA-GOLDEN EL,N,WOOD,'250,ALBA-GOLDEN ISD,'PK - 06,E,'07
'250906001,ALBA-GOLDEN H S,N,WOOD,'250,ALBA-GOLDEN ISD,'07 - 12,S,'07
'250906002,ALTER SCHOOL,N,WOOD,'250,ALBA-GOLDEN ISD,'11 - 12,S,'07
'209901001,ALBANY JR-SR H S,N,SHACKELFORD,'209,ALBANY ISD,'07 - 12,S,'14
'209901101,NANCY SMITH EL,N,SHACKELFORD,'209,ALBANY ISD,'EE - 06,E,'14
'101902001,ALDINE H S,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902099,ALDINE J J A E P,N,HARRIS,'101,ALDINE ISD,'05 - 11,B,'04
'101902041,ALDINE MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902081,ALDINE NINTH GRADE SCHOOL,N,HARRIS,'101,ALDINE ISD,'09 - 09,S,'04
'101902101,ANDERSON ACAD,N,HARRIS,'101,ALDINE ISD,'01 - 03,E,'04
'101902102,BETHUNE ACAD,N,HARRIS,'101,ALDINE ISD,'04 - 05,E,'04
'101902126,BLACK EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902128,CALVERT EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902066,CARAWAY INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902122,CARMICHAEL EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902103,CARROLL ACADEMY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902107,CARTER ELEMENTARY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902002,CARVER H S FOR APPLIED TECH ENGI,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902005,CHESTER W NIMITZ H S,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902123,CONLEY EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902155,DE SANTIAGO EC/PRE-K CENTER,N,HARRIS,'101,ALDINE ISD,'EE - PK,E,'04
'101902042,DREW ACAD,N,HARRIS,'101,ALDINE ISD,'06 - 08,M,'04
'101902124,DUNN EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902061,ECKERT INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902004,EISENHOWER H S,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902084,EISENHOWER NINTH GRADE SCHOOL,N,HARRIS,'101,ALDINE ISD,'09 - 09,S,'04
'101902121,ERMEL EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902063,ESCAMILLA INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902117,EVELYN S THOMPSON EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902105,FRANCIS EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902125,GRAY EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902043,HAMBRICK MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902129,HARRIS ACADEMY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902153,HINOJOSA EC/PRE-K CENTER,N,HARRIS,'101,ALDINE ISD,'EE - PK,E,'04
'101902046,HOFFMAN MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902114,J RUTH SMITH ACADEMY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902116,JOHNSON EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902151,KEEBLE EC/PRE-K CENTER,N,HARRIS,'101,ALDINE ISD,'EE - PK,E,'04
'101902108,LANE SCH,N,HARRIS,'101,ALDINE ISD,'EE - 12,B,'04
'101902303,LAUDER RD HEAD START,N,HARRIS,'101,ALDINE ISD,'PK - PK,E,'04
'101902003,MACARTHUR H S,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902083,MACARTHUR NINTH GRADE SCHOOL,N,HARRIS,'101,ALDINE ISD,'09 - 09,S,'04
'101902120,MAGRILL EL,N,HARRIS,'101,ALDINE ISD,'EE - 04,E,'04
'101902109,MENDEL EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902085,NIMITZ NINTH GRADE SCHOOL,N,HARRIS,'101,ALDINE ISD,'09 - 09,S,'04
'101902069,NORTHWEST INTERMEDIATE,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902111,OLESON EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902112,ORANGE GROVE EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902065,PARKER INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902106,RALPH G GOODMAN,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902113,RAYMOND ACADEMY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902104,REECE ACADEMY,N,HARRIS,'101,ALDINE ISD,'PK - KG,E,'04
'101902068,RUBY REED ACADEMY,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902118,SAMMONS EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902047,SHOTWELL MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902064,STEHLIK INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902119,STEPHENS EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902127,STOVALL ACADEMY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902044,STOVALL MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902048,T S GRANTHAM MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902045,TEAGUE MIDDLE,N,HARRIS,'101,ALDINE ISD,'07 - 08,M,'04
'101902154,VINES EC/PRE-K CENTER,N,HARRIS,'101,ALDINE ISD,'EE - PK,E,'04
'101902006,W T HALL SCHOOL,N,HARRIS,'101,ALDINE ISD,'09 - 12,S,'04
'101902115,WEAVER A ODOM ELEMENTARY,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'101902067,WILSON INT,N,HARRIS,'101,ALDINE ISD,'05 - 06,M,'04
'101902110,WORSHAM EL,N,HARRIS,'101,ALDINE ISD,'KG - 04,E,'04
'184907001,ALEDO HIGH SCHOOL,N,PARKER,'184,ALEDO ISD,'09 - 12,S,'11
'184907002,ALEDO LEARNING CENTER,N,PARKER,'184,ALEDO ISD,'09 - 12,S,'11
'184907041,ALEDO MIDDLE SCHOOL,N,PARKER,'184,ALEDO ISD,'06 - 08,M,'11
'184907102,CODER ELEMENTARY,N,PARKER,'184,ALEDO ISD,'EE - 04,E,'11
'184907103,STUARD ELEMENTARY,N,PARKER,'184,ALEDO ISD,'KG - 04,E,'11
'184907101,VANDAGRIFF ELEMENTARY,N,PARKER,'184,ALEDO ISD,'KG - 05,E,'11
'125901043,ADAMS MIDDLE,N,JIM WELLS,'125,ALICE ISD,'07 - 08,M,'02
'125901001,ALICE H S,N,JIM WELLS,'125,ALICE ISD,'09 - 12,S,'02
'125901041,DUBOSE INTERMEDIATE,N,JIM WELLS,'125,ALICE ISD,'05 - 06,M,'02
'125901102,GARCIA EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'125901101,HILLCREST EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'125901042,MEMORIAL INTERMEDIATE,N,JIM WELLS,'125,ALICE ISD,'05 - 06,M,'02
'125901103,NAYER EL,N,JIM WELLS,'125,ALICE ISD,'EE - 04,E,'02
'125901104,NOONAN EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'125901105,SAENZ EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'125901106,SALAZAR EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'125901107,SCHALLERT EL,N,JIM WELLS,'125,ALICE ISD,'KG - 04,E,'02
'101903199,ADMIN SERVICES,N,HARRIS,'101,ALIEF ISD,'EE - 11,B,'04
'101903045,ALBRIGHT MIDDLE,N,HARRIS,'101,ALIEF ISD,'07 - 08,M,'04
'101903114,ALEXANDER EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903047,ALIEF ISD J J A E P,N,HARRIS,'101,ALIEF ISD,'07 - 12,S,'04
'101903041,ALIEF MIDDLE,N,HARRIS,'101,ALIEF ISD,'06 - 09,M,'04
'101903118,BEST EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903102,BOONE EL,N,HARRIS,'101,ALIEF ISD,'PK - 04,E,'04
'101903121,BUSH EL,N,HARRIS,'101,ALIEF ISD,'PK - 05,E,'04
'101903104,CHAMBERS EL,N,HARRIS,'101,ALIEF ISD,'PK - 04,E,'04
'101903108,CHANCELLOR EL,N,HARRIS,'101,ALIEF ISD,'EE - 05,E,'04
'101903122,COLLINS ELEMENTARY,N,HARRIS,'101,ALIEF ISD,'PK - 05,E,'04
'101903112,CUMMINGS EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903002,ELSIK H S,N,HARRIS,'101,ALIEF ISD,'09 - 12,S,'04
'101903001,HASTINGS H S,N,HARRIS,'101,ALIEF ISD,'09 - 12,S,'04
'101903115,HEARNE EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903111,HEFLIN EL,N,HARRIS,'101,ALIEF ISD,'PK - 05,E,'04
'101903120,HICKS EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903044,HOLUB MIDDLE,N,HARRIS,'101,ALIEF ISD,'07 - 08,M,'04
'101903107,KENNEDY EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903006,KERR H S,N,HARRIS,'101,ALIEF ISD,'09 - 12,S,'04
'101903043,KILLOUGH MIDDLE,N,HARRIS,'101,ALIEF ISD,'07 - 08,M,'04
'101903141,KLENTZMAN INT,N,HARRIS,'101,ALIEF ISD,'05 - 06,M,'04
'101903116,LANDIS EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903109,LIESTMAN EL,N,HARRIS,'101,ALIEF ISD,'EE - 05,E,'04
'101903106,MAHANAY EL,N,HARRIS,'101,ALIEF ISD,'EE - 05,E,'04
'101903103,MARTIN EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903143,MATA INTERMEDIATE,N,HARRIS,'101,ALIEF ISD,'05 - 06,M,'04
'101903144,MILLER INTERMEDIATE,N,HARRIS,'101,ALIEF ISD,'05 - 06,M,'04
'101903046,O'DONNELL MIDDLE,N,HARRIS,'101,ALIEF ISD,'06 - 08,M,'04
'101903042,OLLE MIDDLE,N,HARRIS,'101,ALIEF ISD,'07 - 08,M,'04
'101903119,OUTLEY EL,N,HARRIS,'101,ALIEF ISD,'EE - 06,E,'04
'101903140,OWENS INT,N,HARRIS,'101,ALIEF ISD,'05 - 06,M,'04
'101903110,PETROSKY EL,N,HARRIS,'101,ALIEF ISD,'EE - 04,E,'04
'101903113,REES EL,N,HARRIS,'101,ALIEF ISD,'PK - 04,E,'04
'101903105,SMITH EL,N,HARRIS,'101,ALIEF ISD,'PK - 04,E,'04
'101903117,SNEED EL,N,HARRIS,'101,ALIEF ISD,'KG - 05,E,'04
'101903003,TAYLOR HIGH SCHOOL,N,HARRIS,'101,ALIEF ISD,'09 - 11,S,'04
'101903101,YOUENS EL,N,HARRIS,'101,ALIEF ISD,'EE - 05,E,'04
'101903142,YOUNGBLOOD INT,N,HARRIS,'101,ALIEF ISD,'05 - 06,M,'04
'101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,HARRIS,'101,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 06,E,'04
'043901001,ALLEN H S,N,COLLIN,'043,ALLEN ISD,'09 - 12,S,'10
'043901102,ALTON BOYD EL,N,COLLIN,'043,ALLEN ISD,'KG - 06,E,'10
'043901105,ALVIS C STORY EL,N,COLLIN,'043,ALLEN ISD,'EE - 06,E,'10
'043901110,BOLIN ELEMENTARY SCHOOL,N,COLLIN,'043,ALLEN ISD,'EE - 06,E,'10
'043901101,D L ROUNTREE EL,N,COLLIN,'043,ALLEN ISD,'EE - 06,E,'10
'043901107,FLOSSIE FLOYD GREEN EL,N,COLLIN,'043,ALLEN ISD,'KG - 06,E,'10
'043901108,FRANCES E NORTON EL,N,COLLIN,'043,ALLEN ISD,'EE - 06,E,'10
'043901104,GENE M REED EL,N,COLLIN,'043,ALLEN ISD,'EE - 06,E,'10
'043901109,GEORGE J ANDERSON EL,N,COLLIN,'043,ALLEN ISD,'KG - 06,E,'10
'043901111,KERR ELEMENTARY SCHOOL,N,COLLIN,'043,ALLEN ISD,'KG - 06,E,'10
'043901002,LOWERY FRESHMAN CENTER,N,COLLIN,'043,ALLEN ISD,'09 - 09,S,'10
'043901106,MAX O VAUGHAN EL,N,COLLIN,'043,ALLEN ISD,'KG - 06,E,'10
'043901042,W E PETE FORD MIDDLE,N,COLLIN,'043,ALLEN ISD,'07 - 08,M,'10
'043901043,WALTER & LOIS CURTIS MIDDLE,N,COLLIN,'043,ALLEN ISD,'07 - 08,M,'10
'242904001,ALLISON SCHOOL,N,WHEELER,'242,ALLISON ISD,'PK - 12,B,'16
'057832001,ALPHA CHARTER SCHOOL,Y,DALLAS,'057,ALPHA CHARTER SCHOOL,'KG - 12,B,'10
'101817001,ALPHONSO CRUTCH'S-LIFE SUPPORT CE,Y,HARRIS,'101,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,'06 - 12,B,'04
'022901101,ALPINE EL,N,BREWSTER,'022,ALPINE ISD,'EE - 04,E,'18
'022901001,ALPINE H S,N,BREWSTER,'022,ALPINE ISD,'09 - 12,S,'18
'022901041,ALPINE MIDDLE,N,BREWSTER,'022,ALPINE ISD,'05 - 08,M,'18
'037901101,ALTO EL,N,CHEROKEE,'037,ALTO ISD,'PK - 04,E,'07
'037901001,ALTO H S,N,CHEROKEE,'037,ALTO ISD,'09 - 12,S,'07
'037901041,ALTO MIDDLE,N,CHEROKEE,'037,ALTO ISD,'05 - 08,M,'07
'126901102,ALVARADO EL-NORTH,N,JOHNSON,'126,ALVARADO ISD,'EE - 04,E,'11
'126901101,ALVARADO EL-SOUTH,N,JOHNSON,'126,ALVARADO ISD,'PK - 04,E,'11
'126901001,ALVARADO H S,N,JOHNSON,'126,ALVARADO ISD,'08 - 12,S,'11
'126901104,ALVARADO INT,N,JOHNSON,'126,ALVARADO ISD,'05 - 08,M,'11
'126901041,ALVARADO J H,N,JOHNSON,'126,ALVARADO ISD,'07 - 08,M,'11
'126901103,LILLIAN EL,N,JOHNSON,'126,ALVARADO ISD,'EE - 04,E,'11
'020901101,ALVIN EL,N,BRAZORIA,'020,ALVIN ISD,'04 - 06,E,'04
'020901001,ALVIN HIGH SCHOOL,N,BRAZORIA,'020,ALVIN ISD,'EE - 12,B,'04
'020901041,ALVIN J H,N,BRAZORIA,'020,ALVIN ISD,'07 - 08,M,'04
'020901102,ALVIN PRI,N,BRAZORIA,'020,ALVIN ISD,'EE - 03,E,'04
'020901044,ASSETS LEARNING CTR,N,BRAZORIA,'020,ALVIN ISD,'07 - 08,M,'04
'020901004,BRAZORIA CO J J A E P,N,BRAZORIA,'020,ALVIN ISD,'07 - 10,S,'04
'020901200,DAY STAR RESIDENTIAL,N,BRAZORIA,'020,ALVIN ISD,'KG - 12,B,'04
'020901110,DON JETER ELEMENTARY,N,BRAZORIA,'020,ALVIN ISD,'PK - 06,E,'04
'020901105,E C MASON PRI,N,BRAZORIA,'020,ALVIN ISD,'EE - 06,E,'04
'020901043,G W HARBY J H,N,BRAZORIA,'020,ALVIN ISD,'07 - 08,M,'04
'020901109,HOOD-CASE EL,N,BRAZORIA,'020,ALVIN ISD,'EE - 06,E,'04
