CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'123801101,NH,ACADEMY OF BEAUMONT,Y,N,,JEFFERSON,'123,H,ACADEMY OF BEAUMONT,'KG - 06,E,,,'05
'057810101,NH,ACADEMY OF DALLAS,Y,N,,DALLAS,'057,H,ACADEMY OF DALLAS,'KG - 06,E,,,'10
'101808101,NA,ACADEMY OF HOUSTON,Y,N,NE,HARRIS,'101,L,ACADEMY OF HOUSTON,'KG - 07,E,,,'04
'015809101,NH,ACADEMY OF SAN ANTONIO,Y,N,,BEXAR,'015,H,ACADEMY OF SAN ANTONIO,'KG - 06,E,,,'20
'212801101,PE,ACADEMY OF SKILLS & KNOWLEDGE,Y,N,,SMITH,'212,2,ACADEMY OF SKILLS & KNOWLEDGE,'03 - 08,E,,,'07
'178801001,PE,ACADEMY OF TRANSITIONAL STUDIES,Y,N,,NUECES,'178,2,ACADEMY OF TRANSITIONAL STUDIES,'06 - 12,B,,,'02
'178801101,NI,G C C L R EMERGENCY SHELTER/ASSESS,Y,N,,NUECES,'178,I,ACADEMY OF TRANSITIONAL STUDIES,'02 - 10,B,,,'02
'180903001,T,ADRIAN SCHOOL,N,N,NQ,OLDHAM,'180,E,ADRIAN ISD,'KG - 12,B,,,'16
'178901101,NA,AGUA DULCE ELEMENTARY SCHOOL,N,N,R,NUECES,'178,R,AGUA DULCE ISD,'PK - 06,E,,,'02
'178901001,NQ,AGUA DULCE H S,N,N,NQ,NUECES,'178,R,AGUA DULCE ISD,'07 - 12,S,,,'02
'015901001,NQ,ALAMO HEIGHTS H S,N,N,R,BEXAR,'015,A,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901041,NA,ALAMO HEIGHTS J H,N,N,NQ,BEXAR,'015,R,ALAMO HEIGHTS ISD,'06 - 08,M,,,'20
'015901002,NO,BEXAR CO J J A E P,N,N,,BEXAR,'015,X,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901101,NA,CAMBRIDGE EL,N,N,NQ,BEXAR,'015,A,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'015901102,NR,HOWARD EL,N,N,,BEXAR,'015,N,ALAMO HEIGHTS ISD,'EE - KG,E,,,'20
'015901104,NA,WOODRIDGE EL,N,N,NQ,BEXAR,'015,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'250906101,NA,ALBA-GOLDEN EL,N,N,NQ,WOOD,'250,R,ALBA-GOLDEN ISD,'EE - 06,E,,,'07
'250906001,NQ,ALBA-GOLDEN H S,N,N,NQ,WOOD,'250,A,ALBA-GOLDEN ISD,'07 - 12,S,,,'07
'250906002,PE,ALTER SCHOOL,N,N,,WOOD,'250,1,ALBA-GOLDEN ISD,'10 - 12,S,,,'07
'209901001,NQ,ALBANY JR-SR H S,N,N,M,SHACKELFORD,'209,E,ALBANY ISD,'07 - 12,S,,,'14
'209901101,NA,NANCY SMITH EL,N,N,NQ,SHACKELFORD,'209,R,ALBANY ISD,'EE - 06,E,,,'14
'101902001,NQ,ALDINE H S,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902099,NO,ALDINE J J A E P,N,N,,HARRIS,'101,X,ALDINE ISD,'07 - 11,S,,,'04
'101902041,NA,ALDINE MIDDLE,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902081,NA,ALDINE NINTH GRADE SCHOOL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902001,ALDINE H S,'04
'101902101,NA,ANDERSON ACAD,N,N,NQ,HARRIS,'101,E,ALDINE ISD,'01 - 03,E,'101902102,BETHUNE ACAD,'04
'101902102,NA,BETHUNE ACAD,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'04 - 05,E,,,'04
'101902126,NA,BLACK EL,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902128,NA,CALVERT EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902066,NA,CARAWAY INT,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902122,NA,CARMICHAEL EL,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'EE - 04,E,,,'04
'101902103,NA,CARROLL ACADEMY,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902107,NA,CARTER ELEMENTARY,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902002,NQ,"CARVER H S FOR APPLIED TECH, ENGI",N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902005,NQ,CHESTER W NIMITZ H S,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902123,NA,CONLEY EL,N,N,NQ,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902155,NR,DE SANTIAGO EC/PRE-K CENTER,N,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
