CAMPUS,YEAR,C20CAA12R,C20CAA13R,C20CC12R,C20CC13R,C20CSA12R,C20CSA13R,C20CT12R,C20CT13R,C2CRB12R,C2CRB13R,C2CRM12R,C2CRM13R,C2CRR12R,C2CRR13R,C30CAA12R,C30CAA13R,C30CC12R,C30CC13R,C30CSA12R,C30CSA13R,C30CT12R,C30CT13R,C3CRB12R,C3CRB13R,C3CRM12R,C3CRM13R,C3CRR12R,C3CRR13R,C40CAA12R,C40CAA13R,C40CC12R,C40CC13R,C40CSA12R,C40CSA13R,C40CT12R,C40CT13R,C4CRB12R,C4CRB13R,C4CRM12R,C4CRM13R,C4CRR12R,C4CRR13R,CA0CAA12R,CA0CAA13R,CA0CC12R,CA0CC13R,CA0CSA12R,CA0CSA13R,CA0CT12R,CA0CT13R,CACRB12R,CACRB13R,CACRM12R,CACRM13R,CACRR12R,CACRR13R,CB0CAA12R,CB0CAA13R,CB0CC12R,CB0CC13R,CB0CSA12R,CB0CSA13R,CB0CT12R,CB0CT13R,CBCRB12R,CBCRB13R,CBCRM12R,CBCRM13R,CBCRR12R,CBCRR13R,CE0CAA12R,CE0CAA13R,CE0CC12R,CE0CC13R,CE0CSA12R,CE0CSA13R,CE0CT12R,CE0CT13R,CECRB12R,CECRB13R,CECRM12R,CECRM13R,CECRR12R,CECRR13R,CF0CAA12R,CF0CAA13R,CF0CC12R,CF0CC13R,CF0CSA12R,CF0CSA13R,CF0CT12R,CF0CT13R,CFCRB12R,CFCRB13R,CFCRM12R,CFCRM13R,CFCRR12R,CFCRR13R,CH0CAA12R,CH0CAA13R,CH0CC12R,CH0CC13R,CH0CSA12R,CH0CSA13R,CH0CT12R,CH0CT13R,CHCRB12R,CHCRB13R,CHCRM12R,CHCRM13R,CHCRR12R,CHCRR13R,CI0CAA12R,CI0CAA13R,CI0CC12R,CI0CC13R,CI0CSA12R,CI0CSA13R,CI0CT12R,CI0CT13R,CICRB12R,CICRB13R,CICRM12R,CICRM13R,CICRR12R,CICRR13R,CLCRB12R,CLCRB13R,CLCRM12R,CLCRM13R,CLCRR12R,CLCRR13R,CM0CAA12R,CM0CAA13R,CM0CC12R,CM0CC13R,CM0CSA12R,CM0CSA13R,CM0CT12R,CM0CT13R,CMCRB12R,CMCRB13R,CMCRM12R,CMCRM13R,CMCRR12R,CMCRR13R,CRCRB12R,CRCRB13R,CRCRM12R,CRCRM13R,CRCRR12R,CRCRR13R,CSCRB12R,CSCRB13R,CSCRM12R,CSCRM13R,CSCRR12R,CSCRR13R,CW0CAA12R,CW0CAA13R,CW0CC12R,CW0CC13R,CW0CSA12R,CW0CSA13R,CW0CT12R,CW0CT13R,CWCRB12R,CWCRB13R,CWCRM12R,CWCRM13R,CWCRR12R,CWCRR13R
'001906002,2014,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.9,21.5,14.3,16.7,1284,-1,77.8,31.6,56,47,69,56,71,75,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,20,-1,38,-1,56,-1,56,19.1,-1,10,-1,1284,.,83.3,22.2,55,38,73,50,67,75,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,-1,66.7,40,60,57,60,63,80,75,-1,38,-1,50,-1,78,.,.,.,.,-1,-1,21.8,22,22.2,20,1280,-1,75,31.3,55,46,73,57,67,77
'001906040,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906102,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907001,2014,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,19.7,19.9,16.7,26.8,1392,1349,30.2,41,47,49,73,70,54,59,-1,17.2,8.3,4.3,1239,1065,34.3,41.1,38,26,59,46,48,47,-1,17.4,12.5,7.1,1347,1168,25.3,31.8,45,39,71,65,53,50,20.8,22.7,13.6,24.4,1371,1386,40,42.7,53,51,78,64,62,64,.,-1,30,4.8,1491,1294,16.1,27.3,45,38,79,70,51,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,18.7,20,29.3,1420,1305,23.8,39.4,42,47,68,76,48,55,32,30,65,55,38,44,-1,0,-1,14,-1,13,21,21.3,18.8,51.4,1450,1540,43.2,55.6,55,80,73,89,66,82
'001907041,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907101,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907102,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001908002,2014,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-2,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,19.3,13.5,12.5,1417,1403,51,53.9,53,45,66,83,61,48,-1,17.3,0,6.7,1243,1167,30,68.2,38,38,44,71,63,43,21,17.9,7.1,5,1375,1162,33.3,57.1,45,42,61,74,50,48,19.6,19.5,12.1,14.8,1460,1453,63.5,60,51,51,60,85,62,56,-1,19.3,0,0,-1,-1,46.2,43.8,67,53,78,87,67,53,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,20.6,19,15.8,9.5,1337,1344,38,47.7,55,38,71,82,60,39,26,35,37,71,44,37,0,-1,11,-1,20,0,20.2,21.1,18.9,19,1467,1585,55.2,45.7,55,47,68,89,61,50
