CAMPUS,CAMPNAME,REGION,CFLCHART,C_RATING,CSUPRATE,CIADDACK,CFLYRE,COUNTY,CNTYNAME,PAIRCAMP,PAIRNAME,GRDSPAN,GRDTYPE,DISTNAME
'114902101,COAHOMA EL,'18,N,R,NA,NQ,N,'114,HOWARD,,,'PK - 06,E,COAHOMA ISD
'114902001,COAHOMA H S,'18,N,R,NQ,NQ,N,'114,HOWARD,,,'09 - 12,S,COAHOMA ISD
'114902041,COAHOMA J H,'18,N,R,NA,NQ,N,'114,HOWARD,,,'07 - 08,M,COAHOMA ISD
'204901103,COLDSPRING-OAKHURST INT,'06,N,A,NA,NQ,N,'204,SAN JACINTO,,,'03 - 05,E,COLDSPRING-OAKHURST CONS ISD
'204901001,JONES H S,'06,N,R,NQ,NQ,N,'204,SAN JACINTO,,,'09 - 12,S,COLDSPRING-OAKHURST CONS ISD
'204901041,LINCOLN J H,'06,N,A,NA,NQ,N,'204,SAN JACINTO,,,'06 - 08,M,COLDSPRING-OAKHURST CONS ISD
'204901102,STREET EL,'06,N,A,NA,NQ,N,'204,SAN JACINTO,'204901103,COLDSPRING-OAKHURST INT,'EE - 02,E,COLDSPRING-OAKHURST CONS ISD
'042901002,CO-OP ALTER PROG,'15,N,1,PE,,N,'042,COLEMAN,,,'09 - 12,S,COLEMAN ISD
'042901102,COLEMAN EL,'15,N,R,NA,NQ,N,'042,COLEMAN,,,'EE - 05,E,COLEMAN ISD
'042901001,COLEMAN H S,'15,N,R,NQ,NQ,N,'042,COLEMAN,,,'09 - 12,S,COLEMAN ISD
'042901041,COLEMAN J H,'15,N,A,NA,NQ,N,'042,COLEMAN,,,'06 - 08,M,COLEMAN ISD
'021901001,A & M CONS H S,'06,N,A,NQ,NQ,N,'021,BRAZOS,,,'09 - 12,S,COLLEGE STATION ISD
'021901102,COLLEGE HILLS EL,'06,N,E,NA,R,N,'021,BRAZOS,,,'EE - 04,E,COLLEGE STATION ISD
'021901041,COLLEGE STATION J H,'06,N,A,NA,NQ,N,'021,BRAZOS,,,'07 - 08,M,COLLEGE STATION ISD
'021901149,DESERT HILLS,'06,N,1,PE,,N,'021,BRAZOS,,,'05 - 12,B,COLLEGE STATION ISD
'021901103,OAKWOOD INT,'06,N,A,NA,NQ,N,'021,BRAZOS,,,'05 - 05,E,COLLEGE STATION ISD
'021901107,PEBBLE CREEK EL,'06,N,E,NA,M,N,'021,BRAZOS,,,'EE - 04,E,COLLEGE STATION ISD
'021901105,ROCK PRAIRIE EL,'06,N,R,NA,R,N,'021,BRAZOS,,,'EE - 04,E,COLLEGE STATION ISD
'021901101,SOUTH KNOLL EL,'06,N,R,NA,NQ,N,'021,BRAZOS,,,'EE - 04,E,COLLEGE STATION ISD
'021901104,SOUTHWOOD VALLEY EL,'06,N,A,NA,NQ,N,'021,BRAZOS,,,'EE - 04,E,COLLEGE STATION ISD
'021901002,TIMBER ACADEMY,'06,N,2,PE,,N,'021,BRAZOS,,,'09 - 12,S,COLLEGE STATION ISD
'021901106,WILLOW BRANCH INT,'06,N,A,NA,R,N,'021,BRAZOS,,,'06 - 06,M,COLLEGE STATION ISD
'091902102,COLLINSVILLE EL,'10,N,R,NA,NQ,N,'091,GRAYSON,,,'PK - 04,E,COLLINSVILLE ISD
'091902001,COLLINSVILLE H S,'10,N,R,NQ,NQ,N,'091,GRAYSON,,,'09 - 12,S,COLLINSVILLE ISD
'091902101,COLLINSVILLE INT,'10,N,E,NA,RM,N,'091,GRAYSON,,,'05 - 06,M,COLLINSVILLE ISD
'091902041,COLLINSVILLE MIDDLE,'10,N,R,NA,NQ,N,'091,GRAYSON,,,'07 - 08,M,COLLINSVILLE ISD
'229901101,COLMESNEIL EL,'05,N,A,NA,NQ,N,'229,TYLER,,,'KG - 04,E,COLMESNEIL ISD
'229901001,COLMESNEIL H S,'05,N,R,NQ,R,N,'229,TYLER,,,'09 - 12,S,COLMESNEIL ISD
'229901041,COLMESNEIL MIDDLE,'05,N,A,NA,NQ,N,'229,TYLER,,,'05 - 08,M,COLMESNEIL ISD
'168901001,COLORADO H S,'14,N,A,NQ,NQ,N,'168,MITCHELL,,,'09 - 12,S,COLORADO ISD
'168901041,COLORADO MIDDLE,'14,N,A,NA,R,N,'168,MITCHELL,,,'06 - 08,M,COLORADO ISD
'168901002,HOBBS ALTER ED CO-OP,'14,N,1,PE,,N,'168,MITCHELL,,,'10 - 12,S,COLORADO ISD
'168901101,HUTCHINSON EL,'14,N,A,NA,NQ,N,'168,MITCHELL,,,'03 - 05,E,COLORADO ISD
'168901102,KELLEY EL,'14,N,A,NA,NQ,N,'168,MITCHELL,'168901101,HUTCHINSON EL,'EE - 02,E,COLORADO ISD
'020907005,BRAZORIA CO J J A E P,'04,N,3,PE,,N,'020,BRAZORIA,,,'09 - 09,S,COLUMBIA-BRAZORIA ISD
'020907101,BRAZORIA EL,'04,N,A,NA,R,N,'020,BRAZORIA,,,'01 - 04,E,COLUMBIA-BRAZORIA ISD
'020907103,BRAZORIA INT,'04,N,E,NA,RM,N,'020,BRAZORIA,,,'05 - 06,M,COLUMBIA-BRAZORIA ISD
'020907104,CHARLIE BROWN INT,'04,N,R,NA,R,N,'020,BRAZORIA,,,'05 - 06,M,COLUMBIA-BRAZORIA ISD
'020907001,COLUMBIA H S,'04,N,A,NQ,NQ,N,'020,BRAZORIA,,,'09 - 12,S,COLUMBIA-BRAZORIA ISD
'020907105,HENRY O TANNER EL,'04,N,N,NR,,N,'020,BRAZORIA,,,'EE - KG,E,COLUMBIA-BRAZORIA ISD
'020907102,WEST COLUMBIA EL,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'KG - 04,E,COLUMBIA-BRAZORIA ISD
'020907042,WEST COLUMBIA J H,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'07 - 08,M,COLUMBIA-BRAZORIA ISD
'020907106,WILD PEACH EL,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'01 - 04,E,COLUMBIA-BRAZORIA ISD
'045902101,COLUMBUS EL,'03,N,A,NA,NQ,N,'045,COLORADO,,,'EE - 06,E,COLUMBUS ISD
'045902001,COLUMBUS H S,'03,N,R,NQ,NQ,N,'045,COLORADO,,,'09 - 12,S,COLUMBUS ISD
'045902041,COLUMBUS J H,'03,N,A,NA,M,N,'045,COLORADO,,,'07 - 08,M,COLUMBUS ISD
'046902110,ARLON R SEAY INT,'13,N,R,NA,R,N,'046,COMAL,,,'05 - 06,M,COMAL ISD
'046902107,BILL BROWN EL,'13,N,A,NA,NQ,N,'046,COMAL,,,'PK - 04,E,COMAL ISD
'046902101,BULVERDE EL,'13,N,R,NA,NQ,N,'046,COMAL,,,'03 - 04,E,COMAL ISD
'046902001,CANYON H S,'13,N,A,NQ,NQ,N,'046,COMAL,,,'09 - 12,S,COMAL ISD
'046902108,CANYON INT,'13,N,R,NA,R,N,'046,COMAL,,,'05 - 06,M,COMAL ISD
'046902042,CANYON MIDDLE,'13,N,A,NA,NQ,N,'046,COMAL,,,'07 - 08,M,COMAL ISD
'046902102,COMAL EL,'13,N,R,NA,R,N,'046,COMAL,,,'EE - 04,E,COMAL ISD
'046902201,COMAL LEADERSHIP INSTITUTE,'13,N,1,PE,,N,'046,COMAL,,,'06 - 12,B,COMAL ISD
'046902104,FRAZIER EL,'13,N,A,NA,NQ,N,'046,COMAL,,,'02 - 04,E,COMAL ISD
'046902103,GOODWIN PRI,'13,N,A,NA,NQ,N,'046,COMAL,'046902104,FRAZIER EL,'EE - 01,E,COMAL ISD
'046902105,MOUNTAIN VALLEY EL,'13,N,A,NA,NQ,N,'046,COMAL,,,'EE - 04,E,COMAL ISD
'046902109,MOUNTAIN VALLEY INT,'13,N,R,NA,R,N,'046,COMAL,,,'05 - 06,M,COMAL ISD
'046902043,NEW LIFE TREATMENT CTR,'13,N,N,NR,,N,'046,COMAL,,,'07 - 11,S,COMAL ISD
'046902106,RAHE PRI,'13,N,R,NA,NQ,N,'046,COMAL,,BULVERDE EL,'EE - 04,E,COMAL ISD
'046902002,SMITHSON VALLEY H S,'13,N,A,NQ,NQ,N,'046,COMAL,,,'09 - 12,S,COMAL ISD
'046902041,SMITHSON VALLEY MIDDLE,'13,N,A,NA,NQ,N,'046,COMAL,,,'08 - 08,M,COMAL ISD
'046902044,SPRING BRANCH MIDDLE,'13,N,R,NA,NQ,N,'046,COMAL,,,'07 - 07,M,COMAL ISD
'047901001,COMANCHE H S,'14,N,A,NQ,NQ,N,'047,COMANCHE,,,'09 - 12,S,COMANCHE ISD
'047901102,COMANCHE INT,'14,N,R,NA,R,N,'047,COMANCHE,,,'03 - 05,E,COMANCHE ISD
'047901101,COMANCHE PRI,'14,N,R,NA,RM,N,'047,COMANCHE,'047901102,COMANCHE INT,'EE - 02,E,COMANCHE ISD
'047901041,JEFFERIES J H,'14,N,A,NA,NQ,N,'047,COMANCHE,,,'06 - 08,M,COMANCHE ISD
'130902101,COMFORT EL,'13,N,R,NA,NQ,N,'130,KENDALL,,,'EE - 04,E,COMFORT ISD
'130902001,COMFORT H S,'13,N,R,NQ,NQ,N,'130,KENDALL,,,'09 - 12,S,COMFORT ISD
'130902041,COMFORT MIDDLE,'13,N,A,NA,R,N,'130,KENDALL,,,'05 - 08,M,COMFORT ISD
'116903104,ALBERT C WILLIAMS EL,'10,N,A,NA,NQ,N,'116,HUNT,,,'04 - 06,E,COMMERCE ISD
'116903101,COMMERCE EL,'10,N,A,NA,NQ,N,'116,HUNT,,A. C. WILLIAMS ELEM.,'EE - 04,E,COMMERCE ISD
'116903001,COMMERCE H S,'10,N,A,NQ,NQ,N,'116,HUNT,,,'09 - 12,S,COMMERCE ISD
'116903043,COMMERCE MIDDLE,'10,N,E,NA,NQ,N,'116,HUNT,,,'07 - 08,M,COMMERCE ISD
'043918001,COMMUNITY H S,'10,N,R,NQ,NQ,N,'043,COLLIN,,,'09 - 12,S,COMMUNITY ISD
'043918041,COMMUNITY MIDDLE,'10,N,R,NA,NQ,N,'043,COLLIN,,,'05 - 08,M,COMMUNITY ISD
'043918101,MCCLENDON EL,'10,N,A,NA,NQ,N,'043,COLLIN,,,'PK - 04,E,COMMUNITY ISD
'112908001,COMO-PICKTON SCHOOL,'08,N,A,NQ,NQ,N,'112,HOPKINS,,,'EE - 12,B,COMO-PICKTON CISD
'233903001,COMSTOCK SCHOOL,'15,N,R,NQ,NQ,N,'233,VAL VERDE,,,'KG - 12,B,COMSTOCK ISD
'161921002,ALTERNATIVE CTR,'12,N,L,NA,NE,N,'161,MCLENNAN,,,'09 - 12,S,CONNALLY ISD
'161921004,CHALLENGE ACADEMY,'12,N,N,NR,,N,'161,MCLENNAN,,,'07 - 11,S,CONNALLY ISD
'161921101,CONNALLY EL,'12,N,R,NA,NQ,N,'161,MCLENNAN,,CONNALLY INT.,'EE - 06,E,CONNALLY ISD
'161921001,CONNALLY H S,'12,N,A,NQ,NQ,N,'161,MCLENNAN,,,'09 - 12,S,CONNALLY ISD
'161921103,CONNALLY INT,'12,N,A,NA,NQ,N,'161,MCLENNAN,,,'04 - 05,E,CONNALLY ISD
'161921041,CONNALLY MIDDLE,'12,N,A,NA,NQ,N,'161,MCLENNAN,,,'06 - 08,M,CONNALLY ISD
'161921102,ELM MOTT CTR,'12,N,N,NR,,N,'161,MCLENNAN,,,'PK - KG,E,CONNALLY ISD
'170902112,A D FORD EL,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,HOUSER INT.,'EE - 07,E,CONROE ISD
'170902101,ANDERSON EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902107,ARMSTRONG EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'PK - 04,E,CONROE ISD
'170902102,AUSTIN EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902114,B B RICE EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'EE - 09,B,CONROE ISD
'170902121,BUSH EL,'06,N,E,NA,R,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902049,C D YORK J H,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'06 - 08,M,CONROE ISD
'170902011,CANEY CREEK H S,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'09 - 11,S,CONROE ISD
'170902050,COLLINS INT,'06,N,E,NA,R,N,'170,MONTGOMERY,,,'05 - 06,M,CONROE ISD
'170902001,CONROE H S,'06,N,A,NQ,NQ,N,'170,MONTGOMERY,,,'09 - 12,S,CONROE ISD
'170902048,CREIGHTON INT,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'05 - 06,M,CONROE ISD
'170902118,DAVID EL,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902120,GALATAS EL,'06,N,E,NA,M,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902119,GIESINGER EL,'06,N,A,NA,R,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902116,GLEN LOCH EL,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902047,HOUSER INT,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,,'04 - 05,E,CONROE ISD
'170902104,HOUSTON EL,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,,'PK - 04,E,CONROE ISD
'170902108,LAMAR EL,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902052,MCCULLOUGH J H,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'08 - 09,M,CONROE ISD
'170902105,MILAM EL,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902067,MITCHELL INT,'06,N,E,NA,R,N,'170,MONTGOMERY,,,'04 - 06,E,CONROE ISD
'170902051,MOORHEAD J H,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'07 - 08,M,CONROE ISD
'170902046,NEAL KNOX SEVENTH GR CTR,'06,N,E,NA,M,N,'170,MONTGOMERY,,,'07 - 07,M,CONROE ISD
'170902109,OAK RIDGE EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,HOUSER INT.,'EE - 04,E,CONROE ISD
'170902005,OAK RIDGE H S,'06,N,A,NQ,NQ,N,'170,MONTGOMERY,,,'09 - 12,S,CONROE ISD
'170902041,PEET J H,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'07 - 08,M,CONROE ISD
'170902122,POWELL EL,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902010,PROJECT RESTORE,'06,N,3,PE,,N,'170,MONTGOMERY,,,'07 - 11,S,CONROE ISD
'170902044,REAVES INT,'06,N,A,NA,R,N,'170,MONTGOMERY,,,'05 - 06,M,CONROE ISD
'170902007,RESOURCE & DEVEL CTR,'06,N,N,NR,,N,'170,MONTGOMERY,,,'04 - 12,B,CONROE ISD
'170902103,RUNYAN EL,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902117,SALLY RIDE EL,'06,N,E,NA,NQ,N,'170,MONTGOMERY,,,'EE - 06,E,CONROE ISD
'170902113,SAM HAILEY EL,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902115,SAN JACINTO EL,'06,N,R,NA,NQ,N,'170,MONTGOMERY,,,'EE - 04,E,CONROE ISD
'170902003,THE WOODLANDS,'06,N,E,NQ,NQ,N,'170,MONTGOMERY,,,'10 - 12,S,CONROE ISD
'170902002,W L HAUKE ALTER ED,'06,N,1,PE,,N,'170,MONTGOMERY,,,'08 - 12,S,CONROE ISD
'170902042,WASHINGTON INT,'06,N,A,NA,NQ,N,'170,MONTGOMERY,,,'05 - 06,M,CONROE ISD
'170902045,WILKERSON INT,'06,N,R,NA,RM,N,'170,MONTGOMERY,,,'05 - 06,M,CONROE ISD
'147901101,COOLIDGE EL,'12,N,R,NA,NQ,N,'147,LIMESTONE,,,'PK - 06,E,COOLIDGE ISD
'147901001,COOLIDGE H S,'12,N,A,NQ,NQ,N,'147,LIMESTONE,,,'07 - 12,S,COOLIDGE ISD
'060902101,COOPER EL,'08,N,R,NA,NQ,N,'060,DELTA,,,'PK - 05,E,COOPER ISD
'060902001,COOPER H S,'08,N,R,NQ,NQ,N,'060,DELTA,,,'09 - 12,S,COOPER ISD
'060902041,COOPER J H,'08,N,A,NA,NQ,N,'060,DELTA,,,'06 - 08,M,COOPER ISD
'057922103,AUSTIN EL,'10,N,E,NA,R,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922001,COPPELL H S,'10,N,E,NQ,NQ,N,'057,DALLAS,,,'09 - 12,S,COPPELL ISD
'057922042,COPPELL MIDDLE EAST,'10,N,E,NA,R,N,'057,DALLAS,,,'06 - 08,M,COPPELL ISD
'057922043,COPPELL MIDDLE WEST,'10,N,E,NA,R,N,'057,DALLAS,,,'06 - 08,M,COPPELL ISD
'057922109,COTTONWOOD CREEK EL,'10,N,E,NA,M,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922107,LAKESIDE EL,'10,N,E,NA,NQ,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922102,LEE EL,'10,N,E,NA,RM,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922105,MOCKINGBIRD EL,'10,N,R,NA,R,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922101,PINKERTON EL,'10,N,E,NA,NQ,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922108,TOWN CENTER EL,'10,N,E,NA,M,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922110,VALLEY RANCH EL,'10,N,E,NA,R,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'057922106,WILSON EL,'10,N,E,NA,NQ,N,'057,DALLAS,,,'EE - 05,E,COPPELL ISD
'050910104,C R CLEMENTS INT,'12,N,A,NA,R,N,'050,CORYELL,,,'05 - 06,M,COPPERAS COVE ISD
'050910001,COPPERAS COVE H S,'12,N,A,NQ,NQ,N,'050,CORYELL,,,'09 - 12,S,COPPERAS COVE ISD
'050910041,COPPERAS COVE J H,'12,N,A,NA,R,N,'050,CORYELL,,,'07 - 08,M,COPPERAS COVE ISD
'050910005,CROSS ROADS,'12,N,1,PE,,N,'050,CORYELL,,,'07 - 12,S,COPPERAS COVE ISD
'050910101,FAIRVIEW EL,'12,N,A,NA,NQ,N,'050,CORYELL,,,'EE - 04,E,COPPERAS COVE ISD
'050910102,HALSTEAD EL,'12,N,R,NA,NQ,N,'050,CORYELL,,,'PK - 04,E,COPPERAS COVE ISD
'050910109,HOLLIE PARSONS EL,'12,N,R,NA,R,N,'050,CORYELL,,,'EE - 04,E,COPPERAS COVE ISD
'050910108,J L WILLIAMS EL,'12,N,E,NA,NQ,N,'050,CORYELL,,,'PK - 04,E,COPPERAS COVE ISD
'050910107,LOVETT LEDGER INT,'12,N,A,NA,R,N,'050,CORYELL,,,'05 - 06,M,COPPERAS COVE ISD
'050910105,MAE STEVENS EL,'12,N,A,NA,NQ,N,'050,CORYELL,,,'PK - 04,E,COPPERAS COVE ISD
'050910106,MARTIN WALKER EL,'12,N,R,NA,NQ,N,'050,CORYELL,,,'EE - 12,B,COPPERAS COVE ISD
'050910103,MISS JEWELL EL,'12,N,A,NA,NQ,N,'050,CORYELL,,,'EE - 04,E,COPPERAS COVE ISD
'050910042,S C LEE J H,'12,N,A,NA,NQ,N,'050,CORYELL,,,'07 - 08,M,COPPERAS COVE ISD
'178904101,ALLEN EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904009,ALTER H S CTR,'02,N,2,PE,,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904041,BAKER MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904152,BARNES EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904147,BOKEN KAMP,'02,N,N,NR,,N,'178,NUECES,,,'07 - 11,S,CORPUS CHRISTI ISD
'178904043,BROWNE MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904103,CALK EL,'02,N,E,NA,R,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904001,CARROLL H S,'02,N,A,NQ,NQ,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904104,CARROLL LANE EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904105,CASA LINDA EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904106,CENTRAL PARK EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904107,CHULA VISTA FINE ARTS,'02,N,R,NA,NQ,N,'178,NUECES,,,'01 - 05,E,CORPUS CHRISTI ISD
'178904146,CLUB ESTATES,'02,N,A,NA,NQ,N,'178,NUECES,,,'KG - 05,E,CORPUS CHRISTI ISD
'178904137,COLES EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904108,CROCKETT EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904109,CROSSLEY EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904045,CULLEN MIDDLE,'02,N,A,NA,R,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904046,CUNNINGHAM MIDDLE,'02,N,R,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904154,DAWSON EL,'02,N,R,NA,R,N,'178,NUECES,,,'KG - 05,E,CORPUS CHRISTI ISD
'178904047,DRISCOLL MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904153,EARLY DEVELOPMENT CTR,'02,N,A,NA,NQ,N,'178,NUECES,'178904125,MONTCLAIR ELEM.,'PK - 02,E,CORPUS CHRISTI ISD
'178904110,EVANS EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904111,FANNIN EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904150,GALVAN EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904115,GARCIA EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'KG - 05,E,CORPUS CHRISTI ISD
'178904116,GIBSON EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904056,GRANT MIDDLE,'02,N,E,NA,R,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904048,HAAS MIDDLE,'02,N,A,NA,R,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904049,HAMLIN MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904144,HOMEBOUND,'02,N,N,NR,,N,'178,NUECES,,,'EE - 12,B,CORPUS CHRISTI ISD
'178904117,HOUSTON EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904151,JONES EL,'02,N,E,NA,NQ,N,'178,NUECES,,,'KG - 05,E,CORPUS CHRISTI ISD
'178904055,KAFFIE MIDDLE,'02,N,A,NA,R,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904002,KING H S,'02,N,A,NQ,NQ,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904118,KOSTORYZ EL,'02,N,A,NA,R,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904119,LAMAR EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904120,LEXINGTON EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904121,LOS ENCINOS EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904122,LOZANO EL,'02,N,E,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904050,MARTIN MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904143,MARY GRETT CTR,'02,N,N,NR,,N,'178,NUECES,,,'03 - 12,B,CORPUS CHRISTI ISD
'178904123,MEADOWBROOK EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904124,MENGER EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904003,MILLER H S,'02,N,L,NE,NE,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904125,MONTCLAIR EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904004,MOODY H S,'02,N,A,NQ,NQ,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904148,MOORE EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904127,OAK PARK EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904129,PRESCOTT EL,'02,N,A,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904005,RAY H S,'02,N,A,NQ,NQ,N,'178,NUECES,,,'09 - 12,S,CORPUS CHRISTI ISD
'178904130,SANDERS EL,'02,N,E,NA,RM,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904132,SCHANEN EL,'02,N,E,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904133,SHAW EL,'02,N,E,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904054,SLGC,'02,N,1,PE,,N,'178,NUECES,,,'05 - 12,B,CORPUS CHRISTI ISD
'178904134,SMITH EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'PK - 05,E,CORPUS CHRISTI ISD
'178904052,SOUTH PARK MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
'178904007,TEENAGE MOTHER,'02,N,1,PE,,N,'178,NUECES,,,'06 - 12,B,CORPUS CHRISTI ISD
'178904013,TRANSITION CTR,'02,N,N,NR,,N,'178,NUECES,,,'12 - 12,S,CORPUS CHRISTI ISD
'178904136,TRAVIS EL,'02,N,E,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904138,WILSON ROBERT T EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904139,WINDSOR PARK G/T,'02,N,E,NA,R,N,'178,NUECES,,,'01 - 05,E,CORPUS CHRISTI ISD
'178904140,WOODLAWN EL,'02,N,R,NA,R,N,'178,NUECES,,,'EE - 05,E,CORPUS CHRISTI ISD
'178904053,WYNN SEALE MIDDLE,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,CORPUS CHRISTI ISD
