CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'068901107,,DOWLING EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901005,,ECTOR CO YOUTH CTR,N,ECTOR,'068,1,ECTOR COUNTY ISD,'07 - 11,S,'18,,
'068901047,S,ECTOR J H,N,ECTOR,'068,A,ECTOR COUNTY ISD,'07 - 09,M,'18,,
'068901127,WZ,EL MAGNET AT BLACKSHEAR,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901112,Y,EL MAGNET AT HAYS,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901114,EWMN,EL MAGNET AT IRELAND,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901116,,EL MAGNET AT MILAM EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901124,EMN,EL MAGNET AT NOEL EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901118,AEWMNY,EL MAGNET AT REAGAN EL,N,ECTOR,'068,E,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901122,EMNY,EL MAGNET AT TRAVIS,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901123,EM,EL MAGNET AT ZAVALA,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901101,EWMZ,GALE POND ALAMO EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901110,,GOLIAD EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901111,EWMN,GONZALES EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901045,,HOOD J H,N,ECTOR,'068,A,ECTOR COUNTY ISD,'07 - 09,M,'18,,
'068901128,EWMNX,L B JOHNSON EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901115,,LAMAR EARLY EE-KG,N,ECTOR,'068,X,ECTOR COUNTY ISD,'EE - PK,E,'18,,
'068901130,WM,LAURO CAVAZOS EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901126,,MURRY FLY EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901046,WSY,NIMITZ J H,N,ECTOR,'068,A,ECTOR COUNTY ISD,'07 - 09,M,'18,,
'068901002,R,ODESSA H S,N,ECTOR,'068,A,ECTOR COUNTY ISD,'09 - 12,S,'18,,
'068901117,WM,PEASE EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901003,R,PERMIAN H S,N,ECTOR,'068,A,ECTOR COUNTY ISD,'09 - 12,S,'18,,
'068901119,EWMNY,ROSS EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901113,EMZ,SAM HOUSTON EL,N,ECTOR,'068,R,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901121,EWMNZ,SAN JACINTO EL,N,ECTOR,'068,A,ECTOR COUNTY ISD,'KG - 06,E,'18,,
'068901007,,TEEN PARENT CTR,N,ECTOR,'068,1,ECTOR COUNTY ISD,'07 - 12,S,'18,,
'074905101,EWMNY,ECTOR ELEMENTARY SCHOOL,N,FANNIN,'074,R,ECTOR ISD,'KG - 06,E,'10,,
'074905001,ARS,ECTOR HIGH SCHOOL,N,FANNIN,'074,A,ECTOR ISD,'07 - 12,S,'10,,
'108903042,AEY,6TH GRADE CAMPUS,N,HIDALGO,'108,R,EDCOUCH-ELSA ISD,'06 - 06,M,'01,,
'108903001,R,EDCOUCH-ELSA H S,N,HIDALGO,'108,A,EDCOUCH-ELSA ISD,'09 - 12,S,'01,,
'108903041,EW,EDCOUCH-ELSA J H,N,HIDALGO,'108,A,EDCOUCH-ELSA ISD,'07 - 08,M,'01,,
'108903003,,HIDALGO CO J J A E P,N,HIDALGO,'108,X,EDCOUCH-ELSA ISD,'09 - 09,S,'01,,
'108903106,,JORGE R GUTIERREZ EARLY CHILDHOOD,N,HIDALGO,'108,X,EDCOUCH-ELSA ISD,'PK - KG,E,'01,,
'108903103,A,KENNEDY EL,N,HIDALGO,'108,A,EDCOUCH-ELSA ISD,'01 - 05,E,'01,,
'108903105,AWM,L B J EL,N,HIDALGO,'108,R,EDCOUCH-ELSA ISD,'01 - 05,E,'01,,
'108903104,A,RUBEN C RODRIGUEZ ELEMENTARY,N,HIDALGO,'108,A,EDCOUCH-ELSA ISD,'01 - 05,E,'01,,
'108903102,A,SANTIAGO GARCIA ELEMENTARY,N,HIDALGO,'108,A,EDCOUCH-ELSA ISD,'01 - 05,E,'01,,
'048901101,WZ,EDEN EL,N,CONCHO,'048,R,EDEN CISD,'KG - 06,E,'15,,
'048901001,ARWX,EDEN H S,N,CONCHO,'048,R,EDEN CISD,'07 - 12,S,'15,,
'048901003,,FAIRVIEW ACCELERATED,N,CONCHO,'048,1,EDEN CISD,'12 - 12,S,'15,,
'048901150,,FAIRVIEW VOC TRAINING,N,CONCHO,'048,X,EDEN CISD,'11 - 11,S,'15,,
'227803101,EWMSY,EDEN PARK ACADEMY,Y,TRAVIS,'227,R,EDEN PARK ACADEMY,'KG - 08,E,'13,,
'015905106,M,ALONSO S PERALES ELEMENTARY SCHOO,N,BEXAR,'015,A,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905042,,ALTERNATIVE CENTER,N,BEXAR,'015,X,EDGEWOOD ISD,'05 - 12,B,'20,,
'015905010,,BEXAR CO J J A E P,N,BEXAR,'015,X,EDGEWOOD ISD,'08 - 12,S,'20,,
'015905041,WS,BRENTWOOD MIDDLE SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'06 - 08,M,'20,,
'015905104,A,CENIZO PARK ELEMENTARY SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905105,AM,CORONADO/ESCOBAR ELEMENTARY SCHOO,N,BEXAR,'015,A,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905044,,E T WRENN MIDDLE SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'06 - 08,M,'20,,
'015905047,EY,EDGEWOOD ACADEMY,N,BEXAR,'015,A,EDGEWOOD ISD,'08 - 08,M,'20,,
'234903101,,EDGEWOOD ELEMENTARY,N,VAN ZANDT,'234,R,EDGEWOOD ISD,'EE - 02,E,'07,'234903042,EDGEWOOD INTERMEDIATE
'234903001,VSY,EDGEWOOD H S,N,VAN ZANDT,'234,A,EDGEWOOD ISD,'09 - 12,S,'07,,
'234903042,EN,EDGEWOOD INTERMEDIATE,N,VAN ZANDT,'234,R,EDGEWOOD ISD,'03 - 05,E,'07,,
'234903041,EWY,EDGEWOOD MIDDLE,N,VAN ZANDT,'234,R,EDGEWOOD ISD,'06 - 08,M,'07,,
'015905108,X,GARDENDALE ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905046,,GUS GARCIA MIDDLE SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'06 - 08,M,'20,,
'015905117,AMNY,H B GONZALEZ ELEMENTARY SCHOOL,N,BEXAR,'015,E,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905002,RX,JOHN F KENNEDY HIGH SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'09 - 12,S,'20,,
'015905109,X,L B JOHNSON ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905110,M,LAS PALMAS ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905112,MX,LOMA PARK ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905003,,MEMORIAL HIGH SCHOOL,N,BEXAR,'015,L,EDGEWOOD ISD,'09 - 12,S,'20,,
'015905113,,ROOSEVELT ELEMENTARY SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905114,AEWMNY,STAFFORD ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'015905045,WZ,TRUMAN MIDDLE SCHOOL,N,BEXAR,'015,A,EDGEWOOD ISD,'06 - 08,M,'20,,
'015905116,M,WINSTON ELEMENTARY SCHOOL,N,BEXAR,'015,R,EDGEWOOD ISD,'PK - 05,E,'20,,
'108904126,A,ANNE L MAGEE ELEMENTARY,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904101,AEMNY,AUSTIN ELEM,N,HIDALGO,'108,E,EDINBURG CISD,'EE - 05,E,'01,,
'108904043,AW,B L GARZA MIDDLE SCHOOL,N,HIDALGO,'108,A,EDINBURG CISD,'06 - 08,M,'01,,
'108904104,AM,BETTS ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904102,AENY,BREWSTER ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 08,E,'01,,
'108904122,WM,CANO-GONZALEZ ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904114,AEWMN,CANTERBURY ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'EE - 05,E,'01,,
'108904125,AMNZ,CARMEN V AVILA ELEMENTARY,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904123,AEWMN,CAVAZOS ELEM,N,HIDALGO,'108,E,EDINBURG CISD,'PK - 05,E,'01,,
'108904117,AEWM,DE LA VINA ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904127,AEW,DR THOMAS ESPARZA ELEMENTARY,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904002,R,ECONOMEDES H S,N,HIDALGO,'108,A,EDINBURG CISD,'09 - 12,S,'01,,
'108904001,RY,EDINBURG H S,N,HIDALGO,'108,A,EDINBURG CISD,'09 - 12,S,'01,,
'108904003,RZ,EDINBURG NORTH H S,N,HIDALGO,'108,A,EDINBURG CISD,'09 - 12,S,'01,,
'108904120,A,EISENHOWER ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904116,AEWMN,ESCANDON ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904112,AEWM,FREDDY GONZALEZ ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904109,AM,GUERRA ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904103,AWMNX,HARGILL ELEM,N,HIDALGO,'108,E,EDINBURG CISD,'PK - 05,E,'01,,
'108904042,EWS,HARWELL MIDDLE SCHOOL,N,HIDALGO,'108,A,EDINBURG CISD,'06 - 08,M,'01,,
'108904039,,J J A E P,N,HIDALGO,'108,X,EDINBURG CISD,'07 - 11,S,'01,,
'108904105,AEWMN,JEFFERSON ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904121,AM,JOHN F KENNEDY ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904040,,JUVENILE DETENTION CTR,N,HIDALGO,'108,X,EDINBURG CISD,'07 - 11,S,'01,,
'108904113,AEMN,L B JOHNSON ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904107,EM,LEE ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'EE - 05,E,'01,,
'108904108,AEWMNY,LINCOLN ELEM,N,HIDALGO,'108,E,EDINBURG CISD,'PK - 05,E,'01,,
'108904045,W,MEMORIAL MIDDLE SCHOOL,N,HIDALGO,'108,A,EDINBURG CISD,'06 - 08,M,'01,,
'108904115,AN,MONTE CRISTO ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904118,AMNX,SAN CARLOS ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904044,AEW,SOUTH MIDDLE SCHOOL,N,HIDALGO,'108,R,EDINBURG CISD,'06 - 08,M,'01,,
'108904111,EWM,TRAVIS ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904106,AEWMN,TREVINO ELEM,N,HIDALGO,'108,R,EDINBURG CISD,'PK - 05,E,'01,,
'108904119,,TRUMAN ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'108904124,AEM,VILLARREAL ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'EE - 05,E,'01,,
'108904110,AM,ZAVALA ELEM,N,HIDALGO,'108,A,EDINBURG CISD,'PK - 05,E,'01,,
'120901101,MNX,AUSTIN EL,N,JACKSON,'120,A,EDNA ISD,'03 - 05,E,'03,,
'120901103,,CARVER EL,N,JACKSON,'120,A,EDNA ISD,'EE - 02,E,'03,'120901101,AUSTIN EL
'120901001,,EDNA H S,N,JACKSON,'120,L,EDNA ISD,'09 - 12,S,'03,,
'120901003,,HOPE ALTERNATIVE H S,N,JACKSON,'120,X,EDNA ISD,'06 - 12,B,'03,,
'120901042,S,MEADIE PUMPHREY JUNIOR HIGH SCHOO,N,JACKSON,'120,A,EDNA ISD,'06 - 08,M,'03,,
'061802002,ACVX,EDUCATION CENTER AT LITTLE ELM,Y,DENTON,'061,A,EDUCATION CENTER,'KG - 12,B,'11,,
'061802001,RE,EDUCATION CENTER AT THE COLONY,Y,DENTON,'061,A,EDUCATION CENTER,'KG - 12,B,'11,,
'057833001,,EDUCATION CENTER INTERNATIONAL AC,Y,DALLAS,'057,1,EDUCATION CENTER INTERNATIONAL ACA,'02 - 12,B,'10,,
'123805001,S,EHRHART SCHOOL,Y,JEFFERSON,'123,A,EHRHART SCHOOL,'PK - 08,E,'05,,
'241903001,,EL CAMPO H S,N,WHARTON,'241,A,EL CAMPO ISD,'09 - 12,S,'03,,
'241903041,W,EL CAMPO MIDDLE,N,WHARTON,'241,A,EL CAMPO ISD,'06 - 08,M,'03,,
'241903102,E,HUTCHINS EL,N,WHARTON,'241,R,EL CAMPO ISD,'02 - 03,E,'03,,
'241903107,,MYATT EL,N,WHARTON,'241,R,EL CAMPO ISD,'EE - 01,E,'03,'241903102,HUTCHINS EL
'241903103,,NORTHSIDE EL,N,WHARTON,'241,A,EL CAMPO ISD,'04 - 05,E,'03,,
'071804001,,EL PASO ACADEMY,Y,EL PASO,'071,1,EL PASO ACADEMY,'09 - 12,S,'19,,
'071804002,,EL PASO ACADEMY WEST,Y,EL PASO,'071,1,EL PASO ACADEMY,'09 - 12,S,'19,,
'071902101,,ALAMO EL,N,EL PASO,'071,L,EL PASO ISD,'PK - 05,E,'19,,
'071902102,AEWMY,ALTA VISTA EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902001,,ANDRESS H S,N,EL PASO,'071,L,EL PASO ISD,'09 - 12,S,'19,,
'071902103,,AOY EL,N,EL PASO,'071,L,EL PASO ISD,'PK - 02,E,'19,'071902137,ROOSEVELT EL
'071902002,RX,AUSTIN H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902165,EN,BARRON EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902049,,BASSETT MIDDLE,N,EL PASO,'071,L,EL PASO ISD,'06 - 08,M,'19,,
'071902104,W,BEALL EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902105,,BLISS EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902106,EMNX,BONHAM EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902003,RX,BOWIE H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902158,M,BRADLEY EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902004,R,BURGES H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902107,EMZ,BURLESON EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902108,,BURNET EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902043,X,CANYON HILLS MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902012,RSY,CHAPIN HS,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902045,WZ,CHARLES MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902151,AEMN,CIELO VISTA EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902109,AM,CLARDY EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902149,,CLENDENIN EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902110,MN,COLDWELL EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902142,EMY,COLLINS EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902111,EM,COOLEY EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902054,W,CORDOVA MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902005,PRSZ,CORONADO H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902112,EMN,CROCKETT EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902113,,CROSBY EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902025,,DELTA ACADEMY,N,EL PASO,'071,2,EL PASO ISD,'05 - 12,B,'19,,
'071902114,,DOUGLASS EL,N,EL PASO,'071,L,EL PASO ISD,'EE - 05,E,'19,,
'071902115,,DOWELL EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902006,X,EL PASO H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902116,,FANNIN EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902010,RY,FRANKLIN H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902162,EMN,GREEN EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902163,EM,GUERRERO EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902044,X,GUILLEN MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902118,AEWMN,HART EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902119,,HAWKINS EL,N,EL PASO,'071,L,EL PASO ISD,'PK - 05,E,'19,,
'071902041,,HENDERSON MIDDLE,N,EL PASO,'071,L,EL PASO ISD,'06 - 08,M,'19,,
'071902121,M,HILLSIDE EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902053,AEW,HORNEDO MIDDLE,N,EL PASO,'071,R,EL PASO ISD,'06 - 08,M,'19,,
'071902122,,HOUSTON EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 06,E,'19,,
'071902123,M,HUGHEY EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902008,RX,IRVIN H S,N,EL PASO,'071,A,EL PASO ISD,'09 - 12,S,'19,,
'071902009,,JEFFERSON H S,N,EL PASO,'071,L,EL PASO ISD,'09 - 12,S,'19,,
'071902155,,JOHNSON EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902166,AEWM,KOHLBERG EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902125,,LAMAR EL,N,EL PASO,'071,L,EL PASO ISD,'EE - 05,E,'19,,
'071902150,,LEE EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902051,W,LINCOLN MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902128,,LOGAN EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902129,EWS,MACARTHUR EL-INT,N,EL PASO,'071,A,EL PASO ISD,'KG - 08,E,'19,,
'071902047,,MAGOFFIN MIDDLE,N,EL PASO,'071,L,EL PASO ISD,'06 - 08,M,'19,,
'071902130,WMN,MESITA EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902131,,MILAM EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902160,E,MITZI BOND ELEMENTARY,N,EL PASO,'071,A,EL PASO ISD,'KG - 05,E,'19,,
'071902046,,MOREHEAD MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902167,,MORENO EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902133,EM,NEWMAN EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902161,EMX,NIXON EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902134,Y,PARK EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902159,EWMNX,POLK EL,N,EL PASO,'071,E,EL PASO ISD,'KG - 05,E,'19,,
'071902135,M,PUTNAM EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902055,EW,RICHARDSON MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902156,EM,RIVERA EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902136,,ROBERTS EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902137,,ROOSEVELT EL,N,EL PASO,'071,L,EL PASO ISD,'03 - 05,E,'19,,
'071902042,WZ,ROSS MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902138,,RUSK EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902020,,SCHOOL-AGE PARENT CTR,N,EL PASO,'071,1,EL PASO ISD,'07 - 12,S,'19,,
'071902140,M,SCHUSTER EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902011,ADRUVEMSY,SILVA HEALTH MAGNET,N,EL PASO,'071,R,EL PASO ISD,'09 - 12,S,'19,,
'071902141,MN,STANTON EL,N,EL PASO,'071,A,EL PASO ISD,'EE - 05,E,'19,,
'071902022,,SUNSET H S,N,EL PASO,'071,2,EL PASO ISD,'09 - 12,S,'19,,
'071902027,,TELLES ACADEMY,N,EL PASO,'071,X,EL PASO ISD,'07 - 12,S,'19,,
'071902032,,TELLES ACADEMY J J A E P,N,EL PASO,'071,X,EL PASO ISD,'08 - 08,M,'19,,
'071902048,X,TERRACE HILLS MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902168,AEWMN,TIPPIN ELEMENTARY,N,EL PASO,'071,R,EL PASO ISD,'KG - 05,E,'19,,
'071902143,,TRAVIS EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902144,,VILAS EL,N,EL PASO,'071,A,EL PASO ISD,'PK - 05,E,'19,,
'071902145,,WAINWRIGHT EL,N,EL PASO,'071,X,EL PASO ISD,'PK - 05,E,'19,,
'071902146,EMN,WESTERN HILLS EL,N,EL PASO,'071,R,EL PASO ISD,'EE - 05,E,'19,,
'071902153,E,WHITAKER EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902052,SX,WIGGS MIDDLE,N,EL PASO,'071,A,EL PASO ISD,'06 - 08,M,'19,,
'071902147,EMX,ZACH WHITE EL,N,EL PASO,'071,R,EL PASO ISD,'PK - 05,E,'19,,
'071902148,,ZAVALA EL,N,EL PASO,'071,L,EL PASO ISD,'PK - 05,E,'19,,
'071805001,W,EL PASO SCHOOL OF EXCELLENCE,Y,EL PASO,'071,A,EL PASO SCHOOL OF EXCELLENCE,'PK - 05,E,'19,,
'071805041,,EL PASO SCHOOL OF EXCELLENCE MIDDL,Y,EL PASO,'071,L,EL PASO SCHOOL OF EXCELLENCE,'06 - 12,B,'19,,
'243902101,EWM,DINSMORE EL,N,WICHITA,'243,R,ELECTRA ISD,'EE - 04,E,'09,,
'243902001,EY,ELECTRA H S,N,WICHITA,'243,A,ELECTRA ISD,'09 - 12,S,'09,,
'243902041,EWSY,ELECTRA J H,N,WICHITA,'243,A,ELECTRA ISD,'05 - 08,M,'09,,
'011902101,Y,BOOKER T WASHINGTON ELEMENTARY,N,BASTROP,'011,A,ELGIN ISD,'PK - 05,E,'13,,
'011902102,N,ELGIN ELEMENTARY,N,BASTROP,'011,A,ELGIN ISD,'PK - 05,E,'13,,
'011902001,,ELGIN H S,N,BASTROP,'011,A,ELGIN ISD,'09 - 12,S,'13,,
'011902041,,ELGIN MIDDLE SCHOOL,N,BASTROP,'011,L,ELGIN ISD,'06 - 08,M,'13,,
'011902103,Z,NEIDIG EL,N,BASTROP,'011,A,ELGIN ISD,'EE - 05,E,'13,,
'011902004,,PHOENIX HIGH SCHOOL,N,BASTROP,'011,1,ELGIN ISD,'10 - 12,S,'13,,
'001903002,,ELKHART DAEP,N,ANDERSON,'001,X,ELKHART ISD,'07 - 11,S,'07,,
'001903101,EWMNX,ELKHART EL,N,ANDERSON,'001,R,ELKHART ISD,'EE - 05,E,'07,,
'001903001,Y,ELKHART H S,N,ANDERSON,'001,A,ELKHART ISD,'09 - 12,S,'07,,
'001903041,EWX,ELKHART MIDDLE,N,ANDERSON,'001,R,ELKHART ISD,'06 - 08,M,'07,,
'102906101,EMNY,ELYSIAN FIELDS EL,N,HARRISON,'102,R,ELYSIAN FIELDS ISD,'PK - 05,E,'07,,
'102906001,ARVSY,ELYSIAN FIELDS H S,N,HARRISON,'102,A,ELYSIAN FIELDS ISD,'09 - 12,S,'07,,
'102906041,EWSY,ELYSIAN FIELDS MIDDLE,N,HARRISON,'102,R,ELYSIAN FIELDS ISD,'06 - 08,M,'07,,
'024801101,AEW,ENCINO SCHOOL,Y,BROOKS,'024,A,ENCINO SCHOOL,'PK - 08,E,'02,,
'070903043,AEY,6TH GRADE CENTER,N,ELLIS,'070,A,ENNIS ISD,'06 - 06,M,'10,,
'070903101,EM,AUSTIN EL,N,ELLIS,'070,E,ENNIS ISD,'PK - 03,E,'10,,
'070903103,EM,BOWIE EL,N,ELLIS,'070,E,ENNIS ISD,'01 - 03,E,'10,,
'070903106,,EARLY CHILDHOOD CENTER,N,ELLIS,'070,X,ENNIS ISD,'EE - KG,E,'10,,
'070903002,,ENNIS H S,N,ELLIS,'070,A,ENNIS ISD,'09 - 12,S,'10,,
'070903105,M,ENNIS INT,N,ELLIS,'070,R,ENNIS ISD,'04 - 05,E,'10,,
'070903042,S,ENNIS J H,N,ELLIS,'070,A,ENNIS ISD,'07 - 08,M,'10,,
'070903102,EM,HOUSTON EL,N,ELLIS,'070,E,ENNIS ISD,'01 - 03,E,'10,,
'070903104,E,TRAVIS EL,N,ELLIS,'070,E,ENNIS ISD,'01 - 03,E,'10,,
'049906001,ARVEWMNS,ERA SCHOOL,N,COOKE,'049,R,ERA ISD,'KG - 12,B,'11,,
'220803001,,ERATH EXCELS ACADEMY INC,Y,TARRANT,'220,2,ERATH EXCELS ACADEMY INC,'09 - 12,S,'11,,
'174910101,W,ETOILE EL,N,NACOGDOCHES,'174,A,ETOILE ISD,'EE - 08,E,'07,,
