CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'101849043,,ACCELERATED INTERMEDIATE ACADEMY,Y,HARRIS,'101,X,ACCELERATED INTERMEDIATE ACADEMY,'06 - 06,M,'04,,
'101849041,WZ,ACCELERATED INTERMEDIATE CHARTER,Y,HARRIS,'101,R,ACCELERATED INTERMEDIATE ACADEMY,'06 - 08,M,'04,,
'180903001,REWSX,ADRIAN SCHOOL,N,OLDHAM,'180,R,ADRIAN ISD,'PK - 12,B,'16,,
'178901101,AN,AGUA DULCE ELEMENTARY SCHOOL,N,NUECES,'178,A,AGUA DULCE ISD,'EE - 05,E,'02,,
'178901001,DRW,AGUA DULCE H S,N,NUECES,'178,A,AGUA DULCE ISD,'06 - 12,B,'02,,
'015901001,PSX,ALAMO HEIGHTS H S,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'09 - 12,S,'20,,
'015901041,EW,ALAMO HEIGHTS J H,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'06 - 08,M,'20,,
'015901101,EWM,CAMBRIDGE EL,N,BEXAR,'015,R,ALAMO HEIGHTS ISD,'01 - 05,E,'20,,
'015901102,,HOWARD EL,N,BEXAR,'015,X,ALAMO HEIGHTS ISD,'EE - KG,E,'20,,
'015901104,EMNY,WOODRIDGE EL,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'01 - 05,E,'20,,
'250906101,N,ALBA-GOLDEN EL,N,WOOD,'250,A,ALBA-GOLDEN ISD,'PK - 05,E,'07,,
'250906001,VWS,ALBA-GOLDEN H S,N,WOOD,'250,R,ALBA-GOLDEN ISD,'06 - 12,B,'07,,
'250906002,,ALTER SCHOOL,N,WOOD,'250,1,ALBA-GOLDEN ISD,'07 - 10,S,'07,,
'209901001,ARUW,ALBANY JR-SR H S,N,SHACKELFORD,'209,A,ALBANY ISD,'07 - 12,S,'14,,
'209901101,EWM,NANCY SMITH EL,N,SHACKELFORD,'209,E,ALBANY ISD,'EE - 06,E,'14,,
'101902130,EY,ALDINE ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,'04,,
'101902001,R,ALDINE HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,'04,,
'101902099,,ALDINE J J A E P,N,HARRIS,'101,X,ALDINE ISD,'06 - 10,B,'04,,
'101902041,WX,ALDINE MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,'04,,
'101902081,AZ,ALDINE NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,'04,,
'101902101,AEM,ANDERSON ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'01 - 03,E,'04,,
'101902102,AEMX,BETHUNE ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'03 - 04,E,'04,,
'101902126,WZ,BLACK ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902131,AEMZ,BUSSEY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902128,E,CALVERT ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
