CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTASFC,CPSTASFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'001906002,2013,8.9,15.8,.,.,.,.,.,.,.,.,10.5,13.3,9.5,0,0,13.495,1,7.41,0,12.495,92.59,1,7.41,65000,1,9.094,29398,2.2941,20.865,33635,1.5586,14.176,43260,4.4992,40.921,45019,1.643,14.943,58026,0,0,0,0,0,0,0,0,11,5.634,51.24,0,0,0,0,0,0,11.2781,5.361,48.76,0,0,0,0,7.964,72.43,0.9996,9.092,3.0769,10.995,81.474,42917,0,0,2.0317,18.4787,10.995,100,0.5,3.705,52541
'001906102,2013,13,.,14.5,15.5,16.1,12.1,18.2,18.3,13.5,9.8,13.5,14.3,14,2,6.787,29.468,4.9626,16.841,0,24.505,83.159,1,3.394,65000,1,4.347,29398,5.7063,24.804,31498,3.4419,14.961,37546,8.5001,36.948,45223,4.3571,18.939,51155,0,0,0,0,1,4.347,0.4706,2.046,12.4815,19.366,84.181,0.5294,2.3012,0,0,0,0,12.258,3.639,15.819,0,0,0,0,19.312,83.946,1.9288,8.384,5.5556,23.005,78.069,41105,0,0,0.7645,3.3231,22.005,95.653,0.5,1.697,52541
'001907001,2013,18.3,18.2,.,.,.,.,.,.,.,.,17.3,18.9,17.7,20.229,20.285,99.723,12,12.033,0,87.723,87.967,6.3753,6.393,70479,3.73,4.956,38883,20.013,26.594,37438,15.1441,20.124,45288,18.8214,25.01,49845,17.5467,23.316,57093,1.0001,1.329,0.6432,0.855,6.413,8.521,2.5144,3.341,12.466,40.054,53.224,0,0,3.282,4.361,0,0,11.2949,35.201,46.776,6.3494,8.4372,0,0,47.946,63.711,6.9209,9.197,6.0514,75.255,75.464,46775,2.0001,2.6578,10.8815,14.4595,62.561,83.132,6.0922,6.109,53988
'001907041,2013,16.2,20.5,.,.,.,.,.,.,.,.,17.4,18,15.4,14.601,28.553,51.135,8.9893,17.58,0,42.146,82.42,2,3.911,74029,3.158,8.278,36322,15.2816,40.061,37538,6.8565,17.975,41589,5.3385,13.995,50833,7.5114,19.691,54116,0,0,0.3116,0.817,3.882,10.178,3.0862,8.091,10.2594,24.257,63.59,0,0,2.718,7.126,0,0,11.6134,13.889,36.41,6.1189,16.0409,0,0,20.568,53.919,5.1344,13.46,4.4768,38.146,74.598,43291,1.9999,5.2428,2.9269,7.6729,29.545,77.453,2,3.911,37725
'001907101,2013,.,.,18,.,.,.,.,.,17.7,.,.,.,.,12.376,20.915,59.171,13.877,23.452,0,45.295,76.548,2,3.38,66724,9.999,24.215,28499,8.705,21.08,33948,7.7025,18.653,37336,6,14.53,43178,8.8876,21.522,51150,0,0,1.2174,2.948,2.408,5.831,3.7825,9.16,10.1824,41.295,100,0,0,3,7.265,0,0,13.9244,0,0,0,0,0,0,33.085,80.119,3.2098,7.773,6.0877,41.295,69.788,38304,1,2.4216,0,0,34.887,84.483,2,3.38,35973
'001907102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,14,53.846,26,13,50,0,13,50,1,3.846,74469,1,9.091,31675,2,18.182,34090,5,45.455,40859,2,18.182,43160,1,9.091,49625,0,0,0,0,0,0,10,90.909,8.9091,11,100,0,0,4,36.364,0,0,17.9091,0,0,0,0,0,0,0,0,1,9.091,6.6364,11,42.308,40009,0,0,0,0,7,63.636,1,3.846,21249
'001907107,2013,.,.,.,19.5,18.2,.,.,.,.,.,.,.,.,7.298,14.697,49.652,10,20.14,0,39.652,79.86,2,4.028,60239,2,5.61,31675,15.0008,42.075,33788,4.6485,13.038,38178,5.9999,16.829,47252,8.003,22.447,50562,0,0,1.902,5.335,3.298,9.25,3.164,8.875,11.2162,33.652,94.39,0,0,2,5.609,0,0,14.445,2,5.61,0,0,0,0,27.938,78.362,2.6484,7.428,8.2162,35.652,71.804,40273,0,0,0,0,30.355,85.141,2,4.028,37024
'001907110,2013,.,.,.,.,.,19.6,19.5,18.5,.,.,.,.,.,17,24.088,70.574,12.1861,17.267,0,58.388,82.733,3,4.251,59335,5,9.73,31675,16.0012,31.138,34540,10.6499,20.724,40632,11.999,23.35,46355,7.7379,15.058,51795,0,0,0.5441,1.059,5,9.73,3.4205,6.656,10.7692,41.648,81.047,0.6608,1.2859,2,3.892,0,0,13.7775,9.74,18.953,0,0,0,0,43.113,83.897,3.6494,7.102,6.4423,51.388,72.814,40881,0,0,0,0,44.388,86.378,4,5.668,39511
'001908002,2013,15.4,14.4,.,.,.,.,.,.,.,.,13.1,14.5,14.1,6.499,13.936,46.636,4.9786,10.675,0,41.658,89.325,2,4.289,64242,4.531,12.111,31304,10.7052,28.618,34578,1,2.673,39552,10.4808,28.018,45000,10.6911,28.58,49600,0,0,0.1396,0.373,3,8.019,0.4911,1.313,12.3299,21.391,57.185,0,0,2,5.345,0,0,11.4683,16.016,42.815,0.1208,0.3229,0,0,27.829,74.393,3.9608,10.588,5.5522,37.408,80.212,41528,1.0001,2.6735,4.8667,13.0099,31.408,83.962,2.25,4.825,55088
'001908041,2013,13.6,10.6,.,.,.,.,.,.,.,.,12.4,14,20,4.681,16.439,28.473,3.2848,11.537,0,25.188,88.463,1.5,5.268,59065,3.453,16.109,31256,6.689,31.201,34026,1.3709,6.395,39793,5.6715,26.455,45547,4.2533,19.84,48767,0,0,0.1706,0.796,2.681,12.505,1.0954,5.11,11.3077,13.937,65.009,1.7516,8.1705,0,0,1,4.665,11.2417,7.501,34.991,0,0,0,0,15.293,71.334,0.976,4.553,8.1538,21.438,75.293,39921,0,0,2.1519,10.0377,17.757,82.831,2.25,7.902,46358
'001908101,2013,.,.,.,.,21.1,16.6,19,18.8,.,.,.,.,.,5.82,13.17,44.192,7,15.84,0,37.192,84.16,2,4.526,53210,5,14.951,31350,10.3206,30.861,32701,5.6292,16.833,38541,7.4366,22.237,43585,5.0557,15.118,48764,0.9999,2.99,0,0,2.32,6.937,1,2.99,9.3611,29.386,87.871,0,0,1,2.99,0,0,15.3997,4.056,12.129,0,0,0,0,28.001,83.73,4.4409,13.279,4.6111,33.442,75.674,38331,0,0,0,0,29.122,87.082,1.75,3.96,41631
