CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'042901041,Y,COLEMAN J H,N,COLEMAN,'042,A,COLEMAN ISD,'06 - 08,M,,,'15
'021901001,PC,A & M CONS H S,N,BRAZOS,'021,A,COLLEGE STATION ISD,'09 - 12,S,,,'06
'021901042,AEWSZ,A & M CONSOLIDATED MIDDLE SCHOOL,N,BRAZOS,'021,A,COLLEGE STATION ISD,'07 - 08,M,,,'06
'021901002,,CENTER FOR ALTERNATIVE LEARNING,N,BRAZOS,'021,1,COLLEGE STATION ISD,'10 - 12,S,,,'06
'021901102,AEMY,COLLEGE HILLS EL,N,BRAZOS,'021,R,COLLEGE STATION ISD,'PK - 04,E,,,'06
'021901041,S,COLLEGE STATION MIDDLE SCHOOL,N,BRAZOS,'021,A,COLLEGE STATION ISD,'07 - 08,M,,,'06
'021901202,AEX,CYPRESS GROVE INTERMEDIATE,N,BRAZOS,'021,A,COLLEGE STATION ISD,'05 - 06,M,,,'06
'021901201,A,OAKWOOD INTERMEDIATE SCHOOL,N,BRAZOS,'021,A,COLLEGE STATION ISD,'05 - 06,M,,,'06
'021901107,EWMY,PEBBLE CREEK EL,N,BRAZOS,'021,E,COLLEGE STATION ISD,'PK - 04,E,,,'06
'021901105,EX,ROCK PRAIRIE EL,N,BRAZOS,'021,R,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901101,EW,SOUTH KNOLL EL,N,BRAZOS,'021,A,COLLEGE STATION ISD,'EE - 04,E,,,'06
'021901104,WX,SOUTHWOOD VALLEY EL,N,BRAZOS,'021,R,COLLEGE STATION ISD,'PK - 04,E,,,'06
'091902101,EWMN,COLLINSVILLE EL,N,GRAYSON,'091,R,COLLINSVILLE ISD,'PK - 06,E,,,'10
'091902001,ATRWS,COLLINSVILLE H S,N,GRAYSON,'091,A,COLLINSVILLE ISD,'07 - 12,S,,,'10
'229901101,WMNX,COLMESNEIL EL,N,TYLER,'229,A,COLMESNEIL ISD,'KG - 09,B,,,'05
'229901001,TRS,COLMESNEIL H S,N,TYLER,'229,A,COLMESNEIL ISD,'09 - 12,S,,,'05
'229901041,EWMZ,COLMESNEIL MIDDLE,N,TYLER,'229,R,COLMESNEIL ISD,'06 - 10,B,,,'05
'168901001,AR,COLORADO HIGH SCHOOL,N,MITCHELL,'168,A,COLORADO ISD,'09 - 12,S,,,'14
'168901041,WZ,COLORADO MIDDLE,N,MITCHELL,'168,A,COLORADO ISD,'06 - 08,M,,,'14
'168901101,AN,HUTCHINSON ELEMENTARY,N,MITCHELL,'168,A,COLORADO ISD,'03 - 05,E,,,'14
'168901102,,KELLEY ELEMENTARY,N,MITCHELL,'168,A,COLORADO ISD,'EE - 02,E,'168901101,HUTCHINSON ELEMENTARY,'14
'020907107,EW,BARROW EL,N,BRAZORIA,'020,R,COLUMBIA-BRAZORIA ISD,'EE - 06,E,,,'04
'020907005,,BRAZORIA CO J J A E P,N,BRAZORIA,'020,X,COLUMBIA-BRAZORIA ISD,'09 - 10,S,,,'04
'020907104,AEMN,CHARLIE BROWN INT,N,BRAZORIA,'020,A,COLUMBIA-BRAZORIA ISD,'05 - 06,M,,,'04
'020907001,TR,COLUMBIA H S,N,BRAZORIA,'020,A,COLUMBIA-BRAZORIA ISD,'09 - 12,S,,,'04
'020907102,Z,WEST COLUMBIA EL,N,BRAZORIA,'020,R,COLUMBIA-BRAZORIA ISD,'PK - 04,E,,,'04
'020907042,WZ,WEST COLUMBIA J H,N,BRAZORIA,'020,A,COLUMBIA-BRAZORIA ISD,'07 - 08,M,,,'04
'020907106,EWMY,WILD PEACH EL,N,BRAZORIA,'020,R,COLUMBIA-BRAZORIA ISD,'EE - 04,E,,,'04
'045902101,,COLUMBUS ELEMENTARY SCHOOL,N,COLORADO,'045,A,COLUMBUS ISD,'EE - 05,E,,,'03
'045902001,TRX,COLUMBUS HIGH SCHOOL,N,COLORADO,'045,A,COLUMBUS ISD,'09 - 12,S,,,'03
'045902041,WY,COLUMBUS JUNIOR HIGH SCHOOL,N,COLORADO,'045,A,COLUMBUS ISD,'06 - 08,M,,,'03
'046902110,AEM,ARLON R SEAY INTERMEDIATE,N,COMAL,'046,A,COMAL ISD,'05 - 06,M,,,'13
'046902107,,BILL BROWN ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 04,E,,,'13
'046902001,,CANYON HIGH SCHOOL,N,COMAL,'046,A,COMAL ISD,'09 - 12,S,,,'13
'046902108,MX,CANYON INTERMEDIATE SCHOOL,N,COMAL,'046,A,COMAL ISD,'04 - 06,E,,,'13
'046902042,,CANYON MIDDLE,N,COMAL,'046,A,COMAL ISD,'07 - 08,M,,,'13
'046902102,EN,COMAL ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 06,E,,,'13
'046902201,,COMAL LEADERSHIP INSTITUTE,N,COMAL,'046,1,COMAL ISD,'09 - 12,S,,,'13
'046902104,E,FRAZIER ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'02 - 03,E,,,'13
'046902103,,GOODWIN PRIMARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 01,E,'046902104,FRAZIER ELEMENTARY SCHOOL,'13
'046902112,EWMNX,HOFFMANN LANE ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 06,E,,,'13
'046902111,EWMZ,MH SPECHT ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 04,E,,,'13
'046902105,,MOUNTAIN VALLEY SCHOOL,N,COMAL,'046,A,COMAL ISD,'EE - 06,E,,,'13
'046902101,AEWMZ,RAHE BULVERDE ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 04,E,,,'13
'046902113,EWMNX,REBECCA CREEK ELEMENTARY SCHOOL,N,COMAL,'046,R,COMAL ISD,'EE - 06,E,,,'13
'046902002,Z,SMITHSON VALLEY HIGH SCHOOL,N,COMAL,'046,A,COMAL ISD,'09 - 12,S,,,'13
'046902041,E,SMITHSON VALLEY MIDDLE,N,COMAL,'046,A,COMAL ISD,'07 - 08,M,,,'13
'046902044,EWY,SPRING BRANCH MIDDLE,N,COMAL,'046,R,COMAL ISD,'07 - 08,M,,,'13
'047901003,,COMANCHE ACCELERATED LRN CTR,N,COMANCHE,'047,1,COMANCHE ISD,'07 - 12,S,,,'14
'047901101,EM,COMANCHE ELEMENTARY,N,COMANCHE,'047,A,COMANCHE ISD,'PK - 05,E,,,'14
'047901001,RZ,COMANCHE H S,N,COMANCHE,'047,A,COMANCHE ISD,'09 - 12,S,,,'14
'047901041,EWY,JEFFERIES J H,N,COMANCHE,'047,R,COMANCHE ISD,'06 - 08,M,,,'14
'130902101,,COMFORT EL,N,KENDALL,'130,A,COMFORT ISD,'EE - 05,E,,,'13
'130902001,TR,COMFORT H S,N,KENDALL,'130,A,COMFORT ISD,'09 - 12,S,,,'13
'130902041,A,COMFORT MIDDLE,N,KENDALL,'130,A,COMFORT ISD,'06 - 08,M,,,'13
'130902002,,HILL COUNTRY HIGH SCHOOL,N,KENDALL,'130,X,COMFORT ISD,'12 - 12,S,,,'13
'116903104,N,ALBERT C WILLIAMS EL,N,HUNT,'116,A,COMMERCE ISD,'03 - 05,E,,,'10
'116903101,,COMMERCE EL,N,HUNT,'116,A,COMMERCE ISD,'EE - 02,E,'116903104,ALBERT C WILLIAMS EL,'10
'116903001,PT,COMMERCE H S,N,HUNT,'116,A,COMMERCE ISD,'09 - 12,S,,,'10
'116903043,S,COMMERCE MIDDLE,N,HUNT,'116,A,COMMERCE ISD,'06 - 08,M,,,'10
'043918002,,COLLIN CO J J A E P,N,COLLIN,'043,X,COMMUNITY ISD,'07 - 07,M,,,'10
'043918001,R,COMMUNITY H S,N,COLLIN,'043,A,COMMUNITY ISD,'09 - 12,S,,,'10
'043918042,EM,COMMUNITY INTERMEDIATE,N,COLLIN,'043,A,COMMUNITY ISD,'04 - 05,E,,,'10
'043918041,WSY,COMMUNITY MIDDLE,N,COLLIN,'043,A,COMMUNITY ISD,'06 - 08,M,,,'10
'043918101,EM,MCCLENDON EL,N,COLLIN,'043,R,COMMUNITY ISD,'PK - 03,E,,,'10
'112908001,ATRX,COMO-PICKTON SCHOOL,N,HOPKINS,'112,A,COMO-PICKTON CISD,'PK - 12,B,,,'08
'112908200,ATRY,HOLY HIGHWAY PICKTON,N,HOPKINS,'112,A,COMO-PICKTON CISD,'07 - 12,S,,,'08
'101842001,,COMQUEST ACADEMY,Y,HARRIS,'101,1,COMQUEST ACADEMY,'08 - 12,S,,,'04
'233903001,ADREWSX,COMSTOCK SCHOOL,N,VAL VERDE,'233,A,COMSTOCK ISD,'KG - 12,B,,,'15
'161921004,,CHALLENGE ACADEMY,N,MCLENNAN,'161,X,CONNALLY ISD,'07 - 11,S,,,'12
'161921104,,CONNALLY ELEMENTARY SCHOOL,N,MCLENNAN,'161,A,CONNALLY ISD,'KG - 04,E,,,'12
'161921001,R,CONNALLY HIGH SCHOOL,N,MCLENNAN,'161,A,CONNALLY ISD,'09 - 12,S,,,'12
'161921103,AY,CONNALLY INTERMEDIATE CENTER,N,MCLENNAN,'161,A,CONNALLY ISD,'05 - 06,M,,,'12
'161921041,WSY,CONNALLY JUNIOR HIGH,N,MCLENNAN,'161,A,CONNALLY ISD,'07 - 08,M,,,'12
'161921101,,CONNALLY PRIMARY SCHOOL,N,MCLENNAN,'161,A,CONNALLY ISD,'KG - 02,E,'161921104,CONNALLY ELEMENTARY SCHOOL,'12
'161921102,,ELM MOTT CENTER,N,MCLENNAN,'161,X,CONNALLY ISD,'EE - PK,E,,,'12
'161921002,,LAKEVIEW ACADEMY,N,MCLENNAN,'161,1,CONNALLY ISD,'08 - 12,S,,,'12
'161921105,,READY TO READ ACADEMY,N,MCLENNAN,'161,X,CONNALLY ISD,'PK - PK,E,,,'12
'170902112,M,A D FORD EL,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902101,EZ,ANDERSON EL,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902107,Z,ARMSTRONG EL,N,MONTGOMERY,'170,A,CONROE ISD,'PK - 04,E,,,'06
'170902102,E,AUSTIN EL,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902114,,B B RICE EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 06,E,,,'06
'170902053,AEWMS,BRANCH CROSSING JUNIOR HIGH SCHOO,N,MONTGOMERY,'170,E,CONROE ISD,'07 - 08,M,,,'06
'170902123,AEWMZ,BUCKALEW EL,N,MONTGOMERY,'170,E,CONROE ISD,'KG - 04,E,,,'06
'170902121,AEWMX,BUSH EL,N,MONTGOMERY,'170,E,CONROE ISD,'EE - 04,E,,,'06
'170902049,,C D YORK J H,N,MONTGOMERY,'170,A,CONROE ISD,'06 - 08,M,,,'06
'170902011,SZ,CANEY CREEK H S,N,MONTGOMERY,'170,R,CONROE ISD,'09 - 12,S,,,'06
'170902050,AEMN,COLLINS INT,N,MONTGOMERY,'170,E,CONROE ISD,'05 - 06,M,,,'06
'170902001,Y,CONROE H S,N,MONTGOMERY,'170,A,CONROE ISD,'09 - 12,S,,,'06
'170902106,,CREIGHTON ELEMENTARY,N,MONTGOMERY,'170,A,CONROE ISD,'PK - 04,E,,,'06
'170902073,,CRYAR INTERMEDIATE,N,MONTGOMERY,'170,A,CONROE ISD,'05 - 06,M,,,'06
'170902118,AEWMX,DAVID EL,N,MONTGOMERY,'170,E,CONROE ISD,'KG - 04,E,,,'06
'170902069,AEN,DOLLY VOGEL INTERMEDIATE,N,MONTGOMERY,'170,R,CONROE ISD,'05 - 06,M,,,'06
'170902120,AEWMZ,GALATAS EL,N,MONTGOMERY,'170,E,CONROE ISD,'KG - 04,E,,,'06
'170902119,WY,GIESINGER EL,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902116,EW,GLEN LOCH EL,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902068,Y,GRANGERLAND INTERMEDIATE,N,MONTGOMERY,'170,A,CONROE ISD,'05 - 06,M,,,'06
'170902111,W,HOUSER ELEMENTARY,N,MONTGOMERY,'170,R,CONROE ISD,'EE - 04,E,,,'06
'170902104,X,HOUSTON EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902201,,JUVENILE DETENTION CTR,N,MONTGOMERY,'170,X,CONROE ISD,'05 - 11,B,,,'06
'170902046,EWS,KNOX JUNIOR HIGH SCHOOL,N,MONTGOMERY,'170,A,CONROE ISD,'07 - 08,M,,,'06
'170902108,EWMZ,LAMAR EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902105,,MILAM EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902067,AEMN,MITCHELL INT,N,MONTGOMERY,'170,E,CONROE ISD,'05 - 06,M,,,'06
'170902010,,MONTGOMERY COUNTY JJAEP,N,MONTGOMERY,'170,X,CONROE ISD,'06 - 12,B,,,'06
'170902051,,MOORHEAD J H,N,MONTGOMERY,'170,A,CONROE ISD,'07 - 08,M,,,'06
'170902109,EWY,OAK RIDGE EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902005,Z,OAK RIDGE H S,N,MONTGOMERY,'170,A,CONROE ISD,'09 - 12,S,,,'06
'170902007,,PATHWAYS,N,MONTGOMERY,'170,X,CONROE ISD,'03 - 12,B,,,'06
'170902041,SX,PEET J H,N,MONTGOMERY,'170,A,CONROE ISD,'07 - 08,M,,,'06
'170902122,AEWM,POWELL EL,N,MONTGOMERY,'170,E,CONROE ISD,'EE - 04,E,,,'06
'170902124,EWMZ,REAVES EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902103,W,RUNYAN EL,N,MONTGOMERY,'170,A,CONROE ISD,'EE - 04,E,,,'06
'170902117,AEWMZ,SALLY RIDE EL,N,MONTGOMERY,'170,E,CONROE ISD,'KG - 04,E,,,'06
'170902113,EWMZ,SAM HAILEY EL,N,MONTGOMERY,'170,E,CONROE ISD,'PK - 04,E,,,'06
'170902115,E,SAN JACINTO EL,N,MONTGOMERY,'170,R,CONROE ISD,'PK - 04,E,,,'06
'170902003,DPTREMSX,THE WOODLANDS H S,N,MONTGOMERY,'170,R,CONROE ISD,'11 - 12,S,,,'06
'170902012,S,THE WOODLANDS HIGH SCHOOL - MCCUL,N,MONTGOMERY,'170,A,CONROE ISD,'09 - 10,S,,,'06
'170902071,AEWMNY,TOUGH ELEMENTARY,N,MONTGOMERY,'170,E,CONROE ISD,'KG - 06,E,,,'06
'170902070,,TRAVIS INTERMEDIATE,N,MONTGOMERY,'170,A,CONROE ISD,'05 - 06,M,,,'06
'170902002,,W L HAUKE ALTER ED,N,MONTGOMERY,'170,1,CONROE ISD,'08 - 12,S,,,'06
'170902043,,WASHINGTON JUNIOR HIGH,N,MONTGOMERY,'170,A,CONROE ISD,'07 - 08,M,,,'06
'170902045,EMN,WILKERSON INT,N,MONTGOMERY,'170,R,CONROE ISD,'05 - 06,M,,,'06
'147901101,X,COOLIDGE EL,N,LIMESTONE,'147,A,COOLIDGE ISD,'PK - 05,E,,,'12
'147901001,DX,COOLIDGE H S,N,LIMESTONE,'147,A,COOLIDGE ISD,'06 - 12,B,,,'12
'060902101,X,COOPER EL,N,DELTA,'060,A,COOPER ISD,'PK - 05,E,,,'08
'060902001,TESY,COOPER H S,N,DELTA,'060,A,COOPER ISD,'09 - 12,S,,,'08
'060902041,EW,COOPER J H,N,DELTA,'060,A,COOPER ISD,'06 - 08,M,,,'08
'057922103,AEWMN,AUSTIN EL,N,DALLAS,'057,E,COPPELL ISD,'EE - 05,E,,,'10
'057922001,PCTRS,COPPELL H S,N,DALLAS,'057,A,COPPELL ISD,'09 - 12,S,,,'10
'057922042,AEWMS,COPPELL MIDDLE EAST,N,DALLAS,'057,R,COPPELL ISD,'06 - 08,M,,,'10
'057922044,AEWMSY,COPPELL MIDDLE NORTH,N,DALLAS,'057,R,COPPELL ISD,'06 - 08,M,,,'10
'057922043,EWS,COPPELL MIDDLE WEST,N,DALLAS,'057,A,COPPELL ISD,'06 - 08,M,,,'10
'057922109,AEWMN,COTTONWOOD CREEK EL,N,DALLAS,'057,R,COPPELL ISD,'KG - 05,E,,,'10
'057922111,AEWMNY,DENTON CREEK EL,N,DALLAS,'057,R,COPPELL ISD,'KG - 05,E,,,'10
'057922107,AEWMNX,LAKESIDE EL,N,DALLAS,'057,E,COPPELL ISD,'KG - 05,E,,,'10
'057922102,EWMN,LEE EL,N,DALLAS,'057,R,COPPELL ISD,'EE - 05,E,,,'10
'057922105,AEWMNY,MOCKINGBIRD EL,N,DALLAS,'057,R,COPPELL ISD,'KG - 05,E,,,'10
'057922007,,P A S S LEARNING CTR,N,DALLAS,'057,X,COPPELL ISD,'12 - 12,S,,,'10
'057922101,AEWMN,PINKERTON EL,N,DALLAS,'057,E,COPPELL ISD,'KG - 05,E,,,'10
'057922108,AEWMN,TOWN CENTER EL,N,DALLAS,'057,E,COPPELL ISD,'KG - 05,E,,,'10
'057922110,AEWMNY,VALLEY RANCH EL,N,DALLAS,'057,R,COPPELL ISD,'KG - 05,E,,,'10
'057922106,AEWMNX,WILSON EL,N,DALLAS,'057,E,COPPELL ISD,'PK - 05,E,,,'10
'050910104,EMX,C R CLEMENTS INT,N,CORYELL,'050,A,COPPERAS COVE ISD,'05 - 06,M,,,'12
'050910001,,COPPERAS COVE H S,N,CORYELL,'050,A,COPPERAS COVE ISD,'09 - 12,S,,,'12
'050910041,EW,COPPERAS COVE J H,N,CORYELL,'050,A,COPPERAS COVE ISD,'07 - 08,M,,,'12
'050910005,,CROSSROADS HIGH SCHOOL,N,CORYELL,'050,1,COPPERAS COVE ISD,'11 - 12,S,,,'12
'050910101,E,FAIRVIEW/MISS JEWELL EL,N,CORYELL,'050,A,COPPERAS COVE ISD,'PK - 04,E,,,'12
'050910102,E,HETTIE HALSTEAD ELEMENTARY,N,CORYELL,'050,R,COPPERAS COVE ISD,'EE - 04,E,,,'12
'050910109,EWMY,HOLLIE PARSONS EL,N,CORYELL,'050,R,COPPERAS COVE ISD,'PK - 04,E,,,'12
'050910108,EWM,J L WILLIAMS EL,N,CORYELL,'050,E,COPPERAS COVE ISD,'PK - 04,E,,,'12
'050910107,N,LOVETT LEDGER INT,N,CORYELL,'050,A,COPPERAS COVE ISD,'05 - 06,M,,,'12
'050910105,EWM,MAE STEVENS EL,N,CORYELL,'050,R,COPPERAS COVE ISD,'PK - 04,E,,,'12
'050910106,EWMZ,MARTIN WALKER EL,N,CORYELL,'050,R,COPPERAS COVE ISD,'EE - 05,E,,,'12
'050910042,EW,S C LEE J H,N,CORYELL,'050,A,COPPERAS COVE ISD,'07 - 08,M,,,'12
'178904101,EWMX,ALLEN EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904009,,ALTERNATIVE H S CTR,N,NUECES,'178,1,CORPUS CHRISTI ISD,'07 - 12,S,,,'02
'178904041,EW,BAKER MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904152,ENX,BARNES EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904043,EW,BROWNE MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904103,M,CALK EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904001,R,CARROLL H S,N,NUECES,'178,A,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904104,A,CARROLL LANE EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904105,WN,CASA LINDA EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904106,EWMNX,CENTRAL PARK EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904107,AEWY,CHULA VISTA FINE ARTS,N,NUECES,'178,R,CORPUS CHRISTI ISD,'01 - 05,E,,,'02
'178904146,EMNX,CLUB ESTATES,N,NUECES,'178,R,CORPUS CHRISTI ISD,'KG - 05,E,,,'02
'178904137,,COLES EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'KG - 05,E,,,'02
'178904108,NX,CROCKETT EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904045,WS,CULLEN MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904046,,CUNNINGHAM MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904154,EWMNY,DAWSON EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'KG - 05,E,,,'02
'178904047,,DRISCOLL MIDDLE,N,NUECES,'178,L,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904153,AE,EARLY CHILDHOOD DEVELOPMENT CTR,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 04,E,,,'02
'178904110,EMNZ,EVANS EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904111,E,FANNIN EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904150,EWX,GALVAN EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904115,EMN,GARCIA EL,N,NUECES,'178,E,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904116,MX,GIBSON EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904056,EWS,GRANT MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904048,E,HAAS MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904049,EWS,HAMLIN MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904117,N,HOUSTON EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904151,AEWMN,JONES EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'KG - 05,E,,,'02
'178904055,E,KAFFIE MIDDLE SCHOOL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904002,X,KING H S,N,NUECES,'178,A,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904118,E,KOSTORYZ EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904119,,LAMAR EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904120,W,LEXINGTON EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904121,AEMN,LOS ENCINOS EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904122,AMN,LOZANO-SHAW SES,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904050,,MARTIN MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904143,,MARY GRETT SCHOOL,N,NUECES,'178,X,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904123,M,MEADOWBROOK EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904124,,MENGER EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904003,Z,MILLER HIGH SCHOOL CTR FOR COMMUN,N,NUECES,'178,A,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904149,AEWMN,MIRELES ELEMENTARY,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904125,WMN,MONTCLAIR EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904004,DRY,MOODY H S,N,NUECES,'178,A,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904148,Y,MOORE EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904012,,NUECES CO J J A E P,N,NUECES,'178,X,CORPUS CHRISTI ISD,'05 - 12,B,,,'02
'178904127,,OAK PARK SPECIAL EMPHASIS SCHOOL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904129,,PRESCOTT EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904005,RY,RAY H S,N,NUECES,'178,A,CORPUS CHRISTI ISD,'09 - 12,S,,,'02
'178904130,EN,SANDERS EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904132,EWMNX,SCHANEN EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904134,EWMNX,SMITH EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904052,,SOUTH PARK MIDDLE,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904054,,STUDENT LEARNING AND GUIDANCE CEN,N,NUECES,'178,X,CORPUS CHRISTI ISD,'04 - 12,B,,,'02
'178904136,EWM,TRAVIS EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904138,WX,WILSON EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904139,AEWMNY,WINDSOR PARK G/T,N,NUECES,'178,E,CORPUS CHRISTI ISD,'01 - 05,E,,,'02
'178904140,EWX,WOODLAWN EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'PK - 05,E,,,'02
'178904053,,WYNN SEALE ACADEMY OF FINE ARTS,N,NUECES,'178,A,CORPUS CHRISTI ISD,'06 - 08,M,,,'02
'178904141,EWN,YEAGER EL,N,NUECES,'178,R,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'178904142,Y,ZAVALA EL,N,NUECES,'178,A,CORPUS CHRISTI ISD,'EE - 05,E,,,'02
'187904103,,CORRIGAN-CAMDEN EL,N,POLK,'187,A,CORRIGAN-CAMDEN ISD,'04 - 06,E,,,'06
'187904001,TR,CORRIGAN-CAMDEN H S,N,POLK,'187,A,CORRIGAN-CAMDEN ISD,'09 - 12,S,,,'06
'187904041,A,CORRIGAN-CAMDEN J H,N,POLK,'187,A,CORRIGAN-CAMDEN ISD,'07 - 08,M,,,'06
'187904104,,CORRIGAN-CAMDEN PRIMARY,N,POLK,'187,X,CORRIGAN-CAMDEN ISD,'EE - 03,E,,,'06
'175903101,WNX,BOWIE ELEMENTARY,N,NAVARRO,'175,R,CORSICANA ISD,'KG - 05,E,,,'12
'175903107,Y,CARROLL EL,N,NAVARRO,'175,A,CORSICANA ISD,'EE - 05,E,,,'12
'175903041,,COLLINS MIDDLE,N,NAVARRO,'175,A,CORSICANA ISD,'07 - 08,M,,,'12
'175903001,X,CORSICANA H IGH SCHOOL,N,NAVARRO,'175,A,CORSICANA ISD,'09 - 12,S,,,'12
'175903042,,DRANE INT,N,NAVARRO,'175,A,CORSICANA ISD,'06 - 06,M,,,'12
'175903103,,FANNIN EL,N,NAVARRO,'175,A,CORSICANA ISD,'EE - 05,E,,,'12
'175903102,MY,JOSE ANTONIO NAVARRO EL,N,NAVARRO,'175,A,CORSICANA ISD,'KG - 05,E,,,'12
