CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'178901001,RWZ,AGUA DULCE H S,N,NUECES,'178,A,AGUA DULCE ISD,'07 - 12,S,,,'02
'015901001,PSY,ALAMO HEIGHTS H S,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901041,,ALAMO HEIGHTS J H,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'06 - 08,M,,,'20
'015901101,,CAMBRIDGE EL,N,BEXAR,'015,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'015901102,,HOWARD EL,N,BEXAR,'015,X,ALAMO HEIGHTS ISD,'EE - KG,E,,,'20
'015901104,,WOODRIDGE EL,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'250906101,E,ALBA-GOLDEN EL,N,WOOD,'250,A,ALBA-GOLDEN ISD,'PK - 05,E,,,'07
'250906001,SZ,ALBA-GOLDEN H S,N,WOOD,'250,A,ALBA-GOLDEN ISD,'06 - 12,B,,,'07
'250906002,,ALTER SCHOOL,N,WOOD,'250,1,ALBA-GOLDEN ISD,'11 - 12,S,,,'07
'209901001,ATRW,ALBANY JR-SR H S,N,SHACKELFORD,'209,A,ALBANY ISD,'07 - 12,S,,,'14
'209901101,EWMNX,NANCY SMITH EL,N,SHACKELFORD,'209,R,ALBANY ISD,'PK - 06,E,,,'14
'101902130,,ALDINE ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902001,R,ALDINE HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902099,,ALDINE J J A E P,N,HARRIS,'101,X,ALDINE ISD,'08 - 12,S,,,'04
'101902041,Z,ALDINE MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902081,Z,ALDINE NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,,,'04
'101902101,AE,ANDERSON ACADEMY,N,HARRIS,'101,E,ALDINE ISD,'01 - 03,E,,,'04
'101902102,AMX,BETHUNE ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'03 - 04,E,,,'04
'101902126,Y,BLACK ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902131,X,BUSSEY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902128,,CALVERT ELEMENTARY,N,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902066,Z,CARAWAY INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
