CAMPUS,YEAR,C20CA11R,C20CAA12R,C20CC11R,C20CC12R,C20CSA12R,C20CT11R,C20CT12R,C2CRB11R,C2CRB12R,C2CRM11R,C2CRM12R,C2CRR11R,C2CRR12R,C30CA11R,C30CAA12R,C30CC11R,C30CC12R,C30CSA12R,C30CT11R,C30CT12R,C3CRB11R,C3CRB12R,C3CRM11R,C3CRM12R,C3CRR11R,C3CRR12R,C40CA11R,C40CAA12R,C40CC11R,C40CC12R,C40CSA12R,C40CT11R,C40CT12R,C4CRB11R,C4CRB12R,C4CRM11R,C4CRM12R,C4CRR11R,C4CRR12R,CA0CA11R,CA0CAA12R,CA0CC11R,CA0CC12R,CA0CSA12R,CA0CT11R,CA0CT12R,CACRB11R,CACRB12R,CACRM11R,CACRM12R,CACRR11R,CACRR12R,CB0CA11R,CB0CAA12R,CB0CC11R,CB0CC12R,CB0CSA12R,CB0CT11R,CB0CT12R,CBCRB11R,CBCRB12R,CBCRM11R,CBCRM12R,CBCRR11R,CBCRR12R,CE0CAA12R,CE0CC12R,CE0CSA12R,CE0CT12R,CECRB11R,CECRB12R,CECRM11R,CECRM12R,CECRR11R,CECRR12R,CF0CA11R,CF0CAA12R,CF0CC11R,CF0CC12R,CF0CSA12R,CF0CT11R,CF0CT12R,CFCRB11R,CFCRB12R,CFCRM11R,CFCRM12R,CFCRR11R,CFCRR12R,CH0CA11R,CH0CAA12R,CH0CC11R,CH0CC12R,CH0CSA12R,CH0CT11R,CH0CT12R,CHCRB11R,CHCRB12R,CHCRM11R,CHCRM12R,CHCRR11R,CHCRR12R,CI0CA11R,CI0CAA12R,CI0CC11R,CI0CC12R,CI0CSA12R,CI0CT11R,CI0CT12R,CICRB11R,CICRB12R,CICRM11R,CICRM12R,CICRR11R,CICRR12R,CLCRB11R,CLCRB12R,CLCRM11R,CLCRM12R,CLCRR11R,CLCRR12R,CM0CA11R,CM0CAA12R,CM0CC11R,CM0CC12R,CM0CSA12R,CM0CT11R,CM0CT12R,CMCRB11R,CMCRB12R,CMCRM11R,CMCRM12R,CMCRR11R,CMCRR12R,CRCRB11R,CRCRB12R,CRCRM11R,CRCRM12R,CRCRR11R,CRCRR12R,CSCRB11R,CSCRB12R,CSCRM11R,CSCRM12R,CSCRR11R,CSCRR12R,CW0CA11R,CW0CAA12R,CW0CC11R,CW0CC12R,CW0CSA12R,CW0CT11R,CW0CT12R,CWCRB11R,CWCRB12R,CWCRM11R,CWCRM12R,CWCRR11R,CWCRR12R
'001906002,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.6,19.9,16.7,14.3,1284,42.9,77.8,28,56,56,69,42,71,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,17,-1,33,-1,14,-1,-1,19.1,-1,10,1284,80,83.3,29,55,57,73,43,67,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,22.2,66.7,27,60,55,60,42,80,0,-1,33,-1,17,-1,-1,.,-1,.,20,-1,21.6,21.8,16.7,22.2,1280,42.9,75,28,55,56,73,42,67
'001906102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907001,2013,.,.,.,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,21.2,19.7,27.5,16.7,1392,41.8,30.2,46,47,66,73,56,54,17.7,-1,5.3,8.3,1239,45.2,34.3,29,38,43,59,41,48,-1,12.5,1347,25.3,35,45,56,71,48,53,21.6,20.8,22.9,13.6,1371,40.2,40,46,53,60,78,61,62,.,.,18.2,30,1491,20.4,16.1,42,45,64,79,54,51,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20.8,-1,32.4,20,1420,43.6,23.8,46,42,73,68,50,48,22,32,41,65,36,38,-1,-1,-1,-1,0,-1,22.9,21,42.1,18.8,1450,55.9,43.2,60,55,84,73,67,66
'001907041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907101,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001908002,2013,.,-1,0,-1,.,-2,-1,-1,-1,-1,-1,-1,-1,-1,.,0,-1,-1,-1,-2,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,20,10.3,13.5,1417,82.9,51,51,53,72,66,61,61,18.2,-1,0,0,1243,90.9,30,50,38,75,44,58,63,21,7.1,1375,33.3,48,45,78,61,56,50,18.5,19.6,7.9,12.1,1460,-2,63.5,52,51,71,60,62,62,-1,-1,20,0,-1,90.9,46.2,45,67,55,78,73,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.8,20.6,15,15.8,1337,57.1,38,50,55,72,71,60,60,32,26,48,37,50,44,0,0,29,11,29,20,19.5,20.2,11.4,18.9,1467,74.5,55.2,50,55,73,68,57,61
'001908041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
