DISTRICT,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,YEAR
'001902,6.9,32.9,13.9,24.3,22.0,1997
'001903,7.5,31.2,11.2,27.7,22.4,1997
'001904,5.0,16.8,13.4,35.3,29.4,1997
'001906,3.5,37.7,10.4,34.6,13.9,1997
'001907,2.9,22.8,20.0,33.6,20.7,1997
'001908,5.7,21.1,15.5,35.5,22.1,1997
'001909,7.1,39.3,21.4,12.5,19.6,1997
'002901,3.3,22.6,18.5,31.9,23.7,1997
'003902,5.3,24.0,19.0,35.0,16.7,1997
'003903,3.9,25.2,13.5,33.8,23.6,1997
'003904,20.2,26.6,15.7,23.7,13.7,1997
'003905,5.7,31.1,14.2,24.3,24.8,1997
'003906,12.7,35.0,28.7,10.8,12.7,1997
'003907,6.7,22.4,27.3,31.1,12.6,1997
'004901,3.6,24.7,23.6,29.2,18.8,1997
'005901,3.9,21.1,11.8,37.5,25.7,1997
'005902,0.0,22.2,25.4,36.5,15.9,1997
'005903,22.6,43.4,11.3,22.6,0.0,1997
'005904,11.8,29.4,14.7,26.5,17.6,1997
'006902,5.1,18.0,30.9,25.7,20.2,1997
'007901,4.9,21.9,17.0,33.2,22.9,1997
'007902,2.2,20.0,17.7,31.0,29.1,1997
'007904,7.7,30.0,15.9,28.3,18.1,1997
'007905,6.7,26.6,19.4,27.1,20.2,1997
'007906,6.3,26.7,17.8,30.7,18.5,1997
'008901,3.8,26.3,19.6,23.3,27.0,1997
'008902,2.8,19.2,16.0,41.9,20.0,1997
'008903,5.7,28.8,14.4,31.2,19.9,1997
'009901,5.1,35.2,17.8,25.4,16.5,1997
'009903,17.6,41.2,5.9,29.4,5.9,1997
'010901,3.1,21.9,3.1,37.5,34.4,1997
'010902,6.0,32.7,19.8,24.2,17.3,1997
'011901,10.1,36.4,18.2,25.0,10.3,1997
'011902,7.3,24.8,22.6,30.1,15.3,1997
'011904,10.4,24.7,17.9,32.1,14.9,1997
'011905,16.7,16.7,58.3,8.3,0.0,1997
'012901,2.9,20.3,17.3,29.0,30.5,1997
'013901,8.2,28.6,14.9,31.2,17.1,1997
'013902,8.0,31.9,15.9,24.8,19.4,1997
'013903,13.1,23.5,16.0,18.6,28.8,1997
'013905,5.5,37.5,14.6,27.1,15.3,1997
'014901,1.5,38.7,8.0,33.9,17.9,1997
'014902,7.2,29.0,21.7,19.3,22.7,1997
'014903,3.1,20.9,21.7,34.5,19.8,1997
'014905,8.0,16.0,16.3,34.0,25.7,1997
'014906,11.2,34.6,17.9,24.0,12.2,1997
'014907,16.0,30.3,13.0,28.7,12.0,1997
'014908,1.8,21.4,30.4,26.8,19.6,1997
'014909,9.6,26.5,15.6,28.4,19.9,1997
'014910,10.7,27.2,16.0,34.2,11.9,1997
'015801,11.2,67.1,0.0,10.5,11.2,1997
'015802,0.0,66.7,0.0,33.3,0.0,1997
'015901,2.1,12.9,14.6,36.1,34.3,1997
'015904,4.7,26.9,18.4,28.1,21.9,1997
'015905,8.7,32.1,17.3,24.4,17.4,1997
'015906,2.4,16.6,15.4,39.5,26.1,1997
'015907,3.2,20.4,13.5,32.9,30.0,1997
'015908,5.5,27.0,14.9,29.5,23.1,1997
'015909,9.0,33.1,18.2,30.3,9.3,1997
'015910,4.8,25.9,18.1,30.8,20.4,1997
'015911,4.8,31.0,19.3,29.2,15.6,1997
'015912,9.9,41.4,18.2,19.8,10.8,1997
'015913,1.4,27.6,13.8,30.2,27.0,1997
'015914,9.7,14.6,19.5,32.9,23.3,1997
'015915,5.9,26.0,16.8,31.0,20.2,1997
'015916,5.7,24.6,17.6,32.5,19.5,1997
'015917,8.1,27.5,24.5,24.9,14.9,1997
'016901,1.8,21.8,21.8,30.9,23.6,1997
'016902,0.0,31.9,30.5,20.2,17.4,1997
'017901,0.0,19.9,10.0,49.5,20.7,1997
'018901,10.7,28.9,16.6,23.5,20.3,1997
'018902,11.0,16.4,11.0,35.9,25.7,1997
'018903,11.4,11.4,28.6,34.3,14.3,1997
'018904,14.1,11.7,14.0,42.4,17.8,1997
'018905,5.8,11.7,11.7,35.0,35.8,1997
'018906,13.1,26.3,14.6,13.1,32.9,1997
'018907,14.6,44.6,12.6,19.8,8.4,1997
'018908,5.7,37.9,16.7,39.7,0.0,1997
'019901,8.4,28.0,18.9,28.1,16.6,1997
'019902,1.3,17.5,20.0,33.7,27.5,1997
'019903,6.1,12.1,18.2,48.5,15.2,1997
'019905,5.3,18.7,24.6,31.5,19.9,1997
'019906,4.7,23.7,16.1,30.6,24.9,1997
'019907,6.5,22.9,13.9,30.8,25.8,1997
'019908,2.0,22.8,20.3,30.5,24.4,1997
'019909,7.7,24.8,18.0,31.5,18.0,1997
'019910,0.0,59.2,31.0,9.9,0.0,1997
'019911,0.0,20.5,41.1,28.2,10.3,1997
'019912,6.7,23.9,15.9,34.8,18.7,1997
'019913,12.5,0.0,50.0,37.5,0.0,1997
'019914,0.0,29.7,9.9,39.6,20.8,1997
'020901,9.4,33.1,17.7,23.3,16.4,1997
'020902,6.3,25.2,18.8,31.2,18.6,1997
'020904,1.7,34.0,30.2,19.2,15.0,1997
'020905,5.2,24.4,14.2,32.2,24.0,1997
'020906,4.4,18.9,23.4,31.4,21.9,1997
'020907,5.8,19.7,14.6,29.4,30.5,1997
'020908,9.1,25.2,16.1,30.4,19.3,1997
'020910,16.5,43.5,19.5,16.5,4.1,1997
'021901,3.4,25.5,22.0,31.7,17.4,1997
'021902,8.0,34.9,16.2,24.5,16.4,1997
'022004,19.6,63.8,6.6,10.0,0.0,1997
'022901,7.4,26.5,17.2,21.5,27.5,1997
'022902,27.8,30.9,23.4,5.9,11.9,1997
'022903,0.0,0.0,24.6,73.7,1.8,1997
'023902,4.6,25.3,23.4,27.2,19.5,1997
'024901,2.4,14.6,12.0,33.4,37.6,1997
'025901,4.0,30.7,18.7,29.3,17.3,1997
'025902,5.2,26.6,13.5,31.2,23.5,1997
'025904,13.6,36.4,22.7,9.1,18.2,1997
'025905,8.5,25.5,25.5,21.3,19.2,1997
'025906,0.0,0.0,21.1,50.9,28.1,1997
'025908,11.0,16.6,22.1,33.8,16.6,1997
'025909,3.4,20.5,20.5,36.2,19.5,1997
'026901,5.8,25.3,14.6,31.7,22.6,1997
'026902,4.4,45.6,16.9,16.2,16.9,1997
'026903,15.6,22.2,17.8,31.1,13.3,1997
'027903,5.6,24.4,13.8,36.2,19.9,1997
'027904,2.6,28.5,16.8,32.8,19.3,1997
'028902,9.2,27.6,18.1,31.8,13.3,1997
'028903,7.0,19.1,23.1,26.8,24.1,1997
'028906,0.0,47.5,16.8,27.9,7.8,1997
'029901,5.4,26.6,12.8,28.1,27.1,1997
'030901,2.6,17.9,18.0,43.6,17.9,1997
'030902,4.8,30.6,24.0,27.4,13.2,1997
'030903,5.1,27.8,15.3,36.3,15.4,1997
'030906,8.4,37.0,16.8,27.3,10.5,1997
'031901,5.5,28.6,19.7,32.4,13.8,1997
'031903,5.3,25.3,19.2,31.2,18.9,1997
'031905,3.9,25.7,20.7,33.0,16.8,1997
'031906,10.3,29.4,20.1,27.8,12.3,1997
'031909,24.4,21.7,17.2,27.7,9.0,1997
'031911,12.4,28.4,10.9,33.8,14.5,1997
'031912,9.4,24.9,15.2,33.0,17.5,1997
'031913,14.8,25.4,14.8,33.9,11.1,1997
'031914,11.7,27.3,25.9,24.7,10.4,1997
'031916,4.2,25.3,22.3,32.5,15.7,1997
'032902,6.0,22.5,18.1,31.1,22.2,1997
'033901,5.1,15.4,15.5,36.0,27.9,1997
'033902,0.0,9.9,25.6,39.6,24.9,1997
'033904,0.0,17.1,13.7,41.5,27.7,1997
'034901,2.4,24.5,19.2,30.8,23.1,1997
'034902,10.2,15.4,15.4,25.6,33.5,1997
'034903,9.9,27.2,18.1,33.3,11.4,1997
'034905,3.3,26.1,18.5,33.7,18.5,1997
'034906,12.0,44.0,4.0,28.1,12.0,1997
'034907,8.5,21.8,16.1,30.5,23.0,1997
'034908,0.0,0.0,0.0,34.8,65.2,1997
'034909,0.0,23.8,9.5,38.1,28.6,1997
'035901,4.1,23.9,15.7,35.5,20.8,1997
'035902,0.0,27.7,16.2,25.4,30.7,1997
'035903,0.0,31.2,22.9,26.4,19.5,1997
'036901,9.8,27.2,16.3,28.7,18.0,1997
'036902,2.2,14.5,13.6,44.1,25.6,1997
'036903,9.5,28.6,27.4,28.6,6.0,1997
'037901,3.4,27.6,20.7,22.4,25.9,1997
'037904,6.4,29.3,17.6,29.5,17.3,1997
'037907,5.4,26.1,15.3,31.7,21.5,1997
'037908,9.1,39.4,24.2,15.2,12.1,1997
'037909,7.1,39.3,21.4,25.0,7.1,1997
'038901,2.7,15.2,29.2,30.9,22.0,1997
'039901,6.9,27.8,20.8,20.8,23.6,1997
'039902,6.4,18.6,22.9,31.8,20.3,1997
'039903,13.2,34.2,15.8,31.6,5.3,1997
'039904,5.7,34.3,0.0,49.4,10.6,1997
'039905,5.2,25.8,31.0,17.3,20.7,1997
'040901,5.3,22.4,14.5,43.4,14.5,1997
'040902,0.0,19.1,19.2,29.9,31.9,1997
'041901,5.4,37.3,18.9,30.3,8.1,1997
'041902,0.0,16.3,18.1,32.6,32.9,1997
'042901,5.1,27.9,13.2,33.4,20.3,1997
'042903,12.4,22.8,9.9,28.4,26.4,1997
'042905,6.6,22.3,8.9,40.1,22.0,1997
'042906,14.2,56.7,0.0,29.1,0.0,1997
'043901,7.5,31.7,15.9,30.4,14.4,1997
'043902,9.0,35.7,19.5,28.3,7.5,1997
'043903,11.1,32.1,9.0,31.9,15.8,1997
'043904,5.0,21.0,14.8,33.4,25.8,1997
'043905,5.9,34.5,19.5,29.8,10.2,1997
'043907,5.4,31.8,20.3,27.2,15.4,1997
'043908,10.6,36.1,24.3,25.3,3.6,1997
'043910,5.5,26.2,17.5,30.4,20.3,1997
'043911,5.3,32.5,14.5,32.5,15.2,1997
'043912,5.0,28.3,18.3,36.7,11.7,1997
'043914,7.5,33.8,21.2,23.9,13.6,1997
'043917,10.7,24.0,21.8,32.7,10.9,1997
'043918,10.6,31.1,27.9,25.2,5.3,1997
'043919,0.0,13.8,11.7,46.9,27.6,1997
'044902,3.4,21.9,16.8,30.2,27.8,1997
'044904,0.0,46.5,6.6,6.6,40.2,1997
'045902,1.9,19.1,23.8,37.1,18.1,1997
'045903,9.7,30.5,14.2,24.3,21.3,1997
'045905,2.0,14.0,22.0,22.0,39.9,1997
'046901,3.3,27.1,17.7,30.2,21.6,1997
'046902,5.6,25.0,19.1,34.3,16.1,1997
'047901,7.2,19.5,25.3,22.6,25.4,1997
'047902,1.6,19.1,25.1,31.8,22.5,1997
'047903,4.8,47.4,4.8,23.9,19.1,1997
'047905,0.0,21.3,0.0,42.6,36.1,1997
'048901,5.4,21.7,16.3,32.4,24.3,1997
'048903,5.6,26.0,39.5,17.5,11.3,1997
'049901,3.2,19.1,17.5,31.8,28.3,1997
'049902,0.0,33.8,24.7,22.5,19.0,1997
'049903,7.5,22.6,30.8,28.8,10.3,1997
'049905,5.4,19.2,17.8,31.5,26.1,1997
'049906,10.4,20.9,21.0,36.4,11.2,1997
'049907,2.7,18.9,18.9,43.2,16.2,1997
'049908,0.0,40.0,40.0,20.0,0.0,1997
'049909,0.0,29.1,56.4,14.5,0.0,1997
'050901,0.0,30.3,5.0,22.3,42.3,1997
'050902,3.8,24.7,10.1,29.7,31.8,1997
'050904,11.2,51.5,8.6,11.5,17.2,1997
'050909,0.0,5.3,21.1,36.8,36.8,1997
'050910,13.6,32.8,16.7,22.7,14.3,1997
'051901,2.8,22.2,8.1,35.6,31.3,1997
'052901,0.0,18.6,17.4,34.2,29.9,1997
'053001,3.7,23.7,18.7,32.6,21.2,1997
'054901,18.3,22.0,21.1,25.7,12.8,1997
'054902,7.7,30.8,15.4,28.2,17.8,1997
'054903,9.1,40.0,21.8,20.0,9.1,1997
'055901,4.7,35.9,18.9,23.4,17.1,1997
'056901,5.3,25.4,14.8,32.3,22.1,1997
'056902,5.9,20.5,17.6,21.2,34.9,1997
'057801,35.5,12.9,21.5,25.8,4.3,1997
'057804,100.0,0.0,0.0,0.0,0.0,1997
'057903,7.4,32.3,19.3,24.7,16.2,1997
'057904,11.3,27.8,18.4,30.0,12.4,1997
'057905,7.4,25.8,13.6,26.4,26.7,1997
'057906,8.5,24.3,18.4,28.0,20.9,1997
'057907,9.4,27.1,11.9,31.3,20.4,1997
'057909,7.6,30.6,16.8,25.4,19.5,1997
'057910,6.3,33.7,13.5,28.3,18.2,1997
'057911,8.3,26.9,13.0,28.4,23.4,1997
'057912,9.7,32.6,14.9,24.1,18.6,1997
'057913,19.8,26.4,13.9,24.6,15.3,1997
'057914,7.3,32.5,16.7,26.5,17.1,1997
'057916,8.5,21.1,15.5,30.0,24.8,1997
'057919,0.0,28.4,37.5,17.1,17.1,1997
'057920,4.2,30.6,19.4,27.3,18.5,1997
'057922,6.7,32.1,21.9,33.1,6.1,1997
'058902,10.0,20.0,15.0,30.0,25.0,1997
'058905,10.6,12.8,21.3,25.5,29.8,1997
'058906,6.2,23.9,18.7,30.0,21.1,1997
'058909,0.0,33.3,27.7,23.0,16.0,1997
'059901,9.1,30.4,15.8,26.3,18.4,1997
'059902,14.4,28.7,43.1,13.8,0.0,1997
'060902,1.5,28.1,19.7,29.5,21.1,1997
'060914,6.6,48.7,8.1,20.3,16.2,1997
'061901,6.7,24.9,21.4,29.4,17.7,1997
'061902,7.2,32.7,17.5,27.5,15.1,1997
'061903,14.0,20.5,28.1,36.3,1.1,1997
'061905,2.5,23.0,28.4,31.1,14.9,1997
'061906,16.0,50.5,20.9,12.7,0.0,1997
'061907,16.5,43.2,17.9,16.5,5.8,1997
'061908,10.2,36.4,16.0,24.0,13.4,1997
'061910,4.2,25.0,24.0,25.9,20.9,1997
'061911,7.3,30.3,17.1,35.1,10.1,1997
'061912,9.2,44.3,16.2,22.2,8.0,1997
'061914,22.1,31.2,18.4,22.7,5.6,1997
'062901,2.1,23.9,16.1,34.4,23.5,1997
'062902,6.6,13.2,6.6,39.5,34.1,1997
'062903,1.7,21.1,8.0,40.5,28.7,1997
'062904,3.8,26.1,18.4,25.7,26.0,1997
'062905,0.0,0.0,75.9,0.0,24.1,1997
'062906,9.5,19.0,0.0,52.4,19.0,1997
'063903,5.4,24.3,18.9,41.4,9.9,1997
'063906,8.6,51.4,5.7,34.3,0.0,1997
'064901,17.9,13.1,9.9,36.1,23.0,1997
'064903,6.7,27.0,13.8,32.0,20.4,1997
'065901,5.8,29.7,21.7,25.6,17.3,1997
'065902,4.9,33.0,23.7,35.5,3.0,1997
'066005,32.8,28.2,0.0,38.9,0.0,1997
'066901,3.4,10.2,11.6,31.9,42.9,1997
'066902,6.1,32.0,11.7,35.3,15.0,1997
'066903,6.8,15.7,16.8,29.2,31.5,1997
'067902,5.5,24.6,22.0,30.2,17.7,1997
'067903,6.8,18.7,25.3,28.4,20.8,1997
'067904,9.3,24.7,24.7,27.6,13.7,1997
'067907,5.9,15.6,15.6,33.2,29.7,1997
'067908,0.0,22.2,20.2,31.0,26.6,1997
'068901,9.1,30.0,18.0,25.5,17.4,1997
'069901,2.4,22.1,23.9,30.2,21.5,1997
'069902,9.4,18.7,9.4,43.8,18.7,1997
'070901,0.0,39.2,22.9,27.5,10.4,1997
'070903,2.3,24.2,18.0,34.4,21.1,1997
'070905,13.6,30.9,12.7,34.5,8.2,1997
'070907,3.9,31.4,25.5,23.5,15.7,1997
'070908,3.4,28.4,21.2,31.7,15.3,1997
'070909,0.0,35.0,15.0,40.0,10.0,1997
'070910,10.2,32.3,18.6,23.6,15.3,1997
'070911,11.2,26.6,15.8,32.0,14.4,1997
'070912,4.6,22.4,14.9,36.7,21.3,1997
'070915,9.4,50.1,9.3,21.8,9.4,1997
'071901,10.0,32.1,17.5,27.4,13.0,1997
'071902,5.3,26.6,17.6,28.7,21.8,1997
'071903,6.3,40.0,17.8,24.3,11.6,1997
'071904,12.8,47.4,16.4,18.9,4.5,1997
'071905,9.9,25.6,16.4,30.2,17.8,1997
'071906,14.5,20.0,27.3,34.5,3.6,1997
'071907,6.5,30.1,14.3,33.6,15.5,1997
'071908,8.2,46.9,10.2,24.5,10.2,1997
'071909,7.1,31.5,22.4,28.0,11.0,1997
'072901,0.0,45.2,45.2,9.7,0.0,1997
'072902,7.8,28.9,12.2,32.3,18.9,1997
'072903,1.9,21.1,22.0,31.7,23.3,1997
'072904,12.5,25.0,37.5,25.0,0.0,1997
'072908,9.5,28.6,23.8,19.0,19.0,1997
'072909,2.6,20.6,15.4,56.3,5.1,1997
'072910,0.0,15.0,0.0,51.1,33.9,1997
'073901,0.0,29.7,29.7,37.6,3.0,1997
'073903,18.2,23.2,16.1,19.7,22.7,1997
'073904,42.0,24.6,11.5,19.0,2.9,1997
'073905,2.6,30.9,22.0,23.2,21.3,1997
'074903,11.0,24.2,15.1,29.5,20.2,1997
'074904,13.9,37.0,9.3,30.5,9.3,1997
'074905,20.7,31.0,20.3,28.0,0.0,1997
'074907,1.6,40.6,10.2,25.7,21.9,1997
'074909,12.2,24.6,15.8,31.6,15.8,1997
'074911,10.4,32.2,8.4,23.7,25.3,1997
'074912,9.6,6.7,30.4,26.7,26.7,1997
'074917,8.6,28.6,8.6,28.6,25.7,1997
'075901,0.0,21.0,14.0,42.0,23.1,1997
'075902,0.8,20.2,21.0,32.2,25.8,1997
'075903,6.7,20.2,21.9,20.2,30.8,1997
'075906,4.8,28.8,9.6,28.3,28.5,1997
'075908,0.0,25.0,18.7,28.1,28.1,1997
'076903,12.1,21.2,30.3,21.2,15.2,1997
'076904,10.1,19.2,10.1,35.2,25.4,1997
'077901,4.8,29.6,16.0,23.8,25.8,1997
'077902,3.0,25.7,24.3,28.8,18.2,1997
'078901,6.5,33.8,26.0,18.2,15.6,1997
'079901,7.6,30.1,13.9,26.4,22.0,1997
'079906,2.1,25.6,20.1,33.2,19.0,1997
'079907,4.3,27.7,20.8,33.0,14.2,1997
'079908,0.0,35.6,23.7,23.7,17.0,1997
'079910,12.1,32.8,15.0,26.9,13.2,1997
'080901,6.0,30.8,14.9,31.2,17.1,1997
'081902,1.8,17.0,21.9,31.9,27.5,1997
'081904,3.9,21.9,15.5,33.5,25.2,1997
'081905,6.0,29.9,17.9,34.2,12.0,1997
'081906,0.0,66.7,0.0,16.7,16.7,1997
'082902,2.5,28.0,17.4,35.7,16.4,1997
'082903,9.4,29.2,15.5,26.5,19.3,1997
'083901,4.8,33.3,17.4,30.0,14.5,1997
'083902,0.0,22.2,5.6,50.0,22.2,1997
'083903,3.0,14.2,20.2,40.9,21.7,1997
'084901,8.5,29.4,17.9,24.2,20.1,1997
'084902,21.7,18.6,9.7,24.4,25.6,1997
'084903,17.9,32.1,25.0,14.3,10.7,1997
'084904,10.6,29.6,14.4,23.6,21.8,1997
'084906,4.5,20.7,16.5,26.7,31.6,1997
'084908,8.9,25.9,16.0,34.1,15.0,1997
'084909,6.8,26.0,15.1,34.9,17.2,1997
'084910,3.5,20.1,20.8,33.2,22.4,1997
'084911,3.4,29.7,20.9,32.1,13.8,1997
'085902,4.3,16.0,29.3,26.6,23.9,1997
'085903,11.7,11.7,20.8,55.8,0.0,1997
'086024,0.0,0.0,100.0,0.0,0.0,1997
'086901,2.4,22.1,17.4,30.6,27.5,1997
'086902,16.6,6.6,29.9,30.2,16.6,1997
'087901,0.0,14.3,22.9,42.9,20.0,1997
'088902,6.9,29.6,23.2,27.8,12.4,1997
'089901,5.6,30.2,15.1,24.1,25.0,1997
'089903,6.4,26.5,12.7,29.0,25.5,1997
'089905,4.2,33.3,12.5,33.3,16.7,1997
'090902,5.5,12.6,25.2,37.8,18.9,1997
'090903,4.6,18.4,12.5,28.2,36.3,1997
'090904,3.9,25.8,19.3,32.0,19.0,1997
'090905,0.0,33.3,33.3,33.3,0.0,1997
'091901,1.6,29.1,27.5,22.8,19.0,1997
'091902,7.3,19.4,29.8,24.2,19.4,1997
'091903,7.8,20.3,13.1,28.5,30.4,1997
'091905,4.5,31.4,15.3,26.3,22.4,1997
'091906,9.3,25.1,14.7,29.3,21.6,1997
'091907,5.9,49.2,14.1,14.1,16.8,1997
'091908,8.9,22.2,11.8,39.3,17.8,1997
'091909,9.7,25.5,17.3,21.5,26.0,1997
'091910,5.8,24.2,23.4,30.9,15.7,1997
'091913,5.8,30.5,17.4,30.1,16.2,1997
'091914,0.7,15.6,16.0,48.6,19.1,1997
'091917,6.4,37.4,28.2,24.8,3.2,1997
'091918,5.3,31.5,21.0,36.8,5.5,1997
'092901,1.9,25.9,23.3,25.9,23.1,1997
'092902,6.6,18.7,15.3,29.2,30.3,1997
'092903,4.4,24.3,15.7,34.3,21.3,1997
'092904,5.9,17.9,19.9,30.6,25.7,1997
'092906,0.0,27.8,14.4,27.7,30.1,1997
'092907,2.9,18.6,17.2,35.9,25.3,1997
'092908,4.0,9.1,13.6,35.2,38.1,1997
'093901,14.5,24.4,14.7,29.3,17.1,1997
'093903,2.7,27.1,21.7,30.5,17.9,1997
'093904,9.1,30.3,18.7,27.8,14.1,1997
'093905,0.0,52.9,11.8,23.5,11.8,1997
'094901,6.5,28.1,16.5,27.2,21.7,1997
'094902,9.9,35.4,15.5,23.4,15.8,1997
'094903,2.5,20.6,24.2,32.1,20.6,1997
'094904,4.6,25.6,21.7,29.3,18.9,1997
'095901,0.7,18.2,19.6,37.8,23.8,1997
'095902,9.8,35.5,20.3,19.3,15.2,1997
'095903,4.9,31.0,26.1,20.1,17.9,1997
'095904,0.0,23.3,13.8,29.9,33.1,1997
'095905,9.3,29.7,19.0,25.8,16.2,1997
'096904,7.5,24.8,23.7,34.7,9.3,1997
'096905,3.9,27.1,19.4,33.3,16.3,1997
'096908,26.0,49.6,1.9,0.0,22.5,1997
'097902,4.3,24.8,17.2,29.4,24.3,1997
'097903,2.0,22.5,32.9,23.6,19.0,1997
'098901,2.7,20.9,24.7,24.2,27.6,1997
'098903,8.3,16.7,50.0,16.7,8.3,1997
'098904,1.5,23.0,20.8,34.6,20.1,1997
'099902,0.0,33.3,12.5,33.3,20.8,1997
'099903,1.5,16.7,11.4,38.1,32.3,1997
'100903,6.6,25.6,18.3,30.1,19.4,1997
'100904,1.2,27.5,19.6,31.3,20.4,1997
'100905,8.1,21.5,14.8,37.6,18.1,1997
'100907,6.0,27.2,21.4,32.8,12.6,1997
'100908,7.4,27.6,24.0,29.5,11.6,1997
'101801,100.0,0.0,0.0,0.0,0.0,1997
'101802,0.0,50.0,25.0,25.0,0.0,1997
'101803,60.0,40.0,0.0,0.0,0.0,1997
'101804,66.1,28.3,5.7,0.0,0.0,1997
'101805,40.2,23.3,20.2,10.1,6.2,1997
'101806,0.0,40.0,40.0,20.0,0.0,1997
'101902,9.6,34.8,15.6,25.9,14.1,1997
'101903,9.5,36.6,16.5,22.2,15.2,1997
'101905,14.4,21.8,17.5,28.4,17.9,1997
'101906,6.8,29.8,18.9,28.2,16.2,1997
'101907,4.9,26.7,20.2,33.4,14.8,1997
'101908,0.3,27.2,19.3,33.9,19.4,1997
'101909,6.9,18.6,10.6,32.9,31.1,1997
'101910,12.6,34.3,15.1,22.7,15.3,1997
'101911,6.9,18.6,19.6,31.9,22.9,1997
'101912,8.3,25.7,17.2,26.3,22.5,1997
'101913,4.6,25.8,19.9,33.5,16.1,1997
'101914,4.6,25.5,21.1,34.0,14.9,1997
'101915,3.4,18.8,18.5,37.9,21.4,1997
'101916,5.0,22.1,17.5,29.4,26.0,1997
'101917,6.6,28.7,14.9,28.2,21.6,1997
'101919,6.7,24.4,17.2,36.0,15.7,1997
'101920,8.2,26.8,19.7,26.4,18.9,1997
'101921,5.5,32.7,18.9,29.3,13.5,1997
'101924,11.3,23.3,13.2,26.5,25.7,1997
'101925,6.2,23.4,22.0,38.9,9.6,1997
'102901,5.3,26.3,18.4,42.1,7.9,1997
'102902,5.4,21.3,18.9,29.3,25.0,1997
'102903,9.2,33.5,8.0,25.5,23.9,1997
'102904,3.1,16.4,14.6,41.7,24.2,1997
'102905,4.4,27.2,11.9,31.2,25.4,1997
'102906,1.3,20.0,20.6,31.5,26.6,1997
'103901,0.0,38.1,33.6,9.3,19.1,1997
'103902,11.1,22.2,27.8,16.7,22.2,1997
'104901,4.5,31.8,7.6,24.3,31.8,1997
'104902,10.5,31.4,15.2,16.0,26.9,1997
'104903,5.3,2.7,15.9,44.2,31.9,1997
'104907,0.0,38.8,25.8,13.8,21.6,1997
'105902,6.2,19.4,19.4,36.1,19.0,1997
'105904,3.9,26.1,19.1,35.2,15.5,1997
'105905,6.4,21.0,22.9,32.9,16.7,1997
'105906,5.6,26.6,19.0,29.7,19.1,1997
'106901,1.3,12.1,13.6,34.9,38.0,1997
'107901,4.0,26.5,18.5,31.1,19.9,1997
'107902,5.0,26.4,19.5,27.1,22.0,1997
'107904,8.7,21.7,26.1,28.3,15.2,1997
'107905,5.5,35.1,15.5,22.1,21.8,1997
'107906,9.1,35.6,11.6,23.4,20.4,1997
'107907,13.8,44.9,20.7,10.4,10.2,1997
'107908,0.0,21.4,35.7,21.4,21.4,1997
'107910,0.0,19.4,16.7,13.9,50.0,1997
'108801,25.4,25.4,0.0,49.2,0.0,1997
'108902,16.9,32.0,16.4,27.1,7.6,1997
'108903,5.7,31.2,12.8,34.8,15.6,1997
'108904,5.9,27.2,19.8,31.7,15.5,1997
'108905,4.3,33.4,20.3,32.4,9.6,1997
'108906,2.9,22.0,21.1,32.6,21.3,1997
'108907,3.6,26.9,13.8,34.2,21.5,1997
'108908,3.4,29.1,20.1,32.1,15.2,1997
'108909,6.1,29.5,15.7,33.1,15.6,1997
'108910,8.6,48.2,12.2,20.1,10.8,1997
'108911,4.8,31.9,18.4,31.6,13.2,1997
'108912,7.3,38.5,20.8,24.3,9.2,1997
'108913,8.8,34.2,18.0,25.2,13.9,1997
'108914,7.0,25.0,14.3,36.8,17.0,1997
'108915,8.6,20.0,25.7,34.3,11.4,1997
'108916,7.9,42.3,25.3,17.2,7.2,1997
'109901,0.0,13.0,19.5,47.5,19.9,1997
'109902,8.5,40.5,19.4,25.1,6.4,1997
'109903,18.7,28.1,23.4,18.7,11.0,1997
'109904,7.6,28.9,18.3,24.0,21.2,1997
'109905,14.6,17.5,17.5,32.8,17.5,1997
'109907,6.2,24.8,26.9,26.6,15.5,1997
'109908,0.0,33.3,50.0,16.7,0.0,1997
'109910,25.0,12.5,12.5,37.5,12.5,1997
'109911,5.4,39.1,25.0,21.7,8.7,1997
'109912,0.0,30.3,12.1,24.2,33.3,1997
'109913,8.3,29.0,12.4,24.9,25.3,1997
'109914,8.3,24.9,16.7,16.7,33.4,1997
'110901,15.9,26.7,15.9,22.3,19.1,1997
'110902,2.2,20.8,15.3,36.8,24.8,1997
'110905,3.5,27.4,21.3,32.9,14.9,1997
'110906,27.3,34.3,13.8,15.6,9.1,1997
'110907,2.4,23.9,15.9,35.9,21.9,1997
'110908,10.8,5.4,16.3,40.3,27.1,1997
'111901,20.3,24.6,17.4,24.1,13.6,1997
'111902,12.5,28.0,20.0,28.0,11.5,1997
'111903,5.9,35.3,11.8,32.4,14.7,1997
'112901,1.9,20.4,16.6,38.5,22.6,1997
'112905,12.1,31.4,36.3,4.0,16.1,1997
'112906,0.0,25.4,31.7,23.8,19.0,1997
'112907,0.0,27.9,23.5,25.8,22.9,1997
'112908,6.4,31.8,30.2,19.0,12.7,1997
'112909,4.8,23.9,19.1,38.3,13.9,1997
'112910,5.1,25.4,10.2,46.9,12.5,1997
'113901,8.0,26.3,16.4,27.0,22.3,1997
'113902,3.1,15.5,14.0,44.9,22.5,1997
'113903,0.0,24.7,19.4,34.4,21.5,1997
'113905,2.8,31.3,19.9,28.4,17.6,1997
