DISTRICT,DPETALLC,DPETBLAP,DPETECOP,DPETHISP,DPETLEPP,DPETWHIP,YEAR
'070912,5454,17.4,35.6,20.8,5.3,61.2,1998
'070915,714,2.1,31.8,17.1,5.3,80.4,1998
'071901,6966,0.5,87.1,92.5,45.1,6.8,1998
'071902,63909,4.7,68.2,76.5,31.7,17.5,1998
'071903,2811,0.2,94.8,97.2,44.1,2.3,1998
'071904,3470,0.0,95.9,99.1,59.4,0.8,1998
'071905,47616,2.5,68.9,86.1,22.2,10.5,1998
'071906,821,0.0,86.1,95.2,20.2,4.8,1998
'071907,4494,0.4,100.0,93.3,44.3,6.2,1998
'071908,757,0.4,96.7,97.4,58.9,1.8,1998
'071909,22051,1.2,68.0,89.5,36.5,8.8,1998
'072901,76,0.0,68.4,42.1,19.7,57.9,1998
'072902,1498,0.3,57.9,37.6,12.6,61.6,1998
'072903,3417,1.1,28.8,15.3,5.1,82.9,1998
'072904,65,4.6,44.6,9.2,0.0,86.2,1998
'072908,235,0.0,41.3,23.8,2.6,75.7,1998
'072909,230,0.0,59.1,40.9,12.6,57.4,1998
'072910,88,0.0,59.1,11.4,0.0,88.6,1998
'073901,398,25.4,73.4,36.2,26.9,38.4,1998
'073903,1662,54.9,61.0,18.2,4.6,26.8,1998
'073904,112,0.0,14.3,3.6,0.0,96.4,1998
'073905,1070,17.5,46.4,19.0,2.8,63.4,1998
'074903,2063,9.7,32.5,4.2,1.4,84.7,1998
'074904,251,0.0,43.4,0.0,0.0,98.8,1998
'074905,216,0.0,41.2,2.8,0.0,94.0,1998
'074907,735,15.1,46.9,3.4,1.9,81.4,1998
'074909,794,5.7,42.4,5.7,3.9,88.2,1998
'074911,354,0.3,35.0,2.5,0.0,97.2,1998
'074912,424,2.1,35.1,8.7,0.2,88.4,1998
'074917,402,0.7,41.8,3.7,2.0,94.0,1998
'075901,573,6.5,42.8,36.1,9.6,57.1,1998
'075902,1951,10.6,36.9,17.8,4.6,71.1,1998
'075903,712,21.6,41.0,15.0,1.7,62.8,1998
'075906,262,3.8,19.8,0.4,0.0,95.4,1998
'075908,247,13.0,20.2,2.0,0.0,85.0,1998
'076903,330,3.0,51.8,28.2,0.0,68.8,1998
'076904,437,8.9,46.7,36.6,1.8,54.2,1998
'077901,1188,5.2,66.5,61.5,12.3,33.2,1998
'077902,861,2.8,54.4,58.0,2.6,39.1,1998
'078901,367,4.6,69.5,27.5,0.8,67.3,1998
'079901,14645,13.1,47.2,47.8,7.6,38.1,1998
'079906,2382,6.9,20.4,23.5,3.6,69.0,1998
'079907,49093,27.6,20.9,16.3,7.3,42.2,1998
'079908,95,61.1,83.2,35.8,8.4,3.2,1998
'079910,2553,18.9,31.0,35.2,14.3,28.9,1998
'080901,1546,6.3,33.2,11.1,3.6,82.1,1998
'081902,1619,23.7,38.4,7.8,3.0,67.3,1998
'081904,1163,19.1,19.9,10.6,4.0,69.8,1998
'081905,334,21.6,35.6,3.6,0.6,74.6,1998
'081906,74,10.8,41.9,2.7,1.4,83.8,1998
'082902,961,0.4,77.0,84.7,12.6,14.7,1998
'082903,2449,0.2,75.5,86.9,21.0,12.3,1998
'083901,713,8.3,69.4,64.4,16.1,27.2,1998
'083902,183,0.0,63.4,51.9,20.2,48.1,1998
'083903,2415,2.4,52.9,40.1,14.2,57.4,1998
'084901,5971,12.6,51.9,25.9,10.0,57.8,1998
'084902,10007,36.8,61.0,31.5,10.6,29.0,1998
'084903,317,0.3,50.2,4.1,1.6,93.7,1998
'084904,4312,63.7,49.0,10.7,1.2,25.0,1998
'084906,5991,18.6,46.2,25.2,4.5,55.1,1998
'084908,1368,40.2,62.4,16.8,2.9,42.2,1998
'084909,4385,0.3,23.5,10.5,1.2,88.9,1998
'084910,28200,6.7,10.8,11.3,4.6,73.5,1998
'084911,4689,1.2,4.0,4.7,0.4,90.9,1998
'085902,965,7.8,59.4,42.7,5.9,49.3,1998
'085903,181,1.1,76.2,54.7,8.8,44.2,1998
'086024,21,0.0,0.0,0.0,0.0,100.0,1998
'086901,2820,0.3,37.6,30.9,8.3,68.1,1998
'086902,400,1.0,44.0,9.3,2.5,89.8,1998
'087901,415,0.0,49.2,36.6,16.4,63.4,1998
'088902,1402,5.3,44.1,40.1,1.2,54.4,1998
'089901,2685,13.3,61.3,45.9,7.1,40.5,1998
'089903,1002,2.5,72.1,59.2,12.4,37.9,1998
'089905,243,26.7,89.7,70.8,8.2,2.5,1998
'090902,176,1.1,36.4,7.4,0.0,89.2,1998
'090903,214,1.9,46.3,4.7,0.0,92.1,1998
'090904,3852,5.2,41.1,18.4,3.4,74.5,1998
'090905,35,0.0,5.7,2.9,0.0,97.1,1998
'091901,782,0.5,24.6,1.3,0.0,98.2,1998
'091902,488,0.0,24.4,7.0,2.7,92.4,1998
'091903,4636,11.1,43.4,4.1,1.3,81.9,1998
'091905,908,0.0,19.7,3.5,0.3,94.4,1998
'091906,6049,19.2,40.8,10.5,4.4,68.5,1998
'091907,145,0.7,43.4,13.8,4.1,84.8,1998
'091908,1015,3.2,23.3,6.9,2.5,89.5,1998
'091909,1499,0.1,24.6,2.7,1.2,95.7,1998
'091910,672,9.2,38.5,4.8,0.6,85.7,1998
'091913,1269,0.0,26.6,0.9,0.4,98.1,1998
'091914,800,0.1,21.9,1.8,0.1,95.5,1998
'091917,558,0.2,27.6,17.2,5.0,81.9,1998
'091918,776,0.9,20.9,1.3,0.3,95.1,1998
'092901,2167,20.9,45.2,4.1,1.2,74.4,1998
'092902,3694,21.5,41.4,7.5,3.7,70.5,1998
'092903,8508,50.8,56.2,11.0,7.3,37.2,1998
'092904,4939,7.2,29.5,10.9,2.9,80.1,1998
'092906,1373,11.8,32.0,3.9,1.0,83.6,1998
'092907,1684,2.6,18.2,4.4,0.2,92.7,1998
'092908,1340,2.5,23.4,1.7,0.0,94.3,1998
'093901,549,17.9,35.3,8.6,0.9,72.9,1998
'093903,452,2.4,43.6,9.1,0.0,88.3,1998
'093904,3145,29.7,56.6,26.1,5.9,44.1,1998
'093905,161,24.8,57.1,0.6,0.0,74.5,1998
'094901,7327,8.1,54.6,53.6,6.7,37.6,1998
'094902,5479,6.1,28.3,24.2,1.7,68.5,1998
'094903,886,1.5,28.6,33.5,1.2,64.3,1998
'094904,1233,1.9,34.9,25.1,4.1,72.0,1998
'095901,890,3.1,48.8,50.6,5.6,46.2,1998
'095902,174,0.0,67.8,46.6,8.6,53.4,1998
'095903,799,5.1,68.1,67.6,6.8,27.2,1998
'095904,422,3.1,57.1,64.0,9.2,32.9,1998
'095905,6313,6.9,60.4,62.0,8.7,30.3,1998
'096904,538,14.9,59.1,37.7,9.3,47.0,1998
'096905,292,2.4,63.0,43.8,20.9,53.8,1998
'096908,89,2.2,4.5,85.4,32.6,12.4,1998
'097902,938,0.0,42.1,5.9,1.4,93.3,1998
'097903,616,0.0,59.6,17.7,10.1,82.3,1998
'098901,455,0.0,46.2,42.9,10.3,57.1,1998
'098903,78,0.0,46.2,39.7,30.8,60.3,1998
'098904,789,0.0,43.5,39.3,10.0,60.6,1998
'099902,289,4.8,67.8,28.0,0.0,64.4,1998
'099903,725,6.9,46.6,22.2,1.7,70.8,1998
'100903,1362,15.0,41.4,1.8,0.3,82.5,1998
'100904,3423,21.8,38.2,1.1,0.0,76.9,1998
'100905,2341,13.2,24.6,2.4,0.3,84.4,1998
'100907,3178,0.1,24.4,1.6,0.0,97.9,1998
'100908,705,0.3,49.5,1.0,0.0,98.4,1998
'101801,116,66.4,25.9,6.9,7.8,12.9,1998
'101802,219,5.9,94.1,92.7,87.7,0.9,1998
'101803,102,4.9,2.9,10.8,3.9,75.5,1998
'101804,398,0.8,61.8,96.7,0.0,2.3,1998
'101805,340,92.6,50.6,0.9,0.0,3.2,1998
'101806,191,1.6,19.4,97.4,0.0,1.0,1998
'101807,40,30.0,0.0,20.0,0.0,42.5,1998
'101902,48585,36.0,67.5,45.0,20.4,15.4,1998
'101903,39517,35.3,47.0,30.7,24.5,15.9,1998
'101905,6327,13.1,51.7,36.4,14.1,48.6,1998
'101906,3935,24.2,33.4,9.8,2.9,65.3,1998
'101907,55593,9.1,19.0,18.9,9.1,64.3,1998
'101908,11486,1.0,21.2,23.2,5.7,73.8,1998
'101909,13579,83.8,34.9,14.8,4.7,1.3,1998
'101910,17806,21.3,58.9,53.8,18.6,22.5,1998
'101911,18032,17.4,49.1,36.7,11.8,44.9,1998
'101912,210988,34.0,73.1,52.4,27.6,10.7,1998
'101913,23192,8.5,15.2,10.8,3.3,78.0,1998
'101914,28230,4.8,10.8,13.3,5.2,77.5,1998
'101915,30650,12.3,15.7,14.4,6.7,66.0,1998
'101916,7392,8.2,23.9,20.2,2.7,70.2,1998
'101917,40895,5.3,53.7,56.3,21.6,34.6,1998
'101919,21537,22.9,32.0,20.4,7.7,50.4,1998
'101920,30880,6.3,49.8,45.8,33.5,40.1,1998
'101921,6381,4.2,14.4,9.2,3.8,85.4,1998
'101924,3916,22.5,47.2,27.4,10.6,49.0,1998
'101925,2345,0.0,23.5,4.9,1.2,94.2,1998
'102901,433,64.2,82.7,0.9,0.0,34.9,1998
'102902,6380,44.4,49.8,7.7,4.4,47.5,1998
'102903,799,24.2,48.8,6.4,4.6,69.0,1998
'102904,3770,5.7,23.3,2.1,0.5,91.5,1998
'102905,588,6.3,34.9,0.9,0.0,92.7,1998
'102906,971,21.5,41.3,3.1,0.5,74.8,1998
'103901,139,0.0,42.4,10.1,2.9,89.9,1998
'103902,179,0.0,46.4,14.5,6.1,85.5,1998
'104901,714,5.5,59.1,33.8,2.1,60.6,1998
'104902,160,8.8,71.3,38.1,2.5,53.1,1998
'104903,211,1.4,48.3,23.7,4.3,74.9,1998
'104907,138,0.0,42.0,13.0,0.0,87.0,1998
'105902,6939,5.4,53.1,61.0,8.2,32.9,1998
'105904,2885,1.1,10.5,8.6,1.3,89.3,1998
'105905,1591,1.0,10.0,5.5,1.1,92.6,1998
'105906,6040,2.5,36.6,42.9,5.4,54.0,1998
'106901,853,5.2,38.2,25.4,8.1,69.2,1998
'107901,3450,17.1,36.0,17.2,9.7,65.2,1998
'107902,2432,9.7,34.2,5.1,2.4,84.8,1998
'107904,607,0.8,30.5,3.1,0.0,95.1,1998
'107905,1434,1.2,52.4,4.1,0.2,94.2,1998
'107906,1193,15.2,53.0,5.0,2.8,79.0,1998
'107907,326,17.5,43.3,6.1,0.0,76.4,1998
'107908,126,0.0,53.2,3.2,0.0,95.2,1998
'107910,448,10.3,35.3,2.9,0.0,86.2,1998
'108801,167,0.6,8.4,94.6,0.0,4.8,1998
'108902,9864,0.1,88.0,98.3,49.9,1.5,1998
'108903,4500,0.0,86.0,99.4,51.2,0.6,1998
'108904,19563,0.2,84.3,95.7,35.5,3.8,1998
'108905,2587,0.0,91.8,98.8,69.4,0.8,1998
'108906,21466,0.4,62.3,86.6,38.2,11.3,1998
'108907,5024,0.2,89.5,98.2,34.0,1.6,1998
'108908,11815,0.1,81.7,96.1,26.2,3.6,1998
'108909,20636,0.1,87.4,98.1,39.6,1.7,1998
'108910,1811,0.0,96.8,99.5,62.1,0.2,1998
'108911,4641,0.1,52.3,77.2,20.8,21.5,1998
'108912,14957,0.0,87.2,99.3,53.8,0.6,1998
'108913,12944,0.1,84.5,96.8,39.0,2.8,1998
'108914,722,0.0,90.7,99.2,49.4,0.7,1998
'108915,444,0.0,88.7,98.0,57.0,2.0,1998
'108916,1886,0.1,95.7,99.5,61.9,0.4,1998
'109901,266,0.0,29.3,9.8,0.0,89.5,1998
'109902,238,7.1,44.1,5.5,0.0,87.0,1998
'109903,332,0.0,37.7,8.4,0.0,91.0,1998
'109904,1716,21.0,67.0,30.3,11.8,48.2,1998
'109905,508,22.4,58.9,3.7,0.0,73.6,1998
'109907,544,20.0,60.3,26.3,4.2,52.9,1998
'109908,66,30.3,71.2,13.6,4.5,53.0,1998
'109910,99,22.2,51.5,8.1,0.0,69.7,1998
'109911,1475,4.4,46.6,8.1,1.2,87.1,1998
'109912,162,1.2,37.7,4.9,0.0,93.8,1998
'109913,284,1.8,37.3,8.1,0.0,90.1,1998
'109914,134,0.7,46.3,16.4,7.5,82.8,1998
'110901,359,4.5,58.5,51.5,10.0,44.0,1998
'110902,3451,6.0,52.8,51.2,4.7,42.2,1998
'110905,382,1.6,63.6,58.9,4.7,39.5,1998
'110906,390,3.3,54.4,30.0,2.1,66.7,1998
'110907,568,0.4,56.0,48.9,3.0,50.0,1998
'110908,220,2.3,43.2,36.8,6.4,60.5,1998
'111901,6087,0.7,30.0,8.8,3.0,89.1,1998
'111902,333,0.6,44.7,5.1,0.3,93.1,1998
'111903,490,0.2,29.8,5.3,3.1,93.3,1998
'112901,3945,13.7,37.1,7.9,3.2,77.8,1998
'112905,312,0.0,35.9,9.9,9.6,89.1,1998
'112906,372,3.5,44.1,4.6,3.2,91.1,1998
'112907,217,0.0,28.6,8.8,3.7,90.3,1998
'112908,695,4.9,45.8,19.6,12.9,74.5,1998
'112909,252,2.4,54.8,11.9,8.7,85.3,1998
'112910,257,1.2,34.6,9.7,3.5,89.1,1998
'113901,2058,57.3,62.6,9.5,5.7,32.6,1998
'113902,771,32.2,45.8,2.6,0.8,65.1,1998
'113903,549,14.4,29.1,3.1,0.0,82.1,1998
'113905,411,1.7,29.9,8.3,1.5,89.5,1998
'113906,429,30.1,55.7,1.6,0.0,68.3,1998
'114901,4424,5.9,51.3,48.1,5.9,45.0,1998
'114902,1015,1.2,37.6,21.4,2.5,76.8,1998
'114904,702,0.7,21.2,12.1,0.6,86.9,1998
'115901,473,0.0,91.1,94.5,56.0,5.3,1998
'115902,146,0.0,70.5,67.8,2.1,31.5,1998
'115903,196,0.0,74.5,62.2,33.2,37.8,1998
'116901,898,4.9,26.5,2.7,0.6,92.3,1998
'116902,460,2.0,23.7,3.0,0.7,93.9,1998
'116903,1675,22.7,52.3,5.7,2.6,69.2,1998
'116905,5299,26.5,51.9,13.8,6.6,58.6,1998
'116906,664,1.4,26.2,4.4,0.2,93.7,1998
'116908,2678,0.7,40.7,5.4,1.1,93.2,1998
'116909,640,10.3,40.9,3.4,0.2,84.8,1998
'116910,314,1.6,22.6,4.8,0.0,93.0,1998
'116915,484,0.4,28.1,6.6,2.7,92.8,1998
'116916,507,0.8,44.8,3.9,0.0,91.9,1998
'117901,3205,4.2,32.3,25.0,5.6,70.1,1998
'117903,1197,0.5,4.8,4.3,0.0,94.0,1998
'117904,760,0.3,48.7,14.5,0.4,83.6,1998
'117907,106,1.9,66.0,9.4,0.0,88.7,1998
'118902,374,0.8,38.5,29.7,2.4,69.5,1998
'119901,259,1.2,50.2,4.2,0.0,94.6,1998
'119902,1163,1.6,34.1,10.7,3.4,87.0,1998
'119903,420,0.0,34.0,3.3,0.0,96.7,1998
'120901,1740,13.4,43.3,31.4,3.4,54.7,1998
'120902,688,3.8,48.3,33.1,5.1,62.5,1998
'120905,972,1.6,25.1,16.9,0.8,81.5,1998
'121902,309,12.9,57.3,4.2,0.0,82.5,1998
'121903,1653,4.8,33.5,1.5,0.1,92.8,1998
'121904,3465,41.2,50.5,6.1,3.0,52.1,1998
'121905,1704,15.3,45.2,1.8,0.4,82.7,1998
'121906,441,0.0,29.9,0.0,0.0,99.8,1998
'122901,357,5.3,14.6,33.1,0.6,58.5,1998
'122902,58,0.0,56.9,60.3,0.0,39.7,1998
'123905,5445,1.3,17.4,3.8,1.9,91.8,1998
'123907,11579,58.9,73.8,16.3,11.0,16.1,1998
'123908,5245,0.6,11.9,4.9,1.1,92.5,1998
'123910,20360,65.3,60.7,6.9,4.1,25.3,1998
'123913,170,4.7,0.0,2.4,0.0,91.2,1998
'123914,1988,6.1,21.4,5.6,2.0,87.4,1998
'124901,1257,0.1,69.6,95.3,7.2,4.3,1998
'125901,5849,0.6,62.7,85.3,8.3,13.6,1998
'125902,597,0.0,55.8,92.1,14.4,7.7,1998
'125903,1411,0.6,59.3,57.7,3.5,41.6,1998
'125905,971,0.0,77.2,89.6,10.0,10.3,1998
'125906,106,0.0,47.2,68.9,1.9,31.1,1998
'126901,2822,4.5,38.3,12.7,3.1,82.2,1998
'126902,6187,0.7,16.8,5.2,0.4,93.3,1998
'126903,5844,5.5,43.7,20.1,7.5,73.4,1998
'126904,979,3.4,30.8,9.6,1.0,86.6,1998
'126905,3841,0.5,34.9,7.1,1.4,92.0,1998
'126906,636,12.3,72.2,31.3,16.5,47.0,1998
'126907,862,0.1,29.2,5.7,1.6,94.2,1998
'126908,1298,0.9,66.3,22.0,9.3,72.3,1998
'126911,946,0.6,29.9,8.0,3.8,90.4,1998
'127901,854,1.6,59.3,34.0,7.1,64.1,1998
'127903,629,7.5,54.8,26.4,2.1,66.0,1998
'127904,744,0.3,40.5,5.6,0.0,93.8,1998
'127905,174,0.0,55.2,5.7,0.0,93.1,1998
'127906,854,12.9,59.8,32.3,3.9,54.0,1998
'128901,1068,4.4,57.0,55.7,3.9,39.9,1998
'128902,1089,2.8,64.8,71.6,4.4,24.6,1998
'128903,321,1.6,74.5,76.6,5.0,20.6,1998
'128904,324,0.0,24.7,13.0,0.3,87.0,1998
'129901,1637,4.8,19.2,5.5,2.2,89.6,1998
'129902,2205,5.8,13.1,6.3,1.7,87.3,1998
'129903,3023,8.9,39.2,21.2,3.3,69.5,1998
'129904,1697,3.4,37.9,4.1,1.6,91.7,1998
'129905,2966,2.6,47.6,4.9,1.9,91.3,1998
'129906,3969,35.3,52.3,14.4,6.1,48.9,1998
'129910,751,6.8,20.0,3.6,0.0,89.1,1998
'130901,4492,0.5,18.3,16.8,3.7,82.3,1998
'130902,1033,0.3,52.6,42.6,14.4,57.0,1998
'131001,60,0.0,81.7,90.0,15.0,10.0,1998
'132902,184,4.3,39.1,11.4,0.0,84.2,1998
'133901,656,2.3,59.6,20.9,5.2,76.2,1998
'133902,164,0.0,49.4,26.2,14.0,73.2,1998
'133903,4712,3.7,46.6,32.9,3.8,62.5,1998
'133904,1395,1.9,49.0,19.9,4.4,77.1,1998
'133905,28,0.0,46.4,21.4,28.6,71.4,1998
'134901,760,0.0,40.1,28.8,2.5,70.8,1998
'135001,87,0.0,36.8,14.9,4.6,85.1,1998
'136901,654,3.4,68.0,63.1,9.3,33.0,1998
'137901,5057,4.2,64.3,75.0,9.8,19.8,1998
'137902,620,1.3,61.6,76.6,8.4,21.8,1998
'137903,611,0.3,52.9,63.0,3.9,36.5,1998
'137904,294,0.0,31.0,73.5,2.4,25.9,1998
'138901,82,6.1,86.6,65.9,2.4,28.0,1998
'138902,391,11.0,61.9,40.2,1.8,47.8,1998
'138903,456,12.1,48.5,37.9,5.5,50.0,1998
'138904,93,0.0,54.8,20.4,0.0,79.6,1998
'139905,817,10.4,30.0,1.1,0.1,87.1,1998
'139908,250,24.8,61.2,1.6,0.0,72.8,1998
'139909,3878,38.7,62.2,2.2,0.8,57.2,1998
'139911,3073,5.2,28.7,1.2,0.1,91.8,1998
'139912,1005,0.9,38.6,2.4,1.3,94.7,1998
'140901,190,17.4,57.4,35.8,5.3,46.8,1998
'140904,1573,8.4,56.5,55.5,3.2,35.7,1998
'140905,849,2.0,66.4,71.1,13.1,26.9,1998
'140906,125,0.0,60.8,57.6,18.4,42.4,1998
'140907,475,2.5,54.7,56.4,7.4,41.1,1998
'140908,365,4.4,55.6,42.5,3.8,52.6,1998
'141901,3254,3.8,44.4,16.7,2.5,78.4,1998
'141902,318,4.1,69.5,32.4,8.2,63.5,1998
'142901,1400,1.3,78.6,86.1,25.6,12.5,1998
'143901,1072,13.2,36.4,8.1,0.4,78.6,1998
'143902,377,0.8,54.6,19.1,2.9,79.6,1998
'143903,569,17.2,44.3,12.0,1.1,69.9,1998
'143904,89,0.0,29.2,9.0,0.0,91.0,1998
'143905,90,0.0,32.2,4.4,0.0,95.6,1998
'143906,93,0.0,38.7,1.1,0.0,96.8,1998
'144901,1739,15.1,47.6,31.9,13.3,52.7,1998
'144902,953,15.5,33.3,8.0,1.5,75.7,1998
'144903,216,21.8,60.2,25.9,9.3,52.3,1998
'145901,811,13.8,40.0,13.4,8.1,72.3,1998
'145902,665,13.2,36.5,2.9,0.9,83.3,1998
'145906,515,8.5,38.8,6.6,1.0,84.5,1998
'145907,284,38.7,60.6,5.3,0.0,55.6,1998
'145911,704,4.5,34.8,10.5,5.8,84.8,1998
'146901,2816,21.7,59.8,20.2,12.0,57.6,1998
'146902,4385,9.2,33.3,8.3,2.9,82.1,1998
'146903,159,18.9,55.3,23.9,8.8,57.2,1998
'146904,1216,3.9,42.6,7.0,2.0,88.8,1998
'146905,740,23.1,52.0,2.0,0.4,74.7,1998
'146906,2394,20.5,43.9,14.1,7.5,64.7,1998
'146907,1667,0.9,29.2,2.5,0.7,96.3,1998
'147901,254,31.1,80.7,28.3,11.8,40.2,1998
'147902,1678,15.7,21.3,12.2,4.2,71.5,1998
'147903,2255,31.6,55.5,14.9,4.9,53.0,1998
'148901,406,0.0,52.7,42.4,21.7,55.2,1998
'148902,176,0.0,34.1,9.1,0.0,89.8,1998
'148903,98,0.0,50.0,0.0,0.0,100.0,1998
'148905,54,1.9,46.3,14.8,0.0,83.3,1998
'149901,1288,0.1,45.6,47.4,2.7,52.3,1998
'149902,783,0.6,40.7,47.1,1.3,51.5,1998
'150901,1553,0.2,36.9,10.2,2.6,89.1,1998
'152901,30111,14.3,54.4,40.8,3.8,43.5,1998
'152902,662,2.0,46.1,37.6,3.9,60.4,1998
'152903,1534,8.1,62.1,54.2,2.2,37.6,1998
'152906,1819,0.9,37.3,27.5,2.2,71.6,1998
'152907,5136,5.0,33.7,22.8,1.6,71.2,1998
'152908,1299,6.8,58.3,36.0,1.8,56.7,1998
'152909,1188,0.6,34.2,26.6,1.3,72.5,1998
'152910,850,0.7,39.9,47.1,5.1,52.0,1998
'153903,425,0.9,53.9,63.1,7.5,36.0,1998
'153904,808,6.2,58.7,51.1,8.5,42.7,1998
'153905,203,0.5,58.6,50.2,9.4,49.3,1998
'153907,243,0.0,67.9,60.9,2.5,38.7,1998
'154901,1983,23.7,58.2,16.3,7.3,59.6,1998
'154903,345,0.9,36.8,2.9,0.0,95.9,1998
'155901,1590,44.4,55.3,1.3,0.1,54.1,1998
'156902,877,3.3,54.8,57.9,8.3,38.7,1998
'156905,209,0.0,51.7,44.0,12.0,56.0,1998
'157901,628,0.5,50.2,31.7,4.3,67.0,1998
'158901,4725,19.3,55.3,37.1,6.5,42.7,1998
'158902,1008,5.6,47.9,37.2,6.6,57.1,1998
'158904,86,2.3,52.3,10.5,3.5,87.2,1998
'158905,1720,3.5,54.2,46.6,12.3,34.4,1998
'158906,1004,23.4,48.0,16.1,1.7,60.4,1998
'159901,11836,0.1,87.0,96.8,45.5,1.8,1998
'160901,1465,2.4,54.4,37.6,1.5,59.6,1998
'160904,210,0.0,63.8,23.8,6.2,75.7,1998
'160905,100,0.0,65.0,39.0,0.0,61.0,1998
'161801,145,52.4,100.0,31.0,0.0,16.6,1998
'161901,549,0.7,11.5,7.7,1.3,91.4,1998
'161903,5766,5.6,11.0,8.4,1.2,83.1,1998
'161906,2553,18.5,61.7,23.6,4.4,57.5,1998
'161907,1388,0.9,12.5,7.6,0.0,91.0,1998
'161908,700,30.1,50.6,5.9,0.1,64.0,1998
'161909,1159,12.2,53.8,32.4,11.0,55.4,1998
'161910,783,8.8,45.5,17.0,2.3,73.9,1998
'161912,591,5.6,32.5,8.6,0.0,84.3,1998
'161914,16128,40.6,80.9,36.3,10.4,22.5,1998
'161916,1522,4.7,30.2,8.6,3.4,86.4,1998
'161918,689,5.4,28.6,6.7,0.0,87.8,1998
'161919,868,2.4,38.5,17.6,0.3,79.6,1998
'161920,1409,0.3,17.7,5.0,0.6,94.3,1998
'161921,2526,12.5,49.3,15.2,1.5,70.6,1998
'161922,1980,4.3,15.7,10.8,0.6,84.5,1998
'161923,471,4.7,33.1,13.4,0.6,81.5,1998
'161924,100,9.0,33.0,8.0,0.0,82.0,1998
'161925,134,9.0,45.5,6.0,0.0,85.1,1998
'162904,200,0.0,52.0,48.0,0.0,52.0,1998
'163901,1901,0.9,47.8,47.7,2.4,51.1,1998
'163902,263,1.1,35.7,46.4,1.5,51.7,1998
'163903,1076,0.9,71.2,70.2,9.1,28.8,1998
'163904,2160,1.3,49.9,61.2,3.6,37.0,1998
'163908,2725,0.8,43.4,45.3,3.6,52.9,1998
'164901,505,0.6,63.4,54.7,3.6,44.8,1998
'165901,23288,10.3,45.5,37.6,10.6,50.9,1998
'165902,1722,0.4,26.4,19.9,3.9,79.4,1998
'166901,1741,20.2,61.5,33.3,5.2,46.5,1998
'166902,173,7.5,46.2,19.1,0.0,73.4,1998
'166903,369,11.7,46.1,8.4,1.9,79.9,1998
'166904,1873,13.8,44.0,24.8,2.8,61.3,1998
'166905,471,7.6,34.4,19.3,5.1,73.0,1998
'166907,189,0.0,78.3,48.7,7.4,51.3,1998
'167901,643,1.7,33.7,20.8,9.0,77.1,1998
'167902,161,1.2,80.1,14.3,0.0,84.5,1998
'167903,120,5.0,88.3,31.7,0.0,63.3,1998
'167904,112,0.0,56.3,11.6,0.0,88.4,1998
'168901,1178,6.9,52.9,40.6,4.3,52.1,1998
'168902,199,5.5,75.9,59.3,3.0,35.2,1998
'168903,180,1.1,43.3,18.9,0.0,80.0,1998
'169901,1669,0.1,35.5,6.0,1.5,93.3,1998
'169902,863,0.0,49.8,15.9,6.5,83.5,1998
'169906,128,0.0,58.6,10.9,3.1,88.3,1998
'169908,58,0.0,44.8,13.8,0.0,86.2,1998
'169909,138,0.7,29.7,4.3,0.0,94.9,1998
'169910,184,0.0,54.9,7.1,1.6,92.9,1998
'169911,392,0.0,44.9,6.9,0.3,92.6,1998
'170902,30820,5.6,26.3,14.3,7.2,78.3,1998
'170903,3039,8.4,27.5,4.5,1.1,86.8,1998
'170904,4195,8.1,38.5,13.3,5.7,78.2,1998
'170906,5508,2.7,29.4,11.5,3.6,85.3,1998
'170907,2709,0.4,40.1,8.4,2.9,91.0,1998
'170908,5845,1.6,39.1,12.8,3.6,85.0,1998
'171901,4071,0.7,47.2,56.3,23.7,41.3,1998
'171902,628,0.2,43.6,39.3,10.8,59.2,1998
'172902,1774,37.8,49.9,4.4,1.9,57.4,1998
'172905,964,27.9,50.1,3.5,1.5,68.6,1998
'173901,252,4.4,65.9,24.6,6.7,71.0,1998
'174901,292,13.4,55.8,4.8,4.5,81.8,1998
'174902,524,8.0,43.3,5.7,1.9,86.1,1998
'174903,691,29.7,46.2,2.6,1.4,67.7,1998
'174904,6313,31.9,55.9,20.4,11.6,46.9,1998
'174906,821,1.5,43.4,3.0,0.0,95.0,1998
'174908,707,9.3,43.3,3.4,1.6,87.0,1998
'174909,294,5.1,45.2,7.5,1.4,87.1,1998
'174910,195,0.0,55.9,0.5,0.0,99.0,1998
'174911,342,7.3,31.6,3.2,0.6,88.3,1998
'175902,762,6.4,31.4,5.8,0.7,87.3,1998
'175903,5046,29.9,53.5,19.9,7.8,49.2,1998
'175904,503,11.9,45.9,9.9,5.4,77.7,1998
'175905,372,5.9,56.2,11.8,2.4,82.0,1998
'175907,729,33.2,50.5,6.2,1.6,60.5,1998
'175910,500,4.0,29.0,5.0,0.0,89.6,1998
'175911,419,8.6,43.7,14.1,2.4,76.8,1998
'176901,448,35.7,73.7,2.7,2.5,61.6,1998
'176902,1535,39.9,61.1,1.4,0.0,58.4,1998
'176903,798,0.0,24.8,1.6,0.0,98.0,1998
'177901,421,0.7,56.1,48.0,6.9,51.1,1998
'177902,2777,8.4,51.0,37.2,2.1,54.1,1998
'177903,212,0.0,47.6,21.7,6.6,78.3,1998
'177905,197,0.0,40.6,11.7,0.0,87.8,1998
'178801,182,0.5,15.4,91.8,0.0,6.0,1998
