DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'117907,6.4,10.5,4.2,28675,1999
'118902,9.5,9.8,3.4,33857,1999
'119901,7.0,12.3,3.3,27584,1999
'119902,12.2,12.1,7.1,32181,1999
'119903,8.9,11.0,5.7,30133,1999
'120901,13.5,13.3,9.1,32414,1999
'120902,13.3,12.3,9.2,31751,1999
'120905,11.6,11.7,7.9,33461,1999
'121902,9.3,10.9,5.7,29672,1999
'121903,13.8,13.6,10.3,33670,1999
'121904,15.0,13.7,10.3,35217,1999
'121905,12.4,15.3,7.8,32943,1999
'121906,12.1,12.1,7.5,36307,1999
'122901,8.9,9.1,4.9,28821,1999
'122902,15.5,4.9,9.0,31573,1999
'123905,14.1,16.1,10.6,33765,1999
'123907,12.9,16.7,10.0,32726,1999
'123908,15.5,15.4,11.0,36810,1999
'123910,13.1,14.0,10.1,35966,1999
'123913,15.4,7.7,11.0,35442,1999
'123914,13.0,14.7,8.6,33046,1999
'124901,13.8,13.0,10.0,34446,1999
'125901,12.3,14.8,12.2,32046,1999
'125902,12.1,12.5,6.4,32155,1999
'125903,13.4,14.7,7.8,34161,1999
'125905,14.6,13.6,9.2,31576,1999
'125906,9.9,14.4,8.3,30356,1999
'126901,10.6,16.0,6.3,32180,1999
'126902,12.0,16.2,7.7,33995,1999
'126903,13.3,16.0,9.2,36118,1999
'126904,12.1,13.3,7.1,33989,1999
'126905,9.9,15.8,5.6,32784,1999
'126906,11.2,10.6,6.1,31329,1999
'126907,8.2,12.1,4.1,30071,1999
'126908,8.2,13.5,3.9,30562,1999
'126911,9.5,14.0,4.9,30801,1999
'127901,11.4,11.4,6.2,29943,1999
'127903,13.7,10.3,8.0,32925,1999
'127904,10.0,11.2,5.6,29671,1999
'127905,18.7,9.5,13.1,35572,1999
'127906,11.7,10.7,8.7,30865,1999
'128901,10.8,11.9,7.2,31345,1999
'128902,13.6,11.8,9.9,32331,1999
'128903,13.4,10.2,6.0,33648,1999
'128904,12.3,11.4,7.1,33790,1999
'129901,10.9,15.6,5.1,31418,1999
'129902,9.5,15.7,5.3,30673,1999
'129903,10.8,16.6,6.4,30987,1999
'129904,10.5,15.8,5.9,30113,1999
'129905,11.1,13.6,5.7,31622,1999
'129906,10.5,14.0,6.7,32310,1999
'129910,11.3,13.1,6.3,31249,1999
'130901,12.6,15.8,6.4,33609,1999
'130902,10.8,11.7,4.2,30818,1999
'131001,18.4,8.2,14.3,40195,1999
'132902,14.5,8.5,9.3,37792,1999
'133901,10.2,12.3,4.6,32002,1999
'133902,15.8,12.2,6.2,33170,1999
'133903,14.0,14.6,9.4,34118,1999
'133904,10.9,11.9,5.4,30675,1999
'133905,10.6,7.7,2.4,29152,1999
'134901,12.6,11.1,7.4,31947,1999
'135001,15.0,5.2,9.1,37940,1999
'136901,11.3,11.6,6.9,31748,1999
'137901,14.0,14.9,9.7,33900,1999
'137902,11.1,14.8,6.6,32810,1999
'137903,12.6,10.3,8.1,32949,1999
'137904,10.1,9.2,4.4,35199,1999
'138901,10.5,6.9,7.3,29178,1999
'138902,17.5,10.2,8.7,34820,1999
'138903,13.6,11.4,8.6,32682,1999
'138904,20.0,7.4,9.3,.,1999
'139905,12.4,13.5,8.2,31801,1999
'139908,14.6,10.3,7.7,33212,1999
'139909,13.0,13.1,10.6,32640,1999
'139911,11.6,15.1,8.1,32346,1999
'139912,14.0,13.6,9.6,33674,1999
'140901,11.7,10.2,6.8,32036,1999
'140904,13.1,16.6,9.8,34409,1999
'140905,8.8,10.5,4.5,29150,1999
'140906,10.4,9.3,7.0,32163,1999
'140907,15.5,11.0,10.5,35084,1999
'140908,16.0,8.8,10.6,39617,1999
'141801,3.7,14.6,0.0,20564,1999
'141901,13.4,15.3,8.6,32391,1999
'141902,13.8,10.9,7.3,34803,1999
'142901,11.0,14.5,7.5,33252,1999
'143901,17.7,14.8,11.4,35613,1999
'143902,14.0,11.7,9.9,33557,1999
'143903,16.5,13.5,12.6,33443,1999
'143904,13.1,11.3,7.9,32109,1999
'143905,15.5,13.3,8.0,33094,1999
'143906,17.7,13.7,10.1,35917,1999
'144901,11.2,12.7,6.6,31896,1999
'144902,12.2,13.3,6.6,33292,1999
'144903,15.2,11.9,10.7,31998,1999
'145901,12.9,11.8,6.9,31772,1999
'145902,13.9,12.0,8.6,30776,1999
'145906,11.5,13.0,6.3,31348,1999
'145907,15.2,11.9,8.1,33058,1999
'145911,13.4,12.1,9.5,32595,1999
'146901,12.2,15.4,8.1,31212,1999
'146902,10.8,19.5,6.2,33088,1999
'146903,11.1,10.9,5.7,32936,1999
'146904,12.4,13.2,7.9,35120,1999
'146905,12.1,12.2,7.2,34155,1999
'146906,14.5,14.2,10.7,34578,1999
'146907,10.5,14.8,5.6,31306,1999
'147901,11.5,10.0,4.9,32967,1999
'147902,12.0,13.5,7.3,32359,1999
'147903,12.2,13.9,7.1,33003,1999
'148901,14.2,9.8,8.7,32402,1999
'148902,17.3,8.8,11.1,34102,1999
'148903,16.9,5.8,13.0,33653,1999
'148905,14.6,5.0,8.1,34562,1999
'149901,13.7,14.0,8.9,37290,1999
'149902,13.7,10.7,9.4,36208,1999
'150901,15.1,12.6,8.3,32948,1999
'152901,12.7,13.9,9.5,33598,1999
'152902,11.6,12.2,5.8,31355,1999
'152903,12.5,12.2,8.5,32554,1999
'152906,11.3,15.5,7.5,31345,1999
'152907,12.8,15.2,8.0,31947,1999
'152908,9.1,12.0,5.7,30234,1999
'152909,12.2,14.4,8.1,31674,1999
'152910,13.5,12.8,8.9,32952,1999
'153903,14.8,11.6,8.6,36257,1999
'153904,11.0,12.4,7.0,31897,1999
'153905,10.0,10.6,6.6,30018,1999
'153907,7.9,10.6,2.4,28381,1999
'154901,13.0,15.0,9.5,32071,1999
'154903,10.6,11.4,5.3,32366,1999
'155901,15.3,11.7,10.6,32813,1999
'156902,11.7,11.1,6.7,33655,1999
'156905,14.3,11.8,8.9,36997,1999
'157901,18.7,10.0,11.6,34639,1999
'158901,12.2,15.8,8.6,32177,1999
'158902,13.3,13.3,8.7,32910,1999
'158904,9.3,8.8,4.0,32449,1999
'158905,15.0,13.2,10.0,36710,1999
'158906,13.9,13.8,9.8,32733,1999
'159901,11.4,17.1,9.6,35088,1999
'160901,14.2,12.8,7.7,31954,1999
'160904,17.2,8.9,9.4,34743,1999
'160905,13.7,6.8,7.1,31524,1999
'161801,5.9,26.7,1.4,24605,1999
'161802,0.3,13.0,0.0,26000,1999
'161803,3.5,9.7,0.1,25244,1999
'161901,12.6,12.8,6.8,32996,1999
'161903,12.6,19.8,7.3,36245,1999
'161906,11.8,14.5,5.6,31359,1999
'161907,13.0,16.4,8.2,32847,1999
'161908,11.7,13.5,6.8,30728,1999
'161909,12.6,12.5,8.1,31049,1999
'161910,12.0,14.2,7.1,31996,1999
'161912,13.2,13.4,7.4,31551,1999
'161914,13.1,15.5,9.2,30634,1999
'161916,12.6,15.6,7.6,31644,1999
'161918,8.2,18.6,5.4,29830,1999
'161919,10.5,14.1,4.1,30463,1999
'161920,12.3,15.8,6.5,31878,1999
'161921,12.1,13.3,7.8,32018,1999
'161922,13.6,13.4,8.2,32794,1999
'161923,7.7,12.3,2.6,28551,1999
'161924,15.5,9.7,11.3,35072,1999
'161925,7.9,13.2,4.3,29541,1999
'162904,10.7,9.9,5.9,34630,1999
'163901,13.0,14.7,8.3,34315,1999
'163902,12.5,10.7,9.3,31646,1999
'163903,10.1,13.7,5.1,30987,1999
'163904,12.4,12.9,7.9,32882,1999
'163908,10.3,17.0,6.4,32355,1999
'164901,14.0,11.0,8.6,32466,1999
'165901,11.8,16.2,7.6,33974,1999
'165902,10.4,15.7,5.4,32287,1999
'166901,13.1,13.3,8.4,33550,1999
'166902,10.7,11.1,3.2,32135,1999
'166903,10.5,10.2,6.5,31492,1999
'166904,14.0,15.4,8.2,34026,1999
'166905,10.5,11.3,4.6,31652,1999
'166907,10.9,10.1,7.6,30454,1999
'167901,13.7,10.5,7.3,33831,1999
'167902,5.7,6.9,2.3,25575,1999
'167903,10.0,6.9,5.4,31045,1999
'167904,9.9,7.7,7.8,31265,1999
'168901,12.7,11.2,8.5,34588,1999
'168902,11.8,9.6,5.9,32823,1999
'168903,12.2,7.9,9.8,31161,1999
'169901,12.8,14.9,8.3,32836,1999
'169902,10.9,12.1,6.1,29515,1999
'169906,8.5,7.8,6.0,29889,1999
'169908,8.5,7.0,6.7,29507,1999
'169909,12.5,8.9,7.5,33108,1999
'169910,10.7,9.3,4.6,30905,1999
'169911,8.9,10.2,3.8,28535,1999
'170902,12.0,14.9,7.5,33684,1999
'170903,11.2,15.5,5.0,33296,1999
'170904,10.8,14.8,6.1,32722,1999
'170906,10.9,15.4,4.9,32045,1999
'170907,10.5,14.8,6.0,31268,1999
'170908,11.9,14.6,7.0,31186,1999
'171901,10.2,14.6,6.2,30691,1999
'171902,9.7,11.2,5.6,30018,1999
'172902,15.1,12.1,9.9,35314,1999
'172905,13.8,12.6,8.5,33522,1999
'173901,14.9,8.9,7.5,33964,1999
'174901,11.7,11.5,7.7,31083,1999
'174902,12.5,11.9,8.8,33250,1999
'174903,12.9,12.5,7.2,31805,1999
'174904,12.4,14.2,8.7,32962,1999
'174906,11.4,13.1,7.7,33972,1999
'174908,10.7,12.8,6.6,31163,1999
'174909,10.3,11.0,6.1,30686,1999
'174910,4.6,16.9,4.1,25302,1999
'174911,9.7,11.5,6.3,29242,1999
'175902,12.4,13.2,7.0,33628,1999
'175903,14.3,14.7,9.9,33373,1999
'175904,12.6,12.2,6.6,32700,1999
'175905,11.6,11.3,7.3,27180,1999
'175907,12.3,12.9,6.8,31527,1999
'175910,12.8,12.6,7.1,32190,1999
'175911,8.5,15.1,4.0,28445,1999
'176901,13.4,9.9,6.3,33765,1999
'176902,15.1,13.9,10.9,32850,1999
'176903,12.1,12.4,9.9,33466,1999
'177901,16.4,10.6,12.2,33773,1999
'177902,13.3,12.5,9.5,33263,1999
'177903,10.3,10.8,5.9,29396,1999
'177905,12.5,10.3,9.0,31061,1999
'178801,5.3,46.0,1.8,23323,1999
'178802,5.4,15.5,0.8,24909,1999
'178803,1.0,10.0,0.0,27475,1999
'178901,13.2,11.6,7.7,32832,1999
'178902,14.4,13.0,9.8,33409,1999
'178903,12.9,15.3,7.4,34333,1999
'178904,13.0,16.3,9.9,35661,1999
'178905,7.5,10.3,5.1,29762,1999
'178906,14.9,11.9,8.4,37369,1999
'178908,12.8,13.2,8.2,35734,1999
'178909,11.5,13.5,8.2,33227,1999
'178912,13.4,14.2,7.5,33178,1999
'178913,12.9,11.4,7.4,34773,1999
'178914,13.5,14.8,8.7,34611,1999
'178915,10.6,13.3,7.5,32794,1999
'179901,12.7,13.6,8.7,34121,1999
'180901,12.1,4.6,5.9,34138,1999
'180902,15.5,10.4,10.5,33281,1999
'180903,12.5,7.8,8.3,30938,1999
'180904,6.4,12.4,5.0,26658,1999
'181901,15.5,14.9,12.0,33108,1999
'181905,13.0,14.6,8.4,34172,1999
'181906,13.1,13.5,9.7,33399,1999
'181907,12.6,14.4,10.1,33354,1999
'181908,11.6,15.9,7.7,31789,1999
'182901,14.3,11.2,10.6,33919,1999
'182902,9.5,10.1,6.3,32100,1999
'182903,11.4,14.1,7.3,32633,1999
'182904,14.0,11.9,6.6,33122,1999
'182905,12.1,9.6,7.1,30370,1999
'182906,8.5,8.1,5.8,30259,1999
'183901,11.8,11.7,6.7,32022,1999
'183902,15.2,13.6,10.9,36130,1999
'183904,10.5,11.0,7.3,30893,1999
'184901,7.2,11.8,3.2,27624,1999
'184902,10.4,14.9,6.2,31884,1999
'184903,12.6,16.2,7.8,33893,1999
'184904,11.4,12.1,5.4,32404,1999
'184907,11.5,16.3,4.7,34378,1999
'184908,10.2,13.4,6.3,31610,1999
'184909,12.1,11.1,5.8,32750,1999
'184911,11.8,13.3,7.3,31899,1999
'185901,11.4,11.3,6.8,30206,1999
'185902,12.5,12.7,9.0,31207,1999
'185903,13.2,12.2,8.7,32953,1999
'185904,12.8,8.5,8.8,31078,1999
'186901,9.6,6.9,6.2,31195,1999
'186902,12.7,12.6,9.0,33899,1999
'186903,14.1,10.6,7.3,39024,1999
'187901,12.5,14.1,8.3,33456,1999
'187903,11.8,12.5,5.8,29350,1999
'187904,10.3,13.1,7.2,30486,1999
'187906,17.8,12.0,8.8,34386,1999
'187907,12.6,15.4,7.7,32429,1999
'187910,11.4,13.7,4.5,30778,1999
'188901,12.2,15.6,9.3,34042,1999
'188902,10.3,14.4,6.0,30772,1999
'188903,11.0,13.0,5.6,32934,1999
'188904,11.1,12.4,6.0,33223,1999
'189901,11.7,11.1,7.4,32275,1999
'189902,7.9,13.6,5.4,28073,1999
'190903,13.5,13.8,7.3,32158,1999
'191901,12.7,16.2,7.9,31906,1999
'192901,11.9,11.8,7.9,35133,1999
'193902,13.2,9.0,6.1,31031,1999
'194902,14.3,12.1,10.2,32605,1999
'194903,15.2,12.3,11.4,33852,1999
'194904,14.6,12.8,11.3,33505,1999
'194905,7.7,11.5,4.0,28677,1999
'195901,11.8,15.2,9.1,30328,1999
'195902,10.3,10.0,6.3,29339,1999
'196901,18.4,9.9,12.1,37968,1999
'196902,11.4,10.8,8.1,33903,1999
'196903,16.5,11.1,10.8,34878,1999
'197902,13.4,8.5,9.9,32359,1999
'198901,13.3,11.9,6.0,32827,1999
'198902,13.4,11.7,7.2,31338,1999
'198903,14.9,12.0,9.6,33361,1999
'198905,11.5,11.7,6.8,31762,1999
'198906,6.5,18.6,2.4,27309,1999
'199901,11.7,16.9,4.7,34296,1999
'199902,10.4,14.4,5.3,31839,1999
'200901,13.4,12.1,9.4,31834,1999
'200902,10.2,10.9,4.6,30393,1999
'200904,13.2,11.6,7.5,32679,1999
'200906,6.1,9.2,5.2,26510,1999
'201902,14.4,13.8,10.9,32765,1999
'201903,10.7,8.4,6.7,31431,1999
'201904,11.8,13.2,5.1,30592,1999
'201907,9.4,11.3,5.8,32396,1999
'201908,12.0,12.6,7.5,32375,1999
'201910,15.4,12.5,9.5,33673,1999
'201913,11.9,11.8,5.4,31681,1999
'201914,12.4,11.9,8.0,32029,1999
'202903,13.4,13.2,9.1,34386,1999
'202905,9.9,12.3,5.1,33519,1999
'203901,13.5,11.5,10.1,32763,1999
'203902,12.3,11.5,6.7,30945,1999
'204901,9.4,14.2,5.5,28481,1999
'204904,12.1,14.4,6.4,32719,1999
'205901,13.1,14.4,7.3,32658,1999
'205902,13.1,16.3,7.9,33492,1999
'205903,14.6,16.3,9.1,37423,1999
'205904,10.7,15.2,7.6,31804,1999
'205905,13.2,14.3,9.5,32880,1999
'205906,9.8,13.9,7.5,32097,1999
'205907,11.1,12.0,8.1,30601,1999
'206901,16.6,11.6,11.0,33413,1999
'206902,11.1,9.3,6.6,29326,1999
'206903,15.8,9.3,10.8,33614,1999
'207901,13.6,11.3,9.7,34707,1999
'208901,9.2,7.9,6.4,30312,1999
'208902,15.5,13.8,10.9,35401,1999
'208903,12.4,9.5,8.1,33132,1999
'209901,15.8,13.1,10.7,34247,1999
'209902,9.6,9.6,5.3,31012,1999
'210901,12.8,13.6,9.2,31251,1999
'210902,13.8,10.3,8.8,32620,1999
'210903,14.8,12.3,11.7,32839,1999
'210904,11.9,10.1,6.0,30697,1999
'210905,11.4,11.8,8.1,30386,1999
'210906,11.7,8.8,9.7,31584,1999
'211901,9.0,28.8,6.3,28857,1999
'211902,13.2,10.8,8.2,32851,1999
'212801,13.1,8.2,0.0,28997,1999
'212901,11.1,13.4,7.8,31934,1999
'212902,11.4,14.3,6.0,30943,1999
'212903,11.9,14.9,6.9,31050,1999
'212904,9.9,13.9,5.2,29509,1999
'212905,13.1,15.2,9.1,33563,1999
'212906,12.8,16.3,8.1,32357,1999
'212909,12.5,14.0,7.9,31579,1999
'212910,12.4,13.8,7.4,32492,1999
'213901,16.1,10.3,8.5,40493,1999
'214901,11.2,15.3,8.9,32610,1999
'214902,15.4,10.5,12.3,34570,1999
'214903,9.6,15.3,7.9,30947,1999
'215901,13.8,15.1,6.4,35277,1999
'216901,11.7,9.4,7.6,33464,1999
'217901,13.0,9.3,6.9,34584,1999
'218901,13.3,11.6,9.6,34470,1999
'219901,12.2,8.9,8.0,29735,1999
'219903,12.7,12.1,8.3,33892,1999
'219905,11.5,9.5,8.5,29596,1999
'220801,17.5,12.1,0.0,27265,1999
'220901,11.0,16.4,8.1,35513,1999
'220902,12.1,16.4,8.6,36789,1999
'220904,9.6,15.6,8.8,34087,1999
'220905,11.2,17.7,8.6,36528,1999
'220906,10.1,14.8,5.7,34552,1999
'220907,9.4,18.2,5.1,33532,1999
'220908,10.4,15.7,5.7,34006,1999
'220909,17.5,5.3,11.9,36390,1999
'220910,9.3,12.3,4.3,32315,1999
'220912,10.0,13.4,5.2,35460,1999
'220914,9.0,13.5,5.3,32079,1999
'220915,11.7,15.7,7.5,33012,1999
'220916,11.9,16.0,8.4,36601,1999
'220917,8.8,16.0,5.5,30706,1999
'220918,11.0,16.5,7.5,34917,1999
'220919,9.9,14.4,3.9,34630,1999
'220920,9.6,14.7,5.6,30956,1999
'221901,13.0,13.3,9.6,33232,1999
'221904,12.7,11.8,8.5,32348,1999
'221905,11.4,8.4,6.1,30025,1999
'221911,12.4,12.8,7.6,33851,1999
'221912,10.2,15.5,6.1,31318,1999
'222901,14.0,9.9,6.7,37509,1999
'223901,12.3,13.3,8.8,31952,1999
'223902,5.6,11.3,3.0,27260,1999
'223904,15.1,12.3,7.3,35899,1999
'224901,14.0,10.8,7.1,34188,1999
'224902,11.0,8.9,8.4,29251,1999
'225902,11.4,13.2,6.9,30920,1999
'225905,7.5,12.3,6.5,28642,1999
'225906,7.5,14.6,3.6,30621,1999
'225907,10.2,14.7,7.5,30390,1999
'226901,12.6,12.3,6.5,32622,1999
'226903,12.4,15.4,9.3,33202,1999
'226905,10.6,9.6,5.9,31415,1999
'226906,9.7,9.4,5.9,30360,1999
'226907,6.3,13.1,3.6,27019,1999
'226908,10.1,9.8,4.1,31603,1999
'227801,8.2,22.5,1.5,26698,1999
'227802,0.0,38.6,0.0,45383,1999
'227803,5.4,10.4,0.0,27666,1999
'227804,10.7,15.1,0.0,31657,1999
'227805,7.0,8.4,0.0,32859,1999
'227806,2.0,27.0,0.0,35019,1999
'227814,9.6,13.9,0.0,28994,1999
'227901,11.4,16.4,8.4,35256,1999
'227904,10.7,15.5,5.0,33333,1999
'227907,8.8,12.8,4.4,32079,1999
'227909,13.2,13.7,6.4,35954,1999
'227910,10.9,13.6,6.1,32537,1999
'227912,10.6,11.3,4.0,33512,1999
'227913,11.6,13.3,4.2,34854,1999
'228901,14.3,11.6,8.2,34386,1999
'228903,12.2,13.6,6.2,31479,1999
'228904,10.7,7.7,8.0,30847,1999
'228905,7.2,9.7,5.4,26893,1999
'229901,6.2,12.8,3.9,28336,1999
'229903,11.3,13.3,6.7,30818,1999
'229904,13.7,15.3,6.7,32774,1999
'229905,9.4,11.5,4.5,30448,1999
'229906,12.2,9.3,8.4,31057,1999
'230901,11.5,11.8,6.2,32332,1999
'230902,12.6,13.9,8.3,31696,1999
'230903,9.8,12.9,9.1,30783,1999
'230904,8.1,12.2,3.7,29225,1999
'230905,12.9,13.4,8.2,32894,1999
'230906,13.6,14.8,7.7,32312,1999
'230908,13.6,12.3,8.2,32366,1999
'231901,11.0,11.3,7.3,33712,1999
'231902,13.9,8.8,6.7,36768,1999
'232801,1.6,11.7,0.0,26577,1999
'232901,15.2,13.8,12.7,32511,1999
'232902,13.3,11.9,8.4,32795,1999
'232903,11.7,13.8,8.0,32784,1999
'232904,7.8,10.7,3.4,27600,1999
'233901,14.7,16.5,11.7,35846,1999
'233903,13.0,12.0,7.6,32268,1999
'234902,14.2,14.8,8.6,33178,1999
'234903,11.4,12.8,6.8,31975,1999
'234904,11.6,15.7,7.0,30769,1999
'234905,9.2,11.3,4.6,29348,1999
'234906,12.8,15.9,8.3,32636,1999
'234907,12.7,16.0,7.9,33290,1999
'234909,9.4,12.0,5.2,28009,1999
'235901,11.0,13.0,6.8,30966,1999
'235902,13.7,15.6,10.0,34266,1999
'235904,11.6,13.3,8.5,31514,1999
'236801,7.3,12.6,5.0,30535,1999
'236901,11.7,13.2,8.0,32595,1999
'236902,11.8,14.6,7.9,31477,1999
'237902,12.0,12.7,5.8,33727,1999
'237904,10.3,15.9,6.4,31199,1999
'237905,12.3,13.5,7.3,32297,1999
'238902,13.3,14.2,9.0,34633,1999
'238904,10.3,9.8,5.3,31778,1999
'239901,12.6,14.2,8.0,32749,1999
'239903,14.2,12.1,10.3,34142,1999
'240901,12.7,16.0,12.7,36019,1999
'240902,2.4,6.1,1.0,27148,1999
'240903,8.5,16.5,6.2,32635,1999
'240904,14.7,9.1,8.5,40698,1999
'241901,11.5,14.5,6.5,32392,1999
'241902,17.1,13.3,12.6,37822,1999
'241903,15.4,15.1,11.3,34593,1999
'241904,14.3,14.1,9.4,33915,1999
'241906,9.0,12.7,5.6,32510,1999
'242902,13.0,9.7,8.6,33729,1999
'242903,16.8,11.1,10.3,34398,1999
'242904,8.5,4.7,5.7,30322,1999
'242905,12.0,6.8,5.5,32336,1999
'242906,12.0,6.7,6.6,31835,1999
'243801,7.6,10.1,0.0,.,1999
'243901,13.4,13.9,10.5,32120,1999
'243902,11.9,12.8,8.8,31048,1999
'243903,13.5,17.3,9.0,32593,1999
'243905,12.2,13.4,9.4,33806,1999
'243906,11.8,15.2,8.3,30815,1999
'244901,14.8,9.6,8.6,31592,1999
'244903,15.2,14.1,11.4,33930,1999
'244905,15.9,10.2,8.6,33503,1999
'245901,12.5,12.5,9.8,31724,1999
'245902,12.5,14.4,8.7,34216,1999
'245903,12.5,13.9,9.2,34401,1999
'245904,9.4,11.1,5.0,32848,1999
'246902,12.9,14.1,5.4,33069,1999
'246904,13.0,12.7,7.1,32520,1999
'246905,9.9,12.0,5.4,30227,1999
'246906,10.0,13.1,4.6,31628,1999
'246907,10.0,11.8,4.9,31432,1999
'246908,10.9,11.8,5.4,32066,1999
'246909,11.8,15.4,6.8,34682,1999
'246911,11.2,14.2,5.1,31255,1999
'246912,13.9,12.2,8.5,35364,1999
'246913,10.2,15.2,4.6,32595,1999
'246914,3.1,10.7,1.7,24626,1999
'247901,11.0,14.3,6.2,32925,1999
'247903,11.6,14.9,6.2,33244,1999
'247904,13.1,13.9,6.8,33790,1999
'247906,12.7,13.0,7.2,34223,1999
'248901,11.5,13.6,8.1,33113,1999
'248902,17.4,8.2,10.2,39291,1999
'249901,12.0,12.6,6.8,33342,1999
'249902,10.5,12.3,6.3,32037,1999
'249903,13.7,15.3,7.8,35061,1999
'249904,11.2,12.1,7.0,34087,1999
'249905,12.4,13.8,6.9,33511,1999
'249906,7.4,12.2,2.6,29705,1999
'249908,8.4,10.4,5.4,28691,1999
'250902,13.6,13.9,6.7,31884,1999
'250903,16.1,15.1,9.6,35466,1999
'250904,12.6,13.9,7.2,34876,1999
'250905,12.4,11.3,7.1,30690,1999
'250906,11.8,12.9,6.3,32046,1999
'250907,12.3,15.4,8.2,32646,1999
'251901,14.0,12.9,10.8,38151,1999
'251902,15.5,11.1,10.6,39524,1999
'252901,13.9,14.3,9.5,35850,1999
'252902,10.4,11.0,4.5,30331,1999
'252903,10.9,12.0,7.0,31769,1999
'253901,8.1,14.1,7.7,34892,1999
'254901,14.3,14.7,12.2,32132,1999
'254902,11.2,11.2,4.6,32841,1999
'1,11.8,15.2,8.0,34336,1999
'001902,10.3,10.4,4.4,33779,2000
'001903,12.9,12.8,7.6,34672,2000
'001904,13.9,13.4,7.1,35700,2000
'001906,11.8,11.5,6.8,33907,2000
'001907,13.7,13.2,9.3,35199,2000
'001908,12.8,15.5,8.3,34614,2000
'001909,12.6,11.8,5.2,35617,2000
'002901,14.7,13.3,10,42470,2000
'003801,1.4,16,0,24108,2000
'003902,11.4,14.6,6.7,34281,2000
'003903,13.7,14,9.9,35186,2000
'003904,11.2,13.9,7.6,34376,2000
'003905,10.7,12.7,6.5,34962,2000
'003906,8.2,13.9,6.2,32497,2000
'003907,11.6,14.6,7.3,34759,2000
'004901,12.7,13,6.7,36819,2000
'005901,12.9,11.5,7.7,34671,2000
'005902,13.8,15.2,8.4,35936,2000
'005903,7.8,5.9,4.4,31328,2000
'005904,10.9,12.8,8.4,34441,2000
'006902,11.8,10.7,6.3,35311,2000
'007901,13.2,12.1,8.1,36816,2000
'007902,13.5,13.2,7.9,36851,2000
'007904,9.7,13,5.3,35377,2000
'007905,11.8,13.7,7.2,35741,2000
'007906,11.6,12.2,7,35831,2000
'008901,13.9,14.8,9.2,36248,2000
'008902,13.1,14.1,8.4,39317,2000
'008903,13.6,13.4,9.8,37220,2000
'009901,11.6,12.1,7.8,34345,2000
'009903,9.8,7.3,5.9,32691,2000
'010901,15.1,10.6,8.2,36352,2000
'010902,10.4,13.2,4.6,35196,2000
'011901,10.1,13.5,5.8,35128,2000
'011902,12.4,13.4,7.1,37519,2000
'011904,11.1,13,6.8,35198,2000
'011905,6,11.5,2.7,29635,2000
'012901,17.2,11,12.3,37312,2000
'013901,11.7,14.6,8.5,36561,2000
'013902,13.1,10.9,10.8,35204,2000
'013903,12.3,11.5,6.2,35663,2000
'013905,11.2,13.2,6.2,35386,2000
'014801,4.2,24.1,0,25430,2000
'014802,12.5,-3,2,26000,2000
'014803,8.6,9.9,0,18538,2000
'014901,13.2,13.1,8.1,35646,2000
'014902,13.4,13.1,8.8,35594,2000
'014903,13.5,14.9,8.5,35884,2000
'014905,15.4,12.3,8.4,36391,2000
'014906,9.8,15.2,7.1,36007,2000
'014907,10.3,12.6,6.6,34131,2000
'014908,12.7,14.4,5.1,37576,2000
'014909,12.2,13,8.4,35057,2000
'014910,12.7,14.1,7.9,35397,2000
'015801,6,19.4,1,24732,2000
'015802,11.8,11.7,1.6,23847,2000
'015803,2,12.8,0.3,24824,2000
'015805,5.1,25.1,0.8,31094,2000
'015806,1.7,16.7,0.5,24068,2000
'015807,5.8,17.9,0.2,37320,2000
'015808,5.4,12.8,1.4,30661,2000
'015809,5.4,12.8,0,24414,2000
'015810,6.3,7.7,1,23500,2000
'015811,7.9,23.5,1.2,45704,2000
'015813,10.4,20.1,2.6,28248,2000
'015814,4.8,27,0,19955,2000
'015815,6.9,14.6,0.2,24249,2000
'015818,0,18,0,18000,2000
'015819,5.6,11.9,0.1,19911,2000
'015901,15.8,13.8,8.6,44590,2000
'015904,11.2,14.8,7.8,39506,2000
'015905,11.6,13.6,8.7,37747,2000
'015906,16,12.8,8.1,44334,2000
'015907,15.4,16.1,11.4,44874,2000
'015908,12.6,13.8,9.9,41840,2000
'015909,9.3,15.5,5,39757,2000
'015910,12.4,15.1,8.2,40515,2000
'015911,11.1,16.4,7.1,38205,2000
'015912,9,13.8,5.9,38489,2000
'015913,15.2,11.3,8.9,43756,2000
'015914,12.6,10.4,6.8,42491,2000
'015915,11.9,15.1,7.8,38637,2000
'015916,11.1,14.6,6.9,38421,2000
'015917,9.9,14.9,5.2,36907,2000
'016901,14,11.7,6.9,37803,2000
'016902,12,10.7,6.1,35484,2000
'017901,15.3,8.3,8.7,42716,2000
'018901,11.3,12.9,7.4,33053,2000
'018902,14.3,14,6.1,36125,2000
'018903,12.8,10.3,5.9,33719,2000
'018904,14.1,14,6.7,38306,2000
'018905,18.1,12.1,9.4,35176,2000
'018906,7.4,8.9,5,30973,2000
'018907,7.2,10.5,3.5,30078,2000
'018908,7.8,8.5,4.5,31033,2000
'019802,1.3,18.7,0,21333,2000
'019901,13.6,11.2,9.5,34472,2000
'019902,14.9,13.8,10.6,36121,2000
'019903,13.9,13.9,12.1,35924,2000
'019905,13.9,12,9.4,36035,2000
