DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'034903,10.3,12.4,7.3,29391,1997
'034905,11.5,12.0,8.0,30940,1997
'034906,9.9,15.5,5.4,27716,1997
'034907,12.5,12.7,7.3,29065,1997
'034908,20.0,16.9,16.7,35881,1997
'034909,14.8,12.5,9.1,31530,1997
'035901,13.2,12.4,8.5,31352,1997
'035902,14.0,10.4,8.0,30548,1997
'035903,11.6,10.1,7.0,30088,1997
'036901,11.0,15.5,7.7,30063,1997
'036902,14.7,15.2,8.3,37105,1997
'036903,8.1,12.8,5.2,29350,1997
'037901,12.1,11.5,8.4,29412,1997
'037904,11.0,14.8,7.2,29427,1997
'037907,12.0,14.6,7.1,30098,1997
'037908,8.3,10.1,4.7,26820,1997
'037909,7.1,10.0,5.2,26797,1997
'038901,14.1,13.9,9.2,31404,1997
'039901,12.3,9.8,10.5,29082,1997
'039902,11.9,13.5,7.4,31135,1997
'039903,7.9,12.5,4.0,28575,1997
'039904,11.9,10.6,8.0,29959,1997
'039905,12.0,9.0,7.8,29272,1997
'040901,11.5,9.2,6.9,29698,1997
'040902,14.5,11.5,9.2,33314,1997
'041901,9.0,11.1,5.5,27291,1997
'041902,15.5,11.6,9.5,35750,1997
'042901,12.1,12.2,6.6,29594,1997
'042903,11.5,9.6,6.4,29720,1997
'042905,12.5,11.0,7.7,29870,1997
'042906,6.2,7.9,2.7,27091,1997
'043901,10.2,16.1,4.9,30905,1997
'043902,8.1,12.7,4.6,28421,1997
'043903,10.2,12.8,6.7,30117,1997
'043904,13.1,13.7,8.4,30793,1997
'043905,9.3,14.8,4.1,29680,1997
'043907,10.5,17.7,5.6,30301,1997
'043908,7.7,11.8,3.3,26493,1997
'043910,12.0,15.7,7.7,35794,1997
'043911,11.1,14.5,6.1,28742,1997
'043912,10.4,13.0,5.3,30457,1997
'043914,9.5,15.5,5.5,29784,1997
'043917,9.3,9.4,5.4,28095,1997
'043918,8.8,13.4,5.4,27180,1997
'043919,15.4,16.3,8.6,34656,1997
'044902,12.9,11.6,8.5,30359,1997
'044904,13.6,7.9,9.2,32671,1997
'045902,12.8,15.0,8.5,30325,1997
'045903,11.0,12.4,6.9,28110,1997
'045905,16.8,13.4,10.5,33133,1997
'046901,12.4,16.1,8.2,31610,1997
'046902,11.7,15.2,6.2,30694,1997
'047901,12.1,15.4,8.1,30186,1997
'047902,14.6,12.4,9.2,30613,1997
'047903,9.8,10.0,3.9,27647,1997
'047905,17.7,11.3,12.1,33561,1997
'048901,12.1,11.0,7.6,31525,1997
'048903,9.2,10.0,5.5,27895,1997
'049901,13.9,15.1,9.5,33399,1997
'049902,11.1,13.1,7.9,29466,1997
'049903,10.1,11.9,6.3,29934,1997
'049905,13.0,14.4,5.9,31018,1997
'049906,10.4,11.0,5.3,29927,1997
'049907,13.1,14.1,8.4,32099,1997
'049908,7.6,14.6,3.8,20732,1997
'049909,8.7,11.3,4.7,29255,1997
'050901,14.5,16.4,7.9,31502,1997
'050902,14.1,15.6,9.4,30585,1997
'050904,7.8,9.3,4.0,28961,1997
'050909,15.4,12.2,12.1,32633,1997
'050910,9.4,14.6,6.1,28786,1997
'051901,14.7,11.3,12.7,31389,1997
'052901,14.1,13.0,9.7,36914,1997
'053001,12.8,12.5,8.9,34108,1997
'054901,8.5,10.3,5.2,28526,1997
'054902,10.8,11.7,6.5,30057,1997
'054903,8.1,12.9,3.7,27980,1997
'055901,10.1,12.7,6.3,31047,1997
'056901,12.5,14.0,7.4,30268,1997
'056902,13.5,10.7,8.1,30558,1997
'057801,8.0,13.6,0.0,32299,1997
'057804,0.0,31.6,0.0,26229,1997
'057903,10.2,15.8,5.9,33823,1997
'057904,10.1,15.7,4.5,31259,1997
'057905,13.1,16.8,10.0,33967,1997
'057906,11.6,15.1,6.8,32292,1997
'057907,11.7,15.8,7.3,32324,1997
'057909,11.5,17.1,7.8,33085,1997
'057910,10.9,16.5,8.0,33223,1997
'057911,11.9,13.8,7.1,36540,1997
'057912,10.7,16.0,7.5,32319,1997
'057913,9.6,18.3,5.3,30835,1997
'057914,10.7,17.9,7.6,32656,1997
'057916,12.8,15.6,9.6,34428,1997
'057919,10.2,12.2,6.6,31097,1997
'057920,11.2,15.7,7.4,31160,1997
'057922,9.3,15.5,3.6,31881,1997
'058902,13.8,9.1,9.4,32653,1997
'058905,13.6,10.5,8.5,33616,1997
'058906,12.0,14.8,9.4,31515,1997
'058909,8.6,10.8,4.0,31442,1997
'059901,11.5,13.9,8.9,29727,1997
'059902,7.4,13.9,4.9,31561,1997
'060902,11.7,13.4,8.8,29502,1997
'060914,9.1,10.7,7.7,27748,1997
'061901,11.4,15.6,7.7,32374,1997
'061902,10.2,15.0,5.6,32171,1997
'061903,8.9,12.8,3.9,28898,1997
'061905,11.0,12.7,6.3,30100,1997
'061906,5.4,11.6,3.2,24840,1997
'061907,6.2,12.3,3.8,26332,1997
'061908,9.4,13.5,5.1,28443,1997
'061910,11.6,13.1,7.1,29523,1997
'061911,9.8,13.3,5.1,30814,1997
'061912,8.2,13.9,5.1,27285,1997
'061914,7.2,12.6,3.2,27193,1997
'062901,13.3,14.1,8.2,30837,1997
'062902,16.0,7.1,10.1,32537,1997
'062903,15.1,13.3,10.3,31364,1997
'062904,11.5,12.1,8.4,30557,1997
'062905,11.4,13.7,6.3,27034,1997
'062906,14.2,14.6,11.2,31082,1997
'063903,11.6,10.2,6.7,30018,1997
'063906,6.7,9.4,4.1,26075,1997
'064901,13.8,12.9,7.0,30720,1997
'064903,12.0,13.4,7.1,30606,1997
'065901,10.0,9.8,5.4,29707,1997
'065902,8.2,10.2,4.7,26835,1997
'066005,5.4,9.3,4.3,24523,1997
'066901,17.1,9.9,12.5,32931,1997
'066902,11.1,12.9,8.2,29378,1997
'066903,14.3,11.8,9.9,33372,1997
'067902,11.7,13.0,7.8,29584,1997
'067903,11.5,13.8,6.7,31240,1997
'067904,11.4,13.6,8.4,29126,1997
'067907,14.0,11.8,9.1,31157,1997
'067908,13.6,10.7,5.8,30370,1997
'068901,10.9,16.7,8.5,29715,1997
'069901,12.1,10.7,6.3,30373,1997
'069902,11.6,12.2,8.5,29502,1997
'070901,10.3,11.1,5.6,29792,1997
'070903,12.4,15.1,8.1,33423,1997
'070905,8.8,16.3,4.4,29492,1997
'070907,10.0,12.0,5.9,32393,1997
'070908,11.0,15.3,6.4,31482,1997
'070909,10.6,10.4,5.4,29150,1997
'070910,9.2,15.5,4.7,29816,1997
'070911,10.4,16.6,6.1,31065,1997
'070912,12.8,16.1,8.8,32695,1997
'070915,6.9,12.5,3.9,28592,1997
'071901,9.5,14.6,4.1,31625,1997
'071902,11.9,15.9,9.7,32772,1997
'071903,9.4,14.9,5.0,31284,1997
'071904,6.6,16.5,3.2,29560,1997
'071905,11.1,15.8,9.2,31639,1997
'071906,9.1,14.8,5.6,35138,1997
'071907,10.8,15.8,5.9,31642,1997
'071908,8.5,13.8,3.9,28732,1997
'071909,9.8,16.2,5.3,32343,1997
'072901,9.2,14.0,3.8,29021,1997
'072902,11.4,16.3,8.1,29886,1997
'072903,13.4,16.1,9.3,33388,1997
'072904,6.3,9.1,4.9,26233,1997
'072908,9.9,10.8,5.3,27905,1997
'072909,10.7,11.6,8.6,29141,1997
'072910,16.7,10.4,12.1,33212,1997
'073901,9.7,11.5,4.9,29899,1997
'073903,11.3,11.9,7.7,28034,1997
'073904,7.6,12.8,2.8,25916,1997
'073905,11.6,13.5,8.5,29229,1997
'074903,11.2,12.9,8.4,29080,1997
'074904,8.5,11.7,6.7,26575,1997
'074905,7.1,10.8,4.8,27106,1997
'074907,11.1,12.0,8.0,29946,1997
'074909,9.6,14.9,5.8,29056,1997
'074911,11.0,13.0,7.9,30406,1997
'074912,13.6,13.6,7.3,31195,1997
'074917,11.4,10.8,8.9,29739,1997
'075901,13.6,13.3,10.3,31216,1997
'075902,13.8,15.6,9.7,30466,1997
'075903,13.7,12.6,8.9,31143,1997
'075906,15.1,12.0,7.7,30547,1997
'075908,12.8,11.3,8.1,32095,1997
'076903,10.1,9.8,4.9,29690,1997
'076904,13.4,11.4,7.1,33300,1997
'077901,12.7,11.6,7.1,30176,1997
'077902,11.4,13.2,8.2,31440,1997
'078901,9.5,10.1,6.2,27875,1997
'079901,11.6,16.5,7.8,32557,1997
'079906,12.2,16.2,7.5,32110,1997
'079907,11.1,18.2,6.5,31495,1997
'079908,12.0,14.4,8.0,31638,1997
'079910,9.2,13.5,3.1,32604,1997
'080901,10.6,14.8,6.7,30591,1997
'081902,14.4,14.6,9.5,34061,1997
'081904,13.1,14.7,8.5,33494,1997
'081905,11.4,10.3,4.9,30977,1997
'081906,8.5,14.8,6.5,26927,1997
'082902,11.9,12.5,6.5,32951,1997
'082903,11.0,13.3,8.0,30713,1997
'083901,11.3,11.3,8.9,31675,1997
'083902,14.7,9.8,10.4,34304,1997
'083903,13.0,14.0,8.6,35253,1997
'084901,11.1,16.0,7.1,30322,1997
'084902,12.3,14.8,9.6,32559,1997
'084903,7.8,10.6,3.4,27373,1997
'084904,11.1,15.2,7.0,30580,1997
'084906,14.3,15.4,9.8,35710,1997
'084908,10.7,13.8,6.4,33133,1997
'084909,11.5,17.6,7.8,32469,1997
'084910,13.1,17.5,8.1,34354,1997
'084911,10.6,17.2,6.4,31689,1997
'085902,13.1,13.6,10.1,33653,1997
'085903,9.8,10.0,4.4,29092,1997
'086024,9.0,8.0,8.5,29626,1997
'086901,13.9,15.3,9.0,31340,1997
'086902,10.6,11.9,4.6,29723,1997
'087901,13.6,12.3,7.3,36963,1997
'088902,9.9,13.6,5.8,28596,1997
'089901,12.7,14.6,9.5,28989,1997
'089903,12.6,12.8,8.8,32347,1997
'089905,11.1,10.5,6.1,28549,1997
'090902,14.1,9.8,8.6,30123,1997
'090903,15.3,9.9,7.7,31953,1997
'090904,12.2,14.4,9.0,32077,1997
'090905,8.3,13.3,2.7,28863,1997
'091901,12.0,12.6,5.4,28649,1997
'091902,11.1,11.5,4.8,30966,1997
'091903,13.6,15.4,9.4,32366,1997
'091905,11.7,13.3,6.6,29875,1997
'091906,11.8,15.3,7.9,31867,1997
'091907,8.4,10.0,3.6,27626,1997
'091908,11.6,13.7,6.0,29469,1997
'091909,11.6,16.0,6.9,30707,1997
'091910,11.7,12.4,6.1,30602,1997
'091913,10.2,14.3,6.8,30610,1997
'091914,14.4,13.7,8.4,32952,1997
'091917,8.5,10.8,4.9,28800,1997
'091918,9.9,13.7,6.7,29810,1997
'092901,12.6,13.5,7.6,30673,1997
'092902,13.8,15.1,9.4,30851,1997
'092903,13.2,13.8,9.1,31493,1997
'092904,13.5,15.7,8.1,31849,1997
'092906,13.9,14.3,8.5,31096,1997
'092907,14.4,16.1,8.7,31342,1997
'092908,16.3,15.6,11.3,33893,1997
'093901,10.8,13.3,5.9,29594,1997
'093903,11.6,13.3,6.1,29988,1997
'093904,10.5,14.8,7.6,29331,1997
'093905,9.0,8.1,6.3,26977,1997
'094901,12.2,14.1,7.7,30083,1997
'094902,9.8,16.1,7.3,31452,1997
'094903,12.1,12.3,5.4,29912,1997
'094904,12.3,10.5,7.1,29810,1997
'095901,13.3,12.4,8.7,32847,1997
'095902,9.5,9.5,5.8,27634,1997
'095903,11.5,12.7,6.4,30092,1997
'095904,15.3,12.0,10.5,31347,1997
'095905,10.7,15.4,7.8,29152,1997
'096904,10.8,11.5,6.8,28671,1997
'096905,12.1,10.8,8.9,29831,1997
'096908,7.0,7.0,3.6,25787,1997
'097902,13.1,13.5,6.9,29489,1997
'097903,11.6,12.4,6.9,30016,1997
'098901,12.4,10.2,9.7,33252,1997
'098903,9.6,7.7,6.7,29589,1997
'098904,12.6,11.6,7.2,31365,1997
'099902,11.6,11.5,8.0,28782,1997
'099903,14.9,11.4,10.4,32594,1997
'100903,12.1,14.6,8.9,29650,1997
'100904,12.7,14.2,9.6,29903,1997
'100905,12.3,16.2,7.5,30426,1997
'100907,10.6,16.1,5.9,30142,1997
'100908,10.1,12.9,5.2,29290,1997
'101801,0.0,19.7,0.0,18191,1997
'101802,6.8,37.5,0.0,31181,1997
'101803,0.7,20.3,0.0,26546,1997
'101804,1.0,20.3,0.0,24012,1997
'101805,6.8,12.9,0.0,26581,1997
'101806,7.8,20.0,0.0,31185,1997
'101902,9.7,15.5,6.8,35277,1997
'101903,9.5,16.4,5.7,33975,1997
'101905,10.9,18.4,8.0,34453,1997
'101906,10.7,16.6,7.0,31909,1997
'101907,11.3,16.6,7.0,32271,1997
'101908,12.5,15.7,9.0,35611,1997
'101909,15.2,16.3,12.2,36166,1997
'101910,9.6,17.3,6.7,32035,1997
'101911,13.1,16.3,9.7,33918,1997
'101912,12.2,17.7,10.1,34367,1997
'101913,11.4,15.1,6.4,33108,1997
'101914,11.3,16.8,6.3,34639,1997
'101915,13.2,16.2,8.1,32899,1997
'101916,13.2,16.1,9.3,35504,1997
'101917,11.9,17.3,8.5,32689,1997
'101919,11.7,15.7,7.1,35012,1997
'101920,11.4,15.7,8.3,34493,1997
'101921,10.6,16.2,5.9,32327,1997
'101924,12.4,14.9,8.6,32938,1997
'101925,10.7,16.0,6.1,30545,1997
'102901,10.7,11.4,5.2,29531,1997
'102902,13.2,16.7,9.1,32443,1997
'102903,11.4,12.8,7.3,30560,1997
