CAMPUS,YEAR,CAHEE*R,CAHEC#R,CAHEC*R,CAHEE#R
'015901001,1998,,,,
'015901002,1998,,,,
'015901041,1998,,,,
'015901101,1998,,,,
'015901102,1998,,,,
'015901104,1998,,,,
'015904001,1998,,,,
'015904002,1998,,,,
'015904003,1998,,,,
'015904004,1998,,,,
'015904006,1998,,,,
'015904007,1998,,,,
'015904041,1998,,,,
'015904042,1998,,,,
'015904043,1998,,,,
'015904044,1998,,,,
'015904101,1998,,,,
'015904102,1998,,,,
'015904103,1998,,,,
'015904104,1998,,,,
'015904105,1998,,,,
'015904106,1998,,,,
'015904107,1998,,,,
'015904108,1998,,,,
'015904109,1998,,,,
'015904110,1998,,,,
'015904111,1998,,,,
'015904113,1998,,,,
'015904114,1998,,,,
'015904115,1998,,,,
'015904116,1998,,,,
'015905002,1998,,,,
'015905003,1998,,,,
'015905006,1998,,,,
'015905011,1998,,,,
'015905041,1998,,,,
'015905044,1998,,,,
'015905045,1998,,,,
'015905046,1998,,,,
'015905047,1998,,,,
'015905101,1998,,,,
'015905102,1998,,,,
'015905104,1998,,,,
'015905105,1998,,,,
'015905106,1998,,,,
'015905107,1998,,,,
'015905108,1998,,,,
'015905109,1998,,,,
'015905110,1998,,,,
'015905112,1998,,,,
'015905113,1998,,,,
'015905114,1998,,,,
'015905115,1998,,,,
'015905116,1998,,,,
'015905117,1998,,,,
'015905118,1998,,,,
'015906001,1998,,,,
'015906041,1998,,,,
'015906101,1998,,,,
'015907001,1998,,,,
'015907002,1998,,,,
'015907003,1998,,,,
'015907004,1998,,,,
'015907005,1998,,,,
'015907006,1998,,,,
'015907007,1998,,,,
'015907008,1998,,,,
'015907009,1998,,,,
'015907010,1998,,,,
'015907014,1998,,,,
'015907017,1998,,,,
'015907020,1998,,,,
'015907041,1998,,,,
'015907042,1998,,,,
'015907043,1998,,,,
'015907046,1998,,,,
'015907047,1998,,,,
'015907049,1998,,,,
'015907050,1998,,,,
'015907051,1998,,,,
'015907052,1998,,,,
'015907053,1998,,,,
'015907054,1998,,,,
'015907055,1998,,,,
'015907056,1998,,,,
'015907057,1998,,,,
'015907058,1998,,,,
'015907059,1998,,,,
'015907061,1998,,,,
'015907101,1998,,,,
'015907102,1998,,,,
'015907103,1998,,,,
'015907104,1998,,,,
'015907105,1998,,,,
'015907106,1998,,,,
'015907107,1998,,,,
'015907108,1998,,,,
'015907109,1998,,,,
'015907110,1998,,,,
'015907111,1998,,,,
'015907112,1998,,,,
'015907113,1998,,,,
'015907114,1998,,,,
'015907115,1998,,,,
'015907116,1998,,,,
'015907117,1998,,,,
'015907118,1998,,,,
'015907119,1998,,,,
'015907121,1998,,,,
'015907123,1998,,,,
'015907124,1998,,,,
'015907125,1998,,,,
'015907126,1998,,,,
'015907127,1998,,,,
'015907129,1998,,,,
'015907131,1998,,,,
'015907132,1998,,,,
'015907134,1998,,,,
'015907135,1998,,,,
'015907136,1998,,,,
'015907137,1998,,,,
'015907139,1998,,,,
'015907140,1998,,,,
'015907141,1998,,,,
'015907143,1998,,,,
'015907144,1998,,,,
'015907145,1998,,,,
'015907146,1998,,,,
'015907147,1998,,,,
'015907148,1998,,,,
'015907149,1998,,,,
'015907150,1998,,,,
'015907153,1998,,,,
'015907155,1998,,,,
'015907156,1998,,,,
