DISTRICT,CNTYNAME,COUNTY,DACKDTL,DISTNAME,D_RATING,REGION
'001902,ANDERSON,'001,TRA,CAYUGA ISD,E,'07
'001903,ANDERSON,'001,R,ELKHART ISD,R,'07
'001904,ANDERSON,'001,,FRANKSTON ISD,R,'07
'001906,ANDERSON,'001,,NECHES ISD,R,'07
'001907,ANDERSON,'001,R,PALESTINE ISD,A,'07
'001908,ANDERSON,'001,,WESTWOOD ISD,A,'07
'001909,ANDERSON,'001,A,SLOCUM ISD,R,'07
'002901,ANDREWS,'002,R,ANDREWS ISD,R,'18
'003801,ANGELINA,'003,,PINEYWOODS COMMUNITY ACADEMY,C,'07
'003902,ANGELINA,'003,RA,HUDSON ISD,R,'07
'003903,ANGELINA,'003,,LUFKIN ISD,A,'07
'003904,ANGELINA,'003,,HUNTINGTON ISD,R,'07
'003905,ANGELINA,'003,RA,DIBOLL ISD,R,'07
'003906,ANGELINA,'003,,ZAVALLA ISD,R,'07
'003907,ANGELINA,'003,A,CENTRAL,R,'07
'004901,ARANSAS,'004,,ARANSAS COUNTY ISD,R,'02
'005901,ARCHER,'005,A,ARCHER CITY ISD,R,'09
'005902,ARCHER,'005,RA,HOLLIDAY ISD,R,'09
'005903,ARCHER,'005,,MEGARGEL ISD,A,'09
'005904,ARCHER,'005,RA,WINDTHORST ISD,E,'09
'006902,ARMSTRONG,'006,RA,CLAUDE ISD,R,'16
'007901,ATASCOSA,'007,,CHARLOTTE ISD,R,'20
'007902,ATASCOSA,'007,,JOURDANTON ISD,A,'20
'007904,ATASCOSA,'007,R,LYTLE ISD,A,'20
'007905,ATASCOSA,'007,,PLEASANTON ISD,R,'20
'007906,ATASCOSA,'007,,POTEET ISD,A,'20
'008901,AUSTIN,'008,RA,BELLVILLE ISD,A,'06
'008902,AUSTIN,'008,RA,SEALY ISD,R,'06
'008903,AUSTIN,'008,,BRAZOS ISD,A,'06
'009901,BAILEY,'009,A,MULESHOE ISD,R,'17
'009903,BAILEY,'009,RA,THREE WAY ISD,A,'17
'010901,BANDERA,'010,A,MEDINA ISD,R,'20
'010902,BANDERA,'010,,BANDERA ISD,A,'20
'011901,BASTROP,'011,,BASTROP ISD,A,'13
'011902,BASTROP,'011,,ELGIN ISD,A,'13
'011904,BASTROP,'011,R,SMITHVILLE ISD,A,'13
'011905,BASTROP,'011,A,MCDADE ISD,A,'13
'012901,BAYLOR,'012,TR,SEYMOUR ISD,E,'09
'013901,BEE,'013,,BEEVILLE ISD,R,'02
'013902,BEE,'013,A,PAWNEE ISD,R,'02
'013903,BEE,'013,,PETTUS ISD,A,'02
'013905,BEE,'013,R,SKIDMORE-TYNAN ISD,R,'02
'014801,BELL,'014,,KILLEEN-RICHARD MILBURN ALTER HIGH,C,'12
'014802,BELL,'014,,TRANSFORMATIVE CHARTER ACADEMY,C,'12
'014803,BELL,'014,,TOVAS-TACTILE ORAL VISUAL ALTERNAT,C,'12
