DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'061901,DENTON,'061,N,N,DENTON ISD,NQ,A,'11,REGION 11: FORT WORTH
'061902,DENTON,'061,N,N,LEWISVILLE ISD,NQ,R,'11,REGION 11: FORT WORTH
'061903,DENTON,'061,N,N,PILOT POINT ISD,NQ,R,'11,REGION 11: FORT WORTH
'061905,DENTON,'061,N,N,KRUM ISD,NQ,A,'11,REGION 11: FORT WORTH
'061906,DENTON,'061,N,N,PONDER ISD,NQ,A,'11,REGION 11: FORT WORTH
'061907,DENTON,'061,N,N,AUBREY ISD,NQ,R,'11,REGION 11: FORT WORTH
'061908,DENTON,'061,N,N,SANGER ISD,NQ,R,'11,REGION 11: FORT WORTH
'061910,DENTON,'061,N,N,ARGYLE ISD,NA,E,'11,REGION 11: FORT WORTH
'061911,DENTON,'061,N,N,NORTHWEST ISD,NQ,A,'11,REGION 11: FORT WORTH
'061912,DENTON,'061,N,N,LAKE DALLAS ISD,NQ,R,'11,REGION 11: FORT WORTH
'061914,DENTON,'061,N,N,LITTLE ELM ISD,NQ,R,'11,REGION 11: FORT WORTH
'062901,DEWITT,'062,N,N,CUERO ISD,NQ,A,'03,REGION 03: VICTORIA
'062902,DEWITT,'062,N,N,NORDHEIM ISD,NQ,A,'03,REGION 03: VICTORIA
'062903,DEWITT,'062,N,N,YOAKUM ISD,NQ,A,'03,REGION 03: VICTORIA
'062904,DEWITT,'062,N,N,YORKTOWN ISD,NQ,A,'03,REGION 03: VICTORIA
'062905,DEWITT,'062,N,N,WESTHOFF ISD,NA,E,'03,REGION 03: VICTORIA
'062906,DEWITT,'062,N,N,MEYERSVILLE ISD,NA,E,'03,REGION 03: VICTORIA
'063903,DICKENS,'063,N,N,SPUR ISD,NQ,A,'17,REGION 17: LUBBOCK
'063906,DICKENS,'063,N,N,PATTON SPRINGS ISD,NQ,E,'17,REGION 17: LUBBOCK
'064901,DIMMIT,'064,N,N,ASHERTON ISD,NE,S,'20,REGION 20: SAN ANTONIO
'064903,DIMMIT,'064,N,N,CARRIZO SPRINGS CONS ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'065901,DONLEY,'065,N,N,CLARENDON ISD,NQ,R,'16,REGION 16: AMARILLO
'065902,DONLEY,'065,N,N,HEDLEY ISD,NQ,R,'16,REGION 16: AMARILLO
'066005,DUVAL,'066,N,N,RAMIREZ CSD,NA,R,'02,REGION 02: CORPUS CHRISTI
'066901,DUVAL,'066,N,N,BENAVIDES ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'066902,DUVAL,'066,N,N,SAN DIEGO ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'066903,DUVAL,'066,N,N,FREER ISD,NQ,R,'02,REGION 02: CORPUS CHRISTI
'067902,EASTLAND,'067,N,N,CISCO ISD,NQ,R,'14,REGION 14: ABILENE
'067903,EASTLAND,'067,N,N,EASTLAND ISD,NQ,R,'14,REGION 14: ABILENE
'067904,EASTLAND,'067,N,N,GORMAN ISD,NQ,R,'14,REGION 14: ABILENE
'067907,EASTLAND,'067,N,N,RANGER ISD,NQ,R,'14,REGION 14: ABILENE
'067908,EASTLAND,'067,N,N,RISING STAR ISD,NQ,E,'14,REGION 14: ABILENE
'068901,ECTOR,'068,N,P,ECTOR COUNTY ISD,NQ,A,'18,REGION 18: MIDLAND
'069901,EDWARDS,'069,N,N,ROCKSPRINGS ISD,NQ,A,'15,REGION 15: SAN ANGELO
'069902,EDWARDS,'069,N,N,NUECES CANYON CONS ISD,NQ,E,'15,REGION 15: SAN ANGELO
'070901,ELLIS,'070,N,N,AVALON ISD,NQ,A,'10,REGION 10: RICHARDSON
'070903,ELLIS,'070,N,N,ENNIS ISD,NQ,A,'10,REGION 10: RICHARDSON
'070905,ELLIS,'070,N,N,FERRIS ISD,NQ,R,'10,REGION 10: RICHARDSON
'070907,ELLIS,'070,N,N,ITALY ISD,NQ,A,'10,REGION 10: RICHARDSON
'070908,ELLIS,'070,N,N,MIDLOTHIAN ISD,NQ,R,'10,REGION 10: RICHARDSON
'070909,ELLIS,'070,N,N,MILFORD ISD,NQ,A,'10,REGION 10: RICHARDSON
'070910,ELLIS,'070,N,N,PALMER ISD,NQ,A,'10,REGION 10: RICHARDSON
'070911,ELLIS,'070,N,N,RED OAK ISD,NQ,A,'10,REGION 10: RICHARDSON
'070912,ELLIS,'070,N,N,WAXAHACHIE ISD,NQ,A,'10,REGION 10: RICHARDSON
'070915,ELLIS,'070,N,N,MAYPEARL ISD,NQ,E,'10,REGION 10: RICHARDSON
'071801,EL PASO,'071,Y,N,BURNHAM WOOD CHARTER SCHOOL,CS,C,'19,REGION 19: EL PASO
'071901,EL PASO,'071,N,N,CLINT ISD,NQ,A,'19,REGION 19: EL PASO
'071902,EL PASO,'071,N,P,EL PASO ISD,NQ,A,'19,REGION 19: EL PASO
'071903,EL PASO,'071,N,N,FABENS ISD,NE,L,'19,REGION 19: EL PASO
'071904,EL PASO,'071,N,N,SAN ELIZARIO ISD,NQ,A,'19,REGION 19: EL PASO
'071905,EL PASO,'071,N,P,YSLETA ISD,NE,Q,'19,REGION 19: EL PASO
'071906,EL PASO,'071,N,N,ANTHONY ISD,NE,A,'19,REGION 19: EL PASO
'071907,EL PASO,'071,N,N,CANUTILLO ISD,NQ,A,'19,REGION 19: EL PASO
'071908,EL PASO,'071,N,N,TORNILLO ISD,NQ,A,'19,REGION 19: EL PASO
'071909,EL PASO,'071,N,P,SOCORRO ISD,NQ,R,'19,REGION 19: EL PASO
'072901,ERATH,'072,N,N,THREE WAY ISD,NA,R,'11,REGION 11: FORT WORTH
'072902,ERATH,'072,N,N,DUBLIN ISD,NQ,A,'11,REGION 11: FORT WORTH
'072903,ERATH,'072,N,N,STEPHENVILLE ISD,NQ,A,'11,REGION 11: FORT WORTH
'072904,ERATH,'072,N,N,BLUFF DALE ISD,NA,E,'11,REGION 11: FORT WORTH
'072908,ERATH,'072,N,N,HUCKABAY ISD,NQ,R,'11,REGION 11: FORT WORTH
'072909,ERATH,'072,N,N,LINGLEVILLE ISD,NQ,A,'11,REGION 11: FORT WORTH
'072910,ERATH,'072,N,N,MORGAN MILL ISD,NA,E,'11,REGION 11: FORT WORTH
'073901,FALLS,'073,N,N,CHILTON ISD,NQ,A,'12,REGION 12: WACO
'073903,FALLS,'073,N,N,MARLIN ISD,NQ,A,'12,REGION 12: WACO
'073904,FALLS,'073,N,N,WESTPHALIA ISD,NA,E,'12,REGION 12: WACO
'073905,FALLS,'073,N,N,ROSEBUD-LOTT ISD,NQ,A,'12,REGION 12: WACO
'074903,FANNIN,'074,N,N,BONHAM ISD,NQ,A,'10,REGION 10: RICHARDSON
'074904,FANNIN,'074,N,N,DODD CITY ISD,NQ,A,'10,REGION 10: RICHARDSON
'074905,FANNIN,'074,N,N,ECTOR ISD,NQ,A,'10,REGION 10: RICHARDSON
'074907,FANNIN,'074,N,N,HONEY GROVE ISD,NQ,A,'10,REGION 10: RICHARDSON
'074909,FANNIN,'074,N,N,LEONARD ISD,NQ,A,'10,REGION 10: RICHARDSON
'074911,FANNIN,'074,N,N,SAVOY ISD,NQ,A,'10,REGION 10: RICHARDSON
'074912,FANNIN,'074,N,N,TRENTON ISD,NQ,R,'10,REGION 10: RICHARDSON
'074917,FANNIN,'074,N,N,SAM RAYBURN ISD,NQ,A,'10,REGION 10: RICHARDSON
'075901,FAYETTE,'075,N,N,FLATONIA ISD,NQ,R,'13,REGION 13: AUSTIN
'075902,FAYETTE,'075,N,N,LA GRANGE ISD,NQ,R,'13,REGION 13: AUSTIN
'075903,FAYETTE,'075,N,N,SCHULENBURG ISD,NQ,A,'13,REGION 13: AUSTIN
'075906,FAYETTE,'075,N,N,FAYETTEVILLE ISD,NQ,R,'13,REGION 13: AUSTIN
'075908,FAYETTE,'075,N,N,ROUND TOP-CARMINE ISD,NQ,E,'13,REGION 13: AUSTIN
'076903,FISHER,'076,N,N,ROBY CONS ISD,NQ,E,'14,REGION 14: ABILENE
'076904,FISHER,'076,N,N,ROTAN ISD,NQ,E,'14,REGION 14: ABILENE
'077901,FLOYD,'077,N,N,FLOYDADA ISD,NQ,A,'17,REGION 17: LUBBOCK
'077902,FLOYD,'077,N,N,LOCKNEY ISD,NQ,R,'17,REGION 17: LUBBOCK
'078901,FOARD,'078,N,N,CROWELL ISD,NQ,A,'09,REGION 09: WICHITA FALLS
'079901,FORT BEND,'079,N,N,LAMAR CONSOLIDATED ISD,NQ,A,'04,REGION 04: HOUSTON
'079906,FORT BEND,'079,N,N,NEEDVILLE ISD,NQ,R,'04,REGION 04: HOUSTON
'079907,FORT BEND,'079,N,N,FORT BEND ISD,NQ,A,'04,REGION 04: HOUSTON
'079908,FORT BEND,'079,N,N,KENDLETON ISD,NE,S,'04,REGION 04: HOUSTON
'079910,FORT BEND,'079,N,N,STAFFORD MSD,NQ,R,'04,REGION 04: HOUSTON
'080901,FRANKLIN,'080,N,N,MOUNT VERNON ISD,NQ,R,'08,REGION 08: MT PLEASANT
'081902,FREESTONE,'081,N,N,FAIRFIELD ISD,NQ,A,'12,REGION 12: WACO
'081904,FREESTONE,'081,N,N,TEAGUE ISD,NQ,A,'12,REGION 12: WACO
'081905,FREESTONE,'081,N,N,WORTHAM ISD,NQ,A,'12,REGION 12: WACO
'081906,FREESTONE,'081,N,N,DEW ISD,NA,E,'12,REGION 12: WACO
'082902,FRIO,'082,N,N,DILLEY ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'082903,FRIO,'082,N,N,PEARSALL ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'083901,GAINES,'083,N,N,SEAGRAVES ISD,NQ,R,'17,REGION 17: LUBBOCK
'083902,GAINES,'083,N,N,LOOP ISD,NQ,R,'17,REGION 17: LUBBOCK
'083903,GAINES,'083,N,N,SEMINOLE ISD,NQ,R,'17,REGION 17: LUBBOCK
'084801,GALVESTON,'084,Y,N,MAINLAND PREPARATORY ACADEMY,CS,C,'04,REGION 04: HOUSTON
'084901,GALVESTON,'084,N,N,DICKINSON ISD,NQ,A,'04,REGION 04: HOUSTON
'084902,GALVESTON,'084,N,N,GALVESTON ISD,NQ,A,'04,REGION 04: HOUSTON
'084903,GALVESTON,'084,N,N,HIGH ISLAND ISD,NQ,A,'05,REGION 04: HOUSTON
'084904,GALVESTON,'084,N,N,LA MARQUE ISD,NQ,A,'04,REGION 04: HOUSTON
'084906,GALVESTON,'084,N,N,TEXAS CITY ISD,NQ,A,'04,REGION 04: HOUSTON
'084908,GALVESTON,'084,N,C,HITCHCOCK ISD,NQ,A,'04,REGION 04: HOUSTON
'084909,GALVESTON,'084,N,N,SANTA FE ISD,NQ,A,'04,REGION 04: HOUSTON
'084910,GALVESTON,'084,N,N,CLEAR CREEK ISD,NQ,R,'04,REGION 04: HOUSTON
'084911,GALVESTON,'084,N,N,FRIENDSWOOD ISD,NQ,E,'04,REGION 04: HOUSTON
'085902,GARZA,'085,N,N,POST ISD,NQ,R,'17,REGION 17: LUBBOCK
'085903,GARZA,'085,N,N,SOUTHLAND ISD,NQ,R,'17,REGION 17: LUBBOCK
'086024,GILLESPIE,'086,N,N,DOSS CONS CSD,NA,A,'13,REGION 13: AUSTIN
'086901,GILLESPIE,'086,N,N,FREDERICKSBURG ISD,NQ,A,'13,REGION 13: AUSTIN
'086902,GILLESPIE,'086,N,N,HARPER ISD,NQ,E,'13,REGION 13: AUSTIN
'087901,GLASSCOCK,'087,N,N,GLASSCOCK COUNTY ISD,NQ,R,'18,REGION 18: MIDLAND
'088902,GOLIAD,'088,N,N,GOLIAD ISD,NQ,R,'03,REGION 03: VICTORIA
'089901,GONZALES,'089,N,N,GONZALES ISD,NQ,A,'13,REGION 13: AUSTIN
'089903,GONZALES,'089,N,N,NIXON-SMILEY CONS ISD,NQ,R,'13,REGION 13: AUSTIN
'089905,GONZALES,'089,N,N,WAELDER ISD,NQ,R,'13,REGION 13: AUSTIN
'090902,GRAY,'090,N,N,LEFORS ISD,NQ,A,'16,REGION 16: AMARILLO
'090903,GRAY,'090,N,N,MCLEAN ISD,NQ,E,'16,REGION 16: AMARILLO
'090904,GRAY,'090,N,N,PAMPA ISD,NQ,A,'16,REGION 16: AMARILLO
'090905,GRAY,'090,N,N,GRANDVIEW-HOPKINS ISD,NA,E,'16,REGION 16: AMARILLO
'091901,GRAYSON,'091,N,N,BELLS ISD,NQ,R,'10,REGION 10: RICHARDSON
'091902,GRAYSON,'091,N,N,COLLINSVILLE ISD,NQ,E,'10,REGION 10: RICHARDSON
'091903,GRAYSON,'091,N,N,DENISON ISD,NQ,R,'10,REGION 10: RICHARDSON
'091905,GRAYSON,'091,N,N,HOWE ISD,NQ,R,'10,REGION 10: RICHARDSON
'091906,GRAYSON,'091,N,N,SHERMAN ISD,NQ,A,'10,REGION 10: RICHARDSON
'091907,GRAYSON,'091,N,N,TIOGA ISD,NA,R,'10,REGION 10: RICHARDSON
'091908,GRAYSON,'091,N,N,VAN ALSTYNE ISD,NQ,A,'10,REGION 10: RICHARDSON
'091909,GRAYSON,'091,N,N,WHITESBORO ISD,NQ,R,'10,REGION 10: RICHARDSON
'091910,GRAYSON,'091,N,N,WHITEWRIGHT ISD,NQ,E,'10,REGION 10: RICHARDSON
'091913,GRAYSON,'091,N,N,POTTSBORO ISD,NQ,E,'10,REGION 10: RICHARDSON
'091914,GRAYSON,'091,N,N,S AND S CONS ISD,NQ,R,'10,REGION 10: RICHARDSON
'091917,GRAYSON,'091,N,N,GUNTER ISD,NQ,E,'10,REGION 10: RICHARDSON
'091918,GRAYSON,'091,N,N,TOM BEAN ISD,NQ,E,'10,REGION 10: RICHARDSON
'092901,GREGG,'092,N,N,GLADEWATER ISD,NQ,A,'07,REGION 07: KILGORE
'092902,GREGG,'092,N,N,KILGORE ISD,NQ,A,'07,REGION 07: KILGORE
'092903,GREGG,'092,N,N,LONGVIEW ISD,NQ,A,'07,REGION 07: KILGORE
'092904,GREGG,'092,N,N,PINE TREE ISD,NQ,A,'07,REGION 07: KILGORE
'092906,GREGG,'092,N,N,SABINE ISD,NQ,R,'07,REGION 07: KILGORE
'092907,GREGG,'092,N,N,SPRING HILL ISD,NQ,R,'07,REGION 07: KILGORE
'092908,GREGG,'092,N,N,WHITE OAK ISD,NQ,R,'07,REGION 07: KILGORE
'093901,GRIMES,'093,N,N,ANDERSON-SHIRO CONS ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'093903,GRIMES,'093,N,N,IOLA ISD,NQ,R,'06,REGION 06: HUNTSVILLE
'093904,GRIMES,'093,N,N,NAVASOTA ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'093905,GRIMES,'093,N,N,RICHARDS ISD,NA,A,'06,REGION 06: HUNTSVILLE
'094901,GUADALUPE,'094,N,N,SEGUIN ISD,NQ,A,'13,REGION 13: AUSTIN
'094902,GUADALUPE,'094,N,N,SCHERTZ-CIBOLO-U CITY ISD,NQ,A,'13,REGION 13: AUSTIN
'094903,GUADALUPE,'094,N,N,NAVARRO ISD,NQ,A,'13,REGION 13: AUSTIN
'094904,GUADALUPE,'094,N,N,MARION ISD,NQ,R,'13,REGION 13: AUSTIN
'095901,HALE,'095,N,N,ABERNATHY ISD,NQ,R,'17,REGION 17: LUBBOCK
'095902,HALE,'095,N,N,COTTON CENTER ISD,NQ,E,'17,REGION 17: LUBBOCK
'095903,HALE,'095,N,N,HALE CENTER ISD,NQ,R,'17,REGION 17: LUBBOCK
'095904,HALE,'095,N,N,PETERSBURG ISD,NQ,R,'17,REGION 17: LUBBOCK
'095905,HALE,'095,N,N,PLAINVIEW ISD,NQ,R,'17,REGION 17: LUBBOCK
'096904,HALL,'096,N,N,MEMPHIS ISD,NQ,A,'16,REGION 16: AMARILLO
'096905,HALL,'096,N,N,TURKEY-QUITAQUE ISD,NQ,A,'16,REGION 16: AMARILLO
'096908,HALL,'096,N,N,LAKEVIEW ISD,NE,S,'16,REGION 16: AMARILLO
'097902,HAMILTON,'097,N,N,HAMILTON ISD,NQ,R,'12,REGION 12: WACO
'097903,HAMILTON,'097,N,N,HICO ISD,NQ,A,'12,REGION 12: WACO
'098901,HANSFORD,'098,N,N,GRUVER ISD,NQ,E,'16,REGION 16: AMARILLO
'098903,HANSFORD,'098,N,N,PRINGLE-MORSE CONS ISD,NA,E,'16,REGION 16: AMARILLO
'098904,HANSFORD,'098,N,N,SPEARMAN ISD,NQ,R,'16,REGION 16: AMARILLO
'099902,HARDEMAN,'099,N,N,CHILLICOTHE ISD,NQ,R,'09,REGION 09: WICHITA FALLS
'099903,HARDEMAN,'099,N,N,QUANAH ISD,NQ,R,'09,REGION 09: WICHITA FALLS
'100903,HARDIN,'100,N,N,KOUNTZE ISD,NQ,A,'05,REGION 05: BEAUMONT
'100904,HARDIN,'100,N,N,SILSBEE ISD,NQ,A,'05,REGION 05: BEAUMONT
'100905,HARDIN,'100,N,N,HARDIN-JEFFERSON ISD,NQ,A,'05,REGION 05: BEAUMONT
'100907,HARDIN,'100,N,N,LUMBERTON ISD,NQ,R,'05,REGION 05: BEAUMONT
'100908,HARDIN,'100,N,N,WEST HARDIN COUNTY CONS ISD,NQ,R,'05,REGION 05: BEAUMONT
'101801,HARRIS,'101,Y,N,MEDICAL CENTER CHARTER SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101802,HARRIS,'101,Y,N,SER-NINOS CHARTER SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101803,HARRIS,'101,Y,N,WEST HOUSTON CHARTER SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101804,HARRIS,'101,Y,N,GEORGE I SANCHEZ CHARTER,CS,C,'04,REGION 04: HOUSTON
'101805,HARRIS,'101,Y,N,GIRLS & BOYS PREP ACADEMY,CS,C,'04,REGION 04: HOUSTON
'101806,HARRIS,'101,Y,N,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,CS,C,'04,REGION 04: HOUSTON
'101807,HARRIS,'101,Y,N,UNIV OF HOUSTON CHARTER SCH-TECH,CS,C,'04,REGION 04: HOUSTON
'101808,HARRIS,'101,Y,N,ACADEMY OF HOUSTON,CS,C,'04,REGION 04: HOUSTON
'101809,HARRIS,'101,Y,N,ED WHITE SCHOOL OF EDUCATIONAL ENH,CS,C,'04,REGION 04: HOUSTON
'101810,HARRIS,'101,Y,N,"ACADEMY OF ACCELERATED LEARNING, I",CS,C,'04,REGION 04: HOUSTON
'101811,HARRIS,'101,Y,N,HARRIS COUNTY JUVENILE JUSTICE CHA,CS,C,'04,REGION 04: HOUSTON
'101812,HARRIS,'101,Y,N,HOUSTON CAN ACADEMY CHARTER SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101813,HARRIS,'101,Y,N,"KIPP, INC CHARTER",CS,C,'04,REGION 04: HOUSTON
'101814,HARRIS,'101,Y,N,WYNDAM CHARTER SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101815,HARRIS,'101,Y,N,ALIEF MONTESSORI COMMUNITY SCHOOL,CS,C,'04,REGION 04: HOUSTON
'101830,HARRIS,'101,Y,N,IMPACT CHARTER,CS,C,'04,REGION 04: HOUSTON
'101840,HARRIS,'101,Y,N,TWO DIMENSIONS PREPARATORY ACADEMY,CS,C,'04,REGION 04: HOUSTON
'101902,HARRIS,'101,N,N,ALDINE ISD,NQ,R,'04,REGION 04: HOUSTON
'101903,HARRIS,'101,N,N,ALIEF ISD,NQ,A,'04,REGION 04: HOUSTON
'101905,HARRIS,'101,N,N,CHANNELVIEW ISD,NQ,A,'04,REGION 04: HOUSTON
'101906,HARRIS,'101,N,N,CROSBY ISD,NQ,A,'04,REGION 04: HOUSTON
'101907,HARRIS,'101,N,N,CYPRESS-FAIRBANKS ISD,NQ,R,'04,REGION 04: HOUSTON
'101908,HARRIS,'101,N,N,DEER PARK ISD,NQ,A,'04,REGION 04: HOUSTON
'101909,HARRIS,'101,N,N,NORTH FOREST ISD,NE,Q,'04,REGION 04: HOUSTON
'101910,HARRIS,'101,N,N,GALENA PARK ISD,NQ,R,'04,REGION 04: HOUSTON
'101911,HARRIS,'101,N,N,GOOSE CREEK ISD,NQ,A,'04,REGION 04: HOUSTON
'101912,HARRIS,'101,N,N,HOUSTON ISD,NQ,A,'04,REGION 04: HOUSTON
'101913,HARRIS,'101,N,N,HUMBLE ISD,NQ,A,'04,REGION 04: HOUSTON
'101914,HARRIS,'101,N,N,KATY ISD,NQ,R,'04,REGION 04: HOUSTON
'101915,HARRIS,'101,N,N,KLEIN ISD,NQ,A,'04,REGION 04: HOUSTON
'101916,HARRIS,'101,N,N,LA PORTE ISD,NQ,A,'04,REGION 04: HOUSTON
'101917,HARRIS,'101,N,N,PASADENA ISD,NQ,R,'04,REGION 04: HOUSTON
'101919,HARRIS,'101,N,N,SPRING ISD,NQ,A,'04,REGION 04: HOUSTON
'101920,HARRIS,'101,N,N,SPRING BRANCH ISD,NQ,A,'04,REGION 04: HOUSTON
'101921,HARRIS,'101,N,N,TOMBALL ISD,NQ,A,'04,REGION 04: HOUSTON
'101924,HARRIS,'101,N,N,SHELDON ISD,NQ,A,'04,REGION 04: HOUSTON
'101925,HARRIS,'101,N,N,HUFFMAN ISD,NQ,R,'04,REGION 04: HOUSTON
'102901,HARRISON,'102,N,N,KARNACK ISD,NQ,A,'07,REGION 07: KILGORE
'102902,HARRISON,'102,N,N,MARSHALL ISD,NQ,A,'07,REGION 07: KILGORE
'102903,HARRISON,'102,N,N,WASKOM ISD,NQ,A,'07,REGION 07: KILGORE
'102904,HARRISON,'102,N,N,HALLSVILLE ISD,NQ,A,'07,REGION 07: KILGORE
'102905,HARRISON,'102,N,N,HARLETON ISD,NQ,E,'07,REGION 07: KILGORE
'102906,HARRISON,'102,N,N,ELYSIAN FIELDS ISD,NQ,R,'07,REGION 07: KILGORE
'103901,HARTLEY,'103,N,N,CHANNING ISD,AT,R,'16,REGION 16: AMARILLO
'103902,HARTLEY,'103,N,N,HARTLEY ISD,NQ,R,'16,REGION 16: AMARILLO
'104901,HASKELL,'104,N,N,HASKELL CISD,NQ,R,'14,REGION 14: ABILENE
'104902,HASKELL,'104,N,N,ROCHESTER ISD,NQ,E,'14,REGION 14: ABILENE
'104903,HASKELL,'104,N,N,RULE ISD,NQ,R,'14,REGION 14: ABILENE
'104907,HASKELL,'104,N,N,PAINT CREEK ISD,NQ,A,'14,REGION 14: ABILENE
'105902,HAYS,'105,N,N,SAN MARCOS CONS ISD,NQ,R,'13,REGION 13: AUSTIN
'105904,HAYS,'105,N,N,DRIPPING SPRINGS ISD,NQ,E,'13,REGION 13: AUSTIN
'105905,HAYS,'105,N,N,WIMBERLEY ISD,NQ,E,'13,REGION 13: AUSTIN
'105906,HAYS,'105,N,N,HAYS CONS ISD,NQ,A,'13,REGION 13: AUSTIN
'106901,HEMPHILL,'106,N,N,CANADIAN ISD,NQ,R,'16,REGION 16: AMARILLO
'107901,HENDERSON,'107,N,N,ATHENS ISD,NQ,A,'07,REGION 07: KILGORE
'107902,HENDERSON,'107,N,N,BROWNSBORO ISD,NQ,R,'07,REGION 07: KILGORE
'107904,HENDERSON,'107,N,N,CROSS ROADS ISD,NQ,R,'07,REGION 07: KILGORE
'107905,HENDERSON,'107,N,N,EUSTACE ISD,NQ,R,'07,REGION 07: KILGORE
'107906,HENDERSON,'107,N,N,MALAKOFF ISD,NQ,A,'07,REGION 07: KILGORE
'107907,HENDERSON,'107,N,N,TRINIDAD ISD,NQ,A,'07,REGION 07: KILGORE
'107908,HENDERSON,'107,N,N,MURCHISON ISD,NA,A,'07,REGION 07: KILGORE
'107910,HENDERSON,'107,N,N,LA POYNOR ISD,NQ,R,'07,REGION 07: KILGORE
'108801,HIDALGO,'108,Y,N,ONE STOP MULTISERVICE CHARTER SCHO,CS,C,'01,REGION 01: EDINBURG
'108802,HIDALGO,'108,Y,N,TECHNOLOGY EDUCATION CHARTER HIGH,CS,C,'01,REGION 01: EDINBURG
'108902,HIDALGO,'108,N,N,DONNA ISD,NQ,A,'01,REGION 01: EDINBURG
'108903,HIDALGO,'108,N,N,EDCOUCH-ELSA ISD,NQ,R,'01,REGION 01: EDINBURG
'108904,HIDALGO,'108,N,N,EDINBURG CISD,NQ,A,'01,REGION 01: EDINBURG
'108905,HIDALGO,'108,N,N,HIDALGO ISD,NQ,R,'01,REGION 01: EDINBURG
'108906,HIDALGO,'108,N,P,MCALLEN ISD,NQ,R,'01,REGION 01: EDINBURG
'108907,HIDALGO,'108,N,N,MERCEDES ISD,NQ,A,'01,REGION 01: EDINBURG
'108908,HIDALGO,'108,N,N,MISSION CONS ISD,NQ,R,'01,REGION 01: EDINBURG
'108909,HIDALGO,'108,N,N,PHARR-SAN JUAN-ALAMO ISD,NQ,A,'01,REGION 01: EDINBURG
'108910,HIDALGO,'108,N,N,PROGRESO ISD,NQ,A,'01,REGION 01: EDINBURG
'108911,HIDALGO,'108,N,N,SHARYLAND ISD,NQ,R,'01,REGION 01: EDINBURG
'108912,HIDALGO,'108,N,N,LA JOYA ISD,NQ,A,'01,REGION 01: EDINBURG
'108913,HIDALGO,'108,N,N,WESLACO ISD,NQ,R,'01,REGION 01: EDINBURG
'108914,HIDALGO,'108,N,N,LA VILLA ISD,NQ,A,'01,REGION 01: EDINBURG
'108915,HIDALGO,'108,N,N,MONTE ALTO ISD,NA,R,'01,REGION 01: EDINBURG
'108916,HIDALGO,'108,N,N,VALLEY VIEW ISD,NQ,R,'01,REGION 01: EDINBURG
'109901,HILL,'109,N,N,ABBOTT ISD,NQ,E,'12,REGION 12: WACO
'109902,HILL,'109,N,N,BYNUM ISD,NQ,E,'12,REGION 12: WACO
'109903,HILL,'109,N,N,COVINGTON ISD,NQ,R,'12,REGION 12: WACO
'109904,HILL,'109,N,N,HILLSBORO ISD,NQ,A,'12,REGION 12: WACO
'109905,HILL,'109,N,N,HUBBARD ISD,NQ,A,'12,REGION 12: WACO
'109907,HILL,'109,N,N,ITASCA ISD,NQ,R,'12,REGION 12: WACO
'109908,HILL,'109,N,N,MALONE ISD,NA,E,'12,REGION 12: WACO
'109910,HILL,'109,N,N,MOUNT CALM ISD,NA,A,'12,REGION 12: WACO
'109911,HILL,'109,N,N,WHITNEY ISD,NQ,A,'12,REGION 12: WACO
'109912,HILL,'109,N,N,AQUILLA ISD,NQ,A,'12,REGION 12: WACO
'109913,HILL,'109,N,N,BLUM ISD,NQ,A,'12,REGION 12: WACO
'109914,HILL,'109,N,N,PENELOPE ISD,NQ,R,'12,REGION 12: WACO
'110901,HOCKLEY,'110,N,N,ANTON ISD,NQ,A,'17,REGION 17: LUBBOCK
'110902,HOCKLEY,'110,N,N,LEVELLAND ISD,NQ,A,'17,REGION 17: LUBBOCK
'110905,HOCKLEY,'110,N,N,ROPES ISD,NQ,R,'17,REGION 17: LUBBOCK
'110906,HOCKLEY,'110,N,N,SMYER ISD,NQ,A,'17,REGION 17: LUBBOCK
'110907,HOCKLEY,'110,N,N,SUNDOWN ISD,NQ,E,'17,REGION 17: LUBBOCK
'110908,HOCKLEY,'110,N,N,WHITHARRAL ISD,NQ,R,'17,REGION 17: LUBBOCK
'111901,HOOD,'111,N,N,GRANBURY ISD,NQ,R,'11,REGION 11: FORT WORTH
'111902,HOOD,'111,N,N,LIPAN ISD,NQ,R,'11,REGION 11: FORT WORTH
'111903,HOOD,'111,N,N,TOLAR ISD,NQ,R,'11,REGION 11: FORT WORTH
'112901,HOPKINS,'112,N,N,SULPHUR SPRINGS ISD,NQ,A,'08,REGION 08: MT PLEASANT
'112905,HOPKINS,'112,N,N,CUMBY ISD,NQ,A,'08,REGION 08: MT PLEASANT
