DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'015814,BEXAR,'015,Y,N,POSITIVE SOLUTIONS CHARTER SCHOOL,CS,C,'20,REGION 20: SAN ANTONIO
'015901,BEXAR,'015,N,N,ALAMO HEIGHTS ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015904,BEXAR,'015,N,N,HARLANDALE ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015905,BEXAR,'015,N,N,EDGEWOOD ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015906,BEXAR,'015,N,N,RANDOLPH FIELD ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'015907,BEXAR,'015,N,N,SAN ANTONIO ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015908,BEXAR,'015,N,N,SOUTH SAN ANTONIO ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'015909,BEXAR,'015,N,N,SOMERSET ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'015910,BEXAR,'015,N,P,NORTH EAST ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015911,BEXAR,'015,N,N,EAST CENTRAL ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015912,BEXAR,'015,N,N,SOUTHWEST ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015913,BEXAR,'015,N,N,LACKLAND ISD,NQ,E,'20,REGION 20: SAN ANTONIO
'015914,BEXAR,'015,N,N,FT SAM HOUSTON ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'015915,BEXAR,'015,N,N,NORTHSIDE ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015916,BEXAR,'015,N,N,JUDSON ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'015917,BEXAR,'015,N,N,SOUTHSIDE ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'016901,BLANCO,'016,N,N,JOHNSON CITY ISD,NQ,R,'13,REGION 13: AUSTIN
'016902,BLANCO,'016,N,N,BLANCO ISD,NQ,R,'13,REGION 13: AUSTIN
'017901,BORDEN,'017,N,N,BORDEN COUNTY ISD,NQ,R,'17,REGION 17: LUBBOCK
'018901,BOSQUE,'018,N,N,CLIFTON ISD,NQ,R,'12,REGION 12: WACO
'018902,BOSQUE,'018,N,N,MERIDIAN ISD,NQ,R,'12,REGION 12: WACO
'018903,BOSQUE,'018,N,N,MORGAN ISD,NQ,A,'12,REGION 12: WACO
'018904,BOSQUE,'018,N,N,VALLEY MILLS ISD,NQ,A,'12,REGION 12: WACO
'018905,BOSQUE,'018,N,N,WALNUT SPRINGS ISD,NQ,A,'12,REGION 12: WACO
'018906,BOSQUE,'018,N,N,IREDELL ISD,NQ,R,'12,REGION 12: WACO
'018907,BOSQUE,'018,N,N,KOPPERL ISD,NA,A,'12,REGION 12: WACO
'018908,BOSQUE,'018,N,N,CRANFILLS GAP ISD,NQ,A,'12,REGION 12: WACO
'019901,BOWIE,'019,N,N,DEKALB ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019902,BOWIE,'019,N,N,HOOKS ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019903,BOWIE,'019,N,N,MAUD ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019905,BOWIE,'019,N,N,NEW BOSTON ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019906,BOWIE,'019,N,N,REDWATER ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019907,BOWIE,'019,N,N,TEXARKANA ISD,NQ,A,'08,REGION 08: MT PLEASANT
'019908,BOWIE,'019,N,N,LIBERTY-EYLAU ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019909,BOWIE,'019,N,N,SIMMS ISD,NQ,R,'08,REGION 08: MT PLEASANT
'019910,BOWIE,'019,N,N,MALTA ISD,NA,R,'08,REGION 08: MT PLEASANT
'019911,BOWIE,'019,N,N,RED LICK ISD,NA,E,'08,REGION 08: MT PLEASANT
'019912,BOWIE,'019,N,N,PLEASANT GROVE ISD,NQ,E,'08,REGION 08: MT PLEASANT
'019913,BOWIE,'019,N,N,HUBBARD ISD,NA,E,'08,REGION 08: MT PLEASANT
'019914,BOWIE,'019,N,N,LEARY ISD,NA,R,'08,REGION 08: MT PLEASANT
'020901,BRAZORIA,'020,N,N,ALVIN ISD,NQ,R,'04,REGION 04: HOUSTON
'020902,BRAZORIA,'020,N,N,ANGLETON ISD,NQ,E,'04,REGION 04: HOUSTON
'020904,BRAZORIA,'020,N,N,DANBURY ISD,NQ,E,'04,REGION 04: HOUSTON
'020905,BRAZORIA,'020,N,P,BRAZOSPORT ISD,NQ,E,'04,REGION 04: HOUSTON
'020906,BRAZORIA,'020,N,N,SWEENY ISD,NQ,R,'04,REGION 04: HOUSTON
'020907,BRAZORIA,'020,N,N,COLUMBIA-BRAZORIA ISD,NQ,R,'04,REGION 04: HOUSTON
'020908,BRAZORIA,'020,N,N,PEARLAND ISD,NQ,R,'04,REGION 04: HOUSTON
'020910,BRAZORIA,'020,N,N,DAMON ISD,NA,R,'04,REGION 04: HOUSTON
'021901,BRAZOS,'021,N,N,COLLEGE STATION ISD,AC,A,'06,REGION 06: HUNTSVILLE
'021902,BRAZOS,'021,N,N,BRYAN ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'022004,BREWSTER,'022,N,N,TERLINGUA CSD,NQ,A,'18,REGION 18: MIDLAND
'022901,BREWSTER,'022,N,N,ALPINE ISD,NQ,R,'18,REGION 18: MIDLAND
'022902,BREWSTER,'022,N,N,MARATHON ISD,NQ,A,'18,REGION 18: MIDLAND
'022903,BREWSTER,'022,N,N,SAN VICENTE ISD,NA,A,'18,REGION 18: MIDLAND
'023902,BRISCOE,'023,N,N,SILVERTON ISD,NQ,R,'16,REGION 16: AMARILLO
'024801,BROOKS,'024,Y,N,ENCINO SCHOOL,CS,C,'02,REGION 02: CORPUS CHRISTI
'024901,BROOKS,'024,N,N,BROOKS ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'025901,BROWN,'025,N,N,BANGS ISD,NQ,E,'15,REGION 15: SAN ANGELO
'025902,BROWN,'025,N,N,BROWNWOOD ISD,NQ,A,'15,REGION 15: SAN ANGELO
'025904,BROWN,'025,N,N,BLANKET ISD,NQ,A,'15,REGION 15: SAN ANGELO
'025905,BROWN,'025,N,N,MAY ISD,NQ,R,'15,REGION 15: SAN ANGELO
'025906,BROWN,'025,N,N,ZEPHYR ISD,NQ,E,'15,REGION 15: SAN ANGELO
'025908,BROWN,'025,N,N,BROOKESMITH ISD,NQ,R,'15,REGION 15: SAN ANGELO
'025909,BROWN,'025,N,N,EARLY ISD,NQ,E,'15,REGION 15: SAN ANGELO
'026901,BURLESON,'026,N,N,CALDWELL ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'026902,BURLESON,'026,N,N,SOMERVILLE ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'026903,BURLESON,'026,N,N,SNOOK ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'027903,BURNET,'027,N,N,BURNET CONS ISD,NQ,E,'13,REGION 13: AUSTIN
'027904,BURNET,'027,N,N,MARBLE FALLS ISD,NQ,A,'13,REGION 13: AUSTIN
'028902,CALDWELL,'028,N,N,LOCKHART ISD,NQ,A,'13,REGION 13: AUSTIN
'028903,CALDWELL,'028,N,N,LULING ISD,NQ,A,'13,REGION 13: AUSTIN
'028906,CALDWELL,'028,N,N,PRAIRIE LEA ISD,NQ,A,'13,REGION 13: AUSTIN
'029901,CALHOUN,'029,N,N,CALHOUN CO ISD,NQ,A,'03,REGION 03: VICTORIA
'030901,CALLAHAN,'030,N,N,CROSS PLAINS ISD,NQ,R,'14,REGION 14: ABILENE
'030902,CALLAHAN,'030,N,N,CLYDE CONS ISD,NQ,R,'14,REGION 14: ABILENE
'030903,CALLAHAN,'030,N,N,BAIRD ISD,NQ,A,'14,REGION 14: ABILENE
'030906,CALLAHAN,'030,N,N,EULA ISD,NQ,R,'14,REGION 14: ABILENE
'031901,CAMERON,'031,N,N,BROWNSVILLE ISD,NQ,A,'01,REGION 01: EDINBURG
'031903,CAMERON,'031,N,N,HARLINGEN CONS ISD,NQ,R,'01,REGION 01: EDINBURG
'031905,CAMERON,'031,N,N,LA FERIA ISD,NQ,R,'01,REGION 01: EDINBURG
'031906,CAMERON,'031,N,N,LOS FRESNOS CONS ISD,NQ,E,'01,REGION 01: EDINBURG
'031909,CAMERON,'031,N,N,POINT ISABEL ISD,NQ,R,'01,REGION 01: EDINBURG
'031911,CAMERON,'031,N,N,RIO HONDO ISD,NQ,R,'01,REGION 01: EDINBURG
'031912,CAMERON,'031,N,N,SAN BENITO CONS ISD,NQ,R,'01,REGION 01: EDINBURG
'031913,CAMERON,'031,N,N,SANTA MARIA ISD,NQ,A,'01,REGION 01: EDINBURG
'031914,CAMERON,'031,N,N,SANTA ROSA ISD,NQ,A,'01,REGION 01: EDINBURG
'031916,CAMERON,'031,N,N,SOUTH TEXAS ISD,NQ,E,'01,REGION 01: EDINBURG
'032902,CAMP,'032,N,N,PITTSBURG ISD,NQ,R,'08,REGION 08: MT PLEASANT
'033901,CARSON,'033,N,N,GROOM ISD,AC,R,'16,REGION 16: AMARILLO
'033902,CARSON,'033,N,N,PANHANDLE ISD,NQ,R,'16,REGION 16: AMARILLO
'033904,CARSON,'033,N,N,WHITE DEER ISD,NQ,E,'16,REGION 16: AMARILLO
'034901,CASS,'034,N,N,ATLANTA ISD,NQ,R,'08,REGION 08: MT PLEASANT
'034902,CASS,'034,N,N,AVINGER ISD,NQ,R,'08,REGION 08: MT PLEASANT
'034903,CASS,'034,N,N,HUGHES SPRINGS ISD,NQ,A,'08,REGION 08: MT PLEASANT
