DISTRICT,YEAR,DA0GH05N,DA0GH05P,DA0GM05N,DA0GM05P,DA0GR05N,DA0GR05P,DA0LV05R,DAPID06N,DAPID06R,DAUND05C,DB0GR05N,DB0GR05P,DH0GR05N,DH0GR05P,DI0GR05N,DI0GR05P,DP0GR05N,DP0GR05P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR05N,DS0GR05P,DW0GR05N,DW0GR05P
'181901,2006,93,65.5,49,34.5,142,100,0,0,0,0,0,0,4,2.8,2,1.4,2,1.4,13.5,0.7,2.9,0.8,3.9,1.1,3.2,4.9,0,27.8,22.7,3.6,3.6,3.3,0,0,0,8,2461,53,2.2,11,0.4,35,1.2,761,30.9,206,8.4,172,7,169,6.9,189,7.7,167,6.8,179,7.3,200,8.1,209,8.5,228,9.3,172,7,178,7.2,183,7.4,10,0.4,330,13.4,159,6.5,40,1.6,175,7.1,12,0.5,59,2.4,80,3.3,744,30.2,299,12.1,635,25.8,2183,88.7,18,12.7,134,94.4
'181905,2006,56,43.1,74,56.9,130,100,0,2,0.1,0,1,0.8,3,2.3,1,0.8,3,2.3,5.3,2,2.1,5.3,2.6,0,0,1,5.5,5.6,0,10,0,0,0,0,0,0,1597,20,1.3,12,0.8,33,1.8,475,29.7,125,7.8,111,7,112,7,117,7.3,112,7,128,8,138,8.6,145,9.1,135,8.5,117,7.3,123,7.7,99,6.2,5,0.3,105,6.6,99,6.2,31,1.9,68,4.3,12,0.8,20,1.3,28,1.8,584,36.6,197,12.3,361,22.6,1477,92.5,23,17.7,122,93.8
'181906,2006,138,78.4,38,21.6,176,100,0.1,13,0.4,1,91,51.7,6,3.4,0,0,4,2.3,10.7,11,9.1,3.8,14.1,9.5,6.1,4.8,6.4,4.5,5.7,0,8.8,2.2,2.9,5.9,12.2,17.2,2924,25,0.9,1914,65.5,39,1.2,1853,63.4,199,6.8,189,6.5,196,6.7,190,6.5,240,8.2,208,7.1,213,7.3,206,7,257,8.8,182,6.2,174,6,178,6.1,20,0.7,267,9.1,188,6.4,284,9.7,128,4.4,7,0.2,25,0.9,16,0.5,1622,55.5,446,15.3,468,16,859,29.4,18,10.2,75,42.6
'181907,2006,172,54.6,143,45.4,315,100,0,13,0.2,0,1,0.3,5,1.6,0,0,3,1,7.1,1.3,1.3,0.3,3,0,2,0,1.4,11.1,0,1.4,1.3,1.1,2.2,0,0,10,4858,20,0.4,13,0.3,131,2.3,2394,49.3,350,7.2,346,7.1,360,7.4,369,7.6,380,7.8,351,7.2,352,7.2,381,7.8,375,7.7,410,8.4,330,6.8,311,6.4,14,0.3,287,5.9,337,6.9,192,4,174,3.6,8,0.2,20,0.4,29,0.6,2204,45.4,877,18.1,1323,27.2,4634,95.4,73,23.2,306,97.1
'181908,2006,190,68.3,88,31.7,278,100,0.1,0,0,1,9,3.2,11,4,2,0.7,2,0.7,1.3,0.9,1,0,1.8,0.4,0,0,3.5,2.9,0,0,7.1,0,0,0,1.8,3.1,3639,32,0.9,231,6.3,78,1.9,1019,28,255,7,255,7,265,7.3,268,7.4,255,7,281,7.7,301,8.3,285,7.8,337,9.3,307,8.4,270,7.4,264,7.3,10,0.3,178,4.9,243,6.7,43,1.2,188,5.2,15,0.4,32,0.9,27,0.7,1447,39.8,558,15.3,940,25.8,3178,87.3,43,15.5,254,91.4
'182901,2006,10,50,10,50,20,100,0.7,4,1.5,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,8.3,.,0,0,0,0,0,0,0,0,197,1,0.5,3,1.5,0,0,72,36.5,10,5.1,11,5.6,10,5.1,11,5.6,14,7.1,9,4.6,22,11.2,23,11.7,18,9.1,19,9.6,17,8.6,13,6.6,0,0,12,6.1,13,6.6,7,3.6,21,10.7,3,1.5,1,0.5,0,0,65,33,26,13.2,63,32,170,86.3,4,20,17,85
'182902,2006,7,31.8,15,68.2,22,100,0,4,1,0,0,0,1,4.5,1,4.5,0,0,5.3,5.3,6.7,0,5,0,6.7,3.3,0,50,0,0,0,0,0,0,20,0,332,5,1.5,0,0,6,1.6,197,59.3,26,7.8,23,6.9,21,6.3,11,3.3,18,5.4,24,7.2,23,6.9,33,9.9,34,10.2,33,9.9,29,8.7,18,5.4,0,0,18,5.4,22,6.6,17,5.1,33,9.9,2,0.6,5,1.5,4,1.2,169,50.9,44,13.3,87,26.2,293,88.3,7,31.8,20,90.9
'182903,2006,111,55.8,88,44.2,199,100,0.1,3,0.1,1,7,3.5,28,14.1,1,0.5,3,1.5,2.9,5.2,5.3,2.1,4.1,3.7,1.4,1.8,4.9,17.5,10.5,3.5,0,1.9,3.6,2,1.8,13.6,3717,277,7.5,172,4.6,164,4.1,2123,57.1,305,8.2,288,7.7,275,7.4,267,7.2,272,7.3,269,7.2,275,7.4,264,7.1,319,8.6,291,7.8,230,6.2,224,6,9,0.2,154,4.1,295,7.9,134,3.6,1052,28.3,27,0.7,289,7.8,16,0.4,1769,47.6,622,16.7,722,19.4,2450,65.9,37,18.6,160,80.4
'182904,2006,21,56.8,16,43.2,37,100,0,2,0.4,0,0,0,1,2.7,0,0,0,0,3.6,0,0,0,0,0,0,0,6.1,12.5,0,0,0,0,0,0,0,50,481,16,3.3,1,0.2,0,0,189,39.3,36,7.5,34,7.1,35,7.3,31,6.4,38,7.9,37,7.7,32,6.7,35,7.3,40,8.3,42,8.7,40,8.3,34,7.1,0,0,68,14.1,25,5.2,22,4.6,50,10.4,0,0,16,3.3,0,0,175,36.4,52,10.8,172,35.8,430,89.4,6,16.2,36,97.3
'182905,2006,17,89.5,2,10.5,19,100,0,2,0.9,0,1,5.3,3,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,33.3,0,0,.,184,18,9.8,4,2.2,0,0,91,49.5,11,6,10,5.4,17,9.2,6,3.3,8,4.3,9,4.9,13,7.1,16,8.7,22,12,9,4.9,16,8.7,15,8.2,0,0,9,4.9,14,7.6,18,9.8,52,28.3,0,0,15,8.2,1,0.5,44,23.9,22,12,39,21.2,127,69,0,0,15,78.9
