DISTRICT,YEAR,DA0GH05N,DA0GH05P,DA0GM05N,DA0GM05P,DA0GR05N,DA0GR05P,DA0LV05R,DAPID06N,DAPID06R,DAUND05C,DB0GR05N,DB0GR05P,DH0GR05N,DH0GR05P,DI0GR05N,DI0GR05P,DP0GR05N,DP0GR05P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR05N,DS0GR05P,DW0GR05N,DW0GR05P
'001902,2006,25,67.6,12,32.4,37,100,0,0,0,0,2,5.4,3,8.1,0,0,0,0,7.1,3,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,9.1,582,6,1,79,13.6,8,1.2,234,40.2,50,8.6,34,5.8,44,7.6,45,7.7,41,7,43,7.4,52,8.9,55,9.5,43,7.4,34,5.8,50,8.6,31,5.3,3,0.5,67,11.5,38,6.5,19,3.3,23,4,0,0,6,1,6,1,150,25.8,90,15.5,104,17.9,474,81.4,9,24.3,32,86.5
'001903,2006,36,48,39,52,75,100,0,0,0,0,7,9.3,4,5.3,0,0,0,0,7.6,0,0,2.5,0,1.5,1.5,1.5,11.1,0,0,0,0,10.5,0,0,0,13.3,1294,8,0.6,119,9.2,20,1.4,616,47.6,109,8.4,83,6.4,76,5.9,85,6.6,107,8.3,85,6.6,83,6.4,96,7.4,113,8.7,92,7.1,86,6.6,85,6.6,1,0.1,52,4,106,8.2,87,6.7,61,4.7,3,0.2,9,0.7,2,0.2,413,31.9,217,16.8,309,23.9,1109,85.7,17,22.7,64,85.3
'001904,2006,45,71.4,18,28.6,63,100,0.2,5,0.5,1,10,15.9,4,6.3,0,0,0,0,7,2.1,1.9,2.4,0,3.5,0,2.1,0,0,14.3,0,0,0,0,0,0,33.3,797,27,3.4,109,13.7,1,0.1,400,50.2,47,5.9,56,7,50,6.3,55,6.9,54,6.8,66,8.3,67,8.4,78,9.8,60,7.5,61,7.7,52,6.5,60,7.5,3,0.4,59,7.4,62,7.8,26,3.3,55,6.9,1,0.1,27,3.4,1,0.1,326,40.9,115,14.4,259,32.5,631,79.2,10,15.9,49,77.8
'001906,2006,8,53.3,7,46.7,15,100,0,0,0,0,3,20,0,0,0,0,0,0,7.7,0,0,7.1,7.1,0,4.2,0,7.1,20,0,0,0,0,0,0,0,66.7,329,0,0,27,8.2,6,1.7,125,38,26,7.9,24,7.3,26,7.9,27,8.2,22,6.7,19,5.8,24,7.3,33,10,38,11.6,14,4.3,18,5.5,21,6.4,3,0.9,19,5.8,34,10.3,0,0,14,4.3,0,0,0,0,2,0.6,100,30.4,70,21.3,133,40.4,286,86.9,3,20,12,80
'001907,2006,144,78.7,39,21.3,183,100,0.3,24,0.6,6,56,30.6,35,19.1,0,0,4,2.2,12.6,3.4,4.8,5.8,17.1,4.6,11,11.4,1.2,19,4.2,0,6.3,0,8.6,5,4.8,0,3372,289,8.6,1004,29.8,48,1.3,2142,63.5,298,8.8,248,7.4,284,8.4,239,7.1,271,8,197,5.8,252,7.5,254,7.5,260,7.7,258,7.7,198,5.9,176,5.2,4,0.1,147,4.4,286,8.5,147,4.4,1000,29.7,7,0.2,305,9,25,0.7,1720,51,357,10.6,890,26.4,1336,39.6,26,14.2,88,48.1
'001908,2006,47,44.8,58,55.2,105,100,0,3,0.1,0,16,15.2,10,9.5,0,0,0,0,10.7,5.1,5.3,1,11.1,6.5,0,0,8.5,10,5.3,0,0,0,8.7,4.5,0,9.1,1789,42,2.3,302,16.9,42,2.1,782,43.7,152,8.5,142,7.9,141,7.9,110,6.1,141,7.9,142,7.9,131,7.3,115,6.4,151,8.4,121,6.8,135,7.5,115,6.4,3,0.2,85,4.8,145,8.1,45,2.5,213,11.9,4,0.2,44,2.5,9,0.5,781,43.7,244,13.6,449,25.1,1261,70.5,20,19,79,75.2
'001909,2006,9,50,9,50,18,100,0,4,0.9,0,0,0,0,0,0,0,0,0,8,0,3.8,5.9,0,16,0,0,8,0,33.3,0,0,0,0,0,0,0,389,1,0.3,8,2.1,0,0,226,58.1,32,8.2,28,7.2,30,7.7,31,8,28,7.2,27,6.9,24,6.2,27,6.9,31,8,26,6.7,31,8,23,5.9,1,0.3,39,10,25,6.4,25,6.4,19,4.9,0,0,1,0.3,1,0.3,65,16.7,85,21.9,92,23.7,361,92.8,3,16.7,18,100
'002901,2006,126,63.6,72,36.4,198,100,0.1,0,0,1,5,2.5,96,48.5,0,0,3,1.5,1.3,1.9,0.7,0,1.9,0,0,0,1.2,0,0,0,0,0,0,0,0,7,2898,159,5.5,46,1.6,58,1.9,1371,47.3,218,7.5,209,7.2,213,7.3,184,6.3,185,6.4,216,7.5,210,7.2,211,7.3,219,7.6,238,8.2,246,8.5,201,6.9,24,0.8,191,6.6,208,7.2,116,4,1673,57.7,9,0.3,246,8.5,16,0.6,1252,43.2,470,16.2,533,18.4,1154,39.8,24,12.1,94,47.5
'003801,2006,0,.,0,.,.,.,0,1,0.4,0,0,.,0,.,0,.,0,.,4.3,0,0,25,6.3,8.3,0,0,10,50,0,0,0,0,0,0,0,0,220,1,0.5,45,20.5,0,0,132,60,33,15,35,15.9,34,15.5,20,9.1,19,8.6,20,9.1,16,7.3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,32,14.5,0,0,18,8.2,0,0,3,1.4,5,2.3,52,23.6,26,11.8,0,0,152,69.1,0,.,0,.
'003902,2006,93,60.4,61,39.6,154,100,0,1,0,0,6,3.9,29,18.8,0,0,0,0,7.7,5.4,1.9,5.2,3,1.8,2.5,3.5,1.4,7.1,0,4.8,0,3.4,0,0,4,0,2429,141,5.8,107,4.4,53,2,1319,54.3,188,7.7,190,7.8,184,7.6,196,8.1,169,7,178,7.3,192,7.9,184,7.6,184,7.6,178,7.3,155,6.4,141,5.8,4,0.2,125,5.1,190,7.8,96,4,485,20,10,0.4,152,6.3,14,0.6,815,33.6,277,11.4,596,24.5,1813,74.6,17,11,119,77.3
'003903,2006,365,75.4,119,24.6,484,100,0.2,38,0.4,7,146,30.2,83,17.1,2,0.4,9,1.9,9.6,4.7,2.9,1.6,1.4,0,1.3,0.4,4.5,14.1,9,1.9,1.1,1.8,0.8,0,0.9,20.5,8663,1443,16.7,2693,31.1,282,3,5437,62.8,697,8,609,7,618,7.1,595,6.9,557,6.4,551,6.4,601,6.9,579,6.7,732,8.4,628,7.2,592,6.8,514,5.9,8,0.1,757,8.7,696,8,686,7.9,2613,30.2,7,0.1,1200,13.9,92,1.1,4094,47.3,1252,14.5,1800,20.8,3258,37.6,73,15.1,244,50.4
'003904,2006,49,41.2,70,58.8,119,100,0.3,2,0.1,3,3,2.5,3,2.5,0,0,0,0,7.8,0,0.9,1.4,2.1,0,2,0,7.4,5.9,0,0,0,0,0,3.7,5.3,29.4,1679,24,1.4,57,3.4,29,1.5,751,44.7,125,7.4,132,7.9,123,7.3,135,8,92,5.5,128,7.6,125,7.4,122,7.3,158,9.4,117,7,122,7.3,126,7.5,6,0.4,113,6.7,129,7.7,39,2.3,63,3.8,1,0.1,25,1.5,4,0.2,626,37.3,243,14.5,496,29.5,1554,92.6,30,25.2,113,95
'003905,2006,82,71.9,32,28.1,114,100,0,1,0,0,19,16.7,37,32.5,0,0,0,0,7,2.3,0.8,1.7,1.8,3.3,0,0,5.1,17.4,13.3,11.1,0,0,0,0,0,5.9,1865,332,17.8,259,13.9,32,1.5,1308,70.1,161,8.6,148,7.9,136,7.3,125,6.7,133,7.1,133,7.1,135,7.2,132,7.1,154,8.3,133,7.1,144,7.7,110,5.9,2,0.1,73,3.9,130,7,89,4.8,879,47.1,6,0.3,382,20.5,6,0.3,964,51.7,219,11.7,358,19.2,715,38.3,15,13.2,58,50.9
'003906,2006,20,69,9,31,29,100,0,1,0.2,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,5,6.7,0,0,0,0,0,0,0,12.5,0,0,0,484,0,0,2,0.4,5,1,295,61,30,6.2,45,9.3,42,8.7,32,6.6,41,8.5,42,8.7,26,5.4,34,7,36,7.4,32,6.6,32,6.6,26,5.4,0,0,26,5.4,36,7.4,30,6.2,5,1,1,0.2,0,0,0,0,230,47.5,82,16.9,102,21.1,476,98.3,4,13.8,29,100
'003907,2006,32,34,62,66,94,100,0,0,0,0,4,4.3,12,12.8,0,0,0,0,2.2,0,0,0,0,0,0,0.9,1,0,5.6,11.8,0,0,2.8,0,0,30.8,1647,41,2.5,71,4.3,24,1.3,705,42.8,127,7.7,115,7,111,6.7,125,7.6,117,7.1,135,8.2,132,8,128,7.8,150,9.1,133,8.1,113,6.9,110,6.7,2,0.1,77,4.7,118,7.2,31,1.9,196,11.9,6,0.4,53,3.2,10,0.6,620,37.6,301,18.3,430,26.1,1364,82.8,21,22.3,78,83
'004901,2006,151,66.2,77,33.8,228,100,0,0,0,0,7,3.1,46,20.2,0,0,14,6.1,14.4,8.2,3.5,2.7,1.6,0,1.3,0.9,4.3,12,2.4,2.5,0,1.6,2,0,8.5,15.8,3331,126,3.8,76,2.3,89,2.4,2028,60.9,238,7.1,224,6.7,235,7.1,228,6.8,241,7.2,262,7.9,294,8.8,296,8.9,289,8.7,255,7.7,223,6.7,212,6.4,5,0.2,165,5,230,6.9,99,3,1150,34.5,9,0.3,129,3.9,122,3.7,1765,53,465,14,870,26.1,1974,59.3,21,9.2,161,70.6
'005901,2006,22,56.4,17,43.6,39,100,0,0,0,0,1,2.6,1,2.6,0,0,0,0,2.6,0,0,0,0,0,0,2.6,15.2,0,0,0,0,0,0,0,0,0,501,4,0.8,1,0.2,9,1.6,145,28.9,32,6.4,39,7.8,39,7.8,35,7,31,6.2,41,8.2,36,7.2,43,8.6,43,8.6,41,8.2,43,8.6,49,9.8,3,0.6,35,7,26,5.2,0,0,17,3.4,1,0.2,3,0.6,0,0,169,33.7,58,11.6,108,21.6,482,96.2,10,25.6,37,94.9
'005902,2006,66,86.8,10,13.2,76,100,0,0,0,0,0,0,1,1.3,0,0,0,0,0,0,5.7,0,1.6,0,0,0,1.6,0,0,0,0,0,0,0,0,0,814,0,0,5,0.6,15,1.6,208,25.6,62,7.6,52,6.4,60,7.4,56,6.9,66,8.1,73,9,60,7.4,58,7.1,65,8,80,9.8,61,7.5,60,7.4,0,0,61,7.5,49,6,12,1.5,28,3.4,12,1.5,0,0,0,0,249,30.6,57,7,246,30.2,769,94.5,7,9.2,75,98.7
'005903,2006,5,83.3,1,16.7,6,100,0,0,0,0,0,0,1,16.7,0,0,0,0,0,0,33.3,0,25,0,25,0,50,0,.,0,.,0,.,0,0,100,64,1,1.6,1,1.6,0,0,51,79.7,1,1.6,3,4.7,4,6.3,3,4.7,2,3.1,6,9.4,2,3.1,7,10.9,8,12.5,7,10.9,11,17.2,4,6.3,0,0,0,0,5,7.8,1,1.6,8,12.5,0,0,1,1.6,2,3.1,36,56.3,12,18.8,29,45.3,53,82.8,1,16.7,5,83.3
'005904,2006,27,87.1,4,12.9,31,100,0,1,0.2,0,0,0,5,16.1,0,0,0,0,0,0,0,0,0,0,0,5.1,2.5,0,0,0,0,0,0,0,0,25,510,60,11.8,0,0,0,0,203,39.8,43,8.4,43,8.4,34,6.7,45,8.8,33,6.5,42,8.2,29,5.7,41,8,44,8.6,35,6.9,36,7.1,32,6.3,1,0.2,40,7.8,37,7.3,15,2.9,104,20.4,0,0,60,11.8,0,0,199,39,48,9.4,136,26.7,406,79.6,1,3.2,26,83.9
'006902,2006,12,54.5,10,45.5,22,100,0,0,0,0,0,0,3,13.6,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,33.3,0,0,0,0,0,25,370,6,1.6,4,1.1,8,1.9,160,43.2,21,5.7,24,6.5,31,8.4,24,6.5,27,7.3,41,11.1,29,7.8,33,8.9,29,7.8,23,6.2,26,7,25,6.8,5,1.4,33,8.9,32,8.6,0,0,24,6.5,3,0.8,5,1.4,0,0,94,25.4,45,12.2,79,21.4,339,91.6,6,27.3,19,86.4
'007901,2006,12,52.2,11,47.8,23,100,0.4,1,0.2,1,0,0,18,78.3,0,0,0,0,9.1,13.3,21.6,3.7,7.1,0,0,0,0,.,0,0,0,0,0,0,0,0,518,21,4.1,0,0,8,1.4,369,71.2,45,8.7,48,9.3,51,9.8,32,6.2,32,6.2,42,8.1,40,7.7,37,7.1,36,6.9,35,6.8,32,6.2,32,6.2,0,0,31,6,32,6.2,24,4.6,436,84.2,0,0,24,4.6,0,0,269,51.9,55,10.6,168,32.4,82,15.8,6,26.1,5,21.7
'007902,2006,42,59.2,29,40.8,71,100,0,0,0,0,0,0,40,56.3,0,0,0,0,5.7,0,1.3,0,4.6,6.5,3.4,2.6,1,0,0,0,0,0,12.5,0,0,0,1292,33,2.6,5,0.4,33,2.3,784,60.7,117,9.1,87,6.7,112,8.7,85,6.6,74,5.7,98,7.6,90,7,106,8.2,115,8.9,101,7.8,97,7.5,77,6,0,0,97,7.5,100,7.7,33,2.6,753,58.3,4,0.3,45,3.5,7,0.5,564,43.7,130,10.1,306,23.7,523,40.5,18,25.4,31,43.7
'007904,2006,50,53.8,43,46.2,93,100,0.1,5,0.3,1,1,1.1,61,65.6,0,0,1,1.1,3.7,2.4,4.2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,25,1572,126,8,9,0.6,39,2.3,1085,69,124,7.9,117,7.4,138,8.8,109,6.9,118,7.5,94,6,119,7.6,119,7.6,117,7.4,141,9,104,6.6,76,4.8,1,0.1,113,7.2,106,6.7,89,5.7,1161,73.9,2,0.1,133,8.5,2,0.1,847,53.9,142,9,490,31.2,398,25.3,12,12.9,30,32.3
'007905,2006,149,67.1,73,32.9,222,100,0,0,0,0,4,1.8,121,54.5,1,0.5,0,0,4.8,3.6,3.6,2.1,0.9,0,0,0,0.5,12.5,3.7,2.9,0,2.1,0,7.4,1.8,20,3459,93,2.7,15,0.4,162,4.2,2169,62.7,254,7.3,277,8,284,8.2,252,7.3,240,6.9,256,7.4,269,7.8,283,8.2,285,8.2,269,7.8,207,6,198,5.7,1,0,250,7.2,267,7.7,117,3.4,2267,65.5,2,0.1,94,2.7,10,0.3,1604,46.4,494,14.3,689,19.9,1165,33.7,46,20.7,96,43.2
'007906,2006,59,59,41,41,100,100,0,0,0,0,0,0,81,81,0,0,0,0,13,8.4,3.4,6.2,1.8,1,0,0,14.2,20,15.4,0,0,8.3,0,6.3,0,12.5,1710,89,5.2,10,0.6,70,3.6,1297,75.8,133,7.8,128,7.5,119,7,130,7.6,124,7.3,126,7.4,120,7,129,7.5,133,7.8,137,8,116,6.8,103,6,4,0.2,103,6,131,7.7,77,4.5,1441,84.3,5,0.3,102,6,3,0.2,1021,59.7,190,11.1,348,20.4,251,14.7,18,18,19,19
'008901,2006,114,71.3,46,28.8,160,100,0,0,0,0,25,15.6,15,9.4,0,0,0,0,7.2,2.4,2.8,0,0,2.3,0.7,0,6.1,10.5,0,0,0,5.4,0,0,0,16.7,2193,140,6.4,297,13.5,21,0.9,753,34.3,153,7,156,7.1,149,6.8,152,6.9,168,7.7,171,7.8,178,8.1,176,8,186,8.5,184,8.4,179,8.2,159,7.3,6,0.3,313,14.3,136,6.2,40,1.8,429,19.6,3,0.1,147,6.7,4,0.2,866,39.5,318,14.5,610,27.8,1460,66.6,27,16.9,120,75
'008902,2006,107,74.3,37,25.7,144,100,0,1,0,0,10,6.9,44,30.6,1,0.7,2,1.4,4.1,2.7,1.4,3.4,8.5,1.2,0,0,5.5,8.3,9.5,2.5,0,7.4,0,0,2.2,12.5,2563,243,9.5,392,15.3,30,1.1,1284,50.1,209,8.2,217,8.5,178,6.9,188,7.3,200,7.8,166,6.5,211,8.2,180,7,209,8.2,180,7,178,6.9,170,6.6,7,0.3,216,8.4,214,8.3,56,2.2,899,35.1,3,0.1,244,9.5,18,0.7,1204,47,370,14.4,729,28.4,1251,48.8,24,16.7,87,60.4
'008903,2006,30,58.8,21,41.2,51,100,0,1,0.1,0,2,3.9,15,29.4,1,2,0,0,4.8,0,4.9,4.8,2.1,0,0,0,3.6,16.7,0,0,0,0,4.5,10,0,0,852,64,7.5,138,16.2,15,1.6,398,46.7,68,8,66,7.7,52,6.1,55,6.5,62,7.3,48,5.6,63,7.4,67,7.9,87,10.2,70,8.2,69,8.1,53,6.2,2,0.2,46,5.4,60,7,30,3.5,317,37.2,0,0,72,8.5,2,0.2,335,39.3,126,14.8,185,21.7,395,46.4,7,13.7,33,64.7
'009901,2006,67,66.3,34,33.7,101,100,0,0,0,0,2,2,45,44.6,0,0,0,0,4.5,2.1,2.3,2.1,8,1.1,0,0,0,0,8.7,0,0,0,0,0,0,14.3,1501,228,15.2,14,0.9,46,2.7,1123,74.8,121,8.1,106,7.1,125,8.3,107,7.1,123,8.2,101,6.7,110,7.3,94,6.3,102,6.8,104,6.9,89,5.9,79,5.3,14,0.9,97,6.5,119,7.9,107,7.1,1070,71.3,2,0.1,242,16.1,2,0.1,689,45.9,221,14.7,214,14.3,413,27.5,9,8.9,54,53.5
'010901,2006,20,66.7,10,33.3,30,100,0,1,0.2,0,0,0,2,6.7,0,0,0,0,5.3,12.5,5.3,0,4.3,0,0,5.9,25,0,0,0,0,0,0,0,0,16.7,329,10,3,15,4.6,8,2,149,45.3,14,4.3,26,7.9,23,7,28,8.5,24,7.3,33,10,25,7.6,27,8.2,26,7.9,29,8.8,25,7.6,23,7,0,0,13,4,26,7.9,0,0,48,14.6,4,1.2,10,3,0,0,118,35.9,92,28,80,24.3,262,79.6,9,30,28,93.3
'010902,2006,70,47,79,53,149,100,0,0,0,0,1,0.7,26,17.4,1,0.7,0,0,7.8,6.2,0,0,3.7,2.4,2.3,0.5,6.8,13,9.4,6.1,0,5.7,3,3.2,0,4.5,2528,83,3.3,9,0.4,57,1.9,1194,47.2,181,7.2,173,6.8,146,5.8,159,6.3,183,7.2,174,6.9,199,7.9,191,7.6,252,10,253,10,195,7.7,160,6.3,9,0.4,282,11.2,180,7.1,73,2.9,558,22.1,20,0.8,85,3.4,16,0.6,1053,41.7,368,14.6,642,25.4,1925,76.1,13,8.7,121,81.2
'011901,2006,313,70,134,30,447,100,0,0,0,0,37,8.3,104,23.3,3,0.7,3,0.7,4.3,3.2,2.7,0.4,2.1,0.6,2.1,0.8,3.5,6.5,1.3,5.1,2.3,0,0,2.4,1.2,19,7960,642,8.1,800,10.1,257,3,4299,54,641,8.1,637,8,578,7.3,592,7.4,601,7.6,559,7,599,7.5,619,7.8,661,8.3,609,7.7,507,6.4,494,6.2,11,0.1,873,11,608,7.6,244,3.1,2989,37.6,32,0.4,853,10.7,53,0.7,3673,46.1,1024,12.9,1558,19.6,4086,51.3,54,12.1,300,67.1
'011902,2006,128,60.7,83,39.3,211,100,0.5,31,0.8,8,16,7.6,78,37,0,0,1,0.5,3.8,0.5,6.5,2.9,3.3,0.6,1,0,5,11.1,0,6.3,0,3.2,0,0,0,5,3346,503,15,490,14.6,198,5.6,2010,60.1,264,7.9,240,7.2,273,8.2,229,6.8,223,6.7,234,7,244,7.3,246,7.4,301,9,264,7.9,214,6.4,193,5.8,22,0.7,122,3.6,272,8.1,127,3.8,1595,47.7,11,0.3,543,16.2,20,0.6,1886,56.4,412,12.3,605,18.1,1230,36.8,35,16.6,116,55
'011904,2006,69,65.7,36,34.3,105,100,0,0,0,0,18,17.1,16,15.2,1,1,2,1.9,6.1,1,4.4,0.8,11.1,0,2.4,0.8,6.2,15,6.3,0,0,0,0,7.7,0,52.9,1826,55,3,188,10.3,52,2.6,895,49,121,6.6,127,7,128,7,129,7.1,164,9,120,6.6,131,7.2,159,8.7,155,8.5,140,7.7,117,6.4,129,7.1,6,0.3,85,4.7,143,7.8,57,3.1,352,19.3,1,0.1,59,3.2,10,0.5,650,35.6,240,13.1,390,21.4,1275,69.8,14,13.3,68,64.8
'011905,2006,0,.,0,.,.,.,0,0,0,0,0,.,0,.,0,.,0,.,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,232,39,16.8,2,0.9,0,0,109,47,17,7.3,28,12.1,24,10.3,24,10.3,31,13.4,20,8.6,20,8.6,24,10.3,0,0,0,0,0,0,0,0,0,0,22,9.5,17,7.3,27,11.6,77,33.2,2,0.9,39,16.8,0,0,113,48.7,23,9.9,0,0,151,65.1,0,.,0,.
'012901,2006,24,72.7,9,27.3,33,100,0,1,0.1,0,1,3,2,6.1,0,0,0,0,4.2,0,0,0,2.8,0,2,4.8,10.3,0,0,0,0,14.3,0,0,16.7,0,604,14,2.3,34,5.6,9,1.3,278,46,49,8.1,30,5,49,8.1,37,6.1,40,6.6,42,7,41,6.8,64,10.6,45,7.5,50,8.3,51,8.4,42,7,5,0.8,24,4,45,7.5,14,2.3,93,15.4,3,0.5,14,2.3,4,0.7,173,28.6,67,11.1,174,28.8,470,77.8,6,18.2,30,90.9
'013801,2006,0,.,0,.,.,.,0,0,0,0,0,.,0,.,0,.,0,.,15,20,4.8,11.1,0,5.6,0,0,3.6,20,60,.,20,0,0,0,0,0,224,0,0,8,3.6,0,0,171,76.3,40,17.9,38,17,22,9.8,22,9.8,18,8,25,11.2,20,8.9,17,7.6,0,0,0,0,0,0,0,0,0,0,0,0,22,9.8,0,0,169,75.4,0,0,0,0,4,1.8,96,42.9,38,17,0,0,43,19.2,0,.,0,.
'013901,2006,186,72.4,71,27.6,257,100,0.2,0,0,3,5,1.9,189,73.5,3,1.2,3,1.2,15.2,3.3,5.8,0.9,3.7,0.4,3.6,2.5,3.3,14.3,4.8,5.7,2.8,2.6,5.4,9.7,5.9,13.8,3727,76,2,96,2.6,90,2.2,2575,69.1,300,8,266,7.1,254,6.8,250,6.7,261,7,268,7.2,298,8,284,7.6,332,8.9,304,8.2,245,6.6,251,6.7,5,0.1,284,7.6,295,7.9,114,3.1,2871,77,5,0.1,85,2.3,20,0.5,2028,54.4,367,9.8,709,19,735,19.7,24,9.3,57,22.2
'013902,2006,0,.,0,.,.,.,0,4,2.4,0,0,.,0,.,0,.,0,.,0,0,8.3,0,0,0,0,0,6.3,0,50,.,0,.,.,0,0,0,147,5,3.4,0,0,0,0,86,58.5,16,10.9,11,7.5,13,8.8,10,6.8,15,10.2,15,10.2,17,11.6,13,8.8,0,0,0,0,0,0,0,0,0,0,7,4.8,15,10.2,22,15,84,57.1,1,0.7,6,4.1,0,0,61,41.5,7,4.8,0,0,62,42.2,0,.,0,.
'013903,2006,30,76.9,9,23.1,39,100,0,3,0.7,0,0,0,17,43.6,0,0,0,0,6.7,6.3,0,5,0,0,0,0,5.6,0,0,0,0,0,0,0,0,20,354,4,1.1,7,2,12,2.7,240,67.8,19,5.4,21,5.9,14,4,21,5.9,30,8.5,34,9.6,31,8.8,28,7.9,36,10.2,42,11.9,26,7.3,31,8.8,0,0,19,5.4,21,5.9,0,0,186,52.5,0,0,7,2,1,0.3,200,56.5,60,16.9,113,31.9,160,45.2,6,15.4,22,56.4
'013905,2006,55,100,0,0,55,100,0,3,0.3,0,0,0,33,60,0,0,0,0,8.2,4.4,2.5,4.8,4.3,0,0,0,5.7,20,25,0,0,0,0,0,0,16.7,753,29,3.9,24,3.2,10,1.3,499,66.3,47,6.2,61,8.1,50,6.6,49,6.5,51,6.8,55,7.3,49,6.5,69,9.2,78,10.4,66,8.8,66,8.8,40,5.3,0,0,38,5,50,6.6,22,2.9,451,59.9,4,0.5,33,4.4,0,0,391,51.9,89,11.8,14,1.9,274,36.4,9,16.4,22,40
'014801,2006,0,0,61,100,61,100,0,1,0.2,0,22,36.1,11,18,1,1.6,3,4.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,172,0,0,75,43.6,0,0,74,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,33.7,53,30.8,50,29.1,11,6.4,0,0,0,0,0,0,0,0,40,23.3,1,0.6,0,0,5,2.9,101,58.7,16,9.3,55,32,51,29.7,2,3.3,24,39.3
'014802,2006,0,0,29,100,29,100,5.5,0,0,12,15,51.7,3,10.3,0,0,1,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,0,0,44,52.4,0,0,54,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29.8,23,27.4,23,27.4,13,15.5,0,0,0,0,0,0,0,0,10,11.9,2,2.4,0,0,1,1.2,83,98.8,12,14.3,18,21.4,27,32.1,1,3.4,10,34.5
'014803,2006,3,27.3,8,72.7,11,100,0,1,0.5,0,0,0,4,36.4,0,0,0,0,0,25,0,0,0,0,0,0,0,50,0,0,.,0,0,25,40,100,106,0,0,56,52.8,0,0,91,85.8,9,8.5,7,6.6,4,3.8,6,5.7,2,1.9,7,6.6,3,2.8,14,13.2,12,11.3,8,7.5,7,6.6,2,1.9,0,0,0,0,12,11.3,13,12.3,21,19.8,0,0,0,0,0,0,54,50.9,26,24.5,0,0,29,27.4,4,36.4,7,63.6
'014804,2006,0,0,3,100,3,100,0,1,0.2,0,0,0,1,33.3,0,0,0,0,.,.,.,0,50,.,33.3,40,.,.,33.3,0,0,33.3,0,20,0,.,54,0,0,13,24.1,0,0,54,100,1,1.9,2,3.7,1,1.9,2,3.7,1,1.9,1,1.9,8,14.8,10,18.5,11,20.4,9,16.7,6,11.1,2,3.7,0,0,0,0,0,0,0,0,13,24.1,0,0,0,0,0,0,54,100,34,63,0,0,28,51.9,2,66.7,2,66.7
'014901,2006,38,50.7,37,49.3,75,100,0.6,0,0,3,1,1.3,10,13.3,0,0,0,0,14.3,5.5,0,0,0,0,1.6,0,1.8,13.3,0,0,0,0,0,0,9.1,8.3,935,6,0.6,13,1.4,7,0.7,258,27.6,74,7.9,60,6.4,74,7.9,73,7.8,58,6.2,63,6.7,73,7.8,77,8.2,97,10.4,73,7.8,74,7.9,79,8.4,2,0.2,74,7.9,58,6.2,0,0,139,14.9,4,0.4,6,0.6,3,0.3,347,37.1,125,13.4,261,27.9,776,83,19,25.3,64,85.3
'014902,2006,19,61.3,12,38.7,31,100,1.7,5,1,4,7,22.6,14,45.2,0,0,0,0,0,0,3.8,2.9,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,442,40,9,57,12.9,9,1.8,332,75.1,29,6.6,32,7.2,30,6.8,27,6.1,36,8.1,27,6.1,22,5,30,6.8,46,10.4,33,7.5,35,7.9,27,6.1,1,0.2,27,6.1,32,7.2,35,7.9,238,53.8,2,0.5,41,9.3,1,0.2,214,48.4,57,12.9,136,30.8,144,32.6,8,25.8,10,32.3
