DISTRICT,YEAR,DA0GH11N,DA0GH11P,DA0GM11N,DA0GM11P,DA0GR11N,DA0GR11P,DAPID12N,DAPID12R,DAUND11C,DAUND11R,DB0GR11N,DB0GR11P,DH0GR11N,DH0GR11P,DI0GR11N,DI0GR11P,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR11N,DS0GR11P,DW0GR11N,DW0GR11P,D20GR11N,D20GR11P,D30GR11N,D30GR11P,D40GR11N,D40GR11P
'218901,2012,53,86.9,8,13.1,61,100,0,0,0,0,0,0,35,57.4,0,0,80,9.7,12.2,5.6,3.2,1.6,0,0,0,9.2,5.6,11.1,0,0,0,0,0,0,0,40,908,2,0.2,84,9.3,1,0.1,9,0.9,372,41,63,6.9,57,6.3,57,6.3,70,7.7,68,7.5,58,6.4,81,8.9,68,7.5,65,7.2,74,8.1,59,6.5,59,6.5,1,0.1,28,3.1,57,6.3,71,7.8,637,70.2,8,0.9,84,9.3,536,59,0,0,387,42.6,84,9.3,9,1,219,24.1,251,27.6,6,9.8,26,42.6,0,0,0,0,0,0
'219901,2012,16,80,4,20,20,100,0,0,0,0,1,5,3,15,1,5,16,6.8,4.2,0,0,0,0,0,5.6,5.9,0,0,0,.,0,0,0,0,0,0,237,0,0,9,3.8,1,0.4,0,0,107,45.1,22,9.3,24,10.1,20,8.4,12,5.1,18,7.6,25,10.5,20,8.4,19,8,20,8.4,18,7.6,12,5.1,13,5.5,0,0,7,3,14,5.9,0,0,47,19.8,0,0,9,3.8,130,54.9,0,0,49,20.7,21,8.9,1,0.4,79,33.3,188,79.3,1,5,14,70,0,0,0,0,1,5
'219903,2012,50,76.9,15,23.1,65,100,0,0,0,0,4,6.2,37,56.9,0,0,112,11.6,2.7,1.3,2.6,0,0,0,0,0,4.1,0,0,7.7,0,0,0,0,0,20,1071,2,0.2,49,4.6,103,9.6,35,3,833,77.8,99,9.2,86,8,85,7.9,88,8.2,89,8.3,84,7.8,74,6.9,75,7,59,5.5,65,6.1,72,6.7,55,5.1,0,0,57,5.3,86,8,54,5,591,55.2,4,0.4,49,4.6,238,22.2,0,0,412,38.5,111,10.4,15,1.4,237,22.1,356,33.2,4,6.2,24,36.9,0,0,0,0,0,0
'219905,2012,16,88.9,2,11.1,18,100,0,0,0,0,1,5.6,13,72.2,0,0,38,17.4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,10,4.2,7,2.9,0,0,169,70.7,24,10,15,6.3,19,7.9,17,7.1,16,6.7,12,5,11,4.6,17,7.1,18,7.5,22,9.2,16,6.7,16,6.7,0,0,4,1.7,15,6.3,21,8.8,149,62.3,0,0,10,4.2,70,29.3,2,0.8,83,34.7,32,13.4,1,0.4,70,29.3,80,33.5,3,16.7,4,22.2,0,0,0,0,0,0
'220801,2012,20,90.9,2,9.1,22,100,1,0.3,0,0,4,18.2,2,9.1,0,0,49,15.9,5.3,3.2,0,0,3.7,0,0,0,6.7,0,0,0,0,0,0,0,0,.,325,26,8,0,0,56,17.2,0,0,86,26.5,32,9.8,42,12.9,33,10.2,25,7.7,25,7.7,27,8.3,25,7.7,15,4.6,18,5.5,22,6.8,10,3.1,10,3.1,0,0,0,0,41,12.6,0,0,32,9.8,2,0.6,0,0,239,73.5,1,0.3,54,16.6,20,6.2,28,8.6,0,0,180,55.4,2,9.1,14,63.6,1,4.5,1,4.5,0,0
'220802,2012,0,.,0,.,0,.,4,0.4,0,.,0,.,0,.,0,.,44,9.5,0,0,0,0,0,0,.,.,3.5,0,0,0,20,0,0,.,.,0,997,72,7.2,25,2.5,219,22,0,0,171,17.2,176,17.7,175,17.6,163,16.3,87,8.7,80,8,93,9.3,64,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,15.9,0,0,182,18.3,3,0.3,39,3.9,826,82.8,0,0,51,5.1,24,2.4,43,4.3,0,0,478,47.9,0,.,0,.,0,.,0,.,0,.
'220804,2012,122,77.2,36,22.8,158,100,0,0,1,0.1,53,33.5,74,46.8,1,0.6,925,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,654,5,0.8,42,6.4,199,30.4,0,0,585,89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,27.2,167,25.5,157,24,152,23.2,0,0,0,0,0,0,0,0,390,59.6,5,0.8,42,6.4,69,10.6,0,0,636,97.2,69,10.6,5,0.8,249,38.1,50,7.6,13,8.2,29,18.4,0,0,1,0.6,0,0
'220809,2012,50,100,0,0,50,100,2,0.3,6,1.7,7,14,2,4,0,0,22,4.5,.,.,0,0,0,0,1.8,0,.,.,.,0,0,0,0,0,0,.,505,7,1.4,4,0.8,60,11.9,2,0.4,59,11.7,0,0,0,0,32,6.3,32,6.3,40,7.9,60,11.9,60,11.9,60,11.9,59,11.7,59,11.7,49,9.7,54,10.7,0,0,70,13.9,0,0,0,0,78,15.4,5,1,4,0.8,446,88.3,4,0.8,17,3.4,19,3.8,8,1.6,0,0,343,67.9,0,0,39,78,0,0,1,2,1,2
'220810,2012,32,100,0,0,32,100,11,1.6,0,0,0,0,2,6.3,0,0,24,4.8,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,100,617,64,10.4,1,0.2,28,4.5,0,0,0,0,41,6.6,40,6.5,44,7.1,42,6.8,43,7,60,9.7,59,9.6,60,9.7,61,9.9,57,9.2,44,7.1,29,4.7,0,0,0,0,37,6,0,0,71,11.5,4,0.6,1,0.2,617,100,0,0,52,8.4,27,4.4,21,3.4,16,2.6,429,69.5,1,3.1,24,75,1,3.1,5,15.6,0,0
'220811,2012,0,.,0,.,0,.,0,0,0,.,0,.,0,.,0,.,14,6.8,1.8,2.2,3,0,0,.,.,.,4.3,0,0,0,0,0,.,.,.,50,357,1,0.3,109,30.5,171,47.9,0,0,312,87.4,45,12.6,47,13.2,44,12.3,26,7.3,27,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.4,70,19.6,98,27.5,156,43.7,2,0.6,111,31.1,45,12.6,1,0.3,158,44.3,10,2.8,1,0.3,0,0,25,7,0,.,0,.,0,.,0,.,0,.
'220812,2012,21,75,7,25,28,100,1,0.2,0,0,9,32.1,4,14.3,0,0,282,81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,179,0,0,0,0,74,41.3,0,0,145,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26.8,47,26.3,48,26.8,36,20.1,0,0,0,0,0,0,0,0,64,35.8,0,0,0,0,34,19,0,0,156,87.2,14,7.8,7,3.9,51,28.5,34,19,3,10.7,13,46.4,2,7.1,0,0,0,0
'220813,2012,20,100,0,0,20,100,6,0.2,4,0.6,0,0,7,35,0,0,287,13.7,1.1,1,1.7,1.7,1,1.7,2.7,1.8,2.5,0,0,0,0,0,0,0,0,0,2396,387,16.2,176,7.3,548,22.9,0,0,1111,46.4,203,8.5,225,9.4,225,9.4,229,9.6,227,9.5,250,10.4,294,12.3,252,10.5,161,6.7,107,4.5,51,2.1,27,1.1,0,0,165,6.9,145,6.1,0,0,792,33.1,9,0.4,205,8.6,1285,53.6,6,0.3,380,15.9,72,3,40,1.7,0,0,614,25.6,0,0,10,50,0,0,3,15,0,0
'220814,2012,0,.,0,.,0,.,0,0,0,.,0,.,0,.,0,.,11,8.7,4.2,0,0,0,0,0,.,.,0,33.3,0,.,0,0,.,.,.,33.3,159,2,1.3,0,0,22,13.8,0,0,13,8.2,32,20.1,32,20.1,18,11.3,15,9.4,16,10.1,16,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11.9,30,18.9,0,0,25,15.7,0,0,0,0,146,91.8,0,0,19,11.9,25,15.7,4,2.5,0,0,106,66.7,0,.,0,.,0,.,0,.,0,.
'220815,2012,0,.,0,.,0,.,2,0.5,0,.,0,.,0,.,0,.,32,13.7,10.5,3.7,6.1,.,.,.,.,.,0,50,0,0,.,.,.,.,.,0,407,7,1.7,15,3.7,219,53.8,0,0,247,60.7,99,24.3,83,20.4,60,14.7,53,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8.6,80,19.7,32,7.9,78,19.2,4,1,15,3.7,160,39.3,0,0,156,38.3,25,6.1,12,2.9,0,0,87,21.4,0,.,0,.,0,.,0,.,0,.
'220816,2012,22,100,0,0,22,100,0,0,0,0,4,18.2,17,77.3,0,0,34,5.6,0,0,2.3,0,1.5,0,0,0,0,0,0,0,.,0,0,0,0,0,764,46,6,184,24.1,163,21.3,0,0,539,70.5,67,8.8,69,9,71,9.3,69,9,69,9,99,13,60,7.9,53,6.9,53,6.9,34,4.5,27,3.5,32,4.2,0,0,0,0,61,8,0,0,452,59.2,2,0.3,191,25,225,29.5,1,0.1,272,35.6,30,3.9,24,3.1,0,0,76,9.9,2,9.1,1,4.5,0,0,0,0,0,0
'220817,2012,0,.,0,.,0,.,6,1.8,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,330,15,4.5,0,0,99,30,0,.,28,8.5,20,6.1,34,10.3,38,11.5,38,11.5,35,10.6,27,8.2,16,4.8,35,10.6,18,5.5,0,0,0,0,0,0,0,0,0,0,34,10.3,35,10.6,66,20,1,0.3,5,1.5,302,91.5,0,0,5,1.5,16,4.8,11,3.3,18,5.5,138,41.8,0,.,0,.,0,.,0,.,0,.
'220901,2012,2674,74.1,937,25.9,3611,100,70,0.1,62,0.2,877,24.3,1052,29.1,20,0.6,14628,22.8,4.2,2.3,1.4,0.9,2.3,0.2,0.8,1.9,2.2,11.5,2,0.5,1.6,0.7,0,1.2,2.4,14.5,64592,4389,6.8,15434,23.9,15038,23.3,3120,4.4,42260,65.4,4949,7.7,4939,7.6,4832,7.5,4727,7.3,4736,7.3,4635,7.2,4614,7.1,4577,7.1,5334,8.3,4379,6.8,3976,6.2,3711,5.7,200,0.3,4008,6.2,4856,7.5,4127,6.4,27566,42.7,284,0.4,15739,24.4,22332,34.6,37,0.1,36348,56.3,5056,7.8,1074,1.7,13145,20.4,16204,25.1,264,7.3,1285,35.6,65,1.8,312,8.6,0,0
'220902,2012,1025,70.9,421,29.1,1446,100,2,0,16,0.1,81,5.6,418,28.9,10,0.7,3265,14.6,3.1,1.7,1,0.6,0.6,0.6,0.3,1.2,3.4,7,2.1,0.9,0.4,0.8,0.5,1.4,1.4,5.5,23629,1166,4.9,3852,16.3,1650,7,432,1.7,13269,56.2,1832,7.8,1752,7.4,1782,7.5,1710,7.2,1737,7.4,1785,7.6,1690,7.2,1723,7.3,1881,8,1767,7.5,1508,6.4,1487,6.3,101,0.4,2441,10.3,1844,7.8,1030,4.4,8832,37.4,164,0.7,3816,16.1,10360,43.8,53,0.2,11033,46.7,2461,10.4,535,2.3,5864,24.8,11229,47.5,134,9.3,825,57.1,16,1.1,88,6.1,8,0.6
'220904,2012,198,91.7,18,8.3,216,100,46,0.8,15,0.7,109,50.5,83,38.4,1,0.5,970,19.4,3.3,2.6,1.9,0,0.6,0,0.6,1.2,1.6,21.4,5.9,2.3,0,0,0,0,4.5,20.8,5325,40,0.8,1296,24.3,2335,43.8,257,4.5,4628,86.9,416,7.8,455,8.5,388,7.3,419,7.9,385,7.2,418,7.8,422,7.9,409,7.7,411,7.7,315,5.9,275,5.2,253,4.8,2,0,183,3.4,398,7.5,359,6.7,2522,47.4,47,0.9,1207,22.7,697,13.1,2,0,3617,67.9,414,7.8,48,0.9,787,14.8,331,6.2,20,9.3,16,7.4,0,0,7,3.2,0,0
'220905,2012,3192,82.6,671,17.4,3863,100,522,0.6,47,0.1,899,23.3,2114,54.7,31,0.8,21205,25.6,7.2,4.6,3.4,2,1.4,0.3,1,0.9,0.7,17.1,6.1,2.9,1.2,1.2,0.5,0.5,0.5,3.1,82853,1470,1.8,22026,26.6,19231,23.2,1974,2.2,64235,77.5,7651,9.2,7081,8.5,6861,8.3,6688,8.1,6432,7.8,5823,7,5805,7,5442,6.6,6182,7.5,4878,5.9,4449,5.4,3694,4.5,202,0.2,6922,8.4,7304,8.8,4361,5.3,49565,59.8,259,0.3,23197,28,18618,22.5,53,0.1,42222,51,4560,5.5,959,1.2,16142,19.5,11316,13.7,354,9.2,718,18.6,39,1,57,1.5,5,0.1
'220906,2012,925,87.4,133,12.6,1058,100,1,0,87,1.2,47,4.4,138,13,11,1,1160,8.8,0.6,0.8,0.5,0.4,0.2,0.1,0.1,0.2,1.8,0,0,0,0,0.9,0,0,2.1,10.9,13448,1076,8,1220,9.1,538,4,128,0.9,2913,21.7,892,6.6,916,6.8,1007,7.5,991,7.4,956,7.1,993,7.4,1056,7.9,1124,8.4,1181,8.8,1059,7.9,1114,8.3,1089,8.1,36,0.3,2314,17.2,849,6.3,185,1.4,2770,20.6,100,0.7,1127,8.4,10535,78.3,23,0.2,3017,22.4,1013,7.5,410,3,3361,25,8531,63.4,46,4.3,750,70.9,32,3,78,7.4,2,0.2
'220907,2012,1553,77.5,451,22.5,2004,100,14,0,10,0.1,183,9.1,323,16.1,15,0.7,3184,10.1,0.8,0.3,0.2,0.1,0.7,0.1,0.2,0.2,1.2,0.5,1.2,1,1.5,1,0.4,0.5,0.5,7.4,33017,2543,7.7,1815,5.5,2540,7.7,120,0.3,7168,21.7,2567,7.8,2489,7.5,2421,7.3,2591,7.8,2720,8.2,2600,7.9,2677,8.1,2586,7.8,2738,8.3,2561,7.8,2237,6.8,2057,6.2,133,0.4,3823,11.6,2275,6.9,365,1.1,6170,18.7,357,1.1,1887,5.7,25849,78.3,54,0.2,9118,27.6,2605,7.9,748,2.3,6765,20.5,20605,62.4,96,4.8,1313,65.5,37,1.8,131,6.5,2,0.1
'220908,2012,1480,75.5,481,24.5,1961,100,3,0,9,0.1,530,27,376,19.2,14,0.7,3897,12.5,3.4,1.6,0.7,0.4,0.4,0,0.5,0.5,1.7,7.6,1,0.8,0.4,0,0.5,0.5,0,12.8,32509,2030,6.2,3342,10.3,8369,25.7,425,1.2,12118,37.3,2383,7.3,2487,7.7,2451,7.5,2428,7.5,2519,7.7,2562,7.9,2530,7.8,2477,7.6,2787,8.6,2416,7.4,2354,7.2,2052,6.3,104,0.3,2247,6.9,2248,6.9,711,2.2,7827,24.1,164,0.5,3411,10.5,20391,62.7,37,0.1,10745,33.1,2514,7.7,1229,3.8,6908,21.2,12853,39.5,109,5.6,865,44.1,48,2.4,120,6.1,8,0.4
