DISTRICT,YEAR,DA0GH11N,DA0GH11P,DA0GM11N,DA0GM11P,DA0GR11N,DA0GR11P,DAPID12N,DAPID12R,DAUND11C,DAUND11R,DB0GR11N,DB0GR11P,DH0GR11N,DH0GR11P,DI0GR11N,DI0GR11P,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR11N,DS0GR11P,DW0GR11N,DW0GR11P,D20GR11N,D20GR11P,D30GR11N,D30GR11P,D40GR11N,D40GR11P
'001902,2012,31,68.9,14,31.1,45,100,0,0,0,0,6,13.3,4,8.9,0,0,76,12.8,3.4,4.3,0,0,0,0,0,0,7.9,20,0,0,0,0,0,0,0,75,590,3,0.5,2,0.3,35,5.9,3,0.5,220,37.3,34,5.8,37,6.3,45,7.6,26,4.4,47,8,49,8.3,55,9.3,48,8.1,67,11.4,42,7.1,52,8.8,38,6.4,2,0.3,57,9.7,40,6.8,8,1.4,30,5.1,0,0,2,0.3,370,62.7,0,0,157,26.6,71,12,22,3.7,175,29.7,500,84.7,7,15.6,32,71.1,3,6.7,0,0,0,0
'001903,2012,52,69.3,23,30.7,75,100,0,0,1,0.2,5,6.7,4,5.3,1,1.3,178,14.3,6.4,2.2,0,0,2.4,3.3,3.5,0,5.3,0,0,0,0,0,0,0,0,0,1271,12,0.9,10,0.8,62,4.9,10,0.7,706,55.5,81,6.4,87,6.8,93,7.3,108,8.5,91,7.2,102,8,100,7.9,96,7.6,81,6.4,97,7.6,90,7.1,68,5.4,0,0,54,4.2,73,5.7,104,8.2,100,7.9,3,0.2,10,0.8,565,44.5,2,0.2,387,30.4,121,9.5,31,2.4,291,22.9,1061,83.5,11,14.7,65,86.7,0,0,0,0,0,0
'001904,2012,48,85.7,8,14.3,56,100,0,0,7,1.8,8,14.3,6,10.7,1,1.8,134,17.6,4.3,2,0,0,1.8,0,0,4.5,1.8,0,0,0,0,0,0,0,0,14.3,733,3,0.4,15,2,82,11.2,1,0.1,425,58,67,9.1,54,7.4,47,6.4,55,7.5,51,7,60,8.2,60,8.2,59,8,42,5.7,55,7.5,49,6.7,54,7.4,2,0.3,40,5.5,57,7.8,21,2.9,76,10.4,2,0.3,15,2,308,42,0,0,223,30.4,80,10.9,28,3.8,240,32.7,542,73.9,8,14.3,38,67.9,1,1.8,2,3.6,0,0
'001906,2012,14,70,6,30,20,100,1,0.2,0,0,0,0,0,0,0,0,47,12.8,10.3,3.8,0,0,3.2,0,0,3,11.5,25,0,0,0,0,0,0,0,25,403,3,0.7,4,1,29,7.2,4,1,163,40.4,32,7.9,32,7.9,33,8.2,37,9.2,34,8.4,35,8.7,25,6.2,34,8.4,38,9.4,35,8.7,16,4,18,4.5,1,0.2,31,7.7,33,8.2,0,0,40,9.9,0,0,4,1,240,59.6,0,0,141,35,49,12.2,7,1.7,139,34.5,324,80.4,6,30,20,100,0,0,0,0,0,0
'001907,2012,165,93.8,11,6.3,176,100,5,0.1,42,2.8,45,25.6,58,33,0,0,646,20.2,10.9,3.7,2.6,5,8.6,0.9,1.6,1,3.3,0,18.2,0,0,0,0,0,7.7,0,3220,41,1.3,353,11,903,28,132,3.5,2470,76.7,272,8.4,270,8.4,248,7.7,248,7.7,256,8,220,6.8,236,7.3,203,6.3,228,7.1,196,6.1,219,6.8,146,4.5,16,0.5,105,3.3,272,8.4,190,5.9,1255,39,9,0.3,381,11.8,750,23.3,3,0.1,1934,60.1,218,6.8,54,1.7,678,21.1,955,29.7,11,6.3,72,40.9,0,0,1,0.6,0,0
'001908,2012,71,75.5,23,24.5,94,100,0,0,0,0,15,16,11,11.7,0,0,321,18.7,13.3,3.8,0.8,0,2.6,0,0,1.7,5.7,0,11.1,0,0,0,0,0,12.5,14.3,1717,12,0.7,61,3.6,306,17.8,31,1.6,1045,60.9,146,8.5,130,7.6,145,8.4,137,8,132,7.7,135,7.9,118,6.9,126,7.3,129,7.5,109,6.3,105,6.1,106,6.2,28,1.6,58,3.4,138,8,33,1.9,327,19,4,0.2,72,4.2,672,39.1,4,0.2,797,46.4,160,9.3,72,4.2,401,23.4,992,57.8,24,25.5,65,69.1,2,2.1,1,1.1,0,0
'001909,2012,13,65,7,35,20,100,5,1.1,2,1.1,0,0,2,10,0,0,56,14.7,6.7,4.5,3.1,0,0,0,0,3.7,3.4,0,0,0,0,0,0,0,0,0,431,0,0,3,0.7,6,1.4,1,0.2,211,49,34,7.9,32,7.4,25,5.8,36,8.4,29,6.7,33,7.7,31,7.2,35,8.1,28,6.5,29,6.7,28,6.5,28,6.5,1,0.2,24,5.6,31,7.2,31,7.2,20,4.6,3,0.7,3,0.7,220,51,0,0,104,24.1,50,11.6,17,3.9,162,37.6,385,89.3,3,15,18,90,0,0,0,0,0,0
'002901,2012,141,72.3,54,27.7,195,100,0,0,5,0.3,5,2.6,106,54.4,0,0,476,15.5,2.6,2.4,0,0,1,0,0.4,0,1.2,11.8,3.4,0,0,0,0,0,0,20,3408,13,0.4,451,13.2,54,1.6,75,2.1,1556,45.7,295,8.7,269,7.9,281,8.2,250,7.3,265,7.8,222,6.5,218,6.4,256,7.5,274,8,234,6.9,209,6.1,190,5.6,7,0.2,117,3.4,282,8.3,156,4.6,2209,64.8,6,0.2,357,10.5,1852,54.3,0,0,1199,35.2,248,7.3,53,1.6,513,15.1,1073,31.5,30,15.4,82,42.1,1,0.5,1,0.5,0,0
'003801,2012,0,.,0,.,0,.,0,0,0,0,0,.,0,.,0,.,55,12.9,4.5,0,0,0,0,0,0,0,5.7,0,0,14.3,0,0,0,0,0,0,554,11,2,0,0,98,17.7,0,0,350,63.2,48,8.7,54,9.7,53,9.6,58,10.5,52,9.4,40,7.2,39,7,39,7,37,6.7,25,4.5,20,3.6,0,0,0,0,33,6,48,8.7,41,7.4,79,14.3,1,0.2,0,0,204,36.8,2,0.4,100,18.1,48,8.7,7,1.3,61,11,356,64.3,0,.,0,.,0,.,0,.,0,.
'003902,2012,157,84.9,28,15.1,185,100,0,0,1,0.1,6,3.2,28,15.1,3,1.6,347,13.6,7.6,5.5,2.8,2.1,1.1,1,1.8,0,4.3,10,13.3,0,0,4.5,5.9,4.2,0,23.1,2714,24,0.9,175,6.4,149,5.5,65,2.3,1590,58.6,212,7.8,205,7.6,197,7.3,204,7.5,216,8,223,8.2,215,7.9,193,7.1,207,7.6,204,7.5,178,6.6,145,5.3,4,0.1,155,5.7,210,7.7,101,3.7,622,22.9,10,0.4,182,6.7,1124,41.4,3,0.1,884,32.6,215,7.9,49,1.8,592,21.8,1857,68.4,8,4.3,131,70.8,12,6.5,4,2.2,1,0.5
'003903,2012,411,78,116,22,527,100,11,0.1,4,0.1,165,31.3,156,29.6,0,0,1260,15.9,11.8,7.3,2.2,1.5,0.4,0.4,0.4,1,6.3,18,3.4,1.4,0,1.3,0,0,0,17.6,8506,112,1.3,1817,21.4,2358,27.7,348,3.8,6275,73.8,674,7.9,632,7.4,564,6.6,585,6.9,597,7,593,7,597,7,581,6.8,588,6.9,630,7.4,561,6.6,466,5.5,20,0.2,949,11.2,729,8.6,689,8.1,3336,39.2,19,0.2,1381,16.2,2231,26.2,5,0.1,4580,53.8,964,11.3,168,2,1578,18.6,2508,29.5,89,16.9,196,37.2,4,0.8,5,0.9,1,0.2
'003904,2012,62,52.5,56,47.5,118,100,0,0,5,0.6,2,1.7,3,2.5,0,0,311,17.7,2.6,0.9,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1751,2,0.1,19,1.1,44,2.5,25,1.3,896,51.2,98,5.6,139,7.9,113,6.5,126,7.2,129,7.4,136,7.8,144,8.2,146,8.3,168,9.6,136,7.8,106,6.1,135,7.7,7,0.4,114,6.5,128,7.3,40,2.3,97,5.5,11,0.6,20,1.1,855,48.8,1,0.1,573,32.7,184,10.5,28,1.6,553,31.6,1568,89.5,18,15.3,111,94.1,2,1.7,0,0,0,0
'003905,2012,97,78.9,26,21.1,123,100,0,0,0,0,22,17.9,55,44.7,0,0,256,14.4,2.7,4.9,2.1,3.2,0,0,0,0,4.4,10,0,0,0,4.8,0,6.7,0,18.2,1965,1,0.1,309,15.7,230,11.7,30,1.4,1475,75.1,140,7.1,152,7.7,134,6.8,153,7.8,132,6.7,130,6.6,146,7.4,139,7.1,138,7,126,6.4,121,6.2,113,5.8,1,0.1,87,4.4,136,6.9,204,10.4,1062,54,3,0.2,325,16.5,490,24.9,1,0.1,979,49.8,176,9,33,1.7,447,22.7,635,32.3,10,8.1,46,37.4,0,0,0,0,0,0
'003906,2012,19,86.4,3,13.6,22,100,0,0,0,0,0,0,0,0,0,0,80,17.3,2.7,0,0,3.3,0,14.7,0,2.9,0,0,0,0,0,0,0,0,20,0,445,1,0.2,0,0,1,0.2,2,0.4,270,60.7,29,6.5,36,8.1,38,8.5,30,6.7,34,7.6,42,9.4,30,6.7,35,7.9,38,8.5,24,5.4,31,7,30,6.7,0,0,21,4.7,33,7.4,15,3.4,16,3.6,0,0,0,0,175,39.3,0,0,149,33.5,45,10.1,13,2.9,106,23.8,414,93,7,31.8,22,100,0,0,0,0,0,0
'003907,2012,71,65.1,38,34.9,109,100,2,0.1,1,0.1,4,3.7,12,11,0,0,229,14.9,1.9,3.3,2.1,0,0,0,0,4,4.7,16.7,0,0,0,0,0,0,0,14.3,1529,4,0.3,49,3.2,67,4.4,21,1.2,842,55.1,90,5.9,121,7.9,124,8.1,104,6.8,101,6.6,122,8,136,8.9,129,8.4,110,7.2,119,7.8,103,6.7,117,7.7,1,0.1,80,5.2,120,7.8,32,2.1,248,16.2,10,0.7,54,3.5,687,44.9,0,0,480,31.4,151,9.9,17,1.1,367,24,1183,77.4,18,16.5,92,84.4,1,0.9,0,0,0,0
'004901,2012,192,91.4,18,8.6,210,100,0,0,4,0.3,7,3.3,72,34.3,2,1,513,16.9,3,3.7,1.6,0,0.5,0,0,1.8,2,5.9,0,11.1,0,5.9,0,0,0,11.1,3129,79,2.5,109,3.5,36,1.2,125,3.6,2043,65.3,237,7.6,262,8.4,196,6.3,211,6.7,243,7.8,244,7.8,244,7.8,233,7.4,262,8.4,217,6.9,235,7.5,207,6.6,5,0.2,111,3.5,234,7.5,99,3.2,1268,40.5,14,0.4,109,3.5,1086,34.7,0,0,1471,47,281,9,65,2.1,861,27.5,1667,53.3,19,9,114,54.3,6,2.9,9,4.3,0,0
'005901,2012,24,72.7,9,27.3,33,100,0,0,0,0,3,9.1,1,3,0,0,66,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,499,2,0.4,2,0.4,4,0.8,6,1.1,178,35.7,33,6.6,45,9,32,6.4,34,6.8,32,6.4,45,9,40,8,41,8.2,37,7.4,38,7.6,37,7.4,38,7.6,1,0.2,40,8,29,5.8,17,3.4,30,6,5,1,2,0.4,321,64.3,0,0,146,29.3,48,9.6,25,5,114,22.8,433,86.8,5,15.2,28,84.8,1,3,0,0,0,0
'005902,2012,48,77.4,14,22.6,62,100,0,0,0,0,0,0,5,8.1,1,1.6,72,8.4,7.9,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,11.1,862,1,0.1,2,0.2,5,0.6,8,0.8,224,26,61,7.1,61,7.1,64,7.4,69,8,66,7.7,66,7.7,77,8.9,60,7,75,8.7,72,8.4,66,7.7,57,6.6,0,0,34,3.9,53,6.1,15,1.7,57,6.6,7,0.8,2,0.2,638,74,0,0,280,32.5,78,9,5,0.6,195,22.6,787,91.3,2,3.2,55,88.7,1,1.6,0,0,0,0
'005904,2012,24,80,6,20,30,100,0,0,0,0,0,0,7,23.3,0,0,32,7.2,3.7,0,0,0,0,0,0,0,7.7,.,50,0,0,0,0,0,0,33.3,471,1,0.2,54,11.5,0,0,0,0,216,45.9,28,5.9,27,5.7,28,5.9,32,6.8,32,6.8,37,7.9,35,7.4,42,8.9,38,8.1,44,9.3,32,6.8,44,9.3,0,0,39,8.3,31,6.6,21,4.5,122,25.9,7,1.5,54,11.5,255,54.1,0,0,173,36.7,35,7.4,3,0.6,196,41.6,338,71.8,4,13.3,23,76.7,0,0,0,0,0,0
'006902,2012,21,95.5,1,4.5,22,100,0,0,0,0,1,4.5,2,9.1,0,0,41,12.1,15.8,4.5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,364,0,0,5,1.4,7,1.9,0,0,156,42.9,29,8,22,6,27,7.4,21,5.8,26,7.1,31,8.5,25,6.9,27,7.4,28,7.7,28,7.7,22,6,32,8.8,1,0.3,20,5.5,32,8.8,13,3.6,38,10.4,2,0.5,5,1.4,208,57.1,0,0,135,37.1,44,12.1,4,1.1,110,30.2,313,86,1,4.5,19,86.4,0,0,0,0,0,0
'007901,2012,30,76.9,9,23.1,39,100,0,0,6,2.4,0,0,29,74.4,0,0,111,20.6,17.5,2.9,0,0,8.6,0,19,7.7,6.7,0,0,0,0,0,0,0,0,0,522,1,0.2,43,8.2,3,0.6,21,3.6,386,73.9,38,7.3,35,6.7,35,6.7,37,7.1,49,9.4,35,6.7,49,9.4,41,7.9,44,8.4,33,6.3,34,6.5,34,6.5,0,0,15,2.9,33,6.3,25,4.8,455,87.2,0,0,43,8.2,136,26.1,0,0,261,50,34,6.5,1,0.2,109,20.9,62,11.9,7,17.9,10,25.6,0,0,0,0,0,0
'007902,2012,53,74.6,18,25.4,71,100,0,0,0,0,0,0,37,52.1,0,0,399,26.4,0,0,0.9,1.2,1,6.6,0,0,0,0,0,5.6,0,0,0,0,0,0,1425,4,0.3,30,2.1,11,0.8,36,2.3,816,57.3,105,7.4,104,7.3,104,7.3,128,9,98,6.9,116,8.1,130,9.1,113,7.9,132,9.3,105,7.4,77,5.4,89,6.2,2,0.1,92,6.5,99,6.9,23,1.6,851,59.7,3,0.2,32,2.2,609,42.7,1,0.1,587,41.2,106,7.4,14,1,416,29.2,541,38,12,16.9,33,46.5,0,0,1,1.4,0,0
'007904,2012,118,86.8,18,13.2,136,100,0,0,2,0.2,1,0.7,100,73.5,0,0,246,14.7,2.5,1.7,0,1.6,3.8,0,0,0,1.8,0,0,0,0,0,0,0,0,20,1713,0,0,103,6,18,1.1,27,1.4,1223,71.4,124,7.2,129,7.5,130,7.6,108,6.3,133,7.8,116,6.8,100,5.8,136,7.9,150,8.8,131,7.6,122,7.1,122,7.1,0,0,95,5.5,122,7.1,90,5.3,1350,78.8,7,0.4,105,6.1,490,28.6,2,0.1,774,45.2,109,6.4,7,0.4,519,30.3,329,19.2,11,8.1,35,25.7,0,0,0,0,0,0
'007905,2012,192,88.1,26,11.9,218,100,0,0,2,0.1,2,0.9,142,65.1,2,0.9,616,17.9,0.4,0.5,0.4,0.4,0.8,0,2.1,2.3,0.9,0,11.1,0,0,0,0,0,9.1,14.3,3432,11,0.3,73,2.1,10,0.3,75,2,2174,63.3,235,6.8,276,8,222,6.5,267,7.8,265,7.7,275,8,256,7.5,255,7.4,270,7.9,258,7.5,207,6,204,5.9,11,0.3,167,4.9,266,7.8,165,4.8,2398,69.9,8,0.2,75,2.2,1258,36.7,0,0,1219,35.5,282,8.2,25,0.7,787,22.9,980,28.6,24,11,70,32.1,0,0,2,0.9,0,0
'007906,2012,85,82.5,18,17.5,103,100,0,0,2,0.2,2,1.9,84,81.6,0,0,224,13.4,7.3,4.2,1.5,0.9,0.9,0,0,0,3.8,11.1,0,0,0,0,0,0,0,.,1765,2,0.1,75,4.2,1,0.1,86,4.5,1286,72.9,138,7.8,118,6.7,121,6.9,138,7.8,133,7.5,129,7.3,119,6.7,131,7.4,146,8.3,128,7.3,117,6.6,111,6.3,1,0.1,102,5.8,136,7.7,99,5.6,1494,84.6,1,0.1,82,4.6,479,27.1,0,0,901,51,130,7.4,7,0.4,485,27.5,260,14.7,10,9.7,17,16.5,0,0,0,0,0,0
'008901,2012,107,68.6,49,31.4,156,100,0,0,0,0,22,14.1,34,21.8,2,1.3,195,9.5,3.6,1.3,1.6,0,0,0.7,0,0,3.7,7.7,0,5.9,0,0,0,0,0,18.2,2136,4,0.2,156,7.3,223,10.4,31,1.4,1015,47.5,151,7.1,151,7.1,176,8.2,148,6.9,180,8.4,141,6.6,173,8.1,159,7.4,172,8.1,149,7,177,8.3,164,7.7,7,0.3,220,10.3,148,6.9,40,1.9,555,26,6,0.3,158,7.4,1121,52.5,0,0,682,31.9,207,9.7,56,2.6,617,28.9,1292,60.5,18,11.5,95,60.9,3,1.9,0,0,0,0
'008902,2012,137,75.7,44,24.3,181,100,1,0,4,0.3,18,9.9,68,37.6,0,0,300,11.7,1.1,0.5,0,2.9,1.8,0,0.5,0.7,1.2,0,0,12.5,0,5.9,6.3,5.9,10,22.2,2669,11,0.4,292,10.9,279,10.5,37,1.3,1520,57,172,6.4,203,7.6,203,7.6,203,7.6,193,7.2,230,8.6,197,7.4,211,7.9,188,7,204,7.6,208,7.8,174,6.5,6,0.2,142,5.3,180,6.7,97,3.6,1214,45.5,4,0.1,298,11.2,1149,43,2,0.1,1217,45.6,222,8.3,39,1.5,578,21.7,1120,42,27,14.9,89,49.2,2,1.1,4,2.2,0,0
'008903,2012,42,85.7,7,14.3,49,100,0,0,0,0,7,14.3,20,40.8,0,0,115,14.4,0,2,1.8,0,3.1,0,1.6,1.8,7.1,33.3,.,0,0,0,0,0,0,100,856,6,0.7,87,10.2,84,9.8,12,1.3,476,55.6,75,8.8,65,7.6,50,5.8,58,6.8,56,6.5,66,7.7,69,8.1,71,8.3,68,7.9,60,7,58,6.8,61,7.1,0,0,14,1.6,67,7.8,32,3.7,415,48.5,0,0,90,10.5,380,44.4,0,0,295,34.5,46,5.4,12,1.4,239,27.9,339,39.6,5,10.2,22,44.9,0,0,0,0,0,0
'009901,2012,60,71.4,24,28.6,84,100,0,0,0,0,0,0,68,81,1,1.2,214,15.5,2.8,3.2,2.2,0.9,2.1,0,0,0,2.6,5,0,0,10,0,0,0,7.1,7.7,1520,5,0.3,221,14.5,4,0.3,66,4.1,1243,81.8,131,8.6,131,8.6,113,7.4,107,7,131,8.6,111,7.3,96,6.3,112,7.4,105,6.9,85,5.6,85,5.6,74,4.9,18,1.2,56,3.7,123,8.1,98,6.4,1222,80.4,0,0,231,15.2,277,18.2,0,0,672,44.2,180,11.8,3,0.2,329,21.6,286,18.8,11,13.1,15,17.9,0,0,0,0,0,0
'010901,2012,18,75,6,25,24,100,0,0,0,0,0,0,6,25,0,0,65,20.8,10.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,.,288,0,0,13,4.5,3,1,3,0.9,133,46.2,16,5.6,22,7.6,9,3.1,19,6.6,22,7.6,18,6.3,19,6.6,31,10.8,17,5.9,25,8.7,27,9.4,36,12.5,1,0.3,24,8.3,16,5.6,10,3.5,56,19.4,2,0.7,13,4.5,155,53.8,0,0,104,36.1,48,16.7,4,1.4,96,33.3,223,77.4,3,12.5,18,75,0,0,0,0,0,0
'010902,2012,146,76,46,24,192,100,0,0,1,0.1,0,0,41,21.4,1,0.5,346,14.5,4.3,0.7,3.7,1.3,1.4,1.3,0,1.3,0,0,3.6,4.3,0,0,4.2,0,3.6,0,2435,11,0.5,103,4.2,11,0.5,52,1.9,1272,52.2,178,7.3,164,6.7,179,7.4,156,6.4,185,7.6,173,7.1,171,7,213,8.7,196,8,190,7.8,196,8,169,6.9,2,0.1,180,7.4,127,5.2,136,5.6,739,30.3,16,0.7,103,4.2,1163,47.8,1,0,934,38.4,263,10.8,40,1.6,657,27,1617,66.4,29,15.1,148,77.1,1,0.5,1,0.5,0,0
'011901,2012,394,75,131,25,525,100,1,0,1,0,50,9.5,202,38.5,3,0.6,1703,18.8,8.2,3.9,3.4,0.9,2.4,0.7,0.6,0.9,2.4,14.8,8.8,1,0,1,0,5.3,1.2,7,9082,45,0.5,1509,16.6,563,6.2,253,2.5,6304,69.4,702,7.7,702,7.7,686,7.6,677,7.5,685,7.5,724,8,683,7.5,723,8,713,7.9,663,7.3,609,6.7,481,5.3,19,0.2,756,8.3,689,7.6,326,3.6,4779,52.6,51,0.6,1668,18.4,2778,30.6,7,0.1,5226,57.5,1012,11.1,231,2.5,1259,13.9,3406,37.5,44,8.4,252,48,11,2.1,5,1,2,0.4
'011902,2012,148,69.8,64,30.2,212,100,1,0,8,0.4,31,14.6,88,41.5,0,0,587,15.4,5.4,5.6,0.4,0.4,1.1,0,0,2.5,3,7.4,7.4,0,0,0,3.6,0,0,0,4062,18,0.4,722,17.8,509,12.5,134,3.1,2862,70.5,303,7.5,286,7,290,7.1,301,7.4,289,7.1,313,7.7,279,6.9,303,7.5,359,8.8,301,7.4,257,6.3,284,7,11,0.3,311,7.7,301,7.4,185,4.6,2166,53.3,15,0.4,745,18.3,1200,29.5,3,0.1,1963,48.3,375,9.2,96,2.4,1218,30,1255,30.9,24,11.3,90,42.5,3,1.4,0,0,0,0
'011904,2012,1,16.7,5,83.3,6,100,0,0,110,12.8,1,16.7,1,16.7,1,16.7,219,13.3,2,0,2,0,1.7,0.9,0,1.8,0,0,0,0,0,0,0,0,0,0,1722,11,0.6,58,3.4,147,8.5,32,1.7,1029,59.8,131,7.6,111,6.4,120,7,120,7,143,8.3,133,7.7,118,6.9,135,7.8,140,8.1,130,7.5,148,8.6,103,6,2,0.1,128,7.4,119,6.9,69,4,421,24.4,9,0.5,60,3.5,693,40.2,2,0.1,557,32.3,183,10.6,48,2.8,455,26.4,1084,63,1,16.7,3,50,0,0,0,0,0,0
'011905,2012,0,.,0,.,0,.,0,0,0,0,0,.,0,.,0,.,45,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,192,1,0.5,46,24,1,0.5,0,0,128,66.7,14,7.3,30,15.6,21,10.9,16,8.3,17,8.9,16,8.3,16,8.3,14,7.3,0,0,0,0,0,0,0,0,0,0,5,2.6,31,16.1,17,8.9,91,47.4,0,0,50,26,64,33.3,0,0,98,51,21,10.9,0,0,0,0,99,51.6,0,.,0,.,0,.,0,.,0,.
'012901,2012,22,61.1,14,38.9,36,100,0,0,0,0,0,0,7,19.4,0,0,91,16.6,2.5,0,0,0,0,0,3.1,2.6,6,33.3,12.5,0,0,0,0,0,0,0,567,3,0.5,3,0.5,18,3.2,1,0.2,312,55,52,9.2,40,7.1,43,7.6,39,6.9,42,7.4,41,7.2,52,9.2,37,6.5,42,7.4,36,6.3,41,7.2,35,6.2,1,0.2,19,3.4,47,8.3,19,3.4,116,20.5,8,1.4,3,0.5,255,45,0,0,157,27.7,55,9.7,8,1.4,153,27,414,73,0,0,29,80.6,0,0,0,0,0,0
'013801,2012,0,.,0,.,0,.,0,0,0,.,0,.,0,.,0,.,26,8.3,12.9,0,2.4,0,0,0,.,.,16.7,50,0,0,0,0,0,.,.,33.3,396,13,3.3,4,1,4,1,0,0,302,76.3,66,16.7,66,16.7,45,11.4,52,13.1,52,13.1,47,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.8,68,17.2,0,0,313,79,0,0,4,1,94,23.7,0,0,182,46,41,10.4,0,0,0,0,66,16.7,0,.,0,.,0,.,0,.,0,.
'013901,2012,129,51.4,122,48.6,251,100,0,0,22,1.3,6,2.4,187,74.5,2,0.8,576,16.8,9.3,4.9,3.8,2.1,0.5,0,0.8,0.9,2.6,11.5,4,3.1,0,3.6,0,0,0,4.8,3459,7,0.2,82,2.4,70,2,90,2.3,2527,73.1,263,7.6,230,6.6,252,7.3,258,7.5,260,7.5,245,7.1,288,8.3,274,7.9,280,8.1,264,7.6,245,7.1,212,6.1,5,0.1,268,7.7,259,7.5,124,3.6,2847,82.3,3,0.1,100,2.9,932,26.9,0,0,1871,54.1,325,9.4,15,0.4,824,23.8,517,14.9,27,10.8,53,21.1,1,0.4,2,0.8,0,0
'013902,2012,0,.,0,.,0,.,0,0,0,0,0,.,0,.,0,.,14,10.1,17.6,4.8,0,0,6.3,8.3,9.1,0,0,0,0,0,33.3,0,.,0,.,0,154,0,0,0,0,0,0,0,0,101,65.6,13,8.4,13,8.4,20,13,15,9.7,14,9.1,17,11,13,8.4,12,7.8,0,0,0,0,0,0,0,0,1,0.6,3,1.9,17,11,19,12.3,116,75.3,0,0,1,0.6,53,34.4,0,0,47,30.5,12,7.8,0,0,0,0,38,24.7,0,.,0,.,0,.,0,.,0,.
'013903,2012,15,51.7,14,48.3,29,100,0,0,0,0,0,0,21,72.4,0,0,99,23.3,9.1,0,4.2,0,4.3,0,4.8,3.7,0,0,0,0,0,20,0,0,0,0,425,0,0,2,0.5,4,0.9,3,0.6,286,67.3,28,6.6,29,6.8,23,5.4,33,7.8,29,6.8,29,6.8,34,8,26,6.1,39,9.2,34,8,28,6.6,40,9.4,0,0,32,7.5,32,7.5,21,4.9,252,59.3,0,0,2,0.5,139,32.7,1,0.2,196,46.1,54,12.7,5,1.2,139,32.7,163,38.4,1,3.4,7,24.1,1,3.4,0,0,0,0
'013905,2012,39,92.9,3,7.1,42,100,0,0,1,0.2,0,0,19,45.2,0,0,114,14.2,7,2.1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,807,1,0.1,16,2,6,0.7,9,1,494,61.2,57,7.1,49,6.1,55,6.8,52,6.4,65,8.1,66,8.2,69,8.6,61,7.6,72,8.9,62,7.7,73,9,56,6.9,0,0,46,5.7,51,6.3,19,2.4,526,65.2,4,0.5,16,2,313,38.8,0,0,310,38.4,78,9.7,4,0.5,257,31.8,266,33,2,4.8,22,52.4,1,2.4,0,0,0,0
'014801,2012,33,50,33,50,66,100,0,0,0,0,36,54.5,11,16.7,1,1.5,222,73.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,160,0,0,0,0,77,48.1,0,0,102,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15.6,34,21.3,70,43.8,31,19.4,0,0,0,0,0,0,0,0,35,21.9,4,2.5,0,0,58,36.3,2,1.3,142,88.8,38,23.8,4,2.5,89,55.6,38,23.8,8,12.1,16,24.2,1,1.5,1,1.5,0,0
'014802,2012,4,9.3,39,90.7,43,100,0,0,8,5.4,18,41.9,9,20.9,1,2.3,120,81.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,0,0,0,0,28,57.1,0,0,31,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16.3,16,32.7,14,28.6,11,22.4,0,0,0,0,0,0,0,0,7,14.3,0,0,0,0,18,36.7,0,0,49,100,12,24.5,2,4.1,25,51,12,24.5,2,4.7,13,30.2,1,2.3,1,2.3,0,0
