D20GR12N,D20GR12R,D30GR12N,D30GR12R,D40GR12N,D40GR12R,DA0GH12N,DA0GH12R,DA0GM12N,DA0GM12R,DA0GR12N,DA0GR12R,DAPID13N,DAPID13R,DAUND12C,DAUND12R,DB0GR12N,DB0GR12R,DH0GR12N,DH0GR12R,DI0GR12N,DI0GR12R,DISTRICT,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR12N,DS0GR12R,DW0GR12N,DW0GR12R,YEAR
10,2,12,2.4,1,0.2,391,78.4,108,21.6,499,100,17,0.2,0,0,155,31.1,160,32.1,2,0.4,'003903,1352,17.1,10,7.4,2.8,2.5,1.8,0,0.2,1,5.4,5,3.9,1.6,2.9,0,1.3,2,0,14.6,8494,117,1.4,1890,22.3,2365,27.8,360,3.9,6296,74.1,724,8.5,633,7.5,626,7.4,562,6.6,566,6.7,583,6.9,587,6.9,582,6.9,595,7.0,546,6.4,612,7.2,503,5.9,23,0.3,928,10.9,692,8.1,660,7.8,3341,39.3,17,0.2,1513,17.8,2198,25.9,11,0.1,4836,56.9,902,10.6,165,1.9,1554,18.3,2478,29.2,93,18.6,159,31.9,2013
1,0.8,0,0,0,0,75,61,48,39,123,100,0,0.0,0,0,5,4.1,6,4.9,0,0,'003904,298,17.1,5.5,2.6,1,0,0,0,0,1.6,3.2,0,0,0,0,0,0,0,0,20,1735,3,0.2,16,0.9,47,2.7,29,1.5,904,52.1,132,7.6,95,5.5,124,7.1,117,6.7,118,6.8,133,7.7,143,8.2,148,8.5,157,9.0,153,8.8,137,7.9,112,6.5,10,0.6,101,5.8,117,6.7,39,2.2,106,6.1,9,0.5,16,0.9,831,47.9,1,0.1,667,38.4,175,10.1,32,1.8,571,32.9,1537,88.6,15,12.2,111,90.2,2013
1,0.9,0,0,0,0,79,68.7,36,31.3,115,100,1,0.0,1,0.1,18,15.7,58,50.4,0,0,'003905,203,11.7,1.6,4.9,2.4,0.7,0.9,0,0,0.8,3.8,45.5,12.5,14.3,9.1,0,0,0,0,11.1,1996,4,0.2,336,16.8,242,12.1,26,1.2,1453,72.8,148,7.4,140,7.0,149,7.5,129,6.5,156,7.8,125,6.3,135,6.8,142,7.1,140,7.0,124,6.2,123,6.2,121,6.1,0,0.0,90,4.5,154,7.7,210,10.5,1062,53.2,2,0.1,356,17.8,543,27.2,0,0.0,997,49.9,155,7.8,32,1.6,455,22.8,654,32.8,10,8.7,38,33,2013
1,3.4,0,0,0,0,27,93.1,2,6.9,29,100,0,0.0,0,0,0,0,0,0,0,0,'003906,87,19.3,7.4,2.9,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,.,441,0,0.0,0,0.0,2,0.5,1,0.2,264,59.9,31,7.0,29,6.6,34,7.7,35,7.9,36,8.2,31,7.0,39,8.8,28,6.3,31,7.0,37,8.4,25,5.7,33,7.5,0,0.0,17,3.9,26,5.9,26,5.9,18,4.1,3,0.7,0,0.0,177,40.1,0,0.0,161,36.5,46,10.4,16,3.6,110,24.9,402,91.2,29,100,28,96.6,2013
0,0,1,0.8,0,0,82,66.7,41,33.3,123,100,4,0.2,0,0,4,3.3,20,16.3,1,0.8,'003907,240,15.9,3.4,0.9,0.9,0,0,0,0,0.9,4.3,33.3,0,8.3,0,0,0,12.5,0,40,1540,1,0.1,52,3.4,85,5.5,30,1.8,853,55.4,123,8.0,102,6.6,117,7.6,128,8.3,111,7.2,107,6.9,131,8.5,131,8.5,126,8.2,97,6.3,102,6.6,100,6.5,1,0.1,71,4.6,115,7.5,49,3.2,263,17.1,9,0.6,53,3.4,687,44.6,0,0.0,438,28.4,138,9.0,20,1.3,342,22.2,1162,75.5,24,19.5,97,78.9,2013
2,1,9,4.5,0,0,180,89.6,21,10.4,201,100,0,0.0,3,0.2,3,1.5,63,31.3,2,1,'004901,551,17.6,5.5,3.3,2.4,0.5,0.9,0.9,0.9,0.5,3.3,8,0,0,0,10,0,0,0,28.6,3161,76,2.4,113,3.6,38,1.2,175,5,1827,57.8,235,7.4,240,7.6,263,8.3,208,6.6,218,6.9,255,8.1,267,8.4,235,7.4,248,7.8,253,8.0,200,6.3,206,6.5,3,0.1,115,3.6,252,8.0,78,2.5,1274,40.3,13,0.4,113,3.6,1334,42.2,0,0.0,1411,44.6,271,8.6,68,2.2,816,25.8,1692,53.5,26,12.9,122,60.7,2013
0,0,0,0,0,0,17,43.6,22,56.4,39,100,0,0.0,0,0,0,0,2,5.1,0,0,'005901,53,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,488,0,0.0,2,0.4,2,0.4,2,0.4,174,35.7,31,6.4,30,6.1,42,8.6,33,6.8,33,6.8,32,6.6,41,8.4,43,8.8,42,8.6,43,8.8,33,6.8,36,7.4,2,0.4,37,7.6,31,6.4,16,3.3,34,7.0,5,1.0,2,0.4,314,64.3,0,0.0,128,26.2,42,8.6,18,3.7,109,22.3,429,87.9,9,23.1,37,94.9,2013
0,0,0,0,0,0,45,77.6,13,22.4,58,100,0,0.0,1,0.2,0,0,3,5.2,0,0,'005902,81,9.6,1.9,1.8,0,0,0,0,2.9,0,2.3,11.1,0,0,0,0,0,0,0,16.7,887,1,0.1,2,0.2,5,0.6,5,0.5,269,30.3,52,5.9,64,7.2,62,7.0,66,7.4,67,7.6,67,7.6,71,8.0,82,9.2,63,7.1,67,7.6,73,8.2,66,7.4,3,0.3,30,3.4,62,7.0,22,2.5,61,6.9,7,0.8,2,0.2,618,69.7,0,0.0,245,27.6,79,8.9,8,0.9,209,23.6,805,90.8,4,6.9,55,94.8,2013
1,2.4,0,0,0,0,33,80.5,8,19.5,41,100,0,0.0,0,0,0,0,10,24.4,1,2.4,'005904,17,3.9,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,476,1,0.2,43,9.0,0,0.0,1,0.2,206,43.3,28,5.9,29,6.1,30,6.3,30,6.3,36,7.6,35,7.4,41,8.6,37,7.8,44,9.2,41,8.6,42,8.8,34,7.1,0,0.0,34,7.1,33,6.9,16,3.4,130,27.3,4,0.8,43,9.0,270,56.7,0,0.0,170,35.7,33,6.9,2,0.4,179,37.6,339,71.2,5,12.2,29,70.7,2013
0,0,0,0,0,0,34,100,0,0,34,100,0,0.0,1,0.6,0,0,1,2.9,0,0,'006902,41,11.8,7.7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,100,366,0,0.0,3,0.8,10,2.7,3,0.7,151,41.3,29,7.9,29,7.9,17,4.6,32,8.7,20,5.5,30,8.2,30,8.2,27,7.4,31,8.5,25,6.8,30,8.2,25,6.8,0,0.0,14,3.8,23,6.3,18,4.9,47,12.8,2,0.5,3,0.8,215,58.7,0,0.0,136,37.2,45,12.3,8,2.2,106,29.0,299,81.7,3,8.8,33,97.1,2013
0,0,0,0,0,0,29,85.3,5,14.7,34,100,0,0.0,0,0,0,0,33,97.1,0,0,'007901,83,16.5,8.6,9.1,0,0,0,0,11.1,7.7,0,50,0,0,0,0,0,0,0,.,502,1,0.2,31,6.2,3,0.6,8,1.4,356,70.9,39,7.8,35,7.0,31,6.2,32,6.4,37,7.4,50,10.0,39,7.8,41,8.2,41,8.2,41,8.2,26,5.2,31,6.2,0,0.0,12,2.4,36,7.2,23,4.6,430,85.7,2,0.4,31,6.2,146,29.1,0,0.0,293,58.4,30,6.0,1,0.2,120,23.9,65,12.9,3,8.8,1,2.9,2013
1,1.3,1,1.3,0,0,66,82.5,14,17.5,80,100,0,0.0,1,0.1,0,0,45,56.3,0,0,'007902,355,22.9,2.1,1.2,2,0,0,4.5,0.8,0,3.1,12.5,0,0,5,0,12.5,0,0,0,1470,3,0.2,29,2.0,7,0.5,29,1.7,807,54.9,109,7.4,102,6.9,109,7.4,111,7.6,124,8.4,109,7.4,123,8.4,138,9.4,115,7.8,117,8.0,106,7.2,74,5.0,0,0.0,83,5.6,110,7.5,23,1.6,868,59.0,3,0.2,31,2.1,663,45.1,1,0.1,570,38.8,112,7.6,16,1.1,423,28.8,572,38.9,7,8.8,33,41.3,2013
0,0,0,0,0,0,114,91.9,10,8.1,124,100,0,0.0,6,0.7,3,2.4,83,66.9,1,0.8,'007904,309,18.1,3.4,0.8,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,1736,0,0.0,115,6.6,18,1.0,28,1.5,1215,70.0,124,7.1,120,6.9,130,7.5,129,7.4,108,6.2,128,7.4,136,7.8,111,6.4,142,8.2,141,8.1,132,7.6,117,6.7,0,0.0,93,5.4,126,7.3,92,5.3,1377,79.3,7,0.4,124,7.1,521,30.0,3,0.2,729,42.0,98,5.6,6,0.3,544,31.3,325,18.7,11,8.9,37,29.8,2013
3,1.5,0,0,0,0,161,82.1,35,17.9,196,100,0,0.0,0,0,0,0,121,61.7,1,0.5,'007905,671,19.6,1.4,0.4,1,0.8,4.1,0.8,3,1.2,2.1,0,7.7,0,0,4.2,0,5.3,0,13.3,3487,12,0.3,89,2.6,9,0.3,104,2.7,2184,62.6,266,7.6,244,7.0,282,8.1,233,6.7,279,8.0,275,7.9,281,8.1,250,7.2,283,8.1,258,7.4,237,6.8,206,5.9,10,0.3,162,4.6,258,7.4,125,3.6,2413,69.2,14,0.4,89,2.6,1303,37.4,0,0.0,1385,39.7,278,8.0,23,0.7,852,24.4,1016,29.1,34,17.3,71,36.2,2013
