D20GR12N,D20GR12R,D30GR12N,D30GR12R,D40GR12N,D40GR12R,DA0GH12N,DA0GH12R,DA0GM12N,DA0GM12R,DA0GR12N,DA0GR12R,DAPID13N,DAPID13R,DAUND12C,DAUND12R,DB0GR12N,DB0GR12R,DH0GR12N,DH0GR12R,DI0GR12N,DI0GR12R,DISTRICT,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR12N,DS0GR12R,DW0GR12N,DW0GR12R,YEAR
0,0,42,47.7,0,0,88,100,0,0,88,100,0,0.0,2,0.3,9,10.2,12,13.6,0,0,'057803,96,6,2.3,0,0,1.3,0,1.2,0.7,0,0,0,0,0,0,0,7.7,0,0,0,1961,857,43.7,214,10.9,123,6.3,0,0,451,23.0,163,8.3,144,7.3,92,4.7,92,4.7,92,4.7,292,14.9,283,14.4,153,7.8,141,7.2,135,6.9,123,6.3,102,5.2,0,0.0,0,0.0,149,7.6,0,0.0,595,30.3,3,0.2,227,11.6,1510,77.0,2,0.1,440,22.4,91,4.6,44,2.2,347,17.7,337,17.2,2,2.3,25,28.4,2013
3,0.4,3,0.4,0,0,420,60.4,275,39.6,695,100,0,0.0,23,0.6,269,38.7,386,55.5,1,0.1,'057804,2864,73.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2092,5,0.2,266,12.7,747,35.7,0,0,1996,95.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,498,23.8,484,23.1,533,25.5,577,27.6,0,0.0,0,0.0,0,0.0,0,0.0,1278,61.1,10,0.5,292,14.0,96,4.6,0,0.0,2022,96.7,243,11.6,11,0.5,372,17.8,41,2.0,70,10.1,33,4.7,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'057805,6,6.1,0,5,0,.,.,.,.,.,17.1,0,20,0,.,.,.,.,.,28.6,263,5,1.9,91,34.6,7,2.7,0,0,146,55.5,42,16.0,40,15.2,20,7.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,58,22.1,103,39.2,178,67.7,0,0.0,96,36.5,117,44.5,0,0.0,104,39.5,30,11.4,9,3.4,0,0.0,64,24.3,0,.,0,.,2013
0,0,0,0,0,0,44,84.6,8,15.4,52,100,4,0.2,6,1.2,6,11.5,23,44.2,1,1.9,'057806,252,16,4,3.3,0.7,0,0.7,0,0.9,2,2.6,8.3,0,0,0,0,0,5.9,0,0,1971,68,3.5,360,18.3,387,19.6,0,0,1341,68.0,179,9.1,185,9.4,172,8.7,192,9.7,177,9.0,182,9.2,156,7.9,138,7.0,72,3.7,64,3.2,49,2.5,40,2.0,0,0.0,0,0.0,232,11.8,133,6.7,933,47.3,18,0.9,380,19.3,630,32.0,1,0.1,1255,63.7,144,7.3,25,1.3,362,18.4,539,27.3,9,17.3,22,42.3,2013
2,1.5,0,0,0,0,124,93.2,9,6.8,133,100,1,0.0,5,0.4,65,48.9,29,21.8,0,0,'057807,214,6,1,1.6,0.3,0.8,1,0.3,0,1,1.1,12.5,0,3.4,0,0,0,0,0,4.3,4206,47,1.1,320,7.6,2084,49.5,0,0,2270,54.0,460,10.9,458,10.9,436,10.4,414,9.8,415,9.9,356,8.5,298,7.1,283,6.7,199,4.7,165,3.9,146,3.5,129,3.1,0,0.0,209,5.0,447,10.6,0,0.0,1152,27.4,11,0.3,326,7.8,1936,46.0,7,0.2,1026,24.4,287,6.8,126,3.0,280,6.7,779,18.5,18,13.5,37,27.8,2013
0,0,0,0,0,0,20,90.9,2,9.1,22,100,10,0.7,3,1.3,15,68.2,4,18.2,0,0,'057808,107,8.6,0,0,3,4,2.2,4,9.9,4.7,0,0,50,0,9.1,0,0,.,0,0,1469,628,42.8,390,26.5,281,19.1,0,0,665,45.3,202,13.8,208,14.2,207,14.1,133,9.1,134,9.1,66,4.5,50,3.4,58,3.9,26,1.8,23,1.6,15,1.0,18,1.2,0,0.0,109,7.4,242,16.5,87,5.9,514,35.0,6,0.4,405,27.6,804,54.7,1,0.1,451,30.7,27,1.8,9,0.6,77,5.2,30,2.0,2,9.1,3,13.6,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'057809,10,28.6,0,0,0,.,.,.,.,.,0,.,0,0,.,.,.,.,.,0,207,0,0.0,79,38.2,82,39.6,0,0,187,90.3,39,18.8,13,6.3,14,6.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63,30.4,78,37.7,122,58.9,0,0.0,90,43.5,20,9.7,0,0.0,164,79.2,12,5.8,0,0.0,0,0.0,3,1.4,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,2,0.3,0,0,0,.,0,.,0,.,'057810,93,26.5,5.4,0,0,0,0,2.8,0,0,0,0,0,0,.,0,0,14.3,0,0,617,0,0.0,49,7.9,511,82.8,0,0,402,65.2,51,8.3,39,6.3,31,5.0,27,4.4,27,4.4,59,9.6,38,6.2,41,6.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,62,10.0,242,39.2,102,16.5,1,0.2,50,8.1,215,34.8,0,0.0,506,82.0,17,2.8,1,0.2,0,0.0,2,0.3,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,3,0.3,3,5.5,0,.,0,.,0,.,'057811,57,10.2,0,2.5,0,0,0,0,0,.,0,.,.,0,0,0,0,0,.,.,904,0,0.0,0,0.0,865,95.7,0,0,884,97.8,106,11.7,99,11.0,86,9.5,64,7.1,63,7.0,61,6.7,50,5.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,115,12.7,260,28.8,25,2.8,1,0.1,0,0.0,20,2.2,0,0.0,0,0.0,44,4.9,3,0.3,0,0.0,10,1.1,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,8,0.5,1,0.4,0,.,0,.,0,.,'057813,121,11.5,0,1.7,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,1622,7,0.4,947,58.4,72,4.4,0,0,1485,91.6,173,10.7,157,9.7,132,8.1,130,8.0,127,7.8,132,8.1,128,7.9,130,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,168,10.4,345,21.3,1530,94.3,3,0.2,959,59.1,137,8.4,0,0.0,1221,75.3,88,5.4,1,0.1,0,0.0,9,0.6,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,11,0.8,8,0.4,0,.,0,.,0,.,'057814,2612,99.2,.,.,.,.,0,33.3,24.5,22.6,.,.,.,.,.,.,0,20,17.5,.,579,3,0.5,52,9.0,277,47.8,0,0,579,100.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,10,1.7,42,7.3,90,15.5,262,45.3,122,21.1,40,6.9,12,2.1,0,0.0,0,0.0,0,0.0,0,0.0,258,44.6,2,0.3,53,9.2,0,0.0,0,0.0,579,100.0,124,21.4,5,0.9,254,43.9,34,5.9,0,.,0,.,2013
1,2.9,0,0,0,0,26,76.5,8,23.5,34,100,0,0.0,3,0.6,14,41.2,19,55.9,0,0,'057815,237,17,0.6,0,1,0,0,1.8,4.2,0,1,16.7,0,9.1,0,0,0,0,0,0,2041,2,0.1,960,47.0,814,39.9,0,0,1937,94.9,211,10.3,184,9.0,153,7.5,129,6.3,124,6.1,153,7.5,148,7.3,124,6.1,112,5.5,102,5.0,60,2.9,48,2.4,0,0.0,37,1.8,242,11.9,251,12.3,1093,53.6,5,0.2,988,48.4,104,5.1,0,0.0,1740,85.3,107,5.2,4,0.2,278,13.6,123,6.0,7,20.6,0,0,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'057816,22,2.4,0,7.7,14.3,14.3,0,0,.,.,0,.,.,0,0,.,0,.,.,.,520,0,0.0,1,0.2,511,98.3,0,0,480,92.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,520,100.0,8,1.5,0,0.0,1,0.2,40,7.7,0,0.0,519,99.8,7,1.3,1,0.2,0,0.0,0,0.0,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,5,0.5,4,1.8,0,.,0,.,0,.,'057817,84,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0.0,11,1.2,836,90.9,0,0,761,82.7,97,10.5,87,9.5,85,9.2,66,7.2,64,7.0,69,7.5,66,7.2,67,7.3,48,5.2,52,5.7,20,2.2,0,0.0,0,0.0,0,0.0,116,12.6,83,9.0,74,8.0,1,0.1,12,1.3,159,17.3,0,0.0,156,17.0,173,18.8,4,0.4,43,4.7,5,0.5,0,.,0,.,2013
0,0,0,0,0,0,0,0,5,100,5,100,2,0.9,4,6.9,2,40,1,20,2,40,'057819,65,39.9,16.7,0,0,0,14.3,0,27.3,16.7,15.8,.,0,0,0,0,0,0,50,.,200,5,2.5,58,29.0,72,36.0,0,0,135,67.5,17,8.5,18,9.0,23,11.5,6,3.0,18,9.0,18,9.0,13,6.5,9,4.5,9,4.5,3,1.5,4,2.0,7,3.5,0,0.0,0,0.0,29,14.5,26,13.0,88,44.0,11,5.5,58,29.0,65,32.5,1,0.5,104,52.0,22,11.0,5,2.5,20,10.0,18,9.0,0,0,0,0,2013
2,1.9,0,0,0,0,46,43.4,60,56.6,106,100,2,0.2,4,0.5,25,23.6,35,33,0,0,'057825,542,44,0,0,0,0,1.5,0,1.1,3.7,0,0,0,0,0,0,0,0,0,66.7,627,3,0.5,42,6.7,132,21.1,0,0,468,74.6,49,7.8,49,7.8,59,9.4,50,8.0,48,7.7,78,12.4,86,13.7,90,14.4,43,6.9,7,1.1,8,1.3,10,1.6,0,0.0,0,0.0,50,8.0,0,0.0,298,47.5,7,1.1,83,13.2,159,25.4,6,1.0,276,44.0,60,9.6,17,2.7,69,11.0,164,26.2,10,9.4,44,41.5,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,0,0,.,0,.,0,.,'057827,71,12,3.8,0,3.3,1.5,1.5,0,2.9,.,0,0,0,0,0,0,0,0,.,.,650,0,0.0,229,35.2,238,36.6,0,0,597,91.8,84,12.9,92,14.2,88,13.5,79,12.2,78,12.0,88,13.5,73,11.2,30,4.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,5.8,0,0.0,395,60.8,1,0.2,232,35.7,53,8.2,1,0.2,523,80.5,34,5.2,8,1.2,0,0.0,7,1.1,0,.,0,.,2013
16,4.3,11,2.9,1,0.3,54,14.4,321,85.6,375,100,10,0.3,26,0.9,49,13.1,78,20.8,2,0.5,'057828,2391,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1506,16,1.1,96,6.4,227,15.1,0,0,840,55.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,208,13.8,47,3.1,818,54.3,433,28.8,0,0.0,0,0.0,0,0.0,0,0.0,572,38.0,13,0.9,107,7.1,666,44.2,3,0.2,1346,89.4,184,12.2,24,1.6,1392,92.4,651,43.2,24,6.4,218,58.1,2013
1,2.6,0,0,0,0,30,78.9,8,21.1,38,100,3,0.3,5,1.1,3,7.9,31,81.6,0,0,'057829,72,8.2,0,0,3.1,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,988,1,0.1,319,32.3,37,3.7,0,0,918,92.9,64,6.5,64,6.5,73,7.4,69,7.0,73,7.4,70,7.1,71,7.2,70,7.1,77,7.8,101,10.2,84,8.5,63,6.4,0,0.0,38,3.8,62,6.3,47,4.8,879,89.0,0,0.0,326,33.0,70,7.1,0,0.0,433,43.8,88,8.9,23,2.3,326,33.0,48,4.9,6,15.8,3,7.9,2013
0,.,0,.,0,.,0,.,0,.,0,.,6,0.6,3,0.9,0,.,0,.,0,.,'057830,58,7,1.6,4.9,9.1,0,0,0,0,0.8,0,0,0,33.3,0,0,0,0,0,0,982,3,0.3,331,33.7,105,10.7,0,0,907,92.4,71,7.2,70,7.1,70,7.1,63,6.4,71,7.2,83,8.5,151,15.4,173,17.6,85,8.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,7.4,72,7.3,857,87.3,3,0.3,377,38.4,75,7.6,0,0.0,424,43.2,60,6.1,2,0.2,202,20.6,12,1.2,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,44,14.7,0,.,0,.,0,.,'057831,67,9.7,0,3.5,7.3,6.9,6.1,1.8,0,2.2,4.3,20,0,20,0,0,0,0,0,50,804,5,0.6,6,0.7,771,95.9,0,0,688,85.6,67,8.3,63,7.8,53,6.6,62,7.7,55,6.8,62,7.7,69,8.6,57,7.1,42,5.2,41,5.1,33,4.1,42,5.2,0,0.0,13,1.6,65,8.1,93,11.6,17,2.1,1,0.1,6,0.7,116,14.4,0,0.0,236,29.4,54,6.7,4,0.5,268,33.3,6,0.7,0,.,0,.,2013
0,0,0,0,0,0,7,25.9,20,74.1,27,100,0,0.0,2,1.3,13,48.1,12,44.4,0,0,'057832,154,64.2,0,0,25,0,0,12.5,0,0,0,0,.,0,.,0,0,25,50,0,127,1,0.8,5,3.9,44,34.6,0,0,76,59.8,7,5.5,5,3.9,6,4.7,4,3.1,3,2.4,5,3.9,12,9.4,12,9.4,18,14.2,17,13.4,19,15.0,18,14.2,0,0.0,0,0.0,1,0.8,0,0.0,58,45.7,1,0.8,5,3.9,51,40.2,0,0.0,102,80.3,24,18.9,2,1.6,33,26.0,21,16.5,1,3.7,2,7.4,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,5,20.8,0,.,0,.,0,.,'057833,36,19.6,0,0,0,10,7.1,9.1,18.2,0,0,0,33.3,0,0,0,0,0,.,0,140,1,0.7,14,10.0,49,35.0,0,0,91,65.0,17,12.1,12,8.6,21,15.0,16,11.4,17,12.1,23,16.4,10,7.1,8,5.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,6.4,16,11.4,0,0.0,38,27.1,2,1.4,17,12.1,49,35.0,0,0.0,61,43.6,15,10.7,2,1.4,0,0.0,48,34.3,0,.,0,.,2013
4,2.3,1,0.6,0,0,17,9.8,156,90.2,173,100,0,0.0,50,5.2,62,35.8,72,41.6,3,1.7,'057834,758,79.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,421,2,0.5,12,2.9,183,43.5,0,0,277,65.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,106,25.2,113,26.8,117,27.8,85,20.2,0,0.0,0,0.0,0,0.0,0,0.0,203,48.2,1,0.2,27,6.4,144,34.2,0,0.0,393,93.3,64,15.2,3,0.7,260,61.8,29,6.9,19,11,31,17.9,2013
0,0,0,0,0,0,29,100,0,0,29,100,1,0.1,1,1.2,0,0,29,100,0,0,'057835,94,17,5,5.1,12.8,1.8,0,0,0,0,3.8,33.3,0,16.7,0,0,16.7,0,0,.,1215,8,0.7,519,42.7,114,9.4,0,0,1190,97.9,128,10.5,113,9.3,91,7.5,55,4.5,60,4.9,64,5.3,57,4.7,33,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,171,14.1,443,36.5,1069,88.0,2,0.2,549,45.2,25,2.1,0,0.0,595,49.0,47,3.9,1,0.1,0,0.0,21,1.7,3,10.3,0,0,2013
0,.,0,.,0,.,0,.,0,.,0,.,1,0.3,1,1.7,0,.,0,.,0,.,'057836,38,13,5.6,0,0,4.2,0,2.7,0,0,0,0,0,0,0,0,0,0,0,.,302,0,0.0,0,0.0,295,97.7,0,0,227,75.2,40,13.2,37,12.3,29,9.6,39,12.9,24,7.9,31,10.3,36,11.9,32,10.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,9.6,34,11.3,0,0.0,3,1.0,0,0.0,0,0.0,75,24.8,0,0.0,96,31.8,17,5.6,3,1.0,0,0.0,1,0.3,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,1,0.7,0,.,0,.,0,.,'057837,11,3.3,.,.,.,.,4.7,4.1,4.3,1.7,.,.,.,.,.,16.7,0,0,0,.,354,0,0.0,94,26.6,138,39.0,0,0,330,93.2,0,0.0,0,0.0,0,0.0,0,0.0,101,28.5,90,25.4,90,25.4,73,20.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,209,59.0,1,0.3,102,28.8,24,6.8,0,0.0,113,31.9,25,7.1,2,0.6,0,0.0,4,1.1,0,.,0,.,2013
1,2.6,0,0,0,0,37,94.9,2,5.1,39,100,7,0.4,3,0.5,3,7.7,35,89.7,0,0,'057838,125,9.7,1.4,0,0,0,0,0,1.4,1,3,10,0,0,0,0,0,0,0,66.7,1578,11,0.7,427,27.1,191,12.1,0,0,1398,88.6,209,13.2,187,11.9,121,7.7,120,7.6,72,4.6,87,5.5,82,5.2,86,5.4,123,7.8,124,7.9,90,5.7,72,4.6,0,0.0,0,0.0,205,13.0,0,0.0,1318,83.5,0,0.0,458,29.0,180,11.4,2,0.1,1091,69.1,109,6.9,7,0.4,408,25.9,49,3.1,2,5.1,0,0,2013
0,.,0,.,0,.,0,.,0,.,0,.,4,0.4,0,.,0,.,0,.,0,.,'057839,22,5.3,11.3,8.1,7.5,5.6,7.7,2.1,.,.,6.3,0,33.3,0,0,8.3,0,.,.,0,950,0,0.0,494,52.0,10,1.1,0,0,899,94.6,94,9.9,82,8.6,88,9.3,85,8.9,80,8.4,89,9.4,81,8.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,86,9.1,265,27.9,904,95.2,4,0.4,499,52.5,51,5.4,0,0.0,641,67.5,82,8.6,1,0.1,32,3.4,31,3.3,0,.,0,.,2013
6,3.2,44,23.4,0,0,179,95.2,9,4.8,188,100,6,0.9,0,0,19,10.1,56,29.8,2,1.1,'057840,66,14.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,444,106,23.9,0,0.0,77,17.3,0,0,65,14.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,241,54.3,203,45.7,0,0.0,0,0.0,0,0.0,0,0.0,106,23.9,2,0.5,0,0.0,379,85.4,0,0.0,105,23.6,0,0.0,10,2.3,440,99.1,143,32.2,0,0,61,32.4,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'057841,20,20,2.7,4.5,8.3,.,.,.,.,.,2.4,33.3,0,0,.,.,.,.,.,0,201,3,1.5,125,62.2,33,16.4,0,0,196,97.5,40,19.9,28,13.9,21,10.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,20.9,70,34.8,145,72.1,0,0.0,118,58.7,5,2.5,0,0.0,166,82.6,5,2.5,2,1.0,0,0.0,18,9.0,0,.,0,.,2013
0,0,0,0,0,0,36,100,0,0,36,100,4,0.2,2,0.3,0,0,36,100,0,0,'057842,134,11.4,5.9,0,0,0,0,0.6,0.5,2.2,8.4,0,0,0,0,0,0,0,0,0,1563,5,0.3,693,44.3,93,6.0,0,0,1474,94.3,178,11.4,110,7.0,46,2.9,46,2.9,46,2.9,189,12.1,192,12.3,211,13.5,143,9.1,108,6.9,110,7.0,46,2.9,0,0.0,0,0.0,138,8.8,0,0.0,1455,93.1,0,0.0,757,48.4,89,5.7,0,0.0,1029,65.8,85,5.4,4,0.3,393,25.1,6,0.4,1,2.8,0,0,2013
0,0,0,0,0,0,10,76.9,3,23.1,13,100,0,0.0,4,0.9,10,76.9,3,23.1,0,0,'057843,98,13.6,2.1,2.4,.,.,0,14,2.1,6.6,2.4,0,0,.,.,0,33.3,0,0,0,776,3,0.4,77,9.9,558,71.9,0,0,561,72.3,49,6.3,60,7.7,50,6.4,0,0.0,0,0.0,89,11.5,87,11.2,105,13.5,96,12.4,73,9.4,60,7.7,42,5.4,0,0.0,0,0.0,65,8.4,0,0.0,202,26.0,1,0.1,77,9.9,215,27.7,0,0.0,307,39.6,49,6.3,6,0.8,251,32.3,6,0.8,2,15.4,0,0,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,2,5,0,.,0,.,0,.,'057844,62,15.8,0,0,0,0,0,0,0,.,2.1,50,0,0,0,50,0,0,.,0,457,189,41.4,95,20.8,119,26.0,0,0,241,52.7,58,12.7,79,17.3,73,16.0,58,12.7,44,9.6,38,8.3,31,6.8,21,4.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55,12.0,0,0.0,14,3.1,1,0.2,97,21.2,216,47.3,2,0.4,151,33.0,31,6.8,8,1.8,0,0.0,124,27.1,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,1,0.3,0,.,0,.,0,.,0,.,'057845,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,337,19,5.6,6,1.8,27,8.0,0,.,45,13.4,37,11.0,33,9.8,32,9.5,39,11.6,42,12.5,39,11.6,47,13.9,36,10.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,9.5,0,0.0,45,13.4,0,0.0,7,2.1,292,86.6,0,0.0,13,3.9,9,2.7,12,3.6,0,0.0,234,69.4,0,.,0,.,2013
0,.,0,.,0,.,0,.,0,.,0,.,2,0.2,0,.,0,.,0,.,0,.,'057846,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,820,31,3.8,50,6.1,252,30.7,0,.,454,55.4,98,12.0,107,13.0,98,12.0,104,12.7,94,11.5,111,13.5,64,7.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,144,17.6,0,0.0,391,47.7,1,0.1,51,6.2,366,44.6,3,0.4,165,20.1,27,3.3,21,2.6,0,0.0,121,14.8,0,.,0,.,2013
14,0.9,183,11.3,1,0.1,1261,78,356,22,1617,100,6,0.0,24,0.2,234,14.5,740,45.8,5,0.3,'057903,4586,17.8,1.7,1.2,1.1,0.6,0,0.1,0.7,0.4,2,4.2,3.3,0.8,0.3,0.4,0,0.6,1.1,7.3,26325,2860,10.9,6516,24.8,4292,16.3,575,2,16448,62.5,2117,8.0,2052,7.8,2084,7.9,1981,7.5,1881,7.1,1810,6.9,1816,6.9,1741,6.6,2111,8.0,1871,7.1,1832,7.0,1604,6.1,92,0.3,2112,8.0,2291,8.7,1042,4.0,14162,53.8,103,0.4,6305,24.0,9877,37.5,22,0.1,12048,45.8,2398,9.1,348,1.3,5414,20.6,4538,17.2,112,6.9,440,27.2,2013
11,2.1,8,1.5,0,0,456,86.4,72,13.6,528,100,13,0.1,11,0.3,377,71.4,88,16.7,1,0.2,'057904,1374,16.9,2.3,3.2,0.5,0,0,0.6,1.3,0.2,1.7,11.8,3.6,1.5,0,0,0,4.2,0,7.7,8243,106,1.3,513,6.2,5312,64.4,231,2.6,5458,66.2,529,6.4,552,6.7,573,7.0,638,7.7,570,6.9,658,8.0,637,7.7,580,7.0,692,8.4,694,8.4,610,7.4,607,7.4,9,0.1,257,3.1,501,6.1,393,4.8,1891,22.9,82,1.0,500,6.1,2785,33.8,21,0.3,3987,48.4,701,8.5,191,2.3,1901,23.1,640,7.8,55,10.4,43,8.1,2013
27,0.4,93,1.3,3,0,6167,84.8,1108,15.2,7275,100,288,0.2,182,0.3,2072,28.5,4547,62.5,68,0.9,'057905,35093,22.4,5.1,4.1,3.3,1.5,0.9,2.2,3.5,2.3,1.4,7.8,5.2,2.2,0.5,0.8,3.2,4.4,2.8,5.2,158680,1851,1.2,58596,36.9,37605,23.7,2433,1.4,141193,89.0,14152,8.9,13561,8.5,12904,8.1,12430,7.8,12067,7.6,11488,7.2,10605,6.7,9969,6.3,11415,7.2,9960,6.3,8640,5.4,8165,5.1,316,0.2,18523,11.7,14041,8.8,8967,5.7,110063,69.4,613,0.4,62624,39.5,17487,11.0,186,0.1,94983,59.9,11739,7.4,794,0.5,32287,20.3,7568,4.8,611,8.4,465,6.4,2013
9,1.5,0,0,0,0,505,83.7,98,16.3,603,100,1,0.0,47,1,486,80.6,71,11.8,0,0,'057906,1942,21,4.4,4.6,4.1,1.6,2.1,0.5,1.5,0.3,2.9,14.7,8.3,6.2,2.1,4.1,1.3,1.3,2.3,9.8,8884,32,0.4,575,6.5,6899,77.7,190,1.9,6098,68.6,587,6.6,605,6.8,620,7.0,645,7.3,679,7.6,683,7.7,724,8.1,744,8.4,836,9.4,682,7.7,735,8.3,559,6.3,17,0.2,930,10.5,536,6.0,232,2.6,1511,17.0,32,0.4,608,6.8,2786,31.4,6,0.1,3031,34.1,899,10.1,104,1.2,2126,23.9,300,3.4,67,11.1,37,6.1,2013
4,0.5,30,4,0,0,435,57.8,318,42.2,753,100,6,0.0,38,0.6,350,46.5,302,40.1,3,0.4,'057907,2228,17,6.9,5.8,5.6,2.1,1.4,0.6,1.3,1.2,4.4,13.6,3.1,2.5,1,0,0,1.9,0,16.3,13238,240,1.8,1793,13.5,5433,41.0,624,4.4,9624,72.7,971,7.3,989,7.5,943,7.1,921,7.0,996,7.5,1006,7.6,960,7.3,1066,8.1,1133,8.6,1152,8.7,982,7.4,823,6.2,25,0.2,790,6.0,911,6.9,360,2.7,6469,48.9,122,0.9,1955,14.8,3614,27.3,7,0.1,7171,54.2,1215,9.2,109,0.8,3907,29.5,858,6.5,87,11.6,64,8.5,2013
92,2.4,358,9.3,7,0.2,3222,83.3,647,16.7,3869,100,32,0.1,14,0.1,695,18,1559,40.3,19,0.5,'057909,8739,15.4,1.8,1.3,0.6,0.3,0,0.5,0.7,0.7,1.6,3.9,0.5,2.1,0.2,0.4,0.6,0.6,0.2,14,57914,4701,8.1,12225,21.1,9985,17.2,830,1.3,35378,61.1,4138,7.1,4317,7.5,4207,7.3,4120,7.1,4251,7.3,4365,7.5,4234,7.3,4297,7.4,4706,8.1,4398,7.6,4156,7.2,4004,6.9,90,0.2,4172,7.2,4250,7.3,2381,4.1,28755,49.7,300,0.5,12757,22.0,22536,38.9,50,0.1,27311,47.2,5047,8.7,1142,2.0,14072,24.3,12981,22.4,283,7.3,1139,29.4,2013
