D20GR10N,D20GR10P,D30GR10N,D30GR10P,D40GR10N,D40GR10P,DA0GH10N,DA0GH10P,DA0GM10N,DA0GM10P,DA0GR10N,DA0GR10P,DAPID11N,DAPID11R,DAUND10C,DAUND10R,DB0GR10N,DB0GR10P,DH0GR10N,DH0GR10P,DI0GR10N,DI0GR10P,DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR10N,DS0GR10P,DW0GR10N,DW0GR10P,YEAR
9,1.7,9,1.7,0,0,400,77.4,117,22.6,517,100,24,0.3,3,0.1,152,29.4,152,29.4,3,0.6,'003903,11.4,3.5,3,1.2,1.8,0.4,1.2,1.1,6.6,13.3,7.6,4.1,0,0,1,0,0.9,15.8,8588,105,1.2,1761,20.5,2376,27.7,397,4.2,6330,73.7,699,8.1,613,7.1,629,7.3,601,7.0,601,7.0,599,7.0,590,6.9,578,6.7,625,7.3,589,6.9,537,6.3,519,6.0,11,0.1,967,11.3,667,7.8,730,8.5,3317,38.6,16,0.2,1374,16.0,5,0.1,4566,53.2,1039,12.1,169,2.0,1620,18.9,2600,30.3,100,19.3,192,37.1,2011
1,0.7,0,0,0,0,56,38.6,89,61.4,145,100,0,0.0,0,0,7,4.8,7,4.8,1,0.7,'003904,3.1,0.9,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,18.2,1738,1,0.1,18,1.0,38,2.2,28,1.4,896,51.6,134,7.7,113,6.5,122,7.0,130,7.5,135,7.8,138,7.9,147,8.5,139,8.0,156,9.0,116,6.7,139,8.0,122,7.0,6,0.3,118,6.8,100,5.8,41,2.4,96,5.5,10,0.6,19,1.1,0,0.0,571,32.9,178,10.2,22,1.3,533,30.7,1571,90.4,24,16.6,129,89,2011
0,0,0,0,0,0,70,72.9,26,27.1,96,100,1,0.0,1,0.1,15,15.6,36,37.5,0,0,'003905,3.1,3.5,1.5,0,0.7,0,0.8,0,2.7,0,0,10,0,0,0,0,0,27.3,1989,1,0.1,285,14.3,262,13.2,54,2.6,1519,76.4,152,7.6,130,6.5,158,7.9,133,6.7,136,6.8,148,7.4,137,6.9,130,6.5,127,6.4,128,6.4,129,6.5,124,6.2,4,0.2,81,4.1,154,7.7,199,10.0,1047,52.6,3,0.2,297,14.9,1,0.1,899,45.2,173,8.7,23,1.2,513,25.8,652,32.8,14,14.6,45,46.9,2011
0,0,0,0,0,0,24,80,6,20,30,100,2,0.4,5,2.3,0,0,1,3.3,0,0,'003906,20.7,5.7,0,0,0,10,2.9,3.7,0,0,0,0,0,0,25,0,0,.,471,0,0.0,0,0.0,0,0.0,4,0.8,294,62.4,44,9.3,39,8.3,36,7.6,35,7.4,37,7.9,34,7.2,34,7.2,39,8.3,27,5.7,35,7.4,29,6.2,22,4.7,0,0.0,27,5.7,28,5.9,32,6.8,16,3.4,0,0.0,0,0.0,0,0.0,174,36.9,51,10.8,7,1.5,102,21.7,448,95.1,6,20,29,96.7,2011
1,1,1,1,0,0,75,73.5,27,26.5,102,100,0,0.0,0,0,4,3.9,12,11.8,2,2,'003907,0,2.2,0,0,0,0.9,0,1,2.1,0,25,0,0,0,0,0,0,0,1509,2,0.1,47,3.1,61,4.0,14,0.8,843,55.9,109,7.2,122,8.1,93,6.2,94,6.2,129,8.5,126,8.3,129,8.5,116,7.7,118,7.8,114,7.6,119,7.9,102,6.8,2,0.1,77,5.1,92,6.1,44,2.9,234,15.5,8,0.5,52,3.4,0,0.0,458,30.4,162,10.7,24,1.6,362,24.0,1180,78.2,18,17.6,82,80.4,2011
4,1.8,7,3.1,1,0.4,204,90.7,21,9.3,225,100,0,0.0,4,0.2,5,2.2,75,33.3,1,0.4,'004901,9.2,5.1,2,0,0.5,1,0.9,1,2.2,17.6,5.6,0,0,5,0,0,4,14.3,3087,85,2.8,126,4.1,39,1.3,151,4.3,2012,65.2,259,8.4,196,6.3,208,6.7,225,7.3,227,7.4,229,7.4,225,7.3,249,8.1,238,7.7,255,8.3,227,7.4,222,7.2,4,0.1,121,3.9,235,7.6,88,2.9,1276,41.3,12,0.4,126,4.1,1,0.0,1415,45.8,276,8.9,58,1.9,854,27.7,1616,52.3,25,11.1,132,58.7,2011
1,3.6,0,0,0,0,15,53.6,13,46.4,28,100,0,0.0,0,0,0,0,0,0,1,3.6,'005901,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,504,0,0.0,0,0.0,7,1.4,2,0.4,181,35.9,47,9.3,31,6.2,32,6.3,31,6.2,41,8.1,42,8.3,39,7.7,38,7.5,37,7.3,37,7.3,43,8.5,34,6.7,1,0.2,34,6.7,33,6.5,18,3.6,33,6.5,5,1.0,0,0.0,0,0.0,157,31.2,55,10.9,25,5.0,105,20.8,434,86.1,2,7.1,26,92.9,2011
0,0,0,0,0,0,47,79.7,12,20.3,59,100,0,0.0,0,0,0,0,3,5.1,0,0,'005902,1.9,1.7,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,33.3,896,0,0.0,1,0.1,5,0.6,12,1.3,243,27.1,66,7.4,61,6.8,65,7.3,66,7.4,70,7.8,83,9.3,58,6.5,75,8.4,76,8.5,71,7.9,64,7.1,64,7.1,4,0.4,41,4.6,57,6.4,16,1.8,56,6.3,6,0.7,1,0.1,0,0.0,291,32.5,80,8.9,7,0.8,215,24.0,822,91.7,7,11.9,56,94.9,2011
0,0,0,0,0,0,29,90.6,3,9.4,32,100,0,0.0,0,0,0,0,5,15.6,0,0,'005904,0,0,0,0,0,0,0,0,3.4,.,0,0,0,0,0,0,0,100,468,0,0.0,59,12.6,1,0.2,1,0.2,236,50.4,30,6.4,29,6.2,31,6.6,32,6.8,36,7.7,37,7.9,42,9.0,38,8.1,44,9.4,34,7.3,43,9.2,29,6.2,3,0.6,39,8.3,27,5.8,13,2.8,127,27.1,6,1.3,59,12.6,0,0.0,184,39.3,39,8.3,3,0.6,177,37.8,331,70.7,2,6.3,27,84.4,2011
1,3.8,0,0,0,0,25,96.2,1,3.8,26,100,0,0.0,0,0,1,3.8,4,15.4,0,0,'006902,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,349,0,0.0,4,1.1,7,2.0,3,0.8,141,40.4,21,6.0,26,7.4,22,6.3,28,8.0,29,8.3,23,6.6,26,7.4,27,7.7,30,8.6,27,7.7,31,8.9,23,6.6,0,0.0,19,5.4,28,8.0,8,2.3,36,10.3,1,0.3,4,1.1,0,0.0,130,37.2,39,11.2,1,0.3,117,33.5,304,87.1,3,11.5,20,76.9,2011
