D20GR10N,D20GR10P,D30GR10N,D30GR10P,D40GR10N,D40GR10P,DA0GH10N,DA0GH10P,DA0GM10N,DA0GM10P,DA0GR10N,DA0GR10P,DAPID11N,DAPID11R,DAUND10C,DAUND10R,DB0GR10N,DB0GR10P,DH0GR10N,DH0GR10P,DI0GR10N,DI0GR10P,DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR10N,DS0GR10P,DW0GR10N,DW0GR10P,YEAR
0,0,0,0,0,0,52,91.2,5,8.8,57,100,0,0.0,1,0.3,0,0,8,14,0,0,'020904,3.7,1.9,1.9,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,16.7,771,1,0.1,26,3.4,4,0.5,10,1.2,219,28.4,61,7.9,56,7.3,58,7.5,62,8.0,49,6.4,66,8.6,59,7.7,50,6.5,71,9.2,62,8.0,42,5.4,60,7.8,3,0.4,72,9.3,47,6.1,25,3.2,148,19.2,10,1.3,27,3.5,0,0.0,224,29.1,72,9.3,20,2.6,224,29.1,588,76.3,4,7,49,86,2011
8,0.9,17,2,2,0.2,726,85.3,125,14.7,851,100,14,0.1,4,0.1,80,9.4,339,39.8,4,0.5,'020905,4.2,2.5,0.7,0.7,0.9,0,0,0.2,2.2,3.5,0,0,0,0,0,0,0,13.3,12671,207,1.6,947,7.5,1094,8.6,498,3.7,7191,56.8,923,7.3,953,7.5,928,7.3,954,7.5,969,7.6,886,7.0,898,7.1,957,7.6,1089,8.6,915,7.2,896,7.1,825,6.5,54,0.4,952,7.5,935,7.4,489,3.9,6064,47.9,59,0.5,1056,8.3,6,0.0,5251,41.4,1329,10.5,229,1.8,2301,18.2,5012,39.6,91,10.7,401,47.1,2011
2,1.4,0,0,1,0.7,128,92.1,11,7.9,139,100,1,0.0,0,0,33,23.7,21,15.1,1,0.7,'020906,1.7,3.8,2.3,0.7,0.8,0,0,1.5,4.9,20,10,0,0,0,0,4.8,0,77.8,1968,6,0.3,32,1.6,323,16.4,31,1.5,1007,51.2,142,7.2,138,7.0,153,7.8,140,7.1,166,8.4,158,8.0,137,7.0,147,7.5,157,8.0,169,8.6,149,7.6,123,6.3,3,0.2,140,7.1,137,7.0,49,2.5,379,19.3,22,1.1,34,1.7,0,0.0,807,41.0,166,8.4,53,2.7,631,32.1,1185,60.2,13,9.4,81,58.3,2011
14,7.5,3,1.6,0,0,157,84,30,16,187,100,3,0.1,6,0.4,17,9.1,38,20.3,1,0.5,'020907,5.6,4.5,2.2,0.5,0.5,0,2.1,1.7,1.6,0,3.6,3.3,0,0,8.8,0,15.4,0,3065,19,0.6,117,3.8,351,11.5,69,2.1,1614,52.7,218,7.1,232,7.6,247,8.1,220,7.2,247,8.1,240,7.8,230,7.5,209,6.8,236,7.7,215,7.0,203,6.6,180,5.9,13,0.4,106,3.5,246,8.0,129,4.2,809,26.4,23,0.8,167,5.4,2,0.1,1449,47.3,319,10.4,80,2.6,587,19.2,1781,58.1,21,11.2,114,61,2011
20,1.8,89,8.1,3,0.3,868,78.8,233,21.2,1101,100,3,0.0,9,0.1,227,20.6,217,19.7,7,0.6,'020908,1,0.7,0.5,0,0.4,0.1,0.3,0.1,0.5,4.2,0.8,0.7,1.3,1.4,0.7,0.7,5.7,8.5,18682,1806,9.7,1201,6.4,3062,16.4,131,0.7,4952,26.5,1421,7.6,1523,8.2,1512,8.1,1527,8.2,1478,7.9,1502,8.0,1375,7.4,1343,7.2,1439,7.7,1367,7.3,1249,6.7,1197,6.4,37,0.2,1377,7.4,1408,7.5,304,1.6,4880,26.1,125,0.7,1310,7.0,30,0.2,5482,29.3,1739,9.3,439,2.3,3832,20.5,8340,44.6,92,8.4,538,48.9,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,1,3.4,0,.,0,.,0,.,'020910,14.3,4.2,0,0,8.3,6.7,7.7,0,0,.,0,0,0,0,33.3,0,0,0,181,0,0.0,30,16.6,2,1.1,12,6.3,129,71.3,20,11.0,16,8.8,28,15.5,16,8.8,21,11.6,17,9.4,17,9.4,13,7.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,6.1,16,8.8,17,9.4,84,46.4,0,0.0,30,16.6,0,0.0,80,44.2,23,12.7,5,2.8,0,0.0,90,49.7,0,.,0,.,2011
0,0,0,0,0,0,12,75,4,25,16,100,0,0.0,5,1.8,9,56.3,6,37.5,0,0,'021803,3,4.5,6.7,0,0,0,8.7,13.5,0,0,0,0,0,0,0,12.5,0,0,494,4,0.8,37,7.5,231,46.8,0,0,467,94.5,26,5.3,31,6.3,21,4.3,18,3.6,28,5.7,31,6.3,29,5.9,36,7.3,45,9.1,34,6.9,14,2.8,23,4.7,0,0.0,0,0.0,35,7.1,123,24.9,230,46.6,2,0.4,56,11.3,1,0.2,238,48.2,50,10.1,1,0.2,146,29.6,25,5.1,3,18.8,1,6.3,2011
15,2.3,54,8.2,0,0,494,75,165,25,659,100,11,0.1,6,0.1,81,12.3,106,16.1,4,0.6,'021901,4.7,2.4,2.1,0.3,0.7,0,0,0.9,3.6,7.1,1.7,4.5,2,0,1.5,0,1.8,3.9,10360,877,8.5,863,8.3,1347,13.0,127,1.2,3500,33.8,867,8.4,832,8.0,758,7.3,801,7.7,800,7.7,771,7.4,748,7.2,757,7.3,757,7.3,733,7.1,670,6.5,672,6.5,28,0.3,1079,10.4,918,8.9,248,2.4,1995,19.3,18,0.2,639,6.2,6,0.1,2961,28.6,807,7.8,216,2.1,2454,23.7,5901,57.0,42,6.4,399,60.5,2011
31,4,6,0.8,2,0.3,552,71.6,219,28.4,771,100,13,0.1,5,0.1,155,20.1,276,35.8,2,0.3,'021902,4.6,3.3,2.8,1.1,1.6,0.7,0.3,3.5,4.4,6.3,7.8,1.5,0,1.3,0,0,5.6,17.5,15750,56,0.4,3028,19.2,3448,21.9,341,2,11303,71.8,1247,7.9,1310,8.3,1216,7.7,1237,7.9,1229,7.8,1083,6.9,1050,6.7,1137,7.2,1230,7.8,1089,6.9,938,6.0,811,5.1,56,0.4,1670,10.6,1347,8.6,770,4.9,7830,49.7,26,0.2,2778,17.6,12,0.1,9974,63.3,1124,7.1,167,1.1,3581,22.7,4211,26.7,64,8.3,299,38.8,2011
0,0,0,0,0,0,5,50,5,50,10,100,0,0.0,0,0,0,0,4,40,0,0,'022004,0,0,0,0,0,9.1,0,0,0,.,0,0,0,.,0,.,.,.,106,0,0.0,36,34.0,0,0.0,0,0,74,69.8,7,6.6,6,5.7,8,7.5,7,6.6,13,12.3,9,8.5,10,9.4,8,7.5,8,7.5,10,9.4,7,6.6,7,6.6,0,0.0,8,7.5,6,5.7,0,0.0,67,63.2,3,2.8,36,34.0,0,0.0,54,50.9,8,7.5,0,0.0,6,5.7,36,34.0,1,10,6,60,2011
0,0,0,0,1,1.6,58,93.5,4,6.5,62,100,1,0.1,2,0.4,0,0,33,53.2,1,1.6,'022901,7.7,5.1,0,0,0,0,0,0,1.4,25,0,0,0,0,0,0,0,0,1100,14,1.3,94,8.5,13,1.2,39,3.3,552,50.2,96,8.7,83,7.5,81,7.4,83,7.5,82,7.5,77,7.0,80,7.3,72,6.5,79,7.2,82,7.5,68,6.2,75,6.8,4,0.4,87,7.9,72,6.5,66,6.0,699,63.5,1,0.1,104,9.5,0,0.0,784,71.3,116,10.5,25,2.3,339,30.8,348,31.6,6,9.7,27,43.5,2011
0,0,0,0,0,0,3,100,0,0,3,100,0,0.0,0,0,0,0,2,66.7,0,0,'022902,0,0,0,0,0,0,0,0,0,.,.,0,.,.,0,.,0,.,51,0,0.0,0,0.0,0,0.0,0,0,43,84.3,3,5.9,4,7.8,3,5.9,7,13.7,5,9.8,1,2.0,2,3.9,4,7.8,4,7.8,3,5.9,6,11.8,1,2.0,0,0.0,3,5.9,6,11.8,2,3.9,37,72.5,0,0.0,0,0.0,0,0.0,3,5.9,6,11.8,0,0.0,18,35.3,14,27.5,0,0,1,33.3,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,0,0,.,0,.,0,.,'022903,0,0,.,0,0,0,0,0,0,.,.,.,.,0,.,0,.,.,20,0,0.0,0,0.0,0,0.0,0,0,4,20.0,2,10.0,6,30.0,2,10.0,0,0.0,2,10.0,3,15.0,1,5.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0,0,0.0,11,55.0,0,0.0,0,0.0,0,0.0,4,20.0,1,5.0,0,0.0,0,0.0,9,45.0,0,.,0,.,2011
0,0,0,0,0,0,10,100,0,0,10,100,0,0.0,0,0,0,0,5,50,0,0,'023902,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,.,0,0,185,0,0.0,12,6.5,5,2.7,4,2.2,107,57.8,10,5.4,15,8.1,12,6.5,17,9.2,14,7.6,18,9.7,11,5.9,10,5.4,12,6.5,16,8.6,12,6.5,7,3.8,0,0.0,4,2.2,16,8.6,15,8.1,74,40.0,0,0.0,12,6.5,0,0.0,37,20.0,16,8.6,3,1.6,46,24.9,103,55.7,0,0,5,50,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,0,0,.,0,.,0,.,'024801,33.3,33.3,0,.,0,0,0,0,0,.,.,.,.,.,0,.,.,.,32,0,0.0,4,12.5,0,0.0,0,0,26,81.3,3,9.4,4,12.5,2,6.3,5,15.6,2,6.3,2,6.3,5,15.6,6,18.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,2,6.3,31,96.9,0,0.0,2,6.3,0,0.0,8,25.0,1,3.1,0,0.0,0,0.0,1,3.1,0,.,0,.,2011
0,0,0,0,0,0,92,89.3,11,10.7,103,100,0,0.0,1,0.1,0,0,98,95.1,0,0,'024901,7.4,9.4,12,2.1,7.1,0,5.8,2.2,1.8,33.3,0,10,0,6.3,0,8.3,0,0,1488,2,0.1,42,2.8,0,0.0,42,2.6,1327,89.2,122,8.2,99,6.7,113,7.6,120,8.1,118,7.9,107,7.2,121,8.1,111,7.5,123,8.3,104,7.0,94,6.3,81,5.4,0,0.0,92,6.2,110,7.4,65,4.4,1464,98.4,1,0.1,49,3.3,0,0.0,832,55.9,152,10.2,0,0.0,412,27.7,21,1.4,17,16.5,5,4.9,2011
1,1.3,0,0,0,0,67,83.8,13,16.3,80,100,0,0.0,0,0,6,7.5,15,18.8,0,0,'025901,1.5,0,1.3,0,0,1.7,0,0,5,28.6,0,0,16.7,0,0,0,0,16.7,1073,2,0.2,10,0.9,50,4.7,12,1,584,54.4,74,6.9,72,6.7,96,8.9,85,7.9,65,6.1,87,8.1,74,6.9,88,8.2,100,9.3,89,8.3,71,6.6,74,6.9,2,0.2,72,6.7,65,6.1,31,2.9,221,20.6,8,0.7,11,1.0,0,0.0,332,30.9,118,11.0,27,2.5,341,31.8,765,71.3,8,10,58,72.5,2011
5,2.8,1,0.6,0,0,141,77.9,40,22.1,181,100,0,0.0,8,0.5,9,5,57,31.5,1,0.6,'025902,4.4,2.8,0.8,0.9,0.9,0.4,2.4,1.3,5.6,20.8,0,0,0,0,0,0,3,22.7,3587,13,0.4,69,1.9,216,6.0,97,2.5,2368,66.0,307,8.6,288,8.0,272,7.6,261,7.3,256,7.1,264,7.4,259,7.2,242,6.7,306,8.5,237,6.6,235,6.6,172,4.8,6,0.2,238,6.6,326,9.1,156,4.3,1361,37.9,6,0.2,75,2.1,3,0.1,1609,44.9,329,9.2,74,2.1,1224,34.1,1914,53.4,25,13.8,108,59.7,2011
0,0,0,0,0,0,15,75,5,25,20,100,0,0.0,0,0,1,5,5,25,0,0,'025904,0,0,0,0,0,0,0,0,16.7,.,0,0,0,0,.,50,50,0,210,0,0.0,4,1.9,2,1.0,0,0,131,62.4,14,6.7,16,7.6,18,8.6,18,8.6,20,9.5,18,8.6,13,6.2,13,6.2,14,6.7,11,5.2,12,5.7,18,8.6,0,0.0,12,5.7,16,7.6,9,4.3,61,29.0,0,0.0,5,2.4,0,0.0,66,31.4,25,11.9,3,1.4,54,25.7,144,68.6,2,10,14,70,2011
0,0,0,0,0,0,16,72.7,6,27.3,22,100,0,0.0,0,0,0,0,2,9.1,0,0,'025905,0,0,0,0,4.8,0,0,0,9.5,0,.,0,0,50,0,50,0,50,272,0,0.0,7,2.6,3,1.1,4,1.3,151,55.5,23,8.5,17,6.3,17,6.3,21,7.7,28,10.3,20,7.4,24,8.8,13,4.8,28,10.3,13,4.8,16,5.9,16,5.9,2,0.7,14,5.1,17,6.3,17,6.3,37,13.6,3,1.1,7,2.6,0,0.0,58,21.3,35,12.9,1,0.4,59,21.7,228,83.8,4,18.2,20,90.9,2011
0,0,0,0,0,0,11,78.6,3,21.4,14,100,0,0.0,0,0,0,0,0,0,0,0,'025906,0,0,0,0,0,0,0,0,9.1,0,.,0,.,0,0,0,0,.,200,0,0.0,0,0.0,0,0.0,0,0,132,66.0,12,6.0,18,9.0,16,8.0,22,11.0,19,9.5,11,5.5,18,9.0,13,6.5,19,9.5,20,10.0,10,5.0,10,5.0,0,0.0,12,6.0,12,6.0,0,0.0,15,7.5,0,0.0,0,0.0,1,0.5,19,9.5,16,8.0,6,3.0,77,38.5,178,89.0,5,35.7,14,100,2011
0,0,0,0,0,0,9,90,1,10,10,100,0,0.0,0,0,1,10,1,10,0,0,'025908,0,0,0,0,0,0,0,0,16.7,0,0,.,0,0,0,0,.,.,169,0,0.0,1,0.6,0,0.0,3,1.5,91,53.8,7,4.1,11,6.5,17,10.1,11,6.5,12,7.1,20,11.8,13,7.7,18,10.7,12,7.1,9,5.3,9,5.3,13,7.7,0,0.0,11,6.5,10,5.9,7,4.1,41,24.3,0,0.0,1,0.6,0,0.0,68,40.2,17,10.1,1,0.6,40,23.7,127,75.1,0,0,8,80,2011
0,0,0,0,0,0,57,82.6,12,17.4,69,100,0,0.0,2,0.3,0,0,15,21.7,0,0,'025909,8.2,0,0,1.1,1.3,1.3,0,0,3.7,20,0,0,0,0,9.1,0,0,40,1259,15,1.2,18,1.4,17,1.4,4,0.3,544,43.2,98,7.8,78,6.2,119,9.5,96,7.6,105,8.3,98,7.8,107,8.5,103,8.2,90,7.1,89,7.1,81,6.4,80,6.4,2,0.2,98,7.8,93,7.4,20,1.6,255,20.3,12,1.0,18,1.4,1,0.1,406,32.2,118,9.4,14,1.1,314,24.9,945,75.1,7,10.1,54,78.3,2011
0,0,0,0,0,0,106,87.6,15,12.4,121,100,0,0.0,2,0.2,8,6.6,26,21.5,0,0,'026901,5.5,2.5,0,0.7,0,2.4,0,0,3.9,12.5,0,0,0,0,0,0,0,9.1,1876,7,0.4,182,9.7,208,11.1,27,1.3,1006,53.6,165,8.8,132,7.0,125,6.7,130,6.9,150,8.0,144,7.7,145,7.7,138,7.4,170,9.1,145,7.7,120,6.4,109,5.8,2,0.1,169,9.0,134,7.1,67,3.6,596,31.8,4,0.2,188,10.0,0,0.0,666,35.5,163,8.7,17,0.9,471,25.1,1044,55.7,15,12.4,87,71.9,2011
0,0,0,0,0,0,37,86,6,14,43,100,0,0.0,0,0,11,25.6,11,25.6,0,0,'026902,4,8,10.7,11.5,4.3,3.7,0,0,6.1,0,0,0,0,0,0,16.7,0,28.6,477,0,0.0,29,6.1,119,24.9,19,3.6,338,70.9,40,8.4,29,6.1,30,6.3,32,6.7,30,6.3,32,6.7,33,6.9,33,6.9,39,8.2,45,9.4,28,5.9,37,7.8,0,0.0,40,8.4,33,6.9,36,7.5,137,28.7,7,1.5,29,6.1,0,0.0,243,50.9,71,14.9,6,1.3,76,15.9,208,43.6,5,11.6,21,48.8,2011
0,0,0,0,0,0,22,73.3,8,26.7,30,100,0,0.0,1,0.5,7,23.3,8,26.7,0,0,'026903,2.4,0,0,4.3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,526,0,0.0,17,3.2,168,31.9,5,0.9,361,68.6,42,8.0,48,9.1,32,6.1,42,8.0,48,9.1,35,6.7,42,8.0,34,6.5,35,6.7,29,5.5,30,5.7,25,4.8,3,0.6,52,9.9,41,7.8,40,7.6,123,23.4,3,0.6,16,3.0,0,0.0,145,27.6,46,8.7,5,1.0,109,20.7,227,43.2,4,13.3,15,50,2011
3,1.2,0,0,0,0,152,60.6,99,39.4,251,100,0,0.0,0,0,5,2,47,18.7,1,0.4,'027903,1.8,1.3,0.5,0.9,1.6,0.9,0.5,2.2,4.7,12,0,0,4,4.3,0,0,9.8,18.2,3343,5,0.1,220,6.6,43,1.3,67,1.9,1909,57.1,222,6.6,247,7.4,247,7.4,253,7.6,244,7.3,245,7.3,259,7.7,248,7.4,285,8.5,221,6.6,241,7.2,237,7.1,12,0.4,152,4.5,256,7.7,126,3.8,833,24.9,15,0.4,226,6.8,0,0.0,1348,40.3,377,11.3,44,1.3,763,22.8,2403,71.9,42,16.7,195,77.7,2011
4,1.7,2,0.8,0,0,187,78.9,50,21.1,237,100,5,0.1,4,0.2,10,4.2,76,32.1,0,0,'027904,2.9,0.4,1.3,1.1,0.8,0,0,1.2,1.6,0,2.6,6.3,0,3.6,0,0,0,7.1,4058,30,0.7,473,11.7,92,2.3,107,2.5,2470,60.9,297,7.3,297,7.3,314,7.7,284,7.0,311,7.7,302,7.4,305,7.5,308,7.6,296,7.3,307,7.6,270,6.7,265,6.5,12,0.3,292,7.2,285,7.0,205,5.1,1594,39.3,16,0.4,468,11.5,7,0.2,1791,44.1,461,11.4,42,1.0,885,21.8,2277,56.1,27,11.4,145,61.2,2011
7,2.2,3,0.9,0,0,250,76.9,75,23.1,325,100,0,0.0,2,0.1,23,7.1,166,51.1,0,0,'028902,2.6,3.3,2.6,0.7,0.3,0.3,0.3,0,1,6.4,5.3,0,0,0,0,0,0,5.6,4684,17,0.4,382,8.2,248,5.3,142,2.8,3162,67.5,360,7.7,330,7.0,333,7.1,371,7.9,342,7.3,363,7.7,350,7.5,345,7.4,358,7.6,330,7.0,306,6.5,321,6.9,22,0.5,356,7.6,350,7.5,203,4.3,2981,63.6,18,0.4,424,9.1,2,0.0,2222,47.4,552,11.8,65,1.4,1326,28.3,1353,28.9,24,7.4,126,38.8,2011
3,3,0,0,0,0,86,86,14,14,100,100,1,0.1,6,0.9,5,5,51,51,1,1,'028903,1,0,0,0,3.1,0,0,0,0,12.5,0,0,0,0,0,0,0,0,1458,4,0.3,181,12.4,92,6.3,25,1.5,1009,69.2,128,8.8,106,7.3,107,7.3,115,7.9,106,7.3,108,7.4,89,6.1,92,6.3,119,8.2,98,6.7,93,6.4,86,5.9,0,0.0,121,8.3,116,8.0,95,6.5,869,59.6,3,0.2,184,12.6,0,0.0,794,54.5,122,8.4,25,1.7,403,27.6,465,31.9,6,6,40,40,2011
0,0,0,0,0,0,14,87.5,2,12.5,16,100,1,0.4,2,2,1,6.3,6,37.5,0,0,'028906,5,15.8,0,0,0,0,5.6,0,0,0,40,0,0,0,0,0,0,50,232,0,0.0,6,2.6,17,7.3,6,2.1,175,75.4,14,6.0,24,10.3,16,6.9,21,9.1,12,5.2,21,9.1,13,5.6,15,6.5,15,6.5,15,6.5,9,3.9,14,6.0,0,0.0,21,9.1,19,8.2,24,10.3,97,41.8,2,0.9,6,2.6,0,0.0,65,28.0,28,12.1,1,0.4,50,21.6,115,49.6,1,6.3,9,56.3,2011
0,0,15,5,0,0,291,97,9,3,300,100,0,0.0,5,0.2,6,2,165,55,0,0,'029901,3.8,4.6,1.7,2,0.4,0,0,0,2.3,12.1,7.5,0,2.4,0,0,0,2.1,5.6,4224,197,4.7,403,9.5,90,2.1,158,3.4,2696,63.8,334,7.9,340,8.0,330,7.8,278,6.6,308,7.3,335,7.9,300,7.1,302,7.1,322,7.6,298,7.1,311,7.4,265,6.3,25,0.6,358,8.5,283,6.7,193,4.6,2530,59.9,13,0.3,412,9.8,2,0.0,1968,46.6,509,12.1,39,0.9,855,20.2,1353,32.0,36,12,114,38,2011
0,0,0,0,0,0,21,80.8,5,19.2,26,100,0,0.0,0,0,0,0,3,11.5,0,0,'030901,0,4.2,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,50,368,1,0.3,6,1.6,0,0.0,0,0,241,65.5,27,7.3,27,7.3,22,6.0,25,6.8,25,6.8,22,6.0,34,9.2,27,7.3,23,6.3,25,6.8,31,8.4,25,6.8,1,0.3,36,9.8,31,8.4,23,6.3,25,6.8,3,0.8,6,1.6,0,0.0,144,39.1,26,7.1,2,0.5,149,40.5,337,91.6,1,3.8,23,88.5,2011
5,5.7,1,1.1,0,0,78,89.7,9,10.3,87,100,0,0.0,0,0,0,0,10,11.5,0,0,'030902,8.6,1,0,0,1.9,0,0,0,6,0,7.7,7.7,0,0,0,0,0,0,1481,2,0.1,10,0.7,16,1.1,31,2,707,47.7,102,6.9,98,6.6,118,8.0,106,7.2,105,7.1,113,7.6,118,8.0,111,7.5,133,9.0,103,7.0,104,7.0,84,5.7,5,0.3,84,5.7,94,6.3,87,5.9,161,10.9,3,0.2,10,0.7,0,0.0,574,38.8,151,10.2,41,2.8,479,32.3,1258,84.9,11,12.6,71,81.6,2011
0,0,0,0,0,0,24,92.3,2,7.7,26,100,0,0.0,0,0,0,0,3,11.5,0,0,'030903,9.5,0,4.8,6.3,0,13.3,4.5,0,4.5,0,0,0,0,0,0,.,0,0,295,3,1.0,0,0.0,0,0.0,4,1.1,192,65.1,20,6.8,21,7.1,27,9.2,24,8.1,16,5.4,21,7.1,17,5.8,20,6.8,29,9.8,22,7.5,19,6.4,27,9.2,0,0.0,11,3.7,14,4.7,18,6.1,62,21.0,2,0.7,0,0.0,0,0.0,122,41.4,35,11.9,2,0.7,112,38.0,226,76.6,5,19.2,23,88.5,2011
0,0,0,0,0,0,23,85.2,4,14.8,27,100,0,0.0,1,0.6,0,0,6,22.2,0,0,'030906,0,0,6.3,3.8,7.7,0,0,0,14.3,0,0,0,0,0,0,0,0,16.7,378,1,0.3,2,0.5,4,1.1,1,0.2,193,51.1,28,7.4,12,3.2,29,7.7,35,9.3,31,8.2,26,6.9,29,7.7,29,7.7,19,5.0,27,7.1,28,7.4,35,9.3,0,0.0,19,5.0,37,9.8,13,3.4,49,13.0,6,1.6,4,1.1,0,0.0,129,34.1,44,11.6,15,4.0,104,27.5,303,80.2,3,11.1,21,77.8,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,0,0,.,0,.,0,.,'031803,0,0,2.3,4.2,0,1.7,0,0,0,0,.,0,.,0,.,.,0,.,417,19,4.6,31,7.4,7,1.7,0,0,279,66.9,24,5.8,26,6.2,28,6.7,52,12.5,51,12.2,70,16.8,64,15.3,51,12.2,15,3.6,12,2.9,0,0.0,0,0.0,0,0.0,27,6.5,24,5.8,0,0.0,343,82.3,0,0.0,31,7.4,0,0.0,276,66.2,9,2.2,0,0.0,15,3.6,48,11.5,0,.,0,.,2011
0,0,13,0.5,0,0,2285,86.9,343,13.1,2628,100,10,0.0,118,0.6,1,0,2564,97.6,1,0,'031901,10.7,8.3,6,3.4,1.4,2.1,2.9,1.2,2.1,9.6,5.8,2.7,0.6,0.9,0,1,0.8,4.1,49800,135,0.3,15681,31.5,45,0.1,756,1.5,47499,95.4,4057,8.1,3857,7.7,3728,7.5,3808,7.6,3826,7.7,3618,7.3,3497,7.0,3485,7.0,4418,8.9,2902,5.8,3150,6.3,2501,5.0,399,0.8,4188,8.4,3576,7.2,2978,6.0,49106,98.6,8,0.0,16568,33.3,5,0.0,32210,64.7,5293,10.6,1,0.0,13692,27.5,500,1.0,303,11.5,49,1.9,2011
4,0.4,11,1.1,0,0,921,92.5,75,7.5,996,100,3,0.0,70,0.9,5,0.5,842,84.5,3,0.3,'031903,6.1,4.7,1.1,1.2,0.2,0.4,1,1,1.8,8.3,6.2,0.8,0,0,0,0,1.4,2.3,18339,142,0.8,2436,13.3,104,0.6,789,4,14096,76.9,1449,7.9,1439,7.8,1435,7.8,1427,7.8,1346,7.3,1355,7.4,1317,7.2,1234,6.7,1504,8.2,1274,6.9,1222,6.7,1022,5.6,19,0.1,1268,6.9,1316,7.2,980,5.3,16584,90.4,34,0.2,2517,13.7,2,0.0,10363,56.5,1426,7.8,37,0.2,4840,26.4,1436,7.8,75,7.5,131,13.2,2011
0,0,0,0,0,0,167,93.8,11,6.2,178,100,5,0.1,17,1.1,0,0,165,92.7,1,0.6,'031905,8.4,6.9,4.8,0.4,2.2,0,0.9,0.5,0.4,29.4,13.3,0,6.3,0,10,5,10.3,0,3576,0,0.0,444,12.4,2,0.1,99,2.6,2879,80.5,272,7.6,282,7.9,291,8.1,253,7.1,259,7.2,236,6.6,282,7.9,236,6.6,261,7.3,236,6.6,220,6.2,244,6.8,4,0.1,161,4.5,244,6.8,256,7.2,3440,96.2,7,0.2,491,13.7,0,0.0,1810,50.6,231,6.5,8,0.2,828,23.2,119,3.3,8,4.5,12,6.7,2011
1,0.2,0,0,1,0.2,516,93.5,36,6.5,552,100,5,0.0,28,0.6,0,0,529,95.8,0,0,'031906,3.9,2.2,1.5,1.2,0.3,0.6,0.3,0.1,0.3,7.9,3,0,0,0,1.8,0,8,6.7,9970,21,0.2,1876,18.8,15,0.2,104,1,7683,77.1,718,7.2,759,7.6,781,7.8,836,8.4,699,7.0,758,7.6,764,7.7,712,7.1,915,9.2,639,6.4,578,5.8,571,5.7,24,0.2,851,8.5,686,6.9,530,5.3,9594,96.2,17,0.2,2253,22.6,0,0.0,4142,41.5,628,6.3,12,0.1,2018,20.2,311,3.1,32,5.8,21,3.8,2011
0,0,1,0.6,0,0,129,80.6,31,19.4,160,100,5,0.2,1,0.1,0,0,134,83.8,0,0,'031909,7.5,1.7,4.4,0.6,3.9,0,0.8,0,1.7,5,0,0,0,0,0,0,0,0,2532,10,0.4,764,30.2,7,0.3,75,2.8,2286,90.3,205,8.1,217,8.6,203,8.0,192,7.6,187,7.4,158,6.2,189,7.5,143,5.6,200,7.9,161,6.4,129,5.1,153,6.0,6,0.2,186,7.3,209,8.3,180,7.1,2291,90.5,9,0.4,850,33.6,0,0.0,1494,59.0,219,8.6,7,0.3,698,27.6,208,8.2,18,11.3,25,15.6,2011
0,0,0,0,0,0,114,79.2,30,20.8,144,100,1,0.0,8,0.8,0,0,133,92.4,0,0,'031911,10.8,1.2,4.8,0,2.1,0,0,0,1.4,0,0,0,0,4.3,0,0,0,0,2299,0,0.0,332,14.4,1,0.0,59,2.4,1948,84.7,168,7.3,161,7.0,178,7.7,170,7.4,196,8.5,170,7.4,166,7.2,169,7.4,179,7.8,153,6.7,150,6.5,146,6.4,5,0.2,106,4.6,155,6.7,133,5.8,2240,97.4,1,0.0,376,16.4,0,0.0,1375,59.8,170,7.4,1,0.0,547,23.8,56,2.4,32,22.2,11,7.6,2011
