DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'034909,14.5,8,22,17,7,14,27,17.5,13,.,11.9,12.1,14.2,71.163,1.87,4.843,38.53,1.0,2.5952,65000,0.0,5.75,14.9323,0.0,0.0,24.95,64.751,1.0,2.5952,69612,1.0,4.773,24940,9.0,42.96,27941.06,3.5,16.7069,31729.62,6.0,28.639,39456.67,1.45,6.9215,53291.21,18.95,90.454,0.0,0.0,0.0,0.0,0.0,0.0,8.7407,15.95,76.134,0.083,0.3962,0.0,0.0,0.0,0.0,11.5033,5.0,23.8661,2.0,9.5463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.42,73.589,2.45,11.694,6.2418,20.95,54.37,33483.31,17.742,3.0,14.3208,20.95,100.0,2.0,5.1903,38822,0.0,7.83,20.317,2006
'035901,13.3,16,18.5,17.3,18.8,18.3,16.2,16,18.8,.,16.1,13.2,17.7,66.381,70.36,35.092,200.51,3.5,1.7455,65313.71,0.0,29.46,14.6922,0.0,0.0,120.02,59.858000000000004,3.5,1.7455,57061.43,13.045,12.834000000000001,25071.17,26.0,25.584,27301.03,16.0,15.7436,32682.48,15.43,15.18,39364.46,31.16,30.6577,44019.91,84.27,82.90899999999999,6.35,6.2468,0.0,0.0,5.797000000000001,5.7037,12.8795,77.59,76.334,0.0,0.0,10.3,10.135,0.0,0.0,10.8421,24.05,23.6664,17.07,16.7959,0.3,0.2948,2.863,2.8168,0.0,0.0,0.0,0.0,67.83,66.733,11.71,11.517999999999999,9.0304,101.64,50.69,34818.98,26.391,7.097,6.9823,91.34,89.865,11.38,5.6767,46277.2,1.0,51.03,25.4498,2006
'035902,11.9,17.5,12.7,13.5,12.6,12.1,11.5,17,30,.,17,21.8,33.8,64.693,33.2,47.075,70.52,2.0,2.8362,50350,0.0,12.95,18.3712,0.6,0.0,40.95,58.074,1.074,1.5233,51883.93,3.909,11.049000000000001,24507.68,8.5,24.035999999999998,25725.84,5.0,14.1323,32549.85,9.01,25.451999999999998,37233.62,8.96,25.3315,42961.35,30.04,84.914,0.0,0.0,0.0,0.0,2.984,8.4348,12.2522,23.01,65.024,0.0,0.0,7.0,19.785,0.0,0.0,10.0051,12.38,34.9756,5.34,15.0856,0.0,0.0,0.955,2.698,0.0,0.0,0.0,0.0,27.43,77.529,1.95,5.507999999999999,7.3416,35.38,50.176,33850.62,14.944,2.063,5.8309,28.38,80.215,2.5,3.5392,42833.64,2.1979,16.61,23.5545,2006
'035903,10.9,.,18,17,13,12,18,13.3,25,.,9.7,15,16.6,66.959,0.0,0.0,33.5,1.0,2.9849,62500,0.0,1.0,2.9849,0.0,0.0,23.5,70.15100000000001,0.584,1.7426,54600,0.0,0.0,.,5.5,25.096999999999998,32641.22,6.0,27.3746,34208.24,7.0,31.94,40610.02,3.42,15.5878,44211.14,20.5,93.539,0.0,0.0,0.0,0.0,0.0,0.0,11.5778,14.92,68.061,0.0,0.0,0.0,0.0,0.0,0.0,10.3569,7.0,31.9389,1.42,6.4614,0.0,0.0,1.196,5.4581,0.0,0.0,0.0,0.0,17.76,81.016,0.5,2.282,6.3333,21.92,65.423,37418.93,13.725,2.465,11.2443,21.92,100.0,0.0,0.0,.,1.0,9.0,26.8644,2006
'036901,20.2,21.9,17.9,20.4,17.8,18.1,23.1,19.5,18.6,-2,19.1,22.6,24.1,62.533,49.52,26.273000000000003,188.48,3.6830000000000003,1.9541,82177.91,0.0,24.18,12.8271,1.68,0.0,114.87,60.945,6.457000000000001,3.4259,52693.76,6.872000000000001,7.274,30499.73,21.0,22.233,34121.33,25.93,27.4489,34259.76,19.66,20.813000000000002,38760.24,21.0,22.2311,45183.32,84.35,89.288,2.38,2.5215,8.0,8.469,5.737,6.0733,11.4323,76.82,81.32,1.547,1.6372,3.53,3.733,0.0,0.0,15.2541,17.65,18.6799,10.12,10.7125,0.0,0.0,4.391,4.6477,1.0,1.0589,0.0,0.0,69.34,73.407,7.55,7.992999999999999,7.1358,94.47,50.12,37320.57,15.094,3.515,3.7212,81.94,86.73899999999999,10.26,5.4446,47234.09,0.0,49.44,26.2284,2006
'036902,18.2,17.3,28.9,18.9,19.7,19.5,21.7,24.3,28.9,29.4,17.9,17.3,18.2,60.651,56.34,11.958,471.14,6.56,1.3923,82760.16,0.0,45.91,9.7442,0.46,0.0,278.41,59.092,13.083,2.7769,63388.08,6.001,2.55,40077.52,35.0,14.876,40068.94,57.21,24.3116,41298.2,75.84,32.23,46424.54,61.25,26.0325,55297.33,166.21,70.639,0.15,0.0634,1.0,0.425,14.155,6.0156,13.9509,189.63,80.589,16.172,6.8728,5.0,2.125,1.0002,0.4251,14.9469,45.67,19.4106,69.09,29.361,0.0,0.0,1.5919999999999999,0.6767,0.0,0.0,0.0,0.0,178.55,75.884,15.72,6.678999999999999,7.3218,235.3,49.942,46380.74,11.918,8.962,3.8086,228.3,97.025,23.46,4.9801,54076.94,0.0,146.83,31.1643,2006
'036903,17.5,20.6,19,18,16.2,16.1,14.8,16.7,17.8,.,18.6,21.3,19,65.271,21.0,13.125,160.0,1.0,0.625,90640,0.0,15.0,9.3749,0.0,0.0,106.5,66.562,4.0,2.5,67430,3.0,3.3710000000000004,30000,28.0,31.461,32840.27,12.0,13.4835,34001.94,27.0,30.336,41052.93,19.0,21.348000000000003,48872.36,75.0,84.27,2.0,2.247,1.0,1.124,10.096,11.3435,11.675,73.0,82.023,3.748,4.2107,3.0,3.3710000000000004,0.0,0.0,13.5169,16.0,17.9775,14.0,15.7299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.22,64.29,11.29,12.69,9.1,89.0,55.625,38815.12,8.889,4.645,5.2192,85.0,95.506,12.5,7.8125,49556.8,0.0,38.5,24.0626,2006
'037901,11.3,12.4,14.5,16.3,15.7,14.7,16.3,14.1,18.7,.,11.4,12.8,13,70.493,24.96,22.154,112.66,2.0,1.7753,55692,0.0,17.75,15.7557,0.0,0.0,74.0,65.691,3.5239999999999996,3.128,60758.1,5.001,8.003,25324.24,19.0,30.413,27410.13,9.0,14.4048,33888.66,13.48,21.568,41853.36,16.0,25.61,41964.4,56.48,90.397,1.17,1.867,10.0,16.006,0.0,0.0,13.1358,51.0,81.631,0.342,0.5479999999999999,0.0,0.0,0.0,0.0,10.4512,11.48,18.3689,5.0,8.0022,1.0,1.6008,0.0,0.0,0.0,0.0,0.0,0.0,53.97,86.382,3.67,5.867999999999999,6.0741,62.48,55.461999999999996,35018.94,36.364,3.333,5.3349,52.48,83.994,6.0,5.3260000000000005,36978.17,0.0,20.9,18.5531,2006
'037904,17.9,19.7,18.7,19.1,19.8,18.4,20.7,16.9,20.5,6,17.1,18,19.4,64.281,200.12,25.221,793.47,8.0,1.0082,70469.75,0.0,133.09,16.7726,0.0,0.0,439.11,55.34,28.0,3.5288,48592.57,46.989,13.383,25264,104.45,29.749000000000002,28000.58,65.67,18.7036,32553.34,71.0,20.221,39076.92,63.0,17.9429,44678.54,294.61,83.90799999999999,28.58,8.1389,22.0,6.266,0.0,0.0,10.0621,275.22,78.384,2.616,0.7451,11.0,3.133,0.0,0.0,13.9386,75.9,21.6157,51.5,14.6676,5.0,1.4242,7.484,2.1316,1.0,0.2848,0.0,0.0,263.78,75.128,34.58,9.85,5.7508,351.11,44.25,33718.15,21.809,14.068,4.0066,317.11,90.31700000000001,52.0,6.5534,45782.98,0.0,221.28,27.8871,2006
'037907,15.4,19.5,19.4,22.1,23.1,20.7,27.6,17.1,20.8,.,17.1,17,20.2,67.892,29.24,10.873,268.92,4.0,1.4874,72037.25,0.0,31.92,11.8699,0.09,10.28,178.52,66.384,8.707,3.2379,58957.5,11.999,8.059,25120,34.29,23.031999999999996,27473.11,27.0,18.134,32462.3,35.0,23.506999999999998,39105.01,40.6,27.2676,42958.06,125.06,83.995,0.69,0.462,8.0,5.372999999999999,16.336,10.9721,13.7232,112.73,75.715,0.307,0.2063,3.0,2.015,0.0,0.0,12.8488,36.16,24.2846,22.83,15.3337,0.0,0.0,4.08,2.7404,0.0,0.0,1.0,0.6715,103.94,69.809,17.51,11.757,9.1035,148.89,55.365,35144.88,13.85,6.034,4.0529,137.89,92.61200000000001,16.92,6.2936,42586.58,1.0255,58.48,21.7463,2006
'037908,12.4,14.3,11.7,20.5,15.4,12.2,16.8,20.5,20.5,28.6,16.1,17.5,21.4,75.052,17.0,23.944000000000003,71.0,1.0,1.4084,79250,0.0,17.7,24.9242,0.0,0.0,45.3,63.808,2.5,3.5211,46412.8,3.0,7.425,24820,22.1,54.7,31121.07,5.3,13.1261,33613.98,6.0,14.849,39818.21,4.0,9.9001,43858.55,34.1,84.399,4.39,10.8571,1.1,2.728,0.0,0.0,7.0,36.41,90.09899999999999,0.0,0.0,2.0,4.95,0.0,0.0,10.8893,4.0,9.9014,6.3,15.6012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43,80.271,3.07,7.601,4.3333,40.41,56.91,33532.9,26.113,0.513,1.2701,37.3,92.323,1.4,1.9693,40604.94,0.0,8.0,11.2673,2006
'037909,14.3,7.8,12.5,22,16.5,15,21.3,26.9,20,.,17.8,19.7,17,69.485,1.0,2.17,46.07,1.0,2.1707,73542,0.0,6.0,13.024000000000001,0.0,0.0,31.53,68.45,1.881,4.083,49518.61,2.0,7.656000000000001,24820,3.0,11.487,29096.67,9.0,34.4563,32448.14,8.12,31.085,38168.64,4.0,15.3149,41770.25,24.0,91.887,0.32,1.2428,0.0,0.0,1.0,3.8287,11.0968,21.0,80.402,0.121,0.4633,1.0,3.8280000000000003,0.0,0.0,12.9411,5.12,19.5981,2.12,8.1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.16,73.359,3.0,11.485999999999999,7.3226,26.12,56.693999999999996,34685.06,17.701,2.513,9.6197,25.12,96.17200000000001,2.53,5.5022,38782.15,0.0,8.53,18.5262,2006
'038901,14.9,12.5,21.9,15.5,19,17,16.6,12.3,19,.,14.1,15.2,15.7,65.577,27.02,13.162,205.32,2.0,0.9741,72682,0.0,43.5,21.1863,0.0,0.0,109.85,53.501000000000005,5.2139999999999995,2.5396,55432.75,0.0,0.0,.,19.0,19.951,27428.44,13.36,14.0255,32778.93,35.71,37.497,39994.94,27.17,28.5265,41911.74,82.18,86.288,0.5,0.525,1.0,1.05,2.0,2.0999,14.8882,73.32,76.987,0.0,0.0,1.0,1.05,0.0,0.0,12.5888,21.92,23.0134,13.06,13.7115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.07,75.673,11.91,12.501,10.6355,95.24,46.387,37022.54,2.646,8.764,9.2019,93.24,97.9,7.39,3.6,43909.18,0.0,51.97,25.3131,2006
'039901,8.4,9.4,4,4,10,10,4,14.1,6,.,7.8,10.4,9,64.867,1.0,3.688,27.12,1.0,3.688,60500,0.0,2.0,7.376,0.0,0.0,18.78,69.25399999999999,1.0,3.688,52500,2.0,12.120999999999999,24240,2.0,12.120999999999999,25385.03,1.0,6.0606,29590,4.0,24.243000000000002,39205.07,7.5,45.4555,43167.27,12.5,75.757,0.0,0.0,0.0,0.0,0.155,0.9406,17.7879,7.5,45.45399999999999,0.0,0.0,1.0,6.06,0.0,0.0,6.5454,9.0,54.5457,4.0,24.2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.41,87.34899999999999,0.45,2.727,9.302999999999999,16.5,60.852,36934.47,10.714,1.482,8.9836,15.5,93.94,0.28,1.0256,46296.3,0.0,6.34,23.3701,2006
